"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","634377","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","J. G. Jardim","1527","1998","02","17","South America","Brazil","Bahia","Rod. Jussari/Palmira. Entrada ca 7.5 km percorrendo mais 1.7 até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634377","NY00634377_01","-39.58","-15.17","Jussari",NA,NA,"300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00682103","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","J. L. Hage","61","1973","06","12","South America","Brazil","Bahia","Cepec Plantação de cacau","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682103","NY00682103_01","-39.03","-14.82","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","390432","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","G. T. Prance","23707","1976","02","05","South America","Brazil","São Paulo","Itú","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390432","NY00390432_01","-47.29","-23.2603","Itu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00682076","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","L. Riedel","1238",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682076","NY00682076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00682101","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","R. P. Belém","3393","1967","03","09","South America","Brazil","Bahia","Saida para Jequié.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682101","NY00682101_01","-39.72","-14.12","Ipiaú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","376118","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"L. A. Mattos Silva","3096","1995","04","04","South America","Brazil","Bahia","Campus da Universidade Estadual de Santa Cruz (UESC), km 16 da Rod. Ilhéus/Itabuna (BR 415)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376118","NY00376118_01","-39.17","-14.8","Ilhéus",NA,NA,"40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00682104","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","A. P. Duarte","6209","1962","01","12","South America","Brazil","Rio de Janeiro","Estado da Guanabara, Mesa do Imperador","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682104","NY00682104_01","-43.73","-22.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","376116","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"C. Angeli","274","1962","01","11","South America","Brazil","Rio de Janeiro","GB, Av. Edson Passos, próximo ao Jardim do Alto da Boa Vista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376116","NY00376116_01","-43.73","-22.97","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1019520","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","M. Ribeiro","C. Farney","4323","2000","11","22","South America","Brazil","Rio de Janeiro","Estrda para Morro Grande a partir da RJ 124.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285955' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019520","NY01019520_01","-42.3431","-22.8731","Araruama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00682107","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","D. A. Folli","429","1983","02","24","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD. Linhares Esp. Santo Est. OITICICA, ant. 151, km 2.410, lado direito","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682107","NY00682107_01","-40.68","-19.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","03220110","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","M. Ribeiro","R. Vervloet","1819","2003","02","13","South America","Brazil","Espírito Santo","Municipio de Santa Teresa. Nova Lombardia, Reserva Biológica Augusto Ruschi. Trilha Vale do Palmito","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3501472' target='other'> <mi>dwc_moreinfo</mi></a>","NY03220110","NY03220110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","376121","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","R. P. Belém","3395","1967","03","09","South America","Brazil","Bahia","Ipiaú. Saída para Jequiê","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376121","NY00376121_01","-39.72","-14.12","Ipiaú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","778060","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"A. S. Moreira","s.n.","1982","02","02","South America","Brazil","Rio de Janeiro","Exisente na entrada do Jardim Botânico de Niterói. Antigo Horto-Botanico - Alameda São Boa Ventura 770-Fonseca-Niterói. Está a direita de quem entra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778060","NY00778060_01 NY00778060_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00682106","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","W. A. Rodrigues","A. P. Duarte","8141","1964","06","19","South America","Brazil","Minas Gerais","Fazenda do cipó, em direçâo Lagoa Santo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682106","NY00682106_01","-43.88","-19.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","376119","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","J. R. Pirani","2983","1994","02","14","South America","Brazil","Bahia","Rodovia Itabuna-Itapetininga, a 41 km W da BR-101, e 5 km W do portao da Cidade de Ibicaraí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376119","NY00376119_01","-39.58","-14.86","Ibicaraí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01195799","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","J. G. Jardim","4651","2005","07","05","South America","Brazil","Bahia","Rodovia BR 101/Jussari, ca. 4 km W. Plantação de cacau.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1404120' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195799","NY01195799_01","-39.45","-15.18","Jussari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00682105","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"L. A. Mattos Silva","417","1979","06","06","South America","Brazil","Bahia","Mun. de Itabuna. Rodovia Ferradas/Juçari, km 44. Pastaria em Região de Mata Higrófila Sul Baiana. Folha SD-24 (15-39c)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682105","NY00682105_01","-39.53","-15.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","03220103","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","M. Ribeiro","L. Kollmann","10865","2008","04","16","South America","Brazil","Espírito Santo","Mun. de Santa Leop9oldina, Suiça. Estrada para Luxemburgo, perto do asfalto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3501475' target='other'> <mi>dwc_moreinfo</mi></a>","NY03220103","NY03220103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","390431","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","G. T. Prance","23708","1976","02","05","South America","Brazil","São Paulo","Itú","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390431","NY00390431_01","-47.29","-23.2603","Itu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00682078","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","G. T. Prance","25913","1978","01","30","South America","Brazil","São Paulo","Fazenda Sta. Eliza, Instituto Agronomico, Campinas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682078","NY00682078_01","-47.07","-22.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","03148574","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"H. C. de Lima","8456","2016","11","03","South America","Brazil","Rio de Janeiro","Tinguá, Represa de Macuco. Reserva Biológica do Tinguá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3395212' target='other'> <mi>dwc_moreinfo</mi></a>","NY03148574","NY03148574_01","-43.4377777","-22.5827778","Nova Iguaçu",NA,NA,"98","98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","376126","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","G. T. Prance","P23705","1976","02","02","South America","Brazil","Pará","Grounds of Museu Goeldi","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376126","NY00376126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","376123","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"Collector info in notes",NA,"1950","05","27","South America","Brazil","Rio de Janeiro","Cultivado no Jardim Botanico","sheet","Coll: Pessoal da Tecnologia <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376123","NY00376123_01","-43.2075004577637","-22.9027996063232","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","778059","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"Collector unspecified","s.n.","1978","05","23","South America","Brazil","Rio de Janeiro","Jardim Botânico - canteiro XXXIII - A","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778059","NY00778059_01","-43.2075004577637","-22.9027996063232","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1039187","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","J. M. A. Braga; J. A. Lira Neto","H. C. de Lima","4272A","1991","09","30","South America","Brazil","Rio de Janeiro","Estação Ecológica Estadual de Paraíso. Parcela 5A. Área 05A.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482154' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039187","NY01039187_01","-42.883","-22.483","Guapimirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","389948","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","S. A. Mori","22632","1992","10","17","South America","Brazil","Espírito Santo","Linhares. Forest Reserve. Companhia Vale do Rio Doce.","separate fruit","Fruits studied and collected in the nursery of the Linhares Forest Reserve and originally gathered from the reserve on 2 sep 1992 and numbered VS 230. See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389948","NY00389948_01","-40.68","-19.42","Linhares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","376124","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","S. A. Mori","22632","1992","10","17","South America","Brazil","Espírito Santo","Linhares. Forest Reserve. Companhia Vale do Rio Doce.","sheet","Fruits studied and collected in the nursery of the Linhares Forest Reserve and originally gathered from the reserve on 2 sep 1992 and numbered VS 230. See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376124","NY00376124_01","-40.68","-19.42","Linhares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","376117","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","T. S. dos Santos","2005","1971","09","30","South America","Brazil","Espírito Santo","Linhares Vale do rio Doce Km 6 da BR 101. ao lado Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376117","NY00376117_01","-40.68","-19.42","Linhares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","376120","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","J. Spada","43","1978","02","10","South America","Brazil","Espírito Santo","Res. Fl. Linhares, CVRD, talhao 507 a 100 m antes do refeitório","sheet","Collector is J.S. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376120","NY00376120_01","-40.68","-19.42","Linhares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","376125","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","J. G. Jardim","371","1994","03","18","South America","Brazil","Bahia","Fazenda situada W da sede do CEPEC","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376125","NY00376125_01","-39.27","-14.8","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-06-29 11:31:04-03","UFRJ","RFA","2764","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","M. Ribeiro",NA,NA,"1980","01",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,"RFA43402",NA,"-41.3244018554688","-21.7541999816895","Campos dos Goytacazes","62761","auto",NA,NA,"2016","07","14",NA,NA,NA,NA,NA,NA,NA
"42","2018-08-28 10:13:00-03","UNEMAT","TANG","1647","S","Plantae",NA,NA,"Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"Schivinn, TA; Soares, FN; Silva, CA","20","2010","10","25",NA,"Brasil","Mato Grosso","Fazenda Paraíso.",NA,"Árvore frondosa, tronco fistudado, flores tubulares amarelas.","TANG000001647",NA,"-57.4858016967773","-14.6194000244141","Tangará da Serra","175746","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:39:26-03","EAO","IAN","137528","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,"Angeli, C","274","1962","01","11","Southern America","Brasil","Rio de Janeiro","Avenida Edison Passos, proximo ao Jardim do Alto da Boa Vista.",NA,"Árvore megafanerofito de +/-20m. Corola branca, calice verde-claro. Fruto pixidio, pequeno, globoso, enrugado.","IAN137528",NA,NA,NA,"Guanabara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
