"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","day","county","locality","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","imagecode","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","relatedCatalogItem"
"11","2009-05-07 09:01:00-03","MO","MOBOT","100185466","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","M.S. Ferrucci & G.V. Somner","S.V.A. Pessoa","Pessoa 706","1994","5","South America","Brazil","Rio de Janeiro",NA,NA,NA,"25",NA,"Silva Jardim, Reserva Biológica de Poço das Antas., Regiao proxima a BR-101, área do aceiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"12","2020-09-12 05:00:02-03","US","US","1484381","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","Pennington, T. D., (K)","L. Riedel","25","1829","11","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Specimen numbered 25, possibly an error (type is Riedel 45).","US00778728",NA,NA,NA,NA,NA,NA,NA,"US00778728_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1","Possible syntype",NA
"13","2020-09-12 05:00:02-03","US","US","1484380","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","Pennington, T. D., (K)","L. Riedel","25","1829","11","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Specimen numbered 25, possibly an error (type is Riedel 45).","US00778729",NA,NA,NA,NA,NA,NA,NA,"US00778729_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1","Possible syntype",NA
"14","2019-09-04 18:37:08-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius",NA,NA,"J. B. E. Pohl","45","1829",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,"Type [status unknown]",NA
"15","2019-01-25 15:46:53-02","IAC","IAC","49018","S","Plantae",NA,NA,"Sapindaceae-4.Sapindoideae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","J.A.M.A. Gomes et al.","J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos; S. Santos & F.J. Benedetti","373","2007","05",NA,"Brasil","São Paulo",NA,"subparcela 3, indivíduo G 51",NA,"20","Ubatuba","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","-45.080223","-23.373498","2007",NA,NA,NA,"05","20",NA,NA,NA,"-45.080223","-23.373498",NA,NA,NA
"16","2020-01-27 18:26:10-03","IAC","IAC","56465","S","Plantae",NA,NA,"Sapindaceae-4.Sapindoideae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","A.C.O. Souza; L.C. Bernacci & R. Belinelo","A.C.O. Souza; L.C. Bernacci & R. Belinelo","127","2011","01",NA,"Brasil","São Paulo",NA,NA,NA,"18","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca","-45.109914","-23.360372","2011",NA,NA,NA,"01","18",NA,NA,NA,"-45.109914","-23.360372",NA,NA,NA
"17","2020-07-23 12:21:50-03","CEPLAC","CEPEC","122735","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius",NA,"Sem Informação","Martini, A.",NA,NA,NA,NA,"Brasil","Bahia",NA,"Individuo C 30.",NA,NA,"URUÇUCA","Estrada de Serra Grande para Itacaré. Área do inventário do plano manejo do Parque Estadual da Serra do Conduru. Mata da Área Explorada.","-39.115","-14.499722",NA,NA,NA,NA,NA,NA,"380","380",NA,"39W6'54","14S29'59",NA,NA,NA
"18","2020-07-23 12:21:50-03","CEPLAC","CEPEC","6262","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius",NA,"M. S. Ferrucci","T. S. dos Santos","1248","1970","10",NA,"Brasil","Bahia",NA,NA,NA,"31","IPIAÚ","Estrada a Jequié.","-39.7338981628418","-14.1372003555298",NA,"24789",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18/12/1985"
"19","2021-03-04 15:46:32-03","IF","SPSF","32582","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius",NA,NA,"F.C.Hoehne",NA,"1928","11","América do Sul","Brasil","PR",NA,"COLETA: XLS: SPSFAntigo;",NA,"02","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,"46557",NA,"auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"20","2017-09-11 17:13:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.",NA,"Lhotsky, J","Hb. DC.s.n.",NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"In silvis umbrosis.; HABITAT: In silvis umbrosis.",NA,NA,NA,"Prope R. de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:13:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.",NA,"Riedel, L","D.D.s.n.",NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Hb. Petrop.",NA,NA,NA,"Loco non indicato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2014-09-23 10:59:40-03","G","G","G00008476","S","Plantae",NA,NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","in Hb. G","Shotsky","1832",NA,NA,"AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00008476",NA,NA,NA,"-42.9125","-22.48222222",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-42.9125","-22.48222222",NA,"SYNTYPUS of Allophylus membranifolius Radlk.",NA
