"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber"
"11","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","ANG4136","S","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans",NA,"J.R. Stehmann","M.Valentina W.","33",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"1.4","1.4",NA,"Flor roxa. Altura 40 cm. UTM: 7765031 x; 607431 y.",NA,NA,"Nova Lima","-43.966944","-20.208611","43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","ANG4948","S","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans",NA,NA,"M.F.Vasconcelos","16-099",NA,NA,NA,NA,"Brasil","Minas Gerais","Alphaville - Lagoa dos Ingleses",NA,NA,NA,"Corola rosa arroxeada",NA,NA,"Nova Lima","-43.933333","-20.2","43°56' W","20°12' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","ANG4983","S","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans",NA,NA,"M.F.Vasconcelos","16-096",NA,NA,NA,NA,"Brasil","Minas Gerais","Alphaville - Lagoa dos Ingleses",NA,NA,NA,"Corola rosa-arroxeada",NA,NA,"Nova Lima","-43.933333","-20.2","43°56' W","20°12' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:49:51-03","EAO","IAN","130625","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann","Irwin, HS; Maxwell, HS","19587","1968","02","08","Southern America","Brasil","Minas Gerais","Grazed campo and cerrado, upland valley, Cerrado Itabirito, c. 45km S of B. Horizonte.","1500","1500",NA,NA,"IAN130625",NA,NA,NA,NA,NA,NA,"2015","09",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:49:51-03","EAO","IAN","93847","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Glaziou, AFM","17720",NA,NA,NA,NA,"Paris",NA,NA,NA,NA,NA,NA,"IAN093847",NA,NA,NA,NA,NA,NA,"2015","09",NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-02-10 11:45:49-02","BM","SOLANACEAE_SOURCE_BR","37645","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & J.Semir","Stehmann, J.R.","Claussen, P.","120","1842","01","01","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,"Pollen sample taken for BM(NH) collection","BM000941568",NA,NA,NA,NA,NA,NA,"2012","08","Dicotyledoneae","21",NA,NA,NA,NA,NA,NA
"17","2015-02-10 11:45:49-02","BM","SOLANACEAE_SOURCE_BR","47522","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & J.Semir","Stehmann, J.R.","Miers, J.","2483",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"BM000992200",NA,NA,NA,NA,NA,NA,"2012","08","Dicotyledoneae","21","type (unspecified)",NA,NA,NA,NA,NA
"18","2015-02-10 11:45:49-02","BM","SOLANACEAE_SOURCE_BR","37644","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & J.Semir","Stehmann, J.R.","Claussen, P.","333",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"BM000941567",NA,NA,NA,NA,NA,NA,"2012","08","Dicotyledoneae","21",NA,NA,NA,NA,NA,NA
"19","2015-02-10 11:45:49-02","BM","SOLANACEAE_SOURCE_BR","37646","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & J.Semir","Stehmann, J.R.","Sellow, F.","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,"Cor. tubo 5 lobes? [more information given but illegible]","BM000941569",NA,NA,NA,NA,NA,NA,"2012","08","Dicotyledoneae","21",NA,NA,NA,NA,NA,NA
"20","2015-02-10 11:45:49-02","BM","SOLANACEAE_SOURCE_BR","47523","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & J.Semir","Stehmann, J.R.","Sellow, F.","6813",NA,NA,NA,"Southern America","Brazil",NA,"Brasilia australiori",NA,NA,NA,NA,"BM000992201",NA,NA,NA,NA,NA,NA,"2012","08","Dicotyledoneae","21",NA,NA,NA,NA,NA,NA
"21","2015-02-10 11:45:52-02","BM","SOLANACEAE_SOURCE_BR","37647","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","elegans","Petunia elegans","Miers","Stehmann, J.R.","Claussen, P.","s.n.","1840","01","01","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"BM000941570",NA,NA,NA,NA,NA,NA,"1996","01","Dicotyledoneae","01",NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:19:53-03","ESALQ","ESA","61732","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans",NA,"Stehmann, J.R.","Barros, A.","112.0","1997","10","14",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA061732","ESA061732","Brumadinho","-44.1996994018555","-20.1432991027832",NA,NA,NA,NA,NA,NA,NA,"26639","auto",NA,NA,NA
"23","2020-11-04 11:19:53-03","ESALQ","ESA","26358","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans",NA,"Stehmann, J.R.","Sakuragui, C.M. et al.",NA,"1994","01","16",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA026358","ESA026358","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"1999",NA,NA,NA,NA,"17082","auto",NA,NA,NA
"24","2020-11-04 11:19:53-03","ESALQ","ESA","26407","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans",NA,"Stehmann, J.R.","Souza, J.P. et al.","228.0","1995","10","14",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA026407","ESA026407","Itabirito","-43.801399230957","-20.2532997131348",NA,NA,"1999",NA,NA,NA,NA,"20553","auto",NA,NA,NA
"25","2021-01-14 15:33:40-03","MN","R","11968","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","elegans","Petunia elegans","Miers","Stehmann, J.R.","Glaziou, A.F.M.","17720","1888","12","21",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Plantas do Brasil Central","R000011968","R000011968_001",NA,NA,NA,NA,NA,"1989","01",NA,"02",NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:33:40-03","MN","R","212409","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","ledifolia","Petunia ledifolia","Sendtn.",NA,"Glaziou, A.F.M.; Netto, L.S.M.; Rangel, E.S. & Schwacke, C.A.W.",NA,"1879","04","09",NA,"Brasil","Minas Gerais",NA,"1900","1900",NA,NA,"R000212409","R000212409_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2015-07-02 14:04:19-03","JBP","HPL","10049","S","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Senim","H. Lorenzi","H. Lorenzi","1813","1997","10","08",NA,"Brasil","PR","Coletado em area de campo, pouco comum.",NA,NA,NA,NA,NA,NA,"Jaguariaiva","-49.7058","-24.2511",NA,NA,"1997","10",NA,"08",NA,"44368","auto",NA,NA,NA
"28","2020-12-20 21:19:29-03","UFV","VIC","005225","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","elegans","Petunia elegans","J.Miers",NA,"Coons, M. .P.","77-367","1977","01","28",NA,"Brasil","Minas Gerais","Serra da Piedade",NA,NA,NA,"Sobre minerio de ferro ocasional.","VIC005225",NA,"Congonhas","-43.8577995300293","-20.4997005462646",NA,NA,NA,NA,NA,NA,NA,"16368","auto",NA,NA,NA
"29","2020-10-20 14:18:14-03","UFOPA","HSTM","10718","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, J.R.","Tovar, J.D.; Giacomin, L.L.","364","2018","02","28",NA,"Brasil","Minas Gerais","Margens da estrada que liga a BR-040 a Moeda, cerca de 1 Km da BR 040. Vegetação campestre, sob solo argiloso.","1500","1500",NA,NA,"HSTM010718","HSTM010718","Moeda","-43.958333","-20.273611","43º57'30''W","20º16'25''S","2018","02",NA,"28",NA,NA,NA,NA,NA,NA
"30","2019-11-21 14:46:04-03","UFJF","CESJ","1811","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","R.C. Almeida-Lafetá","L. Roth","s.n.","1956","03","18","América do Sul","Brasil","Minas Gerais","Serra do Curral - BR 3, Km 15",NA,NA,NA,"Herbácea à beira da estrada, flores branco-roxa. Do cerrado ou ruderal.","CESJ001811",NA,"Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"1999","05",NA,"06",NA,"17082","auto",NA,NA,NA
"31","2019-11-21 14:46:04-03","UFJF","CESJ","9661","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","R.C. Almeida-Lafetá","L. Krieger","CESJ9661","1970","12","19","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,"Erva, flores roxas-escuras.","CESJ009661",NA,"Itabirito","-43.801399230957","-20.2532997131348",NA,NA,"1999","05",NA,"06",NA,"20553","auto",NA,NA,NA
"32","2021-03-01 16:41:25-03","UNICAMP","UEC","071117","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Teixeira, WA","s.n.","1994","01","06",NA,"Brazil","Minas Gerais","Pico do Itabirito-Itabirito.",NA,NA,NA,"Flores lilases.; Coletada próximo ao viveiro de produção de mudas, MBR. Cerrado.","UEC058376","UEC058376",NA,NA,NA,NA,NA,"1996","12",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:41:25-03","UNICAMP","UEC","24700","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Gibbs, PE","4098","1977","01","02",NA,"Brazil","Minas Gerais","Barbacena road, ca. 10km south of the Ouro Preto Junction.",NA,NA,NA,"Corola purple; plant viscous.; Heavily disturbed cerrado vegetation.","UEC058379","UEC058379","Belo Horizonte","-43.966667","-19.866667","-43.966667","-19.866667","1996","12",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:41:25-03","UNICAMP","UEC","63237","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Wykrota, JLM; Costa, JMP","s.n.","1987","09","12",NA,"Brazil","Minas Gerais","Serra da Moeda.",NA,NA,NA,"Vegetação de canga.","UEC058380","UEC058380",NA,NA,NA,NA,NA,"1996","12",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-01 16:41:25-03","UNICAMP","UEC","79161","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Borba, EL","171","1995","12","31",NA,"Brazil","Minas Gerais","Jardim Canadá, no pé da Serra do Rola-moça.",NA,NA,NA,"Flores com tubo da corola internamente amarelo com anel arroxeado no ápice e limbo rosa escuro, corola externamente arroxeada.; Campo de canga","UEC058378","UEC058378","Belo Horizonte","-43.966667","-19.866667","-43.966667","-19.866667","1996","12",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-01 16:41:25-03","UNICAMP","UEC","79162","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Borba, EL","170","1995","12","31",NA,"Brazil","Minas Gerais","Jardim Canadá, no pé da Serra do Rola-moça.",NA,NA,NA,"Flores com tubo da corola internamente amarelo com anel arroxeado no ápice e limbo rosa escuro, corola externamente arroxeada.; Campo de canga.","UEC058374","UEC058374","Belo Horizonte","-43.966667","-19.866667","-43.966667","-19.866667","1996","12",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:41:25-03","UNICAMP","UEC","156184","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Stehmann, JR","1388","1994","01","09",NA,"Brazil","Minas Gerais","Próximo ao condomínio Retiro das Pedras","1450","1450",NA,"Subarbusto, formando uma touceira de ca. 50 cm de diâmetro, em campo spbre canga; flores com limbo magenta, tubo internamente amarelado.","UEC054544","UEC054544","Brumadinho","-44.1996994018555","-20.1432991027832",NA,NA,"1996","12",NA,NA,NA,"26639","auto",NA,NA,NA
"38","2021-03-01 16:41:25-03","UNICAMP","UEC","65967","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Stehmann, JR","1388","1994","01","09",NA,"Brazil","Minas Gerais","Próximo ao condomínio Retiro das Pedras","1450","1450",NA,"Subarbusto, formando uma touceira de ca. 50 cm de diâmetro, em campo spbre canga; flores com limbo magenta, tubo internamente amarelado.","UEC058373","UEC058373","Brumadinho","-44.1996994018555","-20.1432991027832",NA,NA,"1996","12",NA,NA,NA,"26639","auto",NA,NA,NA
"39","2021-03-01 16:41:25-03","UNICAMP","UEC","156183","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir",NA,"Stehmann, JR","1429","1994","02","14",NA,"Brazil","Minas Gerais","Retiro das Pedras","1450","1450",NA,"Erva, em campo sobre canga; flores com corola magenta, internamente violeta-claro; anteras amarelas.","UEC054545","UEC054545","Brumadinho","-44.1996994018555","-20.1432991027832",NA,NA,NA,NA,NA,NA,NA,"26639","auto",NA,NA,NA
"40","2021-03-01 16:41:25-03","UNICAMP","UEC","65963","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir",NA,"Stehmann, JR","1429","1994","02","14",NA,"Brazil","Minas Gerais","Retiro das Pedras","1450","1450",NA,"Erva, em campo sobre canga; flores com corola magenta, internamente violeta-claro; anteras amarelas.","UEC058377","UEC058377","Brumadinho","-44.1996994018555","-20.1432991027832",NA,NA,NA,NA,NA,NA,NA,"26639","auto",NA,NA,NA
"41","2021-03-01 16:41:25-03","UNICAMP","UEC","89159","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Semir, J; Stehmann, JR","31635","1994","05","10",NA,"Brazil","Minas Gerais","Retiro das pedras. Serra da Moeda.",NA,NA,NA,"Subarbusto, com base decumbente, flores magenta.","UEC058371","UEC058371","Brumadinho","-44.1996994018555","-20.1432991027832",NA,NA,"1997","08",NA,NA,NA,"26639","auto",NA,NA,NA
"42","2021-03-01 16:41:25-03","UNICAMP","UEC","80647","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Stehmann, JR","2182","1995","10","12",NA,"Brazil","Minas Gerais","Morro do Chapéu.",NA,NA,NA,"Subarbusto, flores magenta.","UEC047800","UEC047800","Nova Lima","-43.8466987609863","-19.9855995178223",NA,NA,"2019","07",NA,"10",NA,"29211","auto",NA,NA,NA
"43","2021-03-01 16:41:25-03","UNICAMP","UEC","64422","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Stehmann, JR","1160","1993","10","11",NA,"Brazil","Minas Gerais","Retiro das pedras.","1500","1500",NA,"Subarbusto, ereto ou decumbente, com ramos ascendentes; flores com limbo magenta a rosado; anteras amarelas.; Em campo sobre canga.","UEC058375","UEC058375","Nova Lima","-43.8466987609863","-19.9855995178223",NA,NA,"1996","12",NA,NA,NA,"29211","auto",NA,NA,NA
"44","2021-03-01 16:41:25-03","UNICAMP","UEC","069847","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, JR","Stehmann, JR","1160","1993","10","11",NA,"Brazil","Minas Gerais","Retiro das pedras.","1500","1500",NA,"Subarbusto, ereto ou decumbente, com ramos ascendentes; flores com limbo magenta a rosado; anteras amarelas.; Em campo sobre canga.","UEC058382","UEC058382","Nova Lima","-43.8466987609863","-19.9855995178223",NA,NA,"1996","12",NA,NA,NA,"29211","auto",NA,NA,NA
"45","2019-11-06 09:57:40-03","UFOP","OUPR","25691","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, J.R.","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Perto do Pico de Itabira do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998","06",NA,"03",NA,NA,NA,NA,NA,NA
"46","2019-11-06 09:57:40-03","UFOP","OUPR","25692","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, J.R.","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Perto do Pico de Itabira do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998","06",NA,"03",NA,NA,NA,NA,NA,NA
"47","2019-11-06 09:57:40-03","UFOP","OUPR","25693","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Stehmann, J.R.","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Perto do Pico de Itabira do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998","06",NA,"03",NA,NA,NA,NA,NA,NA
"48","2020-12-04 13:19:44-03","UDESC","LUSC","4126","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir","Kniess, D.","Kniess, D.",NA,"2009","10","31",NA,"Brasil","Santa Catarina","Santa Rosa.",NA,NA,NA,NA,"LUSC082314",NA,"Otacílio Costa","-50.121898651123","-27.4831008911133",NA,NA,NA,NA,NA,NA,NA,"48988","auto",NA,NA,NA
"49","2014-10-14 15:57:05-03","BS","M","M-0172175","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,"In campis. Brasilia Provinc. St. Pauli",NA,NA,NA,NA,"M0172175",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,"NOTATYPE",NA,NA,NA,NA,NA
"50","2014-10-14 15:57:05-03","BS","M","M-0172176","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,"In campis. Brasilia Provinc. St. Pauli",NA,NA,NA,NA,"M0172176",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,"NOTATYPE",NA,NA,NA,NA,NA
"51","2014-10-14 15:57:05-03","BS","M","M-0172177","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir",NA,"Clausen, P.C.D.",NA,NA,NA,NA,NA,"Brasil",NA,"Brésil, Minas",NA,NA,NA,NA,"M0172177",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,"NOTATYPE",NA,NA,NA,NA,NA
"52","2014-10-14 15:57:05-03","BS","M","M-0172178","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","elegans","Calibrachoa elegans","(Miers) Stehmann & Semir",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,"Habitat in campis; Provinciae S. Pauli",NA,NA,NA,NA,"M0172178",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,"NOTATYPE",NA,NA,NA,NA,NA
