"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean"
"11","2020-10-15 09:54:00-03","UFPR","EFC","14044","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Mancinelli, W.S.; Smidt, E.C.","2008","12","25","Blum, C.T.; Michelotti, J.","2008","12","20","Brasil","Paraná","Morretes","Serra da Prata","-48.6987","-25.614",NA,"Epífita a 1 m, aos 600 m.s.n.m. Flores branco-róseas.","EFC014044",NA,"439","-48.6987","-25.6140","600","600",NA,NA
"12","2021-03-25 13:53:06-03","UNIVILLE","JOI","8944","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pseudoeurystyles","lorenzii","Pseudoeurystyles lorenzii","(Cogn.) Hoehne","Mancinelli, W. S.","2007","11","28","Mancinelli, W.S.","2007","11","28","Brasil","Santa Catarina","Joinville","Morro da Tromba.","-48.8456001281738","-26.3043994903564","37150","; HABITO: Epífita; TIPO VEGETACIONAL: Floresta Ombrófila Densa Montana","JOI008944","auto","810",NA,NA,"600","600",NA,NA
"13","2020-11-04 17:30:10-03","UEM","HUEM","33259","S","Plantae",NA,NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Costa, AC","2018","03",NA,"Costa, AC","2017","12","15","Brasil","Paraná","Pinhão","Distrito de Faxinal do Céu.","-51.595429","-25.89711",NA,NA,"HUEM000016948",NA,"70","-51.595429","-25.89711",NA,NA,"HUEM000016948",NA
"14","2020-11-12 16:58:07-03","UEL","FUEL","52847","PreservedSpecimen","Plantae","Tracheophyta",NA,"Asparagales","Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Molina, JMP","2013","11",NA,"Molina, JMP","2013","11","16","Brasil","Paraná","Londrina","Parque Estadual Mata dos Godoy","-51.1627998352051","-23.3103008270264","63728",NA,NA,"auto","98",NA,NA,NA,NA,NA,NA
"15","2020-11-12 16:58:07-03","UEL","FUEL","9686","PreservedSpecimen","Plantae","Tracheophyta",NA,"Asparagales","Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Mancinelli, WS","2009","10","07","Francisco das Chagas e Silva; et al.","1985","09","18","Brasil","Paraná","Londrina","Parque Estadual Mata dos Godoy","-51.1627998352051","-23.3103008270264","63728",NA,NA,"auto","877",NA,NA,NA,NA,NA,NA
"16","2020-08-20 14:54:45-03","UFSC","FLOR","1549","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Pabst, G.","2011","11","17","Klein, R.M.; Bresolin, A.","1967","07","27","Brasil","Santa Catarina","Florianópolis","Morro da Quebrada, Tapera, ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","27000","epífita, flor branca","FLOR0001549","auto","7526",NA,NA,"300","300",NA,NA
"17","2017-09-11 17:12:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Stenoptera","lorenzii","Stenoptera lorenzii","Cogn.",NA,NA,NA,NA,"Brocker, A",NA,NA,NA,"?",NA,NA,"et ad Velha-Kale",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:12:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Stenoptera","lorenzii","Stenoptera lorenzii","Cogn.",NA,NA,NA,NA,"Müller, FJ",NA,NA,NA,"?",NA,NA,"et ad Velha-Kale",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:12:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Stenoptera","lorenzii","Stenoptera lorenzii","Cogn.",NA,NA,NA,NA,"Lorenz, F",NA,NA,NA,"Brazil","Santa Catarina","Blumenau","ad Blumenau prov. S. Catharina","-49.07","-26.92",NA,"supra caules, Anthurii in sylvis; HABITAT: supra caules, Anthurii in sylvis",NA,NA,"s.n.","-49.07","-26.92",NA,NA,NA,"Southern America"
"20","2021-02-08 12:52:15-03","UFRGS","ICN","015185","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Eurystyles","lorenzi","Eurystyles lorenzi","(Cogn.) Schltr.","Canísio, P",NA,NA,NA,"Dutra, J","1936","09",NA,"Brasil","RS","São Leopoldo","Quilombo","-51.1472015380859","-29.7602996826172","10287",NA,"ICN00039909","auto","1185",NA,NA,NA,NA,NA,"América do Sul"
"21","2019-11-21 10:13:47-03","IBt","SP","50509","S","Plantae",NA,NA,NA,"Orchidaceae","Pseudoeurystyles","lorenzii","Pseudoeurystyles lorenzii","(Cogn.) Hoehne","Hoehne, FC",NA,NA,NA,"Orth, C","1936","09","09","Brasil","Rio Grande do Sul","São Leopoldo","Quilombo","-51.1472015380859","-29.7602996826172","10287",NA,NA,"auto","s.n.",NA,NA,NA,NA,NA,NA
