"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class"
"22","2021-03-24 17:19:21-03","UFMA","MAR","8454","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"ALMEIDA JR., E. B.","835","2007","07","14",NA,"Brasil","Pernambuco","Barreiros","Mata do Duval","-35.145028","-8.81075",NA,"Árvore com ~ 15m de alt.; látex presente, branco em floração e com floração passada, botão ferrugíneo; na borda da margem",NA,NA,NA,NA,NA,NA,NA,"35º08'42.1W","08º48'38.7S",NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","3430820","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Ghillean T. Prance|Nilo T. Silva","Prance 59400","1964","10","14","South America","Brazil","Mato Grosso",NA,"Serra do Roncador. Road Chavantina to Barra do Garcas, 55 km north of Barra do Garcas. Forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-08-31 08:54:33-03","INPA","INPA","15591","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Leal, CG","s.n.","1950","07","19","Southern America","Brasil","Pernambuco",NA,"Aldeia",NA,NA,NA,NA,"INPA0015591","INPA0015591 INPA0015591_e INPA0015591_e1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-08-31 08:54:33-03","INPA","INPA","91564","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","Llanos, F","Ducke, A","980","1952","10","15","Southern America","Brasil","Pernambuco",NA,"Aldeia, Margem do inicio da estrada Aldeia.","-35.466667","-8.083333",NA,NA,"INPA0091564","INPA0091564 INPA0091564_e INPA0091564_e1",NA,NA,"1980",NA,NA,"-35.466667","-8.083333",NA,NA,NA
"26","2021-03-01 11:52:06-03","UFPE","UFP","63284","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke.","Alves-Araújo, A","Alves-Araújo, A; Alves, M","693","2007","12","20",NA,"Brasil","Rio Grande do Norte","Tibau do Sul",NA,"-35.0918998718262","-6.18666982650757",NA,"Árvore 6m alt., frutos verdes. Látex alvo.; Restinga/Tabuleiros.","UFP063284",NA,"13790","auto","2009","02","04",NA,NA,NA,NA,NA
"27","2021-03-01 11:52:06-03","UFPE","UFP","132","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke.",NA,"Lima, A","52980","1952","02","15",NA,"Brasil","Pernambuco","Aldeia",NA,NA,NA,NA,"Árvore pequena. Frutos.","UFP000132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 11:52:06-03","UFPE","UFP","64513","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke.","Araújo, AA","Gomes, JS; Chagas, MA","291","2008","12","18",NA,"Brasil","Pernambuco","Igarassu",NA,"-35.003056","-7.848611",NA,"Árvore na bosda da mata, com flores.; Mata Atlântica.","UFP064513",NA,NA,NA,"2002","08",NA,"-35.003056","-7.848611","113","113",NA
"29","2021-03-01 11:52:06-03","UFPE","UFP","69149","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke.","Araújo, AA","Gomes, JS; Chagas, MA","291","2008","12","18",NA,"Brasil","Pernambuco","Igarassu",NA,"-34.989167","-7.848611",NA,"Árvore na borda da mata com flores.; Mata Atlântica.","UFP069149",NA,NA,NA,"2009","08",NA,"-34.989167","-7.848611","113","113",NA
"30","2021-03-01 11:52:06-03","UFPE","UFP","66263","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke.",NA,"Alves-Araújo, A; Pontes, T","1047","2008","09","03",NA,"Brasil","Pernambuco","Igarassu",NA,"-34.9063987731934","-7.83416986465454",NA,"Árvore com cerca de 15-20m de altura;folhas discolores;botões florais verde-amarelados.Látex abundante.","UFP066263",NA,"24709","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 11:52:06-03","UFPE","UFP","63367","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke.",NA,"Araujo, AA; Pontes, T","1047","2008","09","03",NA,"Brasil","Pernambuco","Igarassu",NA,"-34.9063987731934","-7.83416986465454",NA,"Árvore 15-20 m de altura, folhas discolores, botões florais verde-amarelados. Látex abundante.; Mata Atlântica. Mata da Zambana, borda gasoduto.","UFP063367",NA,"24709","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 11:52:06-03","UFPE","UFP","32206","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke.",NA,"Lucena, MFA; Araújo, A; Araújo, JE","956","2002","03","02",NA,"Brasil","Pernambuco","Paulista",NA,"-34.8731002807617","-7.94083023071289",NA,"Árvore ca. 12 m de altura ramos latecentes, folhas coriáceas, discolores; botões florais ferrugúneos gneceu creme esverdeados.; Vegetação arbórea densa. Solo areno-argiloso rico em serrapilheira. Borda e interior da mata.","UFP032206",NA,"17375","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-07-31 14:33:23-03","CPATSA","HTSA","4899","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Popovkin, A.V.","384","2008","09","26",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlan, Restinga-type forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.090556","-12.038333",NA,"Tree 6 m high. Sepals ferruginous and petals white. Photo.",NA,NA,NA,NA,NA,NA,NA,"-38.090556","-12.038333",NA,NA,NA
"34","2019-10-07 09:12:56-03","UEFS","HUEFS","143041","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Popovkin, A.V.","21","2007","05","26",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-37.95","-12.883333",NA,NA,"HUEFS0143041","HUEFS0143041",NA,NA,NA,NA,NA,"37W57'","12S53'","153","153","Asteranae"
"35","2019-10-07 09:12:56-03","UEFS","HUEFS","146000","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Popovkin, A.V.","384","2008","09","26",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.048611","-12.017778",NA,NA,"HUEFS0146000","HUEFS0146000",NA,NA,NA,NA,NA,"38W2'55''","12S1'4''",NA,NA,"Asteranae"
"36","2019-10-07 09:12:56-03","UEFS","HUEFS","208263","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Popovkin, A.V.","1759",NA,NA,NA,NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro, ca. 15 km southeast of Entre Rios.","-38.033333","-12.016667",NA,NA,"HUEFS0208263","HUEFS0208263",NA,NA,NA,NA,NA,"38W2'0''","12S1'","150","150","Asteranae"
"37","2020-02-20 13:52:44-03","UEFS","HUEFS","254473","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Bomfim, A.L.","5","2018","01","31",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio Negro, Borda de Mata","-37.898333","-12.254722",NA,NA,"HUEFS0254473",NA,NA,NA,NA,NA,NA,"37W53'54''","12S15'17''",NA,NA,"Asteranae"
"38","2020-02-20 13:52:44-03","UEFS","HUEFS","254474","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Bomfim, A.L.","6","2018","01","31",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio Negro","-37.898333","-12.254722",NA,NA,"HUEFS0254474",NA,NA,NA,NA,NA,NA,"37W53'54''","12S15'17''",NA,NA,"Asteranae"
"39","2020-02-20 13:52:44-03","UEFS","HUEFS","254477","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Bomfim, A.L.","9","2018","01","31",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio Negro, Borda de Mata","-37.898333","-12.254722",NA,NA,"HUEFS0254477",NA,NA,NA,NA,NA,NA,"37W53'54''","12S15'17''",NA,NA,"Asteranae"
"40","2019-10-07 09:12:56-03","UEFS","HUEFS","160073","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Carvalho-Sobrinho, J.G.de","2696","2010","02","27",NA,"Brasil","Bahia","Entre Rios","Fazenda Boa Vista 1.","-38.084400177002","-11.9419002532959",NA,"Mata ombrófila densa secundária. Solo arenoso.","HUEFS0160073","HUEFS0160073","52418","auto",NA,NA,NA,NA,NA,NA,NA,"Asteranae"
"41","2020-11-12 16:59:11-03","UEL","FUEL","53203","PreservedSpecimen","Plantae","Tracheophyta","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Popovkin, AV; Cardoso, D","21","2007","05","26",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro, 15km southeast of Entre Rios","-37.95","-12.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-37.95","-12.883333","153","153",NA
