"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","4134939","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","J. M. Schunke-Vigo","4992","1971","09","06","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457593' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134939","Magnoliophyta","Piperales","Vahl",NA,"San Martín","Mariscal Cáceres","A orilla del río Mishollo, (Márgen derecha del río Huallaga)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","555641","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","R. Callejas Posada","9303","1990","03","02","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555641","Magnoliophyta","Piperales","Vahl","R. Callejas Posada","Antioquia","Puerto Berrío","Vereda Alicante, 1 km S de finca Penjambo, en la via de San Juan de Bedout-La Cabaña","-74.55","6.65","NY00555641_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4135005","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","G. Davidse","18366","1980","06","21","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457659' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135005","Magnoliophyta","Piperales","Vahl",NA,"Zulia","Perijá","2½ airline km SW of Los Angeles de Tucuco at Quebrada Cosira. Forest along caño, partially degraded","-72.82","9.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4135008","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","R. L. Liesner","13161","1982","03","24","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457662' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135008","Magnoliophyta","Piperales","Vahl",NA,"Zulia",NA,"Ca 55 southwest of Machiques by air. Aricuaisa (Ariguaisa) - pie de Monte on Río Aricuaisa (Ariguaisa)","-72.9","9.6",NA,"100","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4134886","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","J. Jaramillo","3576","1980","08","16","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457540' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134886","Magnoliophyta","Piperales","Vahl",NA,"Pastaza",NA,"Centro-Oriente, Tzapino - colección en pica a Dayono, suelo lateritico rojo y capa de humus delgada",NA,NA,"NY04134886_01","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4134873","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","M. Tirado","140","1993","08","04","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457527' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134873","Magnoliophyta","Piperales","Vahl",NA,"Pastaza","Pastaza","Parroquia Curaray. Pozo Petrolero Villano 2 de ARCO. Entre los ríos Iquino y Villano","-77.45","-1.48","NY04134873_01","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","4135011","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","G. Davidse","16613","1979","04","04","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457665' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135011","Magnoliophyta","Piperales","Vahl",NA,"Delta Amacuro","Tucupita","mountain area ca. 13 km by road ESE of the town of Sierra Imata.","-62.38","8.38",NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01806202","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","W. W. Thomas","14145","2004","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=827852' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806202","Magnoliophyta","Piperales","Vahl","A. J. Bornstein","Bahia","Almadina","Serra Corcovado, 9.8 km SW of Coarci on road to Almadina, then N into Fazenda São José.","-39.6033333","-14.7058333","NY01806202_01","650","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","4134965","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","H. S. Irwin","54757","1963","08","13","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457619' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134965","Magnoliophyta","Piperales","Vahl",NA,NA,NA,"Wilhelmina Gebergte. Upper slopes and summit, Juliana Top, 15 km north of Lucie Rivier.",NA,NA,NA,"1236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","4135028","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","J. A. Steyermark","105619","1972","03","22","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457682' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135028","Magnoliophyta","Piperales","Vahl",NA,"Zulia",NA,"Sierra de Perijá: Bosque húmedo a lo largo de la quebrada del Río Omira-kuná (Tumuriasa), cerca de la frontera Colombo-Venezolana suroeste de Pishikakao e Iría",NA,NA,NA,"1440","1460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00957129","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","E. P. Heringer","10743","1965","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957129","Magnoliophyta","Piperales","Vahl","M. Carvalho-Silva","Distrito Federal","Brasília","Saia Velha.","-47.9294","-15.7797","NY00957129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","4135035","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale glanduligerum","R. L. Liesner","12785","1982","03","15","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457696' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135035","Magnoliophyta","Piperales","(C.DC.) Steyerm.",NA,"Portuguesa",NA,"50 km west north west of Guanare by air. 15-17 km north of Chabasquén","-69.92","9.47",NA,"1300","1500","glanduligerum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-29 14:30:00-03","NY","NYBG","251075","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale hirtinervulum","K. von Sneidern","5174","1945","11","21","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251075","Magnoliophyta","Piperales","Yunck.",NA,"Caldas",NA,"Santa Cecilia. Cordillera Occidental. Vertiente Occidental",NA,NA,"NY00251075_01","800","800","hirtinervulum","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","4135036","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale glanduligerum","G. Davidse","22351","1982","11","15","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457697' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135036","Magnoliophyta","Piperales","(C.DC.) Steyerm.",NA,"Táchira","Junín","Quebrada Agua Blanca, near La Rochela, along Delicias-Rubio Highway","-72.43","7.58",NA,"1850","2000","glanduligerum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00957131","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","B. D. Sucre","425","1965","05","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957131","Magnoliophyta","Piperales","Vahl","M. Carvalho-Silva","Distrito Federal","Brasília","Terrenos do Country Club. Limita com o Catetinho.","-47.9815442","-15.94581","NY00957131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01421089","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","I. L. do Amaral","1492","1984","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1662942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01421089","Magnoliophyta","Piperales","Vahl","R. Callejas Posada","Amazonas","Barcelos","0-3 km N do km 211 da estrada Perimetral Norte, encosta do Pico Rondon","-62.8","1.53","NY01421089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","4134993","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","R. L. Liesner","24497","1988","05","11","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457647' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134993","Magnoliophyta","Piperales","Vahl",NA,"Bolívar","Gran Sabana","5 km south of San Ignacio de Yuruaní.","-61.17","4.98",NA,"850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","4135038","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale glanduligerum","G. S. Bunting","12143","1982","11","10","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457699' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135038","Magnoliophyta","Piperales","(C.DC.) Steyerm.",NA,"Zulia","Mara","alrededores del Puesto El Bosque de la Guardia Nacional","-72.67","10.7931",NA,"1450","1600","glanduligerum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01398100","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","M. R. dos Santos","522","1978","12","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1662937' target='other'> <mi>dwc_moreinfo</mi></a>","NY01398100","Magnoliophyta","Piperales","Vahl","N. A. Rosa","Pará","Almeirim","Monte Dourado. Estrada Sul de Pacanari.","-52.575914","-0.763642","NY01398100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","4134994","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","L. J. Dorr","4758","1988","04","17","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457648' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134994","Magnoliophyta","Piperales","Vahl",NA,"Barinas","Pedraza","Trail from Mesa de Canagua (ca. 8°32'N; 70°39'W) to Alto de La Aguada (ca. 8°37'N; 70°40'W); ca. 23 km NW of Curbati","-70.658","8.575",NA,"800","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","4134962","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","H. S. Irwin","54719","1963","08","13","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457616' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134962","Magnoliophyta","Piperales","Vahl",NA,NA,NA,"Wilhelmina Gebergte. Locally common on forested middle and upper slopes of Juliana Top, 14 km north of Lucie Rivier.",NA,NA,NA,"600","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","4134956","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","A. H. Gentry","37949","1982","07","25","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457610' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134956","Magnoliophyta","Piperales","Vahl",NA,"Loreto","Maynas","Yanomono, Explorama Tourist Camp, Río Amazonas, halfway between Indian & mouth of Río Napo","-72.8","-3.47",NA,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00957128","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","E. P. Heringer","10743","1965","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957128","Magnoliophyta","Piperales","Vahl","M. Carvalho-Silva","Distrito Federal","Brasília","Saia Velha.","-47.9294","-15.7797","NY00957128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","4134991","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","G. T. Prance","28172","1983","05","19","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457645' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134991","Magnoliophyta","Piperales","Vahl",NA,"Aragua",NA,"Rancho Grande, vicinity of Field Station",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00957127","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","W. R. Anderson","6363","1973","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957127","Magnoliophyta","Piperales","Vahl","M. Carvalho-Silva","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 1 km E of Alto Paraíso on road to Nova Roma","-47.5103","-14.1103","NY00957127_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","4135018","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","L. Marcano-Berti","279981278-981","1981","07","07","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457672' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135018","Magnoliophyta","Piperales","Vahl",NA,"Barinas",NA,"Trocha Barinitas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00934766","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","M. Carvalho-Silva","26","2000","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934766","Magnoliophyta","Piperales","Vahl","M. Carvalho-Silva","Distrito Federal","Brasília","Próximo a Sementes Básicas, Fazenda Sucupira. Córrego do Açudinho","-47.9294","-15.7797","NY00934766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","4135031","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","R. L. Liesner","11862","1981","05","06","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457685' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135031","Magnoliophyta","Piperales","Vahl",NA,"Táchira",NA,"Cerro Las Minas, 18 km SE of Santa Ana. Pasture with forest along steep slopes leading to Cerro Azul of Cerro Las Minas","-72.22","7.6",NA,"1200","1380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01421088","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","J. J. Pipoly","6888","1984","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1662940' target='other'> <mi>dwc_moreinfo</mi></a>","NY01421088","Magnoliophyta","Piperales","Vahl","N. A. Rosa","Amazonas",NA,"Pico Rondon; 0-3 km N of km 211 of Perimetral N Hwy; S facing slope","-62.8","1.53","NY01421088_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","4134883","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","P. J. Grubb","1536","1960","08","30","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457537' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134883","Magnoliophyta","Piperales","Vahl",NA,NA,NA,"Shinguipino, Rain forest; between Rios Napo and Tena, 8 km. S.E. of Tena",NA,NA,"NY04134883_01","442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","4134989","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","G. S. Bunting","12561","1982","11","19","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457643' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134989","Magnoliophyta","Piperales","Vahl",NA,"Zulia","Mara","cuenca del río Guasare, alrededores, del Destacamento Guasare N° 1 (La Yolanda), en las laderas del cerro ca. 5 km. al SSE del Destacamento, entre el caño Indio y la fila arriba de su orilla izquierda, en bosque húmedo original","-72.4917","10.8694",NA,"350","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","4135003","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","R. L. Liesner","9411","1980","03","12","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457657' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135003","Magnoliophyta","Piperales","Vahl",NA,"Barinas",NA,"along Rio Caparo. 2-4 km up river from dam site","-71.47","7.68",NA,"100","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","4135012","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","R. L. Liesner","8171","1979","06","27","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457666' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135012","Magnoliophyta","Piperales","Vahl",NA,NA,NA,"Disputed area between Estado Lara and Estado Falcón. Cerro Cerró (western part)",NA,NA,NA,"1800","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
