"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","locality","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","recordNumber","day","imagecode","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","typeStatus","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","763778","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"A. F. M. Glaziou","1876","10","Brazil","Rio de Janeiro",NA,"-43.207919","-22.973835",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763778","Lagoa de Freitas","South America","sheet",NA,"Magnoliophyta","Poales",NA,"9057","13","NY00763778_01",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","763784","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"P. K. H. Dusén","1909","03","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763784","Serra do Mar: Roç Nova","South America","sheet",NA,"Magnoliophyta","Poales",NA,"7910","18","NY00763784_01",NA,NA,NA,NA,NA,NA,NA
"13","2016-09-27 08:29:00-03","NY","NYBG","763787","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli",NA,"L. R. Parodi",NA,NA,NA,"M. M. Job","1936",NA,"Argentina","Santa Fé",NA,NA,NA,NA,NA,NA,NA,"I-II-1936 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763787","Camino de Reconquista a Nicanor Molinas","South America","sheet",NA,NA,"Poales",NA,"839",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","763777","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.","S. A. Renvoize",NA,NA,NA,"J. P. P. Carauta","1972","03","Brazil","Rio de Janeiro","Paratí","-44.7131","-23.2181",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763777","Serra de Parati","South America","sheet",NA,"Magnoliophyta","Poales",NA,"1487","05","NY00763777_01",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1697780","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"H. H. Rusby","1921","11","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032721' target='other'> <mi>dwc_moreinfo</mi></a>","NY01697780","Pampas near Lake Rogagua.","South America","sheet",NA,"Magnoliophyta","Poales",NA,"s.n.","04","NY01697780_01",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","763776","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.","S. A. Renvoize",NA,NA,NA,"J. P. P. Carauta","1972","03","Brazil","Rio de Janeiro","Paratí","-44.7131","-23.2181",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763776","Serra de Parati","South America","sheet",NA,"Magnoliophyta","Poales",NA,"1487","05","NY00763776_01",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","763782","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"W. D. Clayton","1965","02","Brazil","São Paulo","Rancharia","-50.92","-22.53",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763782","½ km S of Agissê","South America","sheet",NA,"Magnoliophyta","Poales",NA,"4598","09","NY00763782_01",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","763779","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"W. D. Clayton","1965","02","Brazil","São Paulo","Iguape","-47.5497","-24.7003",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763779","20 km N of city of Iguape on Miracatu road","South America","sheet",NA,"Magnoliophyta","Poales",NA,"4766","19","NY00763779_01",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00862259","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"W. D. Clayton","1965","02","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862259","Universidade de Brasília.","South America","sheet",NA,"Magnoliophyta","Poales",NA,"4833","24","NY00862259_01",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","763781","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.","G. Davidse",NA,NA,NA,"T. S. d. Silva","1974","04","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763781","Parque Estadual das Fontes do Ipiranga","South America","sheet",NA,"Magnoliophyta","Poales",NA,"199","23","NY00763781_01",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","763785","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"W. D. Clayton","1965","01","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763785","Estrela","South America","sheet",NA,"Magnoliophyta","Poales",NA,"4422","28","NY00763785_01",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","763780","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.","G. Davidse",NA,NA,NA,"G. Davidse","1976","03","Brazil","São Paulo",NA,NA,NA,NA,NA,"680","680","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763780","Ca. 38 km SW of Jacupiranga along Highway 116 to Curitiba","South America","sheet",NA,"Magnoliophyta","Poales",NA,"10953","08","NY00763780_01",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","763786","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.","G. Davidse",NA,NA,NA,"G. Davidse","1976","03","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"620","620","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763786","11 km SE of Sarandi along Highway BR-386 to Carazinho","South America","sheet",NA,"Magnoliophyta","Poales",NA,"11171","12","NY00763786_01",NA,NA,NA,NA,NA,NA,NA
"24","2016-09-27 08:29:00-03","NY","NYBG","763788","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli",NA,NA,NA,NA,NA,"H. K. Svenson","1941","03","Ecuador","Santa Elena",NA,"-80.72","-2.3",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763788","S. of Engabao","South America","sheet",NA,NA,"Poales",NA,"11031","22",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","764051","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli frumentacea","(Link) W.Wight",NA,NA,NA,NA,"G. P. Viegas","1938","10","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764051","Fazenda Santa Elisa. Campinas","South America","sheet",NA,"Magnoliophyta","Poales","frumentacea","s.n.","05","NY00764051_01",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","763813","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli mitis","(Pursh) Peterm.","J. R. Swallen",NA,NA,NA,"J. da Costa Sacco","1955","05","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763813","I.A.S. - Pelotas","South America","sheet",NA,"Magnoliophyta","Poales","mitis","390","04","NY00763813_01",NA,NA,NA,NA,NA,NA,NA
"27","2021-02-08 11:09:51-03","UNESP-IBB","BOTU","28685","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Welker, C.","2012","05",NA,"Gonzatti, F.","2012","03","Brasil","Rio Grande do Sul","Capivari do Sul","-50.4","-30.15","50°24'W","30°09'S",NA,NA,NA,"BOTU028685","Rancho Velho - Rodovia para Balneário Pinhal, beira de estrada.",NA,NA,NA,NA,NA,NA,"459","16",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-18 09:30:27-03","UNESP-IBB","BOTU","5700","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Boldrini, I.","1998","03","20","Mira, L.R.","1974","10","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,NA,"BOTU005700","Sítio São Luíz ( próximo à Estação de Belveder), 6 km ao Norte de Botucatu.",NA,NA,NA,NA,NA,NA,"40","27",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-18 09:30:27-03","UNESP-IBB","BOTU","17260","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Swallen, J.R.","1955","04","05","Sacco, J.C.","1955","04","Brasil","Rio Grande do Sul","Pelotas",NA,NA,"9999","9999",NA,NA,NA,"BOTU017260","Instituto Agronômico do Sul.",NA,NA,NA,NA,NA,NA,"389","05",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-18 09:30:27-03","UNESP-IBB","BOTU","17261","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Swallen, J.R.","1956","03","31","Sacco, J.C.","1956","03","Brasil","Rio Grande do Sul","Pelotas",NA,NA,"9999","9999",NA,NA,NA,"BOTU017261","Terreno úmido.",NA,NA,NA,NA,NA,NA,"469","31",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-18 09:30:27-03","UNESP-IBB","BOTU","17258","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Barreto, I.L.","1955","03","01","Sacco, J.C.","1955","03","Brasil","Rio Grande do Sul","Pelotas",NA,NA,"9999","9999",NA,NA,NA,"BOTU017258","Instituto Agronômico do Sul.",NA,NA,NA,NA,NA,NA,"272 A","01",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-01-06 11:42:43-03","UFPI-MRV","HDELTA","15","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P. Beauv","Costa, M. C. A.","2011","09","28","Costa, M. C. A.","2010","05","Brasil","Piauí","Ilha Grande","-41.8213996887207","-2.8583300113678",NA,NA,NA,NA,"Erva de 1,0 m. <ll>dwc_commonname:</ll> Capim de arroz","HDELTA000015","Parelha",NA,NA,NA,NA,NA,NA,NA,"26",NA,"13228","auto",NA,NA,NA,NA,NA
"33","2020-06-29 11:32:01-03","UFRJ","RFA","20744","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","A.Gille",NA,NA,NA,"S.A.Cain","1948","08","E.U.A.",NA,"E.U.A.",NA,NA,NA,NA,NA,NA,NA,"RFA30789","Black River, Part Hurau, St. Clair Co.",NA,NA,NA,NA,NA,NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-13 09:20:40-03","UFRJ","RFA","9150","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","W.C. Clayton","1967",NA,NA,"G.G. Hatschbach","1966","01","Brasil","Paraná","Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"Erva 1,5 m","RFA30788","Praia do Mendanha",NA,NA,NA,NA,NA,NA,"13621","30",NA,"41937","auto",NA,NA,NA,NA,NA
"35","2020-11-24 17:10:58-03","UTFPR","DVPR","1154","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.","Mayer, LRR","2013","06","04","Duarte, E","2011","09","Brasil","Paraná","São Jorge d' Oeste","-53.041","-25.3683","-53.041","-25.3683",NA,NA,"Plântula.; Chuva de sementes. Ecótono entre Floresta Estacional Semidecidual e Floresta Ombrófila Mista.","DVPR001154","Salto do Chopim.",NA,NA,NA,"Magnoliophyta",NA,NA,"26","16","DVPR001154",NA,NA,NA,NA,NA,NA,NA
"36","2018-08-28 10:13:12-03","UNEMAT","TANG","721","S","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","W. Wight",NA,NA,NA,NA,"Silva, CA; Rauber, A A","2009","05","Brasil","Mato Grosso","Tangará da Serra","-57.4858016967773","-14.6194000244141",NA,NA,NA,NA,"planta anual, ereta, originária da Eurásiainflorescências pigmentadas ou não70-140 cm, herbáceo","TANG000000721","campo experimental Unemat",NA,NA,NA,NA,NA,NA,"5","22",NA,"175746","auto",NA,NA,NA,NA,NA
"37","2021-03-30 12:53:17-03","EAO","IAN","103897","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Paes, LE","1953","01",NA,"Duarte, AP; Pereira, EC","1949","05","Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,"Planta de solo areno nas barrancas do rio paraná, atingindo até 1,50 m de altura.","IAN103897","Porto Franco. Parque Nacional do Iguaçú.","Southern America",NA,NA,"Monocotiledônea",NA,NA,"1838","19",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:53:17-03","EAO","IAN","108175","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"Nobs, MA; Smith, SG","1949","08","Estados Unidos","Califórnia",NA,NA,NA,NA,NA,NA,NA,"Stems spreading on ground; in mud.","IAN108175","Marshy pond on south side of the town of Blue Lake. Humboldt Couty.",NA,NA,NA,"Monocotiledônea",NA,NA,"1240","09",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:53:17-03","EAO","IAN","112623","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"Bullock, AA","1951","01","Tanganyika",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN112623","Tumba.",NA,NA,NA,"Monocotiledônea",NA,NA,"3626","26",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:53:17-03","EAO","IAN","115852","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Bouças, PRP","1978","04",NA,"Oliveira, E","1963","11","Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"Flor clara e sementes.","IAN115852","Beira do Rio Urubú. Itacoatiára.","Southern America",NA,NA,"Monocotiledônea",NA,NA,"3068","17",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:53:17-03","EAO","IAN","42372","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"Fróes, RL","1946","10","Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"Grass, growing.","IAN042372","Rio Gregório; silty soil. Várzea land.","Southern America",NA,NA,"Monocotiledônea",NA,NA,"21657",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:53:17-03","EAO","IAN","44412","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"Black, GA","1939","07","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA,"Rupestris. Ora Klamathi.","IAN044412",NA,NA,NA,NA,"Monocotiledônea",NA,NA,"3740","16",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:53:17-03","EAO","IAN","47000","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"Black, GA","1939","06","Estados Unidos","Oregon",NA,NA,NA,NA,NA,NA,NA,"Ruderal.","IAN047000","Grants Pass.",NA,NA,NA,"Monocotiledônea",NA,NA,"6305","13",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:53:17-03","EAO","IAN","56216","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Swallen, JR",NA,NA,NA,"Koeltz, W","1933","10","Índia",NA,NA,NA,NA,NA,NA,"8500","8500",NA,"IAN056216","Li, Bashahr State, Punjab.","Asia-Tropical",NA,NA,"Monocotiledônea",NA,NA,"7286","06",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:53:17-03","EAO","IAN","68072","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"sc",NA,NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"IAN068072",NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-30 12:53:17-03","EAO","IAN","83789","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"Black, GA","1953","09","Estados Unidos","Oklahoma",NA,NA,NA,NA,NA,NA,NA,NA,"IAN083789","Woodward.",NA,NA,NA,"Monocotiledônea",NA,NA,"16389","11",NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-30 12:53:17-03","EAO","IAN","83819","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"Black, GA","1953","09","Estados Unidos","Oklahoma",NA,NA,NA,NA,NA,NA,NA,NA,"IAN083819","Woodward. Praia.",NA,NA,NA,"Monocotiledônea",NA,NA,"16419","11",NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-30 12:53:17-03","EAO","IAN","92526","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Yates, HL",NA,NA,NA,"Whitney, L","1935","07","Estados Unidos","Califórnia",NA,NA,NA,NA,NA,NA,NA,NA,"IAN092526","Pit River near. Lookout.",NA,NA,NA,"Monocotiledônea",NA,NA,"3435","06",NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-03-30 12:53:17-03","EAO","IAN","93516","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.",NA,NA,NA,NA,"Glaziou, AFM",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093516",NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,"4348",NA,NA,NA,NA,NA,NA,NA,NA,NA
