"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","identifiedBy","yearIdentified","typeStatus","barcode","imagecode","fieldNumber","preparationType","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount"
"11","2020-12-11 11:33:35-03","UFMG","BHCB","102425","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Hatschbach, G; Spichiger, R; Cervi, AC; Barbosa, E","69675","1999","10","24","Southern America","Brasil","Minas Gerais","Diamantina","Barão do Guaçuí","-43.6002998352051","-18.2493991851807","101169","Margem do córrego; Arbusto, 1,5m, capítulo alvo.; Cerrado","auto",NA,NA,"2000","Isotypus","BHCB000082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:33:35-03","UFMG","BHCB","61662","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Hatschbach, G; Spichiger, R; Cervi, AC; Barbosa, E","69675","1999","10","24","Southern America","Brasil","Minas Gerais","Diamantina","Barão do Guaçuí","-43.6002998352051","-18.2493991851807","101169","Margem do córrego; Arbusto, 1,5m, capítulo alvo.; Cerrado","auto",NA,NA,"2000","Isotypus","BHCB000081","BHCB000081 BHCB000081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","3403788","PreservedSpecimen","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H. Rob.","G. Hatschbach, R. Spichiger, A. C. Cervi & E. L. Barbosa","69675","1999","10","24","South America - Neotropics","Brazil","Minas Gerais","Diamantina","Barão do Guaçuí.","-43.6002998352051","-18.2493991851807","101169",NA,"auto","Asterales",NA,NA,"Holotype","US00664169","US00664169_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"14","2020-09-12 05:00:02-03","US","US","3070798","PreservedSpecimen","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H. Rob.","G. Hatschbach & F. J. Zelma","50255","1985","11","27","South America - Neotropics","Brazil","Minas Gerais",NA,"Trinta Reis (mun. Pres. Kubitchek) Minas Gerais",NA,NA,NA,NA,NA,"Asterales",NA,NA,NA,"US01642549","US01642549_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"15","2021-03-23 11:51:25-03","USP","SPF","171800","PreservedSpecimen","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Hatschbach, G; Spichiger, R; Cervi, AC; Barbosa, E","69675","1999","10","24",NA,"Brasil","Minas Gerais","Diamantina","Barão do Guaçuí","-43.6002998352051","-18.2493991851807","101169","Arbusto, 1,30m, capítulo alvo. Cerrado, margem do córrego.","auto",NA,"Robinson, HE","2000","isotype","SPF00171800","SPF00171800",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-07 09:12:02-03","UEFS","HUEFS","192923","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Quaresma, A.S.","256","2011","12","13",NA,"Brasil","Minas Gerais","Gouveia","Cachoeira próxima a Barão de Guaycuí.","-43.7407989501953","-18.4543991088867","37970",NA,"auto","Asterales",NA,NA,NA,"HUEFS0192923","HUEFS0192923",NA,NA,NA,NA,NA,"1183","1183","Asteranae",NA
"17","2019-10-07 09:12:02-03","UEFS","HUEFS","173784","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Barbosa, E.","3005","2010","11","16",NA,"Brasil","Minas Gerais","Gouveia","Barão de Guaicuhy, cachoeira.","-43.7407989501953","-18.4543991088867","37970",NA,"auto","Asterales",NA,NA,NA,"HUEFS0173784","HUEFS0173784",NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA
"18","2019-10-07 09:12:02-03","UEFS","HUEFS","193097","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Quaresma, A.S.","430","2012","09","22",NA,"Brasil","Minas Gerais","Gouveia","Barão de Guaicuy. Cachoeira.","-43.7407989501953","-18.4543991088867","37970","Cerrado rupestre, beira d'água.","auto","Asterales",NA,NA,NA,"HUEFS0193097","HUEFS0193097",NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA
"19","2019-07-03 15:17:16-03","UFU","HUFU","68766","S","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Verdi, M.; Pougy N.; Maurenza, D.; Martins, E. & Dalcin, E.","6729","2013","10","16",NA,"Brasil","Minas Gerais","Jaboticatubas","PARNA Serra do Cipó, Cachoeira da Farofa. Portaria do Retiro; coletas realizadas apartir do riacho, na trilha até a pequena cachoeira ao lado esquerdo.","-43.575278","-19.358056",NA,"Arbusto 2 m alt. Folhas verdes; botões florais; pouco frequentes.; Campo rupestre.",NA,NA,"Nakajima, J.N.","2019",NA,"HUFU00070510",NA,NA,NA,"04","-43.575278","-19.358056","941","941",NA,NA
"20","2019-05-06 11:54:10-03","UFU","HUFU","71846","S","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Hatschbach, G.; Spichiger, R.; Cervi, A.C. & Barbosa, E.","69675","1999","10","24",NA,"Brasil","Bahia","Diamantina","Barão do Guaçuí",NA,NA,NA,"Arbusto, 1,5m, capítulo alvo.; Cerrado, margem do córrego.",NA,NA,"Robinson, H.","2000","Isotype","HUFU00070481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-05-06 11:54:10-03","UFU","HUFU","69614","S","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Contro, F.L.; Marques, D.","30","2014","12","18",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Trilha para Cachoeira Véu da Noiva.","-43.7144012451172","-19.1688995361328","26557","Arbusto, 1-1,5 m alt. Brácteas involucrais arroxeadas, corola e ramos do estilete brancos.; Curso d'água.","auto",NA,"Contro, F.L.","2015",NA,"HUFU00070673","HUFU00070673",NA,NA,"06",NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:01:26-03","IBt","SP","349750","S","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Harley, RM; Giulietti, AM; Stannard, BL; Hind, DJN; Kameyama, C; Prado, J; Rudall, P; Simão","25065","1988","10","15",NA,"Brasil","Minas Gerais","Grão Mogol","Ca. 7 km em direção ao sul da cidade, na estrada para Francisco Sá, beira do rio","-42.933333","-16.616667",NA,NA,NA,NA,"Ribas, OS",NA,NA,NA,NA,NA,NA,NA,"-42.933333","-16.616667","700","850",NA,NA
