"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","567244","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","3942","1981","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567244","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Fazenda Santa Rita, ca. 65 km W of Curitiba on rd to Ponta Grossa.","-49.83","-25.42",NA,NA,"NY00567244_01","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00906702","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","J. R. Pirani","CFSC7452","1981","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906702","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Minas Gerais","Km 107 ao longo da rodovia Belo Horizonte - Conceiçao do Mato Dentro","-43.7142","-19.1692",NA,NA,"NY00906702_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00906675","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. O. Williams","7425","1945","09","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906675","Magnoliophyta","Myrtales","(Cambess.) O.Berg","M. L. Kawasaki","Minas Gerais","Fazenda do Cabuí, near Contagem.","-44.1981","-19.9681","900","900","NY00906675_01","Betim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","567248","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","4050","1982","01","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567248","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Curitiba, Parque Iguacu.","-49.25","-25.5","900","900","NY00567248_01","Curitiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","567246","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","3957","1981","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567246","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Fazenda Santa Rita, ca. 65 km W of Curitiba on rd to Ponta Grossa.","-49.83","-25.42",NA,NA,"NY00567246_01","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","579558","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. B. Smith","15757","1971","12","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579558","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Santa Catarina","Campo Novo, 5 km from Mafra.","-49.849819","-26.072275",NA,NA,"NY00579558_01","Mafra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","579553","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","G. G. Hatschbach","43336","1980","11","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579553","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Tamandua","-49.769797","-25.530491",NA,NA,"NY00579553_01","Balsa Nova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","579560","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","G. G. Hatschbach","22442","1969","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579560","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Alm. Tamandaré","-49.290126","-25.310726",NA,NA,"NY00579560_01","Almirante Tamandaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","579557","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","J. C. Lindeman","2700","1966","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579557","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Campo on second planalto 4 km W of Palmeira.","-50.0064","-25.4294","1000","1000","NY00579557_01","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00906623","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","H. S. Irwin","8642","1965","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906623","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Distrito Federal","Ca. 20 km S. of Brasília, rd. to Goiânia, near Rio Melchior","-48.0355","-15.87895","1125","1125","NY00906623_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","579568","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","P. K. H. Dusén","15584","1914","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579568","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Serrinha.",NA,NA,"840","840","NY00579568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00906701","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","R. P. Belém","3963","1968","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906701","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Distrito Federal","Campus da UnB.","-47.9294","-15.7797",NA,NA,"NY00906701_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00906670","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","P. E. Gibbs","2677","1976","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906670","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Goiás","Rodovia Itumbiara- Goiania a 170 km de Goiania","-49.3544","-18.0128",NA,NA,"NY00906670_01","Goiatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00906645","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","H. S. Irwin","25848","1970","02","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906645","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Minas Gerais","Serra dos Óculos, ca. 70 km N. of Patrocínio","-46.8","-18.66669","1050","1050","NY00906645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","567242","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","3930","1981","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567242","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Fazenda Santa Rita, ca. 65 km W of Curitiba on rd to Ponta Grossa.","-49.83","-25.42",NA,NA,"NY00567242_01","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","567249","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","4049","1982","01","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567249","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Curitiba, Parque Iguacu.","-49.25","-25.5","900","900","NY00567249_01","Curitiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","579554","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","G. G. Hatschbach","27656","1971","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579554","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Taruma","-49.223851","-25.427242",NA,NA,"NY00579554_01","Curitiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00906698","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","P. Clausen","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906698","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum",NA,"Brasil",NA,NA,NA,NA,"NY00906698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","579559","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. Riedel","s.n.","1821",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579559","Magnoliophyta","Myrtales","(Cambess.) O.Berg","M. L. Kawasaki; B. K. Holst",NA,"Carapa",NA,NA,NA,NA,"NY00579559_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","567239","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","F. J. Fernández Casas","FC4080","1980","10","04","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567239","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Amambay","Parque Nacional de Cerro Corá, cerla casa forestal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00906649","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","4218","1982","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906649","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Minas Gerais","Serra do Cipó, between Veu da Novia and Alto do Palacio","-43.67","-19.25","1000","1400","NY00906649_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","579562","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","G. G. Hatschbach","16941","1967","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579562","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Fda. Lagoa","-52.6047","-23.6633",NA,NA,"NY00579562_01","Cianorte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","567237","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","3936","1981","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593842' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567237","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Fazenda Santa Rita, ca. 65 km W of Curitiba on rd to Ponta Grossa.","-49.83","-25.42",NA,NA,"NY00567237_01","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00906699","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","E. Forero","8133","1980","09","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906699","Magnoliophyta","Myrtales","(Cambess.) O.Berg","M. L. Kawasaki","Minas Gerais","Km 107 ao longo da rodovia Lagoa Santa- Conceiçao do Mato Dentro-Diamantina. Estrada da Usina","-43.7142","-19.1692",NA,NA,"NY00906699_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","579556","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","J. C. Lindeman","2683","1966","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579556","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Campo on second planalto, ca. 15 km E of Palmeira.","-50.0064","-25.4294","1000","1000","NY00579556_01","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","567240","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","3907","1981","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567240","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Ca. 10 km E of Curitiba.","-49.17","-25.5",NA,NA,"NY00567240_01","Piraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00906696","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","J. da Silva Costa","151","1977","11","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906696","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Mato Grosso","20 km a Oeste de Caracol",NA,NA,NA,NA,"NY00906696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00906694","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","J. M. Pires","17242","1980","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906694","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Mato Grosso do Sul","Fazenda Congonha, P 7 (RADAM)",NA,NA,NA,NA,"NY00906694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","579555","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","G. G. Hatschbach","52661","1988","12","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579555","Magnoliophyta","Myrtales","(Cambess.) O.Berg","G. G. Hatschbach","Paraná","Fda. Chapada Sto. Antonio","-49.7056","-24.2511",NA,NA,"NY00579555_01","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00906672","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","P. E. Gibbs","2654","1976","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906672","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Minas Gerais","Rumo a Itumbiara km. 76","-48.9406","-20.0247",NA,NA,"NY00906672_01","Frutal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01096158","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","J. Mattos","11870","1964","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232823' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096158","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Perto de Campos Portela, via Curitiba-Lapa",NA,NA,NA,NA,"NY01096158_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
