"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","typeStatus"
"11","2020-09-12 05:00:02-03","US","US","2783583","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.",NA,"W. Anderson, M. Stieber & J. H. Kirkbride","36102","1972","2","17","South America - Neotropics","Brazil","Minas Gerais","The Planalto do Brasil, Serra do Espinhaço, near stream. Serra do Cipo, forest along stream, adjacent rocky and grassy hillside, and grassy campo on top og hills. sandy soil and sandstone",NA,NA,"1200","1300",NA,NA,"US02733742","US02733742_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","3441738","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.",NA,"A. H. Gentry & J. Solomon","44810","1984","1","29","South America - Neotropics","Bolivia","La Paz","Prov. Nor Yungas, Sacramento Valley of rio Coroico, 10 km NE of Chusipata on Coroico road, dense ridge top cloud forest.",NA,NA,"2450",NA,NA,NA,"US02521403",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","3190293","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.",NA,"G. Hatschbach, M. M. Hatschbach & V. Nicolack","52934","1989","5","19","South America - Neotropics","Brazil","Minas Gerais","Pito Acesso 9mun Conc do Mato Dentro). Mata de galeria",NA,NA,"700",NA,NA,NA,"US02733745","US02733745_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2783614","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.",NA,"H. S. Irwin, H. Maxwell & D. C. Wasshausen","20176","1968","2","15","South America - Neotropics","Brazil","Minas Gerais","The Planalto do Brasil, Serra do Espinhaço, Campo, Steep sandy slopes with sandstone outcrops at summit, Serra do Cipó, ca. km 120 (ca 145km N of Belo Horizonte)",NA,NA,"1300",NA,NA,NA,"US02733743","US02733743_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"15","2019-11-13 11:30:25-03","USP","SPF","93694","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Taylor, CM","Arbo, MM","4993","1991","02","13",NA,"Brasil","Minas Gerais",NA,"-43.6","-18.933333","900","900",NA,NA,"SPF00093694",NA,NA,"1997",NA,NA,"Ouro Fino",NA,NA,NA,"-43.6","-18.933333",NA
"16","2019-11-13 11:30:25-03","USP","SPF","34688","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Kirkbride, JH","Hensold, N","CFSC8556","1982","02","16",NA,"Brasil","Minas Gerais","Morro do Breu","-43.655556","-19.072222","1300","1500",NA,"Hensold, 481.","SPF00034688",NA,NA,"1989",NA,NA,"Santana do Riacho",NA,NA,NA,"-43.655556","-19.072222",NA
"17","2019-11-13 11:30:25-03","USP","SPF","126920","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Zappi, DC","Sano, PT","732","1997","12","09",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"SPF00126920",NA,NA,"2009",NA,NA,"Diamantina","101169","auto",NA,NA,NA,NA
"18","2019-11-13 11:30:25-03","USP","SPF","134333","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Zappi, DC","Sano, PT","732","1997","12","09",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"SPF00134333",NA,NA,"2009",NA,NA,"Diamantina","101169","auto",NA,NA,NA,NA
"19","2020-01-14 12:02:20-03","USP","SPF","231118","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Kirkbride, J","Barros, F","1324","1987","02","02",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328","1300","1300",NA,NA,"SPF00231118",NA,NA,"1989",NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA
"20","2019-11-13 11:30:25-03","USP","SPF","113068","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Zappi, DC","Grillo, AA","CFSC13878","1995","04","05",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328","1250","1250",NA,NA,"SPF00113068",NA,NA,NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA
"21","2019-11-13 11:30:25-03","USP","SPF","19891","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Kirkbride, JH","Furlan, A","CFSC7201","1981","04","19",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"SPF00019891",NA,NA,"1982",NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA
"22","2019-09-04 19:52:52-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa",NA,NA,"C. F. P. von Martius","1185",NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"23","2015-03-13 19:03:07-03","F","FMNH-SEEDPLANTS","V0247422F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0247422F","V0247422F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-03-07 09:12:14-03","F","FMNH-SEEDPLANTS","V0247427F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0247427F","V0247427F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-03-07 09:12:14-03","F","FMNH-SEEDPLANTS","V0247429F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0247429F","V0247429F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-01 15:09:39-03","UnB","UB","155147","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Kirkbride Junior, JH","Anderson, WR; Stieber, M; Kirkbride Junior, JH","36102","1972","02","17","Southern America","Brasil","Minas Gerais","Serra do Espinhaço. Serra do Cipó.",NA,NA,"1200","1300",NA,"Much-branched shrub 0,4m tall; fruit green, maturing black, near stream.; Forest along stream, adjacent rocky and grassy hillsides, and grassy campo on top of hills; sandy soil and sandstone.",NA,NA,NA,"1976",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-01 15:09:39-03","UnB","UB","155148","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","Kirkbride Junior, JH","Furlan, A; Cordeiro, I; Pirani, JR","7201","1981","04","19","Southern America","Brasil","Minas Gerais","km 117 ao longo da estrada da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Subarbusto 40cm, crecendo em solo encharcado, no interior da mata ciliar. Frutos azuis brilhantes.; Perto do Córrego Alto do Cupim.",NA,NA,NA,"1982",NA,NA,"Santana do Riacho","26557","auto",NA,NA,NA,NA
"28","2017-09-11 17:13:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo","in prov. S. Paulo in silvis ad Porto Feliz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:18:25-03","IBt","SP","219161","S","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.",NA,"Barros, F","1324","1987","02","02",NA,"Brasil","Minas Gerais","Serra do Cipó, Alto do Palácio, km 126 Lagoa Santa a Conceição do Mato Dentro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2014-09-23 10:59:30-03","G","G","G00300573","S","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.","Taylor, C. M.","Martius, C. F. P.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,"-53.08972222","-10.77305556",NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=224605&base=img&lang=en","G00300573","G00300573",NA,"2010","01","01",NA,NA,NA,NA,"-53.08972222","-10.77305556","ISOTYPUS of Psychotria microcarpa Müll. Arg."
