"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"11","2019-08-27 13:33:47-03","IAP","PACA-AGP","53859","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1953","02","03",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis graminosis Fenofase: flor","PACA053859",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae","55856","auto",NA,NA
"12","2019-08-27 13:33:47-03","IAP","PACA-AGP","98516","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Sehnem, A.","15651","1977","12","27",NA,"Brasil","RS","Cambará do Sul","Cânion Fortaleza","-50.1446990966797","-29.0478000640869","1200","1200",NA,"Habitat: In campo","PACA098516",NA,"Diober Lucas","2015","11","26",NA,NA,"Magnoliatae","30776","auto",NA,NA
"13","2019-08-27 13:33:47-03","IAP","PACA-AGP","58570","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1956","02","12",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis Fenofase: flor","PACA058570",NA,"Emrich-Rambo","1957","05","16",NA,NA,"Magnoliatae","76715","auto",NA,NA
"14","2019-08-27 13:33:47-03","IAP","PACA-AGP","45547","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1950","01","30",NA,"Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis alte dumetosis Fenofase: flor","PACA045547",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae",NA,NA,NA,NA
"15","2019-08-27 13:33:47-03","IAP","PACA-AGP","49414","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1950","12","18",NA,"Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis alte dumetosis Fenofase: flor","PACA049414",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae",NA,NA,NA,NA
"16","2019-08-27 13:33:47-03","IAP","PACA-AGP","60159","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1956","01","23",NA,"Brasil","SC","Campo dos Padres",NA,NA,NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis Fenofase: flor","PACA060159",NA,"Emrich-Rambo","1957","05","01",NA,NA,"Magnoliatae",NA,NA,NA,NA
"17","2019-08-27 13:33:47-03","IAP","PACA-AGP","8594.1","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Reitz, R.","865","1943","12","28",NA,"Brasil","SC","Aras","Serra da Pedra",NA,NA,"1000","1000",NA,"VULNERÁVEL&nf;altit. 1000 m. Habitat: no campo úmido","PACA008594-1",NA,"Harvard Univ.","1944",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"18","2019-08-27 13:33:47-03","IAP","PACA-AGP","45373","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1950","01","18",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fr. Habitat: in paludosis alte graminosis Fenofase: fruto","PACA045373",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae","55856","auto",NA,NA
"19","2019-08-27 13:33:47-03","IAP","PACA-AGP","50418","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Sehnem, A.","4259","1950","01","19",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fr. Habitat: in paludosis alte dumetosis Fenofase: fruto","PACA050418",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae","55856","auto",NA,NA
"20","2019-08-27 13:33:47-03","IAP","PACA-AGP","8593","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1942","01","14",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis altegraminosis Fenofase: flor","PACA008593",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae","55856","auto",NA,NA
"21","2019-08-27 13:33:47-03","IAP","PACA-AGP","8594","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1942","01","14",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis turfosis Fenofase: flor","PACA008594",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae","55856","auto",NA,NA
"22","2019-08-27 13:33:47-03","IAP","PACA-AGP","8596","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1942","01","14",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis alte graminosis Fenofase: flor","PACA008596",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae","55856","auto",NA,NA
"23","2019-08-27 13:33:47-03","IAP","PACA-AGP","36761","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1948","02",NA,NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis turfosis alte gram. Fenofase: flor","PACA036761",NA,"L. Constance","1954","09","25",NA,NA,"Magnoliatae","30776","auto",NA,NA
"24","2019-08-27 13:33:47-03","IAP","PACA-AGP","30449","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Reitz, R.","865","1943","12","28",NA,"Brasil","SC","Araranguá","Serra da Pedra","-49.4858016967773","-28.934700012207",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis alte graminosis Fenofase: flor","PACA030449",NA,"Harvard Univ.","1954","09","25",NA,NA,"Magnoliatae","19353","auto",NA,NA
"25","2019-08-27 13:33:47-03","IAP","PACA-AGP","50769","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Reitz, R.","2961","1949","01","03",NA,"Brasil","SC","São Joaquim","Morro da Igreja","-49.9317016601562","-28.2938995361328","1860","1860",NA,"VULNERÁVEL&nf;fl. roxa; erva; campo; altura. 0,3 m; altit. 1860 m. Habitat: in paludosis alte graminosis Fenofase: flor","PACA050769",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae","48290","auto",NA,NA
"26","2019-11-21 14:30:16-03","UFJF","CESJ","70820","PreservedSpecimen","Plantae","Angiosperma",NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"L.A. Funez; G. Hassemer","5178","2016","02","10","América do Sul","Brasil","Santa Catarina","Ubirici","Morro da Igreja","-49.478333","-28.125278","1763","1763",NA,"Campo úmido. Erva, capítulos cárneos.","CESJ070820","CESJ070820","L.A. Funez","2016",NA,NA,"-49.478333","-28.125278",NA,NA,NA,NA,NA
"27","2019-01-17 11:23:55-02","PUCRS","MPUC","21130","S","Plantae",NA,"Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,NA,NA,"1997","01","15","South America","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata.","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Vegetação pioneira (F: 86)",NA,NA,"B. Harter",NA,NA,NA,NA,NA,"Magnoliopsida","76715","auto","184","1"
"28","2020-10-14 09:58:13-03","FURB","FURB","13547","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Verdi, M.; Hasckel, R.P. & Klemz, G.","1963","2009","04","06",NA,"Brasil","Santa Catarina","Orleans","Morro da Igreja (Parque Nacional de São Joaquim).","-49.48","-28.1266667","1788","1788",NA,"Coleta Extra IFFSC Habitat: Campos naturais e turfosos; Habito: herbácea; flor roxa","FURB00500","FURB00500","Lucas, D.","2016","07","02","-49.4800000","-28.1266667",NA,NA,NA,NA,NA
"29","2019-11-08 08:48:56-03","FURB","FURB","51024","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Funez, L.A.; Hassemer, G.","5178","2016","02","10",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja.","-49.4783334","-28.1252778","1763","1763",NA,NA,"FURB51024","FURB51024","Funez, L.A.","2016",NA,NA,"-49.4783334","-28.1252778",NA,NA,NA,NA,NA
"30","2020-10-14 09:58:13-03","FURB","FURB","64848","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Funez, L.A.; Ribeiro-Nardes, W., Costa-Rezende, D.H., Kassner-Filho, A., Bones, F., Kossmann, T.","8622","2019","01","25",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Campos de Santa Bárbara. Parque Nacional de São Joaquim","-49.6063889","-28.1630556","1670","1670",NA,"Capítulos roxos Habitat: Campos Habito: Erva","FURB64848","FURB64848","Funez, L.A.","2019","01","25","-49.6063889","-28.1630556",NA,NA,NA,NA,NA
"31","2020-12-21 16:12:13-03","MBM","MBM","9719","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","reitziii","Eryngium reitziii","M. & C.",NA,"Hatschbach, G.","19773","1968","09","21","Southern America","Brazil","Paraná","Guarapuava","Lagoa Seca","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"MBM009719","MBM009719","Constance, L.",NA,NA,NA,NA,NA,NA,"53832","auto",NA,NA
"32","2004-08-09 17:39:07-03","MNHN","RECOLNAT_MNHN_P","P00130423","PreservedSpecimen",NA,NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Glaziou, A.",NA,"1890","2",NA,NA,"Brésil",NA,NA,"Estado de Santa Catharina : Em pantanos no campo arima da Serra Geral",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00130423' target='other'> <mi>dwc_moreinfo</mi></a>","P00130423","P00130423_01","Wörz",NA,NA,NA,NA,NA,NA,NA,NA,"1478",NA
"33","2021-02-11 17:17:50-03","UFPR","UPCB","76850","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Matos, F.B.","2014","2012","01","20",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja. Estepe gramíneo-lenhosa","-49.474","-28.126",NA,NA,NA,"Erva terrestre, crescendo no topo do morro. Folhas verdes e flores roxas. Foto. Material em sílica..","UPCB0034717","UPCB0034717","Cardozo, A.L. & Lucas, D.","2016","06","23","-49.474","-28.126",NA,NA,NA,NA,NA
"34","2018-06-22 05:25:00-03","MO","MOBOT","2454499","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Pe. Raulino Reitz","Reitz 2961","1948","1","3","South America","Brazil","Santa Catarina",NA,"Bom Jardim da Serra. Morro da Igreja, campo",NA,NA,"1860.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2009-12-04 16:26:00-02","MO","MOBOT","3195151","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Gert G. Hatschbach|Maria M. Hatschbach|O.S. Ribas","Hatschbach 61668","1995","2","26","South America","Brazil","Santa Catarina",NA,"Morro da Igreja, alto (mun. Urubici). Campo de altitude, solo turfoso umido.",NA,NA,"1800.00000000",NA,NA,NA,NA,NA,"T.M. Pedersen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-06-25 16:06:03-03","FUVATES","HVAT","919","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"E. Freitas","1000","2015","02","01",NA,"Brasil","Santa Catarina","Urubici","Morro da igreja.","-49.478056","-28.126389",NA,NA,NA,"Herbácea, capítulo de cor rosa.; Polinizado por moscas varejeiras; campo úmido no topo do morro.","HVAT00000919",NA,"D. Lucas","2016","10","05","-49º28'41''W","-28º7'35''S",NA,NA,NA,NA,NA
"37","2020-09-12 05:00:02-03","US","US","2325805","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","reitzii","Eryngium reitzii","Mathias & Constance","Isotype","L. B. Smith & R. Reitz","10336","1957","1","23","South America","Brazil","Santa Catarina",NA,"Bom Retiro, by Fazenda Santo Antonio, Campo dos Padres.",NA,NA,"1650","1650",NA,NA,"US00127036","US00127036_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"38","2020-09-12 05:00:02-03","US","US","2325804","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","reitzii","Eryngium reitzii","Mathias & Constance","Isotype","L. B. Smith & R. Reitz","10336","1957","1","23","South America","Brazil","Santa Catarina",NA,"Bom Retiro, by Fazenda Santo Antonio, Campo dos Padres.",NA,NA,"1650","1650",NA,NA,"US00127035","US00127035_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"39","2020-09-12 05:00:02-03","US","US","2403369","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Reitz & Klein, --","7997","1958","12","15","South America","Brazil","Santa Catarina",NA,"Serra do Oratório, Bom Jardim, S. Joaquim.",NA,NA,"1400",NA,NA,NA,"US03077037","US03077037_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"40","2020-09-12 05:00:02-03","US","US","2325803","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"L. Smith & R. Reitz","10141","1957","1","16","South America","Brazil","Santa Catarina",NA,"Mun. São Joaquim: source of Rio Capivaras, Serra do Oratório, 10 km east of Bom Jardim da Serra (Cambajuva).",NA,NA,"1200",NA,NA,NA,"US03077035","US03077035_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"41","2020-09-12 05:00:02-03","US","US","2342789","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"R. Reitz","C341","1943","12","28","South America","Brazil","Santa Catarina",NA,"Serra da Pedra - Araranguá S. Cat.",NA,NA,"1000",NA,NA,NA,"US03077039","US03077039_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"42","2020-09-12 05:00:02-03","US","US","2104879","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"R. Reitz","3779",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Campo dos Padres-Bom Retiro.",NA,NA,"1900",NA,NA,NA,"US03077038","US03077038_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"43","2020-09-12 05:00:02-03","US","US","2403404","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Reitz & Klein, --","8174","1959","1","13","South America","Brazil","Santa Catarina",NA,"Fazenda da Laranja, Bom Jardim, S. Joaquim.",NA,NA,"1400",NA,NA,NA,"US03077036","US03077036_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"44","2019-11-13 11:14:43-03","USP","SPF","202698","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Fiaschi, P","3648","2011","03","28",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"SPF00202698","SPF00202698","Fiaschi, P","2011","04",NA,NA,NA,NA,"30102","auto",NA,NA
"45","2021-03-25 13:51:26-03","UNIVILLE","JOI","11930","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Verdi, M.","1963","2009","04","06",NA,"Brasil","Santa Catarina","Orleans","Morro da Igreja (Parque Naciona de São Joaquim).","-49.48","-28.126667","1788","1788",NA,"; HABITO: herbácea; TIPO VEGETACIONAL: Campos naturais e turfosos","JOI011930","JOI011930","Diober Lucas","2016","10","03","49º28'48''W","28º7'36''S",NA,NA,NA,NA,NA
"46","2019-09-04 19:01:49-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum",NA,"Type [status unknown]","E. H. G. Ule","1477","1890","1",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"47","2021-02-23 13:21:48-03","MN","R-TIPOS","229756","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff","Isotypus de Eryngium reitzii Mathias & Constance","Smith, L.B. ; Reitz, R.","10336","1957","01","23",NA,"Brasil","Santa Catarina","Bom Retiro","Fazenda Santo Antônio","-49.489200592041","-27.7971992492676","1650","1650",NA,NA,"R000229756","R000229756_001","Lucas, D.","2016","11","03",NA,NA,NA,"35974","auto",NA,NA
"48","2020-08-20 14:54:33-03","UFSC","FLOR","48358","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Fiaschi, P.; Sasaki, D.; Oskolski, A. & Kotina, E.","3919","2012","10","11",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja. Estrada de Grão Pará para Urubici, ramal vicinal à esquerda. Acesso à base militar da Força Aérea Brasileira.","-49.479722","-28.126944","1819","1819",NA,"Erva terrestre em roseta. Amostra estéril em FAA para estudos anatômicos.","FLOR0048358","FLOR0048358","Lucas, D.","2016","06","02","49º28'47''W","28º7'37''S",NA,NA,NA,NA,NA
"49","2020-08-20 14:54:33-03","UFSC","FLOR","51191","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Hassemer, G.N.; Weber, P.","672","2013","04","11",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja, próximo ao portão do CINDACTA.","-49.480556","-28.1275","1784","1784",NA,"erva, flor lilás","FLOR0051191","FLOR0051191","Lucas, D.","2016","06","02","49º28'50''W","28º7'39''S",NA,NA,NA,NA,NA
