"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-12-21 16:26:48-03","MBM","MBM","262323","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Seijo, G.","Seijo, G.","2000","1999","11","20","Southern America","Argentina",NA,NA,"Misiones",NA,NA,NA,NA,"MBM262323",NA,NA,NA,NA,NA,"MBM262323",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:26:48-03","MBM","MBM","8234","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Burkart, A.","Hatschbach, G.; Guimarães, O.; Guimarães, O.","29854",NA,NA,NA,"Southern America","Brazil","Paraná","Laranjeiras do Sul","Rio despedida","-52.4160995483398","-25.4078006744385",NA,NA,"MBM008234",NA,NA,NA,NA,NA,"MBM008234","28404","auto",NA,NA,NA,NA,NA
"13","2020-12-21 16:26:48-03","MBM","MBM","6986","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Burkart, A.","Hatschbach, G.","18232",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Rodovia do Xisto, Rio Barigui","-49.2731018066406","-25.4277992248535",NA,NA,"MBM006986",NA,NA,NA,NA,NA,"MBM006986","25180","auto",NA,NA,NA,NA,NA
"14","2020-12-21 16:26:48-03","MBM","MBM","259110","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Burkart, A.","Dombrowski, L.T.; et al.; et al.","4211","1972","11","10","Southern America","Brazil","Paraná","Mandirituba","Mandirituba","-49.326099395752","-25.7789001464844",NA,NA,"MBM259110",NA,NA,NA,NA,NA,"MBM259110","20385","auto",NA,NA,NA,NA,NA
"15","2013-12-08 11:35:00-02","MO","MOBOT","2249240","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Seijo, G. J.","G.J. Seijo","Seijo 2000","1999","11","20","South America","Argentina","Misiones","San Pedro","Ruta Prov. N° 15, arroyo Tambero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-08-25 05:21:00-03","MO","MOBOT","2444647","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Seijo, G. J., //","H. A. Keller","Keller 91","1999","10","21","South America","Argentina","Misiones","Guaraní","Predio IPS, cabecera norte, arroyo Tambero, puente sobre ruta 15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2009-12-04 16:52:00-02","MO","MOBOT","3198630","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Burkart","Gert G. Hatschbach|O. V. Guimarães","Hatschbach 19854","1968","9","26","South America","Brazil",NA,NA,"Rio Despedida (mun. Laranjeiras do Sul) Paraná.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","2249961","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart",NA,"L. Smith & R. M. Klein","7829","1956","11","21","South America","Brazil","Santa Catarina",NA,"Mun. Bom Retiro: Campo between Fazenda Campo dos Padres and Fazenda Santo Antonio, Campo dos Padres",NA,NA,NA,NA,"US02442028","Dicotyledonae",NA,NA,NA,NA,"US02442028_01",NA,NA,"1400","1650","1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","2454625","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart",NA,"L. Smith & R. M. Klein","13419","1964","12","3","South America","Brazil","Paraná",NA,"Mun. Agua Doce: bog, Campos de Palmas, 30 km. southeast of Horizonte (Parana)","-51.4","-26.75",NA,NA,"US02442025","Dicotyledonae",NA,NA,NA,NA,"US02442025_01",NA,NA,"1000","1200","1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","2320807","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart",NA,"G. Hatschbach","6487","1959","11","11","South America","Brazil","Paraná",NA,"Mun. Bocaiuva do Sul. Campina dos Tavares",NA,NA,NA,NA,"US02442026","Dicotyledonae",NA,NA,NA,NA,"US02442026_01",NA,NA,NA,NA,"1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","2279951","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart",NA,"G. Hatschbach","4237","1957","11","15","South America","Brazil","Paraná",NA,"Mun. Guarapuava. Estrada para Palmeirinha",NA,NA,NA,NA,"US02442027","Dicotyledonae",NA,NA,NA,NA,"US02442027_01",NA,NA,NA,NA,"1",NA,NA
"22","2019-01-25 15:40:52-02","IAC","IAC","21285","S","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","R.B. Pinto","H.F. Leitão Filho","1083","1970","10","26",NA,"Brasil","São Paulo","Tapiraí","Rodovia Piedade Km 114","-47.5072","-23.9636",NA,NA,NA,NA,"2013","11","26",NA,NA,NA,NA,NA,NA,NA,"-47.5072","-23.9636"
"23","2019-10-03 14:20:40-03","IAC","IAC","41966","S","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","G. Seijo","H. Keller & D. Colcombet","1181","2001","08","21",NA,"Argentina","Misiones","Puerto Iguazú","Lote P (CAPSA)","-54.5667","-25.6",NA,NA,NA,NA,"2001","06","21",NA,NA,NA,NA,NA,NA,NA,"-54.5667","-25.6"
"24","2021-02-08 12:41:54-03","UFRGS","ICN","114292","S","Plantae","Dicotyledon",NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burk.","Neubert, EE","Neubert, EE","s.n.","1996","10","10","América do Sul","Brasil","SC","São Joaquim","Parque Ecológico Snow Valley SC-438 a 8 km do portal","-49.9317016601562","-28.2938995361328",NA,"Espécie ameaçada de extinção (Provavelmente extinta).","ICN00023007",NA,NA,NA,NA,NA,"ICN00023007","48290","auto",NA,NA,NA,NA,NA
"25","2019-11-21 10:05:53-03","IBt","SP","197800","S","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Neubert, EE","Yano, T; Yano, O","52","1983","11","02",NA,"Brasil","São Paulo","Ibiúna","8km da SP 250 no km 63, Bairro Sorocabuçu","-47.2200012207031","-23.6499996185303",NA,NA,"SP027224",NA,"2008","10",NA,NA,"SP027224","43112","auto",NA,NA,NA,NA,NA
