"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","sex","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"18","2019-02-15 11:33:18-02","IPA","IPA","21435","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Academia Brasileira de Ciências","1101","1971","11","30","Southern America","Brasil",NA,NA,"Árvore 7-8m, 30cm de diâmetro, casca cinza, com suber espesso, fendido longitudinalmente, desprendendo-se facilmente. Inflorescência axilar não exatamente terminal.; Contato Floresta-caatinga.","IPA0021435","Paraíba","4,5 km de Mata Grande, a estrada para Bonito de Santa Fé.",NA,NA,NA,NA,"Plantae",NA,"(Marchal) J. Wen",NA,NA,NA,NA,"Oliveira, M.A.","2017","10","10",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-02-15 11:33:18-02","IPA","IPA","27289","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Zoé Brito","55","1980","11","12","Southern America","Brasil",NA,NA,"Árvore ca. 3,5m de altura. Rara.; Caatinga. Solo pedregoso.","IPA0027289","Pernambuco","Estação Experimental do IPA, numa unidade experimental do Projeto Caprino.","-38.2983016967773","-7.99194002151489",NA,NA,"Plantae",NA,"(Marchal) J. Wen","Serra Talhada",NA,NA,NA,"Oliveira, M.A.","2017","10","10",NA,NA,NA,"55090","auto",NA,NA,NA
"20","2019-02-15 11:33:18-02","IPA","IPA","50582","S","Plantae","Araliaceae","Coemansia","warmingiana","Coemansia warmingiana","Pinto, G.C.P.; Bautista, H.P.; Bautista, H.P.","91","1983","05","25","Southern America","Brasil",NA,NA,"Árvore de aproximadamente 6m de altura, fuste retilíneo com casca , lembrando o pau-d'arco roxo; madeira mole.; Vegetação: Floresta Estacional Decidual.","IPA0050582","Bahia","Fazenda Experimental da EPABA","-39.8535995483398","-10.6916999816895",NA,NA,"Plantae",NA,"Marchal","Itiuba",NA,NA,NA,"Barroso, G.M.","1983","10","11",NA,NA,NA,"37230","auto",NA,NA,NA
"21","2019-08-27 13:33:43-03","IAP","PACA-AGP","32845","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Rambo, B.",NA,"1945","12","17",NA,"Brasil",NA,NA,"Habitat: In silva primaeva. Fenofase: estéril","PACA032845","RS","Butterberg","-51.4611015319824","-29.6886005401611",NA,NA,"Magnoliophyta","Umbellales","(Marchal) J. Wen","Montenegro",NA,NA,NA,"P. Fiaschi","2011","03",NA,NA,"Magnoliatae",NA,"21601","auto",NA,NA,NA
"22","2019-08-27 13:33:43-03","IAP","PACA-AGP","41585","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Rambo, B.",NA,"1949","05","16",NA,"Brasil",NA,NA,"EM PERIGO Habitat: In silva primaeva. Fenofase: estéril","PACA041585","RS","Ad montem Ferrabraz","-51.1305999755859","-29.6783008575439",NA,NA,"Magnoliophyta","Umbellales","(Marchal) J. Wen","Novo Hamburgo",NA,NA,NA,"P. Fiaschi","2011","03",NA,NA,"Magnoliatae",NA,"20722","auto",NA,NA,NA
"23","2019-08-27 13:33:43-03","IAP","PACA-AGP","36013","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Rambo, B.",NA,"1947","01",NA,NA,"Brasil",NA,NA,"EM PERIGO Habitat: In silva primaeva. Fenofase: fruto","PACA036013","RS","Butterberg","-51.4611015319824","-29.6886005401611",NA,NA,"Magnoliophyta","Umbellales","(Marchal) J. Wen","Montenegro",NA,NA,NA,"P. Fiaschi","2011","03",NA,NA,"Magnoliatae",NA,"21601","auto",NA,NA,NA
"24","2019-08-27 13:33:43-03","IAP","PACA-AGP","28136","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Rambo, B.",NA,"1945","03",NA,NA,"Brasil",NA,NA,"Habitat: In silva primaeva. Fenofase: estéril","PACA028136","RS","Ad fl. Uruguay","-52.7714004516602","-27.3617000579834",NA,NA,"Magnoliophyta","Umbellales","(Marchal) J. Wen","Nonoai",NA,NA,NA,"P. Fiaschi","2011","03",NA,NA,"Magnoliatae",NA,"35080","auto",NA,NA,NA
"25","2019-08-27 13:33:43-03","IAP","PACA-AGP","42912","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Rambo, B.",NA,"1949","08","12",NA,"Brasil",NA,NA,"EM PERIGO Habitat: In silva primaeva. Fenofase: estéril","PACA042912","RS","Schwabenschneis","-51.1305999755859","-29.6783008575439",NA,NA,"Magnoliophyta","Umbellales","(Marchal) J. Wen","Novo Hamburgo",NA,NA,NA,"P. Fiaschi","2011","03",NA,NA,"Magnoliatae",NA,"20722","auto",NA,NA,NA
"26","2019-08-27 13:33:43-03","IAP","PACA-AGP","4675","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Rambo, B.",NA,"1941","02","18",NA,"Brasil",NA,NA,"Habitat: In silva primaeva. Fenofase: estéril","PACA004675","RS","Boca do Mato","-54.2630996704102","-28.2992000579834",NA,NA,"Magnoliophyta","Umbellales","(Marchal) J. Wen","Santo Ângelo",NA,NA,NA,"P. Fiaschi","2011","03",NA,NA,"Magnoliatae",NA,"25915","auto",NA,NA,NA
"27","2019-08-27 13:33:43-03","IAP","PACA-AGP","57187","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Rambo, B.",NA,"1955","04",NA,NA,"Brasil",NA,NA,"EM PERIGO Habitat: In silva. Fenofase: fruto","PACA057187","RS","Bohmerschneis","-51.3755989074707","-29.5867004394531",NA,NA,"Magnoliophyta","Umbellales","(Marchal) J. Wen","São Sebastião do Caí",NA,NA,NA,"P. Fiaschi","2011","03",NA,NA,"Magnoliatae",NA,"12036","auto",NA,NA,NA
"28","2019-08-27 13:33:43-03","IAP","PACA-AGP","67358","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Leitao f.",NA,"1982","01","29",NA,"Brasil",NA,NA,"Altura de 15m.Herb. Univ. Est. Campinas 13280. Habitat: Em área de transição mata-cerrado. Fenofase: flor creme esverdeada","PACA067358","SP","Faz. Aritozina","-47.5499992370605","-21.4699993133545",NA,NA,"Magnoliophyta","Umbellales","(Marchal) J. Wen","Sao Simao",NA,NA,NA,"P. Fiaschi","2011","03",NA,NA,"Magnoliatae",NA,"27881","auto",NA,NA,NA
"29","2019-08-27 13:33:43-03","IAP","PACA-AGP","39974","PreservedSpecimen","Plantae","Araliaceae","Pentapanax","warmingianus","Pentapanax warmingianus","Rambo, B.",NA,"1949","01","12",NA,"Brasil",NA,NA,"EM PERIGO&nf;SEM MATERIAL Habitat: in silva primaeva Fenofase: estéril","PACA039974","RS","ad montem Ferrabraz","-51.1472015380859","-29.7602996826172",NA,NA,"Magnoliophyta","Umbellales","(Marchal) Harms","São Leopoldo",NA,NA,NA,"Emrich-Rambo","1954","05","05",NA,"Magnoliatae",NA,"10287","auto",NA,NA,NA
"30","2020-12-20 21:15:32-03","UFV","VIC","2493","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Kuhlmann, J.G.","s.n.","1935","11","11",NA,"Brasil",NA,NA,NA,"VIC002493","Minas Gerais","Represa","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"(Marchal) J.Wen","Viçosa",NA,NA,"VIC002493",NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA
"31","2020-12-20 21:15:32-03","UFV","VIC","1327","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Kuhlmann, J.G.","s.n.","1936","02","20",NA,"Brasil",NA,NA,NA,"VIC001327","Minas Gerais","Represa","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"(Marchal) J.Wen","Viçosa",NA,NA,"VIC001327",NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA
"32","2020-12-20 21:15:32-03","UFV","VIC","1415","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Kuhlmann, J.G.","s.n.","1934","12","13",NA,"Brasil",NA,NA,NA,"VIC001415","Minas Gerais","E. S. A. V.","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"(Marchal) J.Wen","Viçosa",NA,NA,"VIC001415",NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA
"33","2019-11-27 13:46:07-03","UFS","ASE","1210","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Andrade-Lima, D de; F.deA.Carvalho; P.F.de Araújo","1101","1971","11","30","Southern America","Brasil",NA,NA,"Árvore. 7-8m. . inflorescência axilar não exatamente terminal.; Árvore. 7-8m. . inflorescência axilar não exatamente terminal.; Caatinga","ASE0013362","Paraíba","estrada p/ Bonito de Santa Fé","-38.508611","-7.562222","-38.508611","-7.562222","Magnoliophyta",NA,"(Marchal) J.Wen","Mata Grande",NA,NA,"ASE0013362","Campos, DA","2015","09","04",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:22:31-03","UNICAMP","UEC","30264","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Leitão Filho, HF; Martins, FR; Stubblebine, WH","13280","1982","01","29",NA,"Brazil",NA,NA,"Árvore até 15m; flores creme esverdeadas.; Em área de transição mata-cerrado.","UEC160930","São Paulo","Fazenda Aritozina.","-47.5499992370605","-21.4699993133545",NA,NA,"Magnoliopsida",NA,"(Marchal) J. Wen","São Simão",NA,NA,"UEC160930","Fiaschi, P","2005",NA,NA,NA,NA,NA,"27881","auto",NA,NA,NA
"35","2019-11-19 14:04:42-03","UFRPE","PEUFR","4179","PreservedSpecimen","Plantae","Araliaceae","Coudenbergia","warmingianna","Coudenbergia warmingianna","Dárdano de Andrade-Lima; Francisco de Assis Carvalho; Paulo Ferreira de Araújo.",NA,"1971","11","30",NA,"Brasil",NA,NA,"Árvore com cerca de 7-8cm; casca cinza; com súber espesso, fendido longitudinalmente - desprendendo-se facilmente; Inflorescência não exatamente terminal. Coordenadas geográficas do município 7° 33' 43? S, 38° 30' 32? W","PEUFR004179","Paraíba","4,5Km de Mata Grande; Na estrada para Bonito de Santa Fé.","-38.5088996887207","-7.56222009658813",NA,NA,NA,NA,NA,"Conceição",NA,NA,NA,"Graziela Barroso","1975",NA,NA,NA,NA,NA,"29348","auto",NA,NA,NA
"36","2019-11-19 14:04:42-03","UFRPE","PEUFR","14182","PreservedSpecimen","Plantae","Araliaceae","Coudenbergia","warmingianna","Coudenbergia warmingianna","Elba Ferras","260","1993","03","25",NA,"Brasil",NA,NA,"Árvore com cerca de 12m, elevada frequência na área; Coordenadas geográficas do município 7° 59' 9? S, 38° 17' 45? W.","PEUFR014182","Pernambuco","Serra de mandasaia","-38.2983016967773","-7.99194002151489",NA,NA,NA,NA,NA,"Serra Talhada","700","700",NA,"Rita Pereira","1993",NA,NA,NA,NA,NA,"55090","auto",NA,NA,NA
"37","2020-10-14 09:58:31-03","FURB","FURB","20629","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Stival-Santos, A.; Schmitt, J. & Silveira, S.","1524","2009","05","13",NA,"Brasil",NA,NA,"Fito IFFSC 6005 /L/10 Habitat: Floresta Estacional Decidual; Estágio Avançado Habito: arbórea;","FURB00611","Santa Catarina","Escondida.","-53.3775","-26.4719445","-53.3775000","-26.4719445",NA,NA,"(Marchal) J.Wen","Palma Sola","709","709","FURB00611","Stival-Santos, A","2009","05","13",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-10-14 09:58:31-03","FURB","FURB","53751","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Caxambu, M.G.; Alves Nunes, A.; Monteiro, M.R.","7742","2017","01","12",NA,"Brasil",NA,NA,"Heliófita, folhas levemente discolores, flores com cálice verde e corola alva. Casca fissulada. Ocorrência ocasional Habitat: Relevo suave-ondulado. Vegetação Floresta Estacional Semidecidual Submontana Habito: Árvore","FURB53751","Paraná","Estrada de chão Céu Azul-Serranópolis do Iguaçu. Parque Nacional do Iguaçu","-53.8663889","-25.2969444","-53.8663889","-25.2969444",NA,NA,"(Marchal) J.Wen","Matelândia","480","480","FURB53751_1 FURB53751_2","Caxambu, M.G.","2017","01","12",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-16 17:50:08-03","UCS","HUCS","46033","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Geraldino, H.C.L.","18","2005","05","22",NA,"Brasil",NA,NA,"Árvore ca. 15m, tronco cascudo, folhas compostas, opostas, glabras. Presença de frutos em forma de cacho cor amareo escuro.&nf;&nf;Permuta HCF 2240; heliófita",NA,"Paraná","Pousada A Fazendinha","-52.3830986022949","-24.0456008911133",NA,NA,"Angiospermae","Apiales","(E. March.) J. Wen","Campo Mourão",NA,NA,NA,"Cordeiro, J.; Barbosa, E.","2005",NA,NA,NA,NA,NA,"28572","auto",NA,NA,NA
"40","2021-02-12 18:11:55-03","UFES","VIES","758","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Vinha, P.C.","s.n.","1985","05","06",NA,"Brasil",NA,NA,NA,"VIES000758","Espírito Santo","Campus da UFES - Goiabeiras.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,"(Marchal) J.Wen","Vitória",NA,NA,"VIES000758",NA,NA,NA,NA,NA,NA,NA,"15291","auto",NA,NA,NA
"41","2019-08-16 08:38:22-03","UTFPR","HCF","22244","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","M.G. Caxambu","7742","2017","01","12",NA,"Brasil",NA,NA,"árvore ca. 15 m, heliófita. Folhas levemente discolores. Flores com cálice verde e corola alva. Casca fissurada. Ocorrência ocasional.",NA,"PR","Parque Nacional do Iguaçu - Estrada de","-53.866389","-25.296833","53°51'59 w","25°17'48,6 S",NA,NA,"(Marchal) J. Wen","Céu Azul","480","480",NA,"M.G. Caxambu","2017","01","12",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-08-16 08:38:22-03","UTFPR","HCF","2240","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","H.C.L. Geraldino","18","2005","05","22",NA,"Brasil",NA,NA,"Árvore ca. 15m, heliófita, tronco cascudo, folhas compostas, opostas, glabras. Presença de frutos em forma de cacho na cor amarelo escuro.",NA,"PR","Pousada A Fazendinha","-52.3830986022949","-24.0456008911133",NA,NA,NA,NA,"(Marchal) J. Wen","Campo Mourão",NA,NA,NA,"J. Cordeiro & E. Barboza","2005","09",NA,NA,NA,NA,"28572","auto",NA,NA,NA
"43","2013-04-01 09:19:07-03","IPT","BCTW","19158","S","Plantae",NA,"Pentapanax","warmingianus","Pentapanax warmingianus","Ceccantini, G.C.T.","315",NA,NA,NA,NA,"Brasil",NA,NA,"mata ciliar próximo as margens do rio Salitre, altura ~4m., DAP = 20cm.",NA,"Minas Gerais","Serra do Salitre","-46.9925","-18.9439",NA,NA,"Magnoliophyta",NA,"(Marchal) Harms.","Patrocínio",NA,NA,NA,"José Rubens Pirani",NA,NA,NA,NA,"Magnoliopsida",NA,"44638","auto",NA,NA,NA
"44","2013-04-01 09:19:05-03","IPT","BCTW","13044","S","Plantae",NA,"Pentapanax","warmingianus","Pentapanax warmingianus",NA,NA,NA,NA,NA,NA,"Paraguai",NA,NA,NA,NA,"Asunción","Jardim Botânico de Assunção",NA,NA,NA,NA,"Magnoliophyta",NA,"(Marchal) Harms.","Assunção",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:13:24-03","MBM","MBM","141048","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Schulz, A.C.","17690","1970","09","04","Southern America","Argentina",NA,NA,NA,"MBM141048",NA,"Chaco",NA,NA,NA,NA,NA,NA,"(Marchal) Wen",NA,NA,NA,"MBM141048","Sobral, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:13:24-03","MBM","MBM","157192","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Tramujas, A.P.","549","1991","11","09","Southern America","Brazil",NA,NA,NA,"MBM157192","Paraná","Reserva Rio dos Touros","-51.6596984863281","-25.6956005096436",NA,NA,NA,NA,"(Marchal) Wen","Pinhão",NA,NA,"MBM157192","Sobral, M.",NA,NA,NA,NA,NA,NA,"37408","auto",NA,NA,NA
