"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","relatedCatalogItem","typeStatus"
"11","2021-03-04 11:06:26-03","UFRB","HURB","17250","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba","T.D.Penn",NA,"Almeida, T.",NA,NA,"Brasil","Bahia","Salvador","Ipitanga; APA Joanes","-38.510799407959","-12.9710998535156",NA,"P 216 A1. <ll>dwc_commonname:</ll> Sapoti de cutia","HURB000017250",NA,"2016","04","19",NA,NA,NA,NA,NA,NA,"26018","auto",NA,NA,NA,NA,NA,NA
"12","2021-02-25 10:11:52-03","CVRD","CVRD","3601","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","aff. bapeba","Pouteria aff. bapeba","T.D.Penn.","Terry D. Pennington","Folli, D.A.","1505","América do Sul","BRASIL","ES","Linhares","Linha A, 750m.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Bapeba branca","CVRD003601",NA,"1991","11","27",NA,NA,NA,NA,"Magnoliopsida",NA,"48094","auto","1997","06","16",NA,NA,NA
"13","2021-02-25 10:11:52-03","CVRD","CVRD","3806","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","aff. bapeba","Pouteria aff. bapeba","T.D.Penn.","Domingos A. Folli","Farias, G.L.","492","América do Sul","BRASIL","ES","Linhares","Ao lado do aceiro.","-39.88925","-19.077889",NA,"<ll>dwc_commonname:</ll> Bapeba branca","CVRD003806","CVRD003806","1992","02","25","39°53'21,3W","19°04'40,4S","29","29","Magnoliopsida",NA,NA,NA,"1993","08","26",NA,NA,NA
"14","2021-02-25 10:11:52-03","CVRD","CVRD","454","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","aff. bapeba","Pouteria aff. bapeba","T.D.Penn.","Terry D. Pennington","Silva, I.A.","108","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Bapeba branca","CVRD000454",NA,"1979","11","06",NA,NA,NA,NA,"Magnoliopsida",NA,"48094","auto","1997","06","16",NA,NA,NA
"15","2021-02-25 10:11:52-03","CVRD","CVRD","816","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","aff. bapeba","Pouteria aff. bapeba","T.D.Penn.","Domingos A. Folli","Folli, D.A.","343","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Bapeba branca","CVRD000816","CVRD000816","1981","11","11",NA,NA,NA,NA,"Magnoliopsida",NA,"48094","auto","1993","04","28",NA,NA,NA
"16","2021-02-25 10:11:52-03","CVRD","CVRD","815","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","aff. bapeba","Pouteria aff. bapeba","T.D.Penn.","Domingos A. Folli","Folli, D.A.","342","América do Sul","BRASIL","ES","Linhares","Próximo ao Escritório Técnico.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Bapeba branca","CVRD000815",NA,"1981","11","11",NA,NA,NA,NA,"Magnoliopsida",NA,"48094","auto","1992","10","28",NA,NA,NA
"17","2018-05-14 16:28:25-03","F","FMNH-SEEDPLANTS","V0324541F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba",NA,"RRC ID Flag","G. Bondar","2354","South America","Brazil","Bahia",NA,NA,"-42","-11",NA,NA,"V0324541F","V0324541F_01 V0324541F_02",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"2354",NA,NA
"18","2015-04-16 14:16:22-03","F","FMNH-SEEDPLANTS","V0324542F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0324542F","V0324542F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-23 12:22:27-03","CEPLAC","CEPEC","45681","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba",NA,"A. Alves-Araújo","F. S. Santos","775",NA,"Brasil","Bahia","SANTA CRUZ CABRÁLIA","Área da Estação Ecológica do Pai-brasil (ESPAB). CEPLAC. Ca. 16Km a W de Porto Seguro. Rod. BR-367. àrea do Arboreto, quadra nº 922.","-39.133333","-16.383333",NA,"<ll>dwc_commonname:</ll> Bapeba",NA,NA,"1987","12","10","39W8'","16S23'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17/06/2008",NA
"20","2020-07-23 12:22:27-03","CEPLAC","CEPEC","140099","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba",NA,"Sem Informação","Carvalho, G. M.",NA,NA,"Brasil","Bahia","PORTO SEGURO","RPPN Estação Veracel","-39.133333","-16.333333",NA,"Indivíduo P38-08",NA,NA,NA,NA,NA,"39W8'0","16S20'0","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-23 12:22:27-03","CEPLAC","CEPEC","6263","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba",NA,"T. D. Pennington","T. S. dos Santos","1249",NA,"Brasil","Bahia","IPIAÚ","Estrada para Jequié.","-39.7338981628418","-14.1372003555298",NA,"<ll>dwc_commonname:</ll> Bapeba",NA,NA,"1970","10","31","0W0'0","0S0'0",NA,NA,NA,NA,"24789","auto",NA,NA,NA,NA,"30/12/1990","Paratipo"
"22","2020-07-23 12:22:27-03","CEPLAC","CEPEC","6128","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba",NA,"T. D. Pennington","T. S. dos Santos","1108",NA,"Brasil","Bahia","BELMONTE","Estação Experimental de Belmonte. CEPLAC.","-38.8828010559082","-15.8631000518799",NA,"<ll>dwc_commonname:</ll> Bapeba",NA,NA,"1970","09","18","0W0'0","0S0'0",NA,NA,NA,NA,"71281","auto",NA,NA,NA,NA,"30/12/1990","Paratipo"
"23","2020-07-23 12:22:27-03","CEPLAC","CEPEC","4769","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba",NA,"T. D. Pennington","J. A. de Jesus","58",NA,"Brasil","Bahia","ITAMARAJÚ","Saída Itamarajú/São Paulinho.","-39.5311012268066","-17.0391998291016",NA,"<ll>dwc_commonname:</ll> Bapeba",NA,NA,"1968","09","17","0W0'0","0S0'0",NA,NA,NA,NA,"55932","auto",NA,NA,NA,NA,"30/12/1990","Isótipo"
"24","2021-03-04 15:42:58-03","IF","SPSF","48149","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","bapeba","Pouteria bapeba","T.D.Penn.","T.D.Pennington","D.A.Folli","1505","América do Sul","Brasil","ES","Linhares","Reserva Natural Vale, Aceiro João Pedro","-40.0722007751465","-19.3910999298096",NA,"COLETA: Arbóreo; botão verde claro; flor verde claro; exsudação branca-latex; descamação ausente; forma do fuste: achatado; superfície da casca: áspera; altura total: 16m; altura do fuste: 6m; cap fuste: 81,68cm; diâmetro da copa: 6m&nf;Bapeba branca&nf;1 du",NA,NA,"1991","11","27",NA,NA,NA,NA,"Magnoliopsida",NA,"48094","auto","1997","06","16",NA,NA,NA
"25","2020-05-07 17:16:20-03","IBt","SP","260850","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba","T.D.Penn.",NA,"Santos, FS","775",NA,"Brasil","Bahia","Santa Cruz Cabrália",NA,"-39.0247001647949","-16.2780990600586",NA,NA,NA,NA,"1987","12","10",NA,NA,NA,NA,NA,NA,"49584","auto",NA,NA,NA,NA,NA,NA
