"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","typeStatus","monthIdentified","dayIdentified","individualCount","class","relatedCatalogItem"
"12","2021-02-11 17:19:55-03","UFPR","UPCB","57428","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","Goldenberg, R.","Goldenberg, R.","907","2007","07","11",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"650","650",NA,"Arvoreta 4m, flores com anteras creme-amareladas, odor levemente acre e doce. Floresta de Encosta, próximo ao rio Timbuí..","UPCB0017072","UPCB0017072",NA,NA,"2007","9999","9999",NA,"01","01",NA,NA,NA
"13","2021-02-11 17:19:55-03","UFPR","UPCB","57430","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","Goldenberg, R.","Goldenberg, R.","909","2007","07","12",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"750","750",NA,"Arbusto 0,5m, flores com pétalas brancas. Mata Atlântica de encosta..","UPCB0017058","UPCB0017058",NA,NA,"2007","9999","9999",NA,"01","01",NA,NA,NA
"14","2021-02-11 17:19:55-03","UFPR","UPCB","71921","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","Caddah, M.K.","Caddah, M.K.","856","2011","02","08",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"675","675",NA,"Arvoreta ca. 2,5. Inflorescência jovem. Coleta em sílica..","UPCB0017041","UPCB0017041",NA,NA,"2011","9999","9999",NA,"02","08",NA,NA,NA
"15","2021-02-11 17:19:55-03","UFPR","UPCB","82816","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","Goldenberg, R.","Kollmann, L.","8220","2005","08","12",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Arvoreto 4m, botões marrons..","UPCB0017048","UPCB0017048","23813","auto","2015",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:19:55-03","UFPR","UPCB","84939","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R. Goldenb.","Goldenberg, R.","Goldenberg, R. et al.","2130","2015","04","14",NA,"Brasil","Espírito Santo","Santa Leopoldina","Estrada para o Rio da Farinha","-40.5297012329102","-20.1005992889404",NA,NA,NA,"Árvore 7m, em grotão; botões muitos novos castanhos..","UPCB0017064","UPCB0017064","23799","auto","2015",NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-02-23 10:24:00-03","MO","MOBOT","1498913","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R. Goldenb.","R. Goldenberg","L.D. Thomaz","Thomaz s.n.","1993","7","21","South America","Brazil","Espírito Santo",NA,"Mun. Santa Teresa, Estacão Biológica de Santa Lúcia (Mata Atlântica de encosta.","-40.6","-19.91666","650.00000000","800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA
"18","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","24733",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","R. Goldenberg/2008","Tadeu A. Cruz; et al","57","2003","05","24",NA,"Brasil","Espírito Santo","Santa Teresa","Parque Natural Municipal de São Lourenço","-40.620278","-19.923889",NA,NA,NA,"Área 2, parcela 2, árvore 7m, n°449, Dap 52cm. Botões verdes.","MBML024733","MBML024733",NA,NA,NA,"40W37'13","19S55'26",NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","24827",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","R. Goldenberg/Julho-2007","L. Kollmann","8220","2005","08","12",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Arvoreto 4m, botões marrons.","MBML024827","MBML024827",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","25323",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","L. Kollmann/19-01-2006","L. Kollmann; et al","8564","2006","01","19",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Arbusto 4m. Estéril.","MBML025323","MBML025323",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","28053",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","F. Z. Saiter","F. Z. Saiter","203","2005","07","02",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Arvoreta 3m alt., c/ botões cor bege, trilha do Sagui, não amostrada.","MBML028053","MBML028053",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","30899",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","R. Goldenberg/11-07-2007","L. Kollmann; R. Goldenberg, P. Labiak & F. B. Matos","9868","2007","07","11",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha do túmulo.","-40.530278","-19.971389",NA,NA,NA,"Flores marrons e folhas marrons na face abaxial.","MBML030899","MBML030899",NA,NA,"2007","40W31'49","19S58'17",NA,"07","11",NA,NA,NA
"23","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","33356",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","R. Goldenberg/2007","R. Goldenberg; et al","909","2007","07","12",NA,"Brasil","Espírito Santo","Santa Teresa","Alto de Santo Antônio, terreno do Boza","-40.591667","-19.909167",NA,NA,NA,"Arbusto 0,5m, flores com pétalas brancas.","MBML033356","MBML033356",NA,NA,NA,"40W35'30","19S54'33",NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","33368",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","R. Goldenberg/2007","R. Goldenberg; et al","907","2007","07","11",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Arvoreta 4m, flores com anteras creme-amareladas, odor levemente, odor levemente acre e doce.","MBML033368","MBML033368",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA
"25","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","52369",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R. Goldenb.","J.F.A. Baumgratz/05-2017","J.F.A. Baumgratz; M. Bovini & C.D.M. Ferreira","1520","2017","05","19",NA,"Brasil","Espírito Santo","Alfredo Chaves","Distrito Sagrada Família. Propriedade do Sr. Pedro Paulo Vilela (Sr. Pio)","-40.703333","-20.563056","635","635",NA,"Floresta Ombrófila Densa Montana e Sub-Montana. Ramos e pecíolos castanho-escuros, folhas discolores, face adaxial verde, face abaxial pardo-acinzentado-clara, inflorescências jovens pardacentas. Altura 2m. Habitat: Em mata de encosta","MBML052369","MBML052369",NA,NA,NA,"40W42'12","20S33'47",NA,NA,NA,NA,NA,NA
"26","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","7131",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","R. Goldenberg/1998","R. Goldenberg; A. L. B. Sartori, A. Sciamarelli, I. Koch e V. F. Mansano","375","1996","08","20",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Árvore 4m, em floresta alta, de encosta. Flores com hipanto bege, pétalas brancas, fortemente emarginadas, estames brancos; frutos imaturos arroxeados.","MBML007131","MBML007131",NA,NA,NA,"40W31'49","19S58'17","PARATIPO",NA,NA,NA,NA,NA
"27","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","9300",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","R. Goldenberg/1999","L. D. Thomaz",NA,"1993","07","21",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Árvore 8m. Flores brancas. Não amostrada, próximo à Parcela 63.","MBML009300","MBML009300",NA,NA,NA,"40W31'49","19S58'17","ISOTIPO",NA,NA,"2",NA,NA
"28","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","9301",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","R. Goldenberg/1999","L. D. Thomaz","848","1993","07","21",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Árvore 16m. PAP 48cm. Caule interno amarelado. Flores brancas.","MBML009301","MBML009301",NA,NA,NA,"40W31'49","19S58'17","PARATIPO",NA,NA,"5",NA,NA
"29","2020-07-10 09:47:28-03","MBML","MBML-HERBARIO","48574",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R. Goldenberg","R. Goldenberg/2015","R. Goldenberg; L. Kollmann & T.S. Filgueiras","2130","2015","04","14",NA,"Brasil","Espírito Santo","Santa Leopoldina","Estrada para o Rio da Farinha","-40.5297012329102","-20.1005992889404",NA,NA,NA,"Árvore 7m, em grotão; botões muito novos castanhos","MBML048574","MBML048574","23799","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","3505827","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","capixaba","Miconia capixaba","R. Goldenb.",NA,"R. Goldenberg, A. Sartori, A. Sciamarelli, I. Koch & V. Mansano","375","1996","8","20","South America - Neotropics","Brazil","Espírito Santo",NA,"Espírito Santo, Santa Teresa, Reserva Biológica de Santa Lúcia.",NA,NA,NA,NA,NA,NA,"US02937310","US02937310_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"31","2020-09-12 05:00:02-03","US","US","3184408","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","capixaba","Miconia capixaba","R. Goldenb.",NA,"H. Q. Boudet Fernandes","1480","1985","9","11","South America - Neotropics","Brazil","Espírito Santo",NA,"Estado do Espírito Santo, Município de Santa Teresa, Caountry Clube.",NA,NA,NA,NA,NA,NA,"US02937311","US02937311_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"32","2020-07-23 12:13:10-03","CEPLAC","CEPEC","136830","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba",NA,"R. Goldenberg","R. Goldenberg","907",NA,NA,NA,NA,"Brasil","Espírito Santo","SANTA TERESA",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-07-23 12:13:10-03","CEPLAC","CEPEC","85308","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba",NA,"R. Goldenberg","L. D. Thomaz",NA,"1993","07","21",NA,"Brasil","Espírito Santo","SANTA TERESA","Estação Biológica de Santa Lúcia. Próximo a parcela 63.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,"Isótipo",NA,NA,NA,NA,"30/12/1999"
"34","2019-05-06 11:59:38-03","UFU","HUFU","61203","S","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","Bacci, L.F.","Cruz, T.A.; Subtil, I.N. & Cruz, D.T.","57","2003","05","24",NA,"Brasil","Espírito Santo","Santa Teresa","Parque Natural Municipal de São Lourenço, Área 2, parcela 2.","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Árvore, ca. 7 m alt, DAP 52 cm. Botões verdes.","HUFU00062463","HUFU00062463","23813","auto","2013",NA,NA,NA,"11",NA,NA,NA,NA
"35","2019-05-06 11:59:38-03","UFU","HUFU","9636","S","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","Bacci, L.F.","Thomaz","819","1994","08","30",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Mata atlântica de encosta.","HUFU00062464","HUFU00062464","23813","auto","2013",NA,NA,NA,"11",NA,NA,NA,NA
"36","2019-11-21 10:10:01-03","IBt","SP","491826","S","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","Baumgratz, JFA","Baumgratz, JFA; et al.","1520","2017","05","19",NA,"Brasil","Espírito Santo","Alfredo Chaves","Distrito Sagrada Família","-40.703333","-20.563056","635","635",NA,NA,NA,NA,NA,NA,"2017","-40.703333","-20.563056",NA,"05",NA,NA,NA,NA
