"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","infraspecificEpithet","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"19","2016-09-27 05:06:00-03","NY","NYBG","642169","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,"N. A. Rosa","M. R. dos Santos","320","1978","11","17","Brazil","Pará","Almeirim","Monte Dourado, Beiradao. estrada da caixa d'agua","-52.5817","-1.5233",NA,NA,NA,NA,"NY00642169","NY00642169_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749302' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1127994","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Engl.","K. Yamamoto","A. P. Duarte","3402","1950","12","08","Brazil","Santa Catarina",NA,"Lagôa da Conceição.",NA,NA,NA,NA,NA,NA,"NY01127994","NY01127994_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274188' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"21","2016-09-27 05:05:00-03","NY","NYBG","1758951","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,NA,"P. da C. Gadelha Neto","3124","2011","11","17","Brazil","Paraíba",NA,"Mataraca. Millennium Inorganic Chemicals Mineração Ltda.","-34.9769","-6.5022",NA,NA,NA,NA,"NY01758951","NY01758951_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2032824' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"22","2016-09-27 05:05:00-03","NY","NYBG","1127974","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,"K. Yamamoto","E. P. Heringer","8377","1961","05","23","Brazil","Distrito Federal","Brasília","Sobradinho","-47.9294","-15.7797",NA,NA,NA,NA,"NY01127974","NY01127974_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272471' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1128041","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Engl.","K. Yamamoto","P. K. H. Dusén","10732","1910","10","22","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"NY01128041","NY01128041_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274892' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1128115","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Engl.",NA,"A. F. Regnell","I:27+",NA,NA,NA,"Brazil","Minas Gerais","Caldas",NA,"-46.3858","-21.9236",NA,NA,NA,NA,"NY01128115","NY01128115_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275557' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","428965","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"G. Gardner","V1514","1838","08",NA,"Brazil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,"NY00428965","NY00428965_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103084' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","latifolia","type","South America","sheet",NA,NA,NA,NA,NA,NA
"26","2020-06-29 11:31:45-03","UFRJ","RFA","11270","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.",NA,"P. Occhioni","4701","1971","11",NA,"Brasil","Santa Catarina","Florianópolis","Lagoa Conceição","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"RFA47089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA
"27","2020-06-29 11:31:45-03","UFRJ","RFA","19682","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","G. S. Salvador","P. Occhioni","8563","1977","11","25","Brasil","Santa Catarina","Laguna",NA,"-48.7807998657227","-28.4825000762939",NA,NA,NA,NA,"RFA47091",NA,"2005","11","17","Arbusto copado, flor amarelo-intenso, ornamental",NA,NA,NA,NA,NA,NA,"21199","auto",NA,NA,NA,NA
"28","2021-03-30 12:46:16-03","EAO","IAN","40188","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"sc","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN040188",NA,NA,NA,NA,NA,"Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:46:16-03","EAO","IAN","93803","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"Glaziou, AFM","12533","1881","09","10","Brasil","Minas Gerais",NA,"Serra de Ouro Branco, ambois de bois.",NA,NA,NA,NA,NA,NA,"IAN093803",NA,NA,NA,NA,"Arbuste; fl. jaunes.","Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:46:16-03","EAO","IAN","94238","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"Glaziou, AFM","12533","1896","05","27","Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,"IAN094238",NA,NA,NA,NA,NA,"Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:46:16-03","EAO","IAN","197260","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.",NA,"Lobato, LCB; Rosa, M","3921","2009","12","13","Brasil","Amapá","Amapá","Flona do Amapá. Área de destinada ao PPBIO. Floresta de tera firme.","-50.793098449707","2.0533299446106",NA,NA,NA,NA,"IAN197260",NA,NA,NA,NA,"Arbusto de 2,0m de altura, inflorescência amarelada.","Dicotiledônea",NA,NA,NA,"Southern America",NA,"134143","auto",NA,NA,NA,NA
"32","2021-03-30 12:46:16-03","EAO","IAN","13704","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.","Barreto, M","Nestor, J","s.n.","1942","10","05","Brasil","Minas Gerais","Belo Horizonte","Capoeira, Estação Experimental.","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"IAN013704","IAN013704 IAN013704_e",NA,NA,NA,"Árvore de 6m de altura; flores amarelas; muito frequente.","Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,"17082","auto",NA,NA,NA,NA
"33","2021-03-30 12:46:16-03","EAO","IAN","192588","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"Lobato, LCB; Ferreira, LV; Andrade, D; Calderaro, D","3536","2008","11",NA,"Brasil","Pará","Itaituba","Vila de São Luiz do Tapajós. Vegetação sobre afloramentos rochosos e arenosos ao longo da calha do rio.","-55.9836006164551","-4.27611017227173",NA,NA,NA,NA,"IAN192588",NA,NA,NA,NA,"Arbusto de 2 m de altura, inflorescência amarela e frutos maduros vermelhos.","Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,"457045","auto",NA,NA,NA,NA
"34","2021-03-30 12:46:16-03","EAO","IAN","40188","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"sc","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN040188",NA,NA,NA,NA,NA,"Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:46:16-03","EAO","IAN","93803","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"Glaziou, AFM","12533","1881","09","10","Brasil","Minas Gerais",NA,"Serra de Ouro Branco, ambois de bois.",NA,NA,NA,NA,NA,NA,"IAN093803",NA,NA,NA,NA,"Arbuste; fl. jaunes.","Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:46:16-03","EAO","IAN","94238","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"Glaziou, AFM","12533","1896","05","27","Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,"IAN094238",NA,NA,NA,NA,NA,"Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:46:16-03","EAO","IAN","13704","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.","Barreto, M","Nestor, J","s.n.","1942","10","05","Brasil","Minas Gerais","Belo Horizonte","Capoeira, Estação Experimental.","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"IAN013704","IAN013704 IAN013704_e",NA,NA,NA,"Árvore de 6m de altura; flores amarelas; muito frequente.","Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,"17082","auto",NA,NA,NA,NA
"38","2021-03-30 12:46:16-03","EAO","IAN","192588","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"Lobato, LCB; Ferreira, LV; Andrade, D; Calderaro, D","3536","2008","11",NA,"Brasil","Pará","Itaituba","Vila de São Luiz do Tapajós. Vegetação sobre afloramentos rochosos e arenosos ao longo da calha do rio.","-55.9836006164551","-4.27611017227173",NA,NA,NA,NA,"IAN192588",NA,NA,NA,NA,"Arbusto de 2 m de altura, inflorescência amarela e frutos maduros vermelhos.","Dicotiledônea",NA,"latifolia",NA,"Southern America",NA,"457045","auto",NA,NA,NA,NA
"39","2020-02-08 09:55:51-03","NBC","NL-BOTANY","L.2398770","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","australis","Ouratea australis","Ule",NA,"Claussen P",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L2398770","NL-L2398770",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2398770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Malpighiales",NA,NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"40","2020-02-08 09:55:51-03","NBC","NL-BOTANY","L.2398771","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","australis","Ouratea australis","Ule",NA,"Claussen P",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L2398771","NL-L2398771",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2398771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Malpighiales",NA,NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"41","2020-02-08 09:55:56-03","NBC","NL-BOTANY","L.2398688","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Engl.",NA,"Dusén PKH",NA,"1910","10","22","Brazil",NA,NA,"Parana, ad marg. Subuliginas. Silvulae.?",NA,NA,NA,NA,NA,NA,"NL-L2398688","NL-L2398688",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2398688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Malpighiales",NA,NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"42","2020-02-08 09:55:56-03","NBC","NL-BOTANY","L.2398689","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"Gardner CA",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L2398689","NL-L2398689",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2398689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Malpighiales","latifolia",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"43","2020-02-08 09:55:56-03","NBC","NL-BOTANY","L.2398689","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"Gardner CA",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L2398689","NL-L2398689",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2398689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Malpighiales","latifolia",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"44","2020-11-04 12:17:15-03","ESALQ","ESA","82364","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Mello Barreto","Nestor, J.",NA,"1942","10","05","Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"ESA082364","ESA082364",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA
"45","2020-11-04 12:17:15-03","ESALQ","ESA","82362","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Mello Barreto","Mendes Magalhães","2407.0","1942","11","26","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,"ESA082362","ESA082362",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"22051","auto",NA,NA,NA,NA
"46","2020-11-04 12:17:15-03","ESALQ","ESA","82363","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Mello Barreto","Mello Barreto","10190.0","1939","10","17","Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"ESA082363",NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA
"47","2020-11-04 12:17:15-03","ESALQ","ESA","88726","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Ducke","Chacon, R.G.","Maschio, W.","224.0","1997","10","28","Brasil","Paraná","Bocaiúva do Sul",NA,"-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,"ESA088726","ESA088726","2009","09","28",NA,"Magnoliophyta",NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA
"48","2020-11-04 12:17:15-03","ESALQ","ESA","34953","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,NA,"Jarenkow, J.A.","1995.0","1991","11","28","Brasil","Rio Grande do Sul","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"ESA034953","ESA034953",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"20837","auto",NA,NA,NA,NA
"49","2021-01-14 15:32:21-03","MN","R","7981","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Engl.",NA,"Glaziou, A.F.M.","15892","1884","09","18","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"R000007981","R000007981_001",NA,NA,NA,"Plantas do Brasil Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
