"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"13","2021-03-15 16:37:00-03","NY","NYBG","4202090","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","A. Jardim","330","1994","02","05","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526832' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202090","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","El Fuerte, Samaipata, Pradera sub montaña en la pendiente","-63.817319","-18.16983",NA,"1890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4202077","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","38477","1989","12","27","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526819' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202077","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Vallegrande","2 km SSE of Los Sitanos","-63.95","-18.875",NA,"1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4202105","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","44349","1994","01","08","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526847' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202105","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","6 km (by air) SW of Bermejo","-63.675","-18.1556",NA,"1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4202103","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","D. Villarroel S.","1623","2007","12","12","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526845' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202103","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","Bella Vista, Bosque Boliviano Tucumano","-63.68372","-18.23931",NA,"1555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01131767","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","G. G. Hatschbach","13368","1965","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279690' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131767","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","L. B. Smith","Paraná","Foz do Iguaçu","Parque Nacional do Foz de Iguaçú","-54.42","-25.68","NY01131767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","4202098","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","B. A. Krukoff","10507","1939","07","01","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526840' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202098","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"La Paz","Sud Yungas","Basin of Rio Bopi, San Bartolome (near Calisaya)",NA,NA,NA,"750","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","4202070","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","50289","1999","10","23","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526812' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202070","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","6 km (by air) E of Bermejo, 10.5 km by road to the antennas of Cerro Sillar, from turnoff at Bermejo from the Santa Cruz - Samaipata highway","-63.58","-18.13",NA,"1450","1525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01131762","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","O. Handro","828","1958","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279608' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131762","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","L. B. Smith","São Paulo","Moji-Guaçu","Reserva Florestal, perto de Padua Sales",NA,NA,"NY01131762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01131766","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","G. G. Hatschbach","13368","1965","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279683' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131766","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","G. G. Hatschbach","Paraná","Foz do Iguaçu","Parque Nacional do Foz de Iguaçú","-54.42","-25.68","NY01131766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","4202069","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. Saldías Paz","4729","1996","08","03","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526811' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202069","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","El Sillar, cerca de 10 km S de Bermejo","-63.58","-18.13",NA,"1420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01131764","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","P. E. Gibbs","4268","1977","01","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279609' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131764","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","M. do Rio","São Paulo","Moji-Guaçu","25 km. NW de Mogi-Guaçú. Estaçao Experimental de Mogi-Guaçú",NA,NA,"NY01131764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","4202100","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","B. A. Krukoff","10515","1939","07","01","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526842' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202100","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"La Paz","Sud Yungas","Basin of Rio Bopi, San Bartolome (near Calisaya)",NA,NA,NA,"750","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","4202074","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. A. Lewis","40694","1991","11","27","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526816' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202074","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"La Paz","Inquisivi","Chulipa Marka - spine-like ridge south of junction of the Rio Aguilani and Rio Miguillas where we first discovered the ruins of Choquecamiri. Collections made by Virgilio Kuno in the ruins area. 19 km N of Choquetanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","4202092","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","J. Gutiérrez","800","2004","07","30","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526834' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202092","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Chuquisaca","Hernando Siles","Añimbo. Aproximadamente a 4 km al NE de la comunidad de Añimbo","-64.07661","-20.561781",NA,"1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","230336","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","48232","1998","02","01","South America","Bolivia",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230336","Magnoliophyta","Gentianales","(Müll.Arg.) Marcgr.","M. H. Nee","Santa Cruz","Florida","Bottom of valley of Río Achira and steep slopes above highway from Santa Cruz to Samaipata, near cemetery near Achira.","-63.78","-18.17",NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","4202072","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","33811","1987","01","25","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526814' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202072","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Andrés Ibáñez","along road from Santa Cruz to Samaipata, 3 km SW of Angostura","-63.53","-18.17",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","4202078","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","R. S. Williams","57","1902","03","09","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526820' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202078","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"La Paz","Franz Tamayo",NA,NA,NA,NA,"549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01131768","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","J. C. Lindeman","4330","1967","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279696' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131768","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","J. C. Lindeman","Paraná","Guairá","Barra Rio Ivai","-54.2556","-24.08","NY01131768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","4202101","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","I. G. Vargas Caballero","259","2007","01","25","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526843' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202101","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","Bella Vista, El Novillo bosque húmedo (Yunga), acompañados de Cedrela lilloy","-63.48953","-18.27144",NA,"1558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","4202068","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","I. G. Vargas Caballero","228","1989","07","22","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526810' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202068","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Vallegrande","Juntas de Wuaricongas, 8-10 km E de Santa Rosita","-64","-18.55",NA,"1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01131769","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","L. B. Smith","14445","1965","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279844' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131769","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","G. G. Hatschbach","Paraná","Ponta Grossa","Vila Velha","-50.03","-25.22","NY01131769_01","890","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","4202075","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","42070","1991","12","14","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526817' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202075","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","Cerro Cantera, 3.5 km (by air) E of Bermejo, along oil pipeline and old road from Santa Cruz to Bermejo and Samaipata","-63.6","-18.12",NA,"1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","309564","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","49298","1998","05","09","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309564","Magnoliophyta","Gentianales","(Müll.Arg.) Marcgr.","M. H. Nee","Santa Cruz","Florida","6.5 km (by road), 3 km (by air) NE of central square in Mairana on road to Yunga de Mairana.","-63.93","-18.1",NA,"1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","4202094","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","J. Gutiérrez","473","2004","02","08","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526836' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202094","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Chuquisaca","Sud Cinti","Puca Pampa. Aproximadamente a 5 km de Puesto ganadero, en la parte NW del Río Alborniyoj","-64.5","-20.73",NA,"1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","4202104","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","I. G. Vargas Caballero","2329","1993","05","07","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526846' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202104","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Manuel María Caballero","Parque Nacional Amboro. San Mateo, Bajada a Diampampa y Río San Miguel","-64.6967","-17.705",NA,"1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:18:51-03","UFRJ","RFA","9822","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","G.G. Hatschbach","23555","1970","02","15",NA,"Brasil",NA,NA,"Volúvel; flor creme esverdeada","RFA35570",NA,NA,"(Müll.Arg.) Markgr.","F. Markgraf","Mato Grosso do Sul","Bataguassu","Córrego Feio","-52.4221992492676","-21.7141990661621",NA,NA,NA,"65610","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:34:11-03","EAO","IAN","37320","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Dedecca, D","9225","1948","02","19","Southern America","Brasil",NA,NA,NA,"IAN037320","Dicotiledônea",NA,"(Müll.Arg.) Markgr.","Dedecca, D","São Paulo",NA,"Estação Experimental Ibití.",NA,NA,"IAN037320 IAN037320_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:34:11-03","EAO","IAN","55334","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Mendes, OT","4655","1938","11","09","Southern America","Brasil",NA,NA,NA,"IAN055334","Dicotiledônea",NA,"(Müll.Arg.) Markgr.","Gehrt, A","São Paulo","Pindorama",NA,"-48.9000015258789","-21.1800003051758",NA,NA,NA,"14884","auto","1942","08",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-26 18:07:01-03","CPAN-UFMS","COR","17671","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Buttura, E.","428","1980","02","06",NA,"Brasil",NA,NA,"Habito: Liana",NA,NA,NA,"(Müll.Arg.) Markgr.","Hatschbach, G.","Paraná","Guaíra","Parque Nacional Sete Quedas","-54.295556","-24.068889",NA,NA,NA,NA,NA,NA,NA,"54º17'44''W","24º4'8''S",NA,NA,NA,NA,NA,NA
"42","2020-02-08 09:18:39-03","NBC","NL-BOTANY","WAG.1619695","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Brina AE",NA,"1997","03","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1619695 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1619695",NA,"Gentianales","(Müll.Arg.) Markgr.",NA,NA,NA,"Margem do Rio Grande, MG.",NA,NA,"NL-WAG1619695",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"43","2020-02-08 09:18:39-03","NBC","NL-BOTANY","L.2703569","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Fiebrig K",NA,"1902","08","01","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2703569 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2703569",NA,"Gentianales","(Müll.Arg.) Markgr.",NA,NA,NA,"Cordillera de Altos.",NA,NA,"NL-L2703569",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"44","2020-02-08 09:18:39-03","NBC","NL-BOTANY","L.2703570","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Fiebrig K",NA,"1904","01","30","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2703570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2703570",NA,"Gentianales","(Müll.Arg.) Markgr.",NA,NA,NA,"Austro-Boliviensis. O Tarija.",NA,NA,"NL-L2703570",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
