"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","eventTime","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1551137","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata regnelliana","(O.Berg) Landrum",NA,"J. M. A. Braga","1996","01","24","Brazil","Rio de Janeiro","Itatiaia","-44.65833","-22.35833",NA,NA,"NY01551137","NY01551137_01",NA,NA,NA,"3216","Parque Nacional de Itatiaia. Planalto, próximo ao topo das Prateleiras.","2400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911878' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","sheet","regnelliana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02330126","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata regnelliana","(O.Berg) Landrum",NA,"J. M. A. Braga","1996","12","03","Brazil","Rio de Janeiro","Itatiaia","-44.65833","-22.35833",NA,NA,"NY02330126","NY02330126_01",NA,NA,NA,"3698","Parque Nacional de Itatiaia. Planalto, proximidades do Brejo da Lapa","2100",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2522643' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","sheet","regnelliana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","405356","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana dubia","D.Legrand",NA,"R. M. Klein","1962","06","12","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00405356","NY00405356_01",NA,NA,NA,"3375","Lebon Regis","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=253099' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","isotype","South America","sheet","dubia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","405356","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana dubia","D.Legrand",NA,"R. M. Klein","1962","06","12","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00405356","NY00405356_01",NA,NA,NA,"3375","Lebon Regis","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=253099' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","isotype","South America","sheet","dubia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:20:23-03","UFRJ","RFA","8806","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos","J. Mattos","G.G. Hatschbach","1968","08","07","Brasil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375",NA,NA,"RFA27743",NA,NA,NA,NA,"19555","Rio do Corvo","900","900","Árvore 10 m de altura; tronco 15 cm diâmetro; Flor creme clara",NA,NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:31:39-03","UFRJ","RFA","19856","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata regnelliana","(O. Berg) Landrum","W.G. Lima","P. Occhioni","1979","01","17","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"RFA16669",NA,"2003","05","08","8714","Parque Nacional do Itatiaia, estrada Registro - Agulhas Negras, km 5 -6",NA,NA,"Arbusto copado; flores alvas, frequente",NA,NA,NA,NA,NA,"regnelliana","19648","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 11:31:39-03","UFRJ","RFA","19833","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata regnelliana","(O. Berg) Landrum","W.G. Lima","P. Occhioni","1979","01","17","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"RFA16653",NA,"2003","05","08","8690","Parque Nacional do Itatiaia, estrada para Agulhas Negras, km 7",NA,NA,"Arbusto copado; flores brancas, frequente",NA,NA,NA,NA,NA,"regnelliana","19648","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-13 09:20:24-03","UFRJ","RFA","11998","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel","D. Legrand","G.G. Hatschbach","1970","01","23","Brasil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"RFA46589",NA,"1972",NA,NA,"23405","Serra Ibitiraquire, Abrigo I","1700","1700","Arbusto 1 m de altura; flor alva",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"19","2016-10-18 16:26:36-02","UNEMAT","TANG","2054","S","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi","(Mattos) Mattos","Sobral, M","Cavalheiro, AL","1998","08","21","Brasil","Paraná","Congonhinhas","-50.5536003112793","-23.5510997772217",NA,NA,"TANG000002054",NA,"2009","07","31","s.n.","Fazenda planalto.&nf;Material vindo do Herbário FUEL.",NA,NA,"Árvore 10m, cap 68cm, botões florais amarelos, flores creme.",NA,NA,NA,NA,NA,NA,"24253","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:45:50-03","EAO","IAN","186904","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi","(Mattos) Mattos","Sobral, M","Lovato, MC","2003","09","02","Brasil","Paraná","Londrina","-50.975556","-23.390833","-50.975556","-23.390833","IAN186904",NA,"2015",NA,NA,"284","Fazenda Figueira -Paiquerê.",NA,NA,"Arvoreta 4 m ,flores creme,fragmento 32.","Dicotiledônea",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-01-20 14:40:42-03","UPM","MACK","1352","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi","(Mattos) Mattos","M. Sobral","M. Verdi; et al.","2009","11","05","Brasil","SC","Siderópolis","-49.4244003295898","-28.5977993011475","S","W",NA,NA,"2010","01","25","3011","Barragem do Rio São Bento, floresta ombrófila densa, interior do fragmento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23427","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 10:06:37-03","NBC","NL-BOTANY","L.2525826","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos",NA,"Hatschbach GG","1968","08","07","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2525826","NL-L2525826",NA,NA,NA,NA,"Est. Parana(BRASIL). Mun. 4-Barras. Rio do Corvo.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2525826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"23","2020-02-08 10:06:37-03","NBC","NL-BOTANY","L.2525827","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos",NA,"Reitz R; Klein RM","1958","10","23","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2525827","NL-L2525827",NA,NA,NA,NA,"Plantas de SANTA CATARINA. Serra do Oratório, Bom Jardim, São Joaquim, Aparados da serra.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2525827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"24","2020-02-08 10:06:37-03","NBC","NL-BOTANY","L.2525828","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos",NA,"Reitz R; Klein RM","1959","01","26","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2525828","NL-L2525828",NA,NA,NA,NA,"Plantas de SANTA CATARINA. Alto Matador, Rio do Sul.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2525828 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"25","2020-02-08 10:06:37-03","NBC","NL-BOTANY","L.2525829","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos",NA,"Hatschbach GG","1961","09","03","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2525829","NL-L2525829",NA,NA,NA,NA,"Est. Parana (BRASIL). Mun. Morretes, Pilão de Pedra.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2525829 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"26","2020-02-08 10:06:48-03","NBC","NL-BOTANY","U.1451318","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel","Landrum JM","Hatschbach GG; Lindeman JC; Haas JH de","1967","08","02","Brazil","Paraná",NA,NA,NA,NA,NA,"NL-U1451318","NL-U1451318",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1451318 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae","U 0083856",NA,NA,NA,NA,NA
"27","2020-02-08 10:06:48-03","NBC","NL-BOTANY","WAG.1116158","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel",NA,"Hatschbach GG","1978","12","05","Brazil",NA,NA,NA,NA,NA,NA,"NL-WAG1116158","NL-WAG1116158",NA,NA,NA,NA,"Bocaiuva do Sul, arredores, Paraná.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1116158 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"28","2020-02-08 10:06:48-03","NBC","NL-BOTANY","WAG.1116175","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel","Landrum JM","Hatschbach GG; Lindeman JC; Haas JH de","1967","08","02","Brazil","Paraná",NA,NA,NA,NA,NA,"NL-WAG1116175","NL-WAG1116175",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1116175 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:14:33-03","ESALQ","ESA","70667","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi","(Mattos) Mattos","Kuntz, J.","Francisco, E.M. et al.","1997","06","25","Brasil","Paraná","Londrina","-51.1627998352051","-23.3103008270264",NA,NA,"ESA070667","ESA070667","2011",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:14:33-03","ESALQ","ESA","98982","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi","(Mattos) Mattos","Valdemarin, K.S.","Ribas, O.S.","2006","06","30","Brasil","Paraná","Fênix","-51.9791984558105","-23.9160995483398",NA,NA,"ESA098982","ESA098982",NA,NA,NA,"7318.0",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"16297","auto",NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:32:11-03","MN","R","9096","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","xanthochlora","Eugenia xanthochlora","O. Berg",NA,"Glaziou, A.F.M.","1886","01","23","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"R000009096","R000009096_001",NA,NA,NA,"16073",NA,NA,NA,"Plantas do Brasil Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2015-07-02 14:03:12-03","JBP","HPL","10872","S","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi",NA,"H. Lorenzi","H. Lorenzi","2008","11","25","BRASIL","RS","Maquiné","-50.2072","-29.675",NA,NA,NA,NA,"2008","11","25","6542","Coletado na localidade de Mundo Novo em bosque da Mata Atlântica, próximo a um rio pedregoso a 2 Km da cidade.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28094","auto",NA,NA,NA,NA,NA,NA,NA
"33","2019-12-19 08:08:15-03","FPS","FPS","3588","MachineObservation","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel?","Grings, M.","Schwirkowski, P.","2018","08","20","Brasil","Santa Catarina","São Bento do Sul","-49.29344","-26.263205","-49.29344","-26.263205","FPS03588,FURB61115","FPS03588_v01 FPS03588_v02 FPS03588_v03 FPS03588_v04 FPS03588_v05 FPS03588_v06 FPS03588_v07 FPS03588_v08 FURB61115","2018","08","20","3015","Rio Vermelho. Recanto do Noti.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FURB 61115, HUCS 49556","voucher",NA,NA,NA,NA
"34","2019-12-19 08:08:15-03","FPS","FPS","2041","MachineObservation","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel","Vieira, F.C.S.","Schwirkowski, P.","2016","01","31","Brasil","Santa Catarina","São Bento do Sul","-49.370422","-26.278334","-49.370422","-26.278334","FPS02041,FURB49601","FPS02041_v01 FPS02041_v02 FPS02041_v03 FPS02041_v04 FPS02041_v05 FPS02041_v06 FURB49601","2019","12","15","1533","Serra Alta. Próximo à Rua José Augustin. Beira de trilhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FURB 49601","voucher",NA,NA,NA,NA
"35","2019-02-15 11:46:21-02","IPA","IPA","50564","S","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O. Berg) D. Legrand & Kausel","Lima, M.P.M. de","Barreto, R.A.A.","1980","11","21","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,"IPA0050564",NA,"1981","10",NA,"213",NA,"1900","1900","Planta de 3,5m; botão verde. Frequência mediana.; Floresta nebular.","Plantae",NA,NA,"Southern America",NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA
"36","2019-02-15 11:46:21-02","IPA","IPA","50559","S","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O. Berg) D. Legrand & Kausel","Vaz, A.","Barreto, R.A.A.","1981","08","18","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,"IPA0050559",NA,"1981","10",NA,"159","Parque Estadual de Campos do Jordão",NA,NA,"Arvoreta ca. 2m, frutos verdes/roxo (escuro). Frequência fraca.","Plantae",NA,NA,"Southern America",NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA
"37","2019-08-27 13:31:21-03","IAP","PACA-AGP","118671","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi","(Mattos) Mattos","Sobral, M.","Schmitt, J. L.","2009","10","06","Brasil","SC","Ponte Alta","-50.132222","-27.275","50º07'56w","27º16'30s","PACA118671",NA,"2010","01","25","177","morro do funil","1131","1131","furb 18441&nf;flor botao amarelo claro Habitat: floresta ombrófila mista, estagio avancado","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
"38","2019-08-27 13:31:22-03","IAP","PACA-AGP","71789","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","robertoana","Eugenia robertoana","Mattos","J. Mattos","Klein & Bresolin","1967","09","29","Brasil","SC","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"PACA071789",NA,"1998",NA,NA,"7597","Saco Grande",NA,NA,"20m de altura e flores brancas. Herb. FLOR sem nº. Habitat: mata Hábito: árvore","Magnoliophyta","Myrtales",NA,NA,NA,NA,"27000","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"39","2019-08-27 13:31:22-03","IAP","PACA-AGP","66947","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","robertoana","Eugenia robertoana","Mattos","J. Mattos","Reitz & Klein","1962","10","24","Brasil","SC","Santa Cecília","-50.4268989562988","-26.9608001708984",NA,NA,"PACA066947","PACA066947","1998",NA,NA,"13407",NA,"1100","1100","15m de altura e flores branco-amareladas.&nf;Conforme Loefgrenia 105 : 2 (1995). Habitat: pinhal Hábito: árvore","Magnoliophyta","Myrtales","Isotipo",NA,NA,NA,"37034","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"40","2019-10-18 16:50:12-03","IAP","PACA-AGP","118686","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O. Berg) D. Legrand & Kausel","Gasper, A.L.","Stival-Santos, A.","2009","11","23","Brasil","SC","Blumenau","-49.139444","-27.096944","49º08'22w","27º05'49s","PACA118686",NA,"2018","06","28","1330","area virgem do parque nacional da serra do itajai","660","660","furb 18868&nf;flor botao floral branco Habitat: Floresta ombrófila densa, estagio primario, interior do fragmento","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
"41","2019-08-27 13:31:30-03","IAP","PACA-AGP","64134","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O. Berg) D. Legrand & Kausel","D. Legrand","Hatschbach, G.","1957","11","30","Brasil","PR","Piraí do Sul","-49.948600769043","-24.5261001586914",NA,NA,"PACA064134",NA,"1958",NA,NA,"4021","Serra das Furnas",NA,NA,"6m de altura e flor alva. Habitat: in silvula campestri Fenofase: flor Hábito: árvore","Magnoliophyta","Myrtales",NA,NA,NA,NA,"37171","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"42","2019-08-27 13:31:30-03","IAP","PACA-AGP","50795","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O. Berg) D. Legrand & Kausel","D. Legrand","Reitz, R.","1948","12","23","Brasil","SC","Bom Retiro","-49.489200592041","-27.7971992492676",NA,NA,"PACA050795",NA,"1949",NA,NA,"2741","Riozinho","1000","1000","3m de altura e flor branca. Habitat: in silvula Fenofase: flor Hábito: arbusto","Magnoliophyta","Myrtales",NA,NA,NA,NA,"35974","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"43","2019-08-27 13:31:30-03","IAP","PACA-AGP","108964","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O. Berg) D. Legrand & Kausel","A. Sehenm","Sehnem, A.","1980","12","23","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"PACA108964",NA,"1980","12","23","17153","Itaimbezinho","900","900","Habitat: arbor in araucarieto frequens","Magnoliophyta","Myrtales",NA,NA,NA,NA,"76715","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"44","2019-08-27 13:31:30-03","IAP","PACA-AGP","96745","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O. Berg) D. Legrand & Kausel","Molz & Mello","Mondin, C.","2001","10","30","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"PACA096745",NA,"2017","04","04","2424","Pró-Mata da PUC",NA,NA,"Murillo, A. et al (2013). Plant Syst. & Evol. 299: 713-729&nf;HASU 14402&nf;c/ ca. 2 m altura Habitat: Na beira da mata Hábito: arbusto","Magnoliophyta","Myrtales",NA,NA,NA,NA,"76715","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
