"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","fieldNumber","minimumElevationInMeters","maximumElevationInMeters"
"11","2019-06-27 10:26:49-03","UFES","VIES","2773","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Somner, G.V.","Fabris, L.C.; Thomaz, L.D.","408","1988","06","17",NA,"Brasil","Espírito Santo","Setiba.",NA,NA,"VIES002773","VIES002773","1990",NA,NA,"Guarapari","-40.5110015869141","-20.6580009460449","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-27 10:26:48-03","UFES","VIES","2560","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Somner, G.V.","Gomes, J.M.L.","606","1988","05","12",NA,"Brasil","Espírito Santo","Setiba.",NA,NA,"VIES002560","VIES002560","1990",NA,NA,"Guarapari","-40.5110015869141","-20.6580009460449","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-04-27 16:11:38-03","UFES","VIES","10891","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Zambom, O.","Zambom, O.; Sá, F.S. & Fernandes, M.","90","1995","08","28",NA,"Brasil","Espírito Santo","Interlagos.",NA,NA,"VIES010891","VIES010891","1995","08","28","Vila Velha","-40.2924995422363","-20.3297004699707","27156","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-04-27 16:11:38-03","UFES","VIES","10890","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Zambom, O.","Zambom, O.","79","1995","08","17",NA,"Brasil","Espírito Santo","Interlagos.",NA,NA,"VIES010890","VIES010890","1995","08","17","Vila Velha","-40.2924995422363","-20.3297004699707","27156","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 09:32:27-03","UFRRJ","RBR","33129","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","G.V. Somner","G.V. Somner","s.n.","1998","08","11",NA,"Brasil","Rio de Janeiro","APA Grumari",NA,NA,"RBR00033129",NA,"1998","08","11","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 09:32:27-03","UFRRJ","RBR","44403","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","G.V. Somner","G.V. Somner","1624","2012","06","14",NA,"Brasil","Rio de Janeiro","Em frente ao quiosque (banheiro 2,00). Em frente ao quiosque (v. Parque Natural Municipal de Grumari",NA,NA,"RBR00044403",NA,"2012","06","14","Rio de Janeiro","-43.519722","-23.0475",NA,NA,"43º31'11''W","23º2'51''S",NA,NA,NA,NA,NA,NA
"17","2020-06-29 09:32:27-03","UFRRJ","RBR","32870","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","G.V. Somner","J.E.L.S. Ribeiro","419","1988","08","06",NA,"Brasil","São Paulo",NA,NA,NA,"RBR00032870",NA,"1990","08","21","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 09:32:27-03","UFRRJ","RBR","32869","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","G.V. Somner","L.C. Fabris","232","1988","06","17",NA,"Brasil","Espírito Santo","Lagoa de Caraís",NA,NA,"RBR00032869",NA,"1990","03","20","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 09:32:27-03","UFRRJ","RBR","32868","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","G.V. Somner","J.M.L. Gomes","606","1988","05","12",NA,"Brasil","Espírito Santo","Lagoa de Caraís",NA,NA,"RBR00032868",NA,"1990","03","20","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-25 12:12:43-03","UFSM","SMDB","10649","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Kunth","Durigon, J","Durigon, J; Canto-Dorow, T","54","2006","05","10",NA,"Brasil","Rio Grande do Sul","Rodovia RST-287, Santa Maria, RS, entre a UFSM e o",NA,"Trepadeira sarmentosa; flores amarelas; fruto trialado de colora;áo arroxeada","SMDB010649",NA,"2006","05","31","Santa Maria","-53.8069000244141","-29.6842002868652","37819","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:44:43-03","MBM","MBM","231174","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Ferrucci, M.S.","Ferrucci, M.S.; et al.; et al.","1302",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Área de Proteção Ambiental de Grumari",NA,NA,"MBM231174","MBM231174",NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-10-08 09:12:39-03","MNHN","RECOLNAT_MNHN_P","P02296978","PreservedSpecimen",NA,NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,"In monte Babylonia (Rio de Janeiro)","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02296978' target='other'> <mi>dwc_moreinfo</mi></a>","P02296978","P02296978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"23","2015-10-08 09:12:52-03","MNHN","RECOLNAT_MNHN_P","P02296979","PreservedSpecimen",NA,NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,"In monte Babylonia (Rio de Janeiro)","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02296979' target='other'> <mi>dwc_moreinfo</mi></a>","P02296979","P02296979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"24","2015-08-27 15:38:26-03","MNHN","RECOLNAT_MNHN_P","P02296980","PreservedSpecimen",NA,NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,"In monte Babylonia (Rio de Janeiro)","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02296980' target='other'> <mi>dwc_moreinfo</mi></a>","P02296980","P02296980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"25","2018-01-16 16:12:08-02","MNHN","RECOLNAT_MNHN_P","P06695716","PreservedSpecimen",NA,NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Glaziou, A.",NA,"1867","6","18",NA,"Brasil","Rio de Janeiro","[Tahépu].","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06695716' target='other'> <mi>dwc_moreinfo</mi></a>","P06695716","P06695716_01",NA,NA,NA,"Niterói","-43.1035995483398","-22.88330078125","14785","auto",NA,NA,NA,NA,NA,"1342",NA,NA
"26","2015-09-04 20:06:07-03","MNHN","RECOLNAT_MNHN_P","P06695717","PreservedSpecimen",NA,NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Glaziou, A.",NA,"1867","6","18",NA,"Brasil","Rio de Janeiro","Tahipu.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06695717' target='other'> <mi>dwc_moreinfo</mi></a>","P06695717","P06695717_01",NA,NA,NA,"Niterói","-43.1035995483398","-22.88330078125","14785","auto",NA,NA,NA,NA,NA,"1342",NA,NA
"27","2020-09-12 05:00:02-03","US","US",NA,"MachineObservation","Plantae",NA,"Sapindales","Sapindaceae","Urvillea","glabra","Urvillea glabra",NA,NA,"G. V. Somner","601",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,"Photograph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","3213933","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Ferrucci, M. S.","B. Weinberg","334","1981","6","28","South America - Neotropics","Brazil","Espirito Santo","Município de Guarapari, Setiba I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","3128533","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Urvillea","glabra","Urvillea glabra",NA,"Ferrucci, M. S.","P. Acevedo-Rodriguez, T. L. Wendt & C. Olivera","1461","1986","8","16","South America - Neotropics","Brazil","Río de Janeiro","Estado do Río de Janeiro; Mun. de Río de Janeiro; restinga de Grumari.","Photograph",NA,"US00735000",NA,NA,NA,NA,"Río de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Urvillea","glabra","Urvillea glabra",NA,NA,"P. Acevedo-Rodriguez, G. V. Somner & H. Fernandes","3719","1986","9","19","South America - Neotropics","Brazil","Espirito Santo","Espirito Santo; Vale Sta. Maria do Río Doce, forest of Federal Agriculture School.","Photograph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"31","2020-01-14 12:02:20-03","USP","SPF","230925","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Anônimo","Monteiro, J","288","2012","03","14",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"SPF00230925",NA,NA,NA,NA,"Piraí","-43.937222","-22.696944",NA,NA,"-43.937222","-22.696944",NA,NA,NA,NA,NA,NA
"32","2019-11-13 11:31:43-03","USP","SPF","189890","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Faria, MS","Faria, MS","81","2008","06","09",NA,"Brasil","Rio de Janeiro","Área de proteção Ambiental Pau-Brasil.",NA,NA,"SPF00189890",NA,"2008","06","09","Cabo Frio","-42.0186004638672","-22.8794002532959","40069","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-13 11:31:43-03","USP","SPF","116551","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Ferrucci, MS","Souza, VC","11033","1996","04","11",NA,"Brasil","São Paulo","Ilha da Queimada Grande",NA,NA,"SPF00116551",NA,"2007",NA,NA,"Itanhaém","-46.7799987792969","-24.1800003051758","26998","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-25 13:53:39-03","UNIVILLE","JOI","17695","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Sobral, M.","C. Hering Rinnert","48","2000",NA,NA,NA,"Brasil","Santa Catarina","Taquaras",NA,"Heliófita Habito: Arbustiva","JOI017695","JOI017695",NA,NA,NA,"Balneário Camboriú","-48.6347007751465","-26.9906005859375","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-01-25 15:46:56-02","IAC","IAC","51422","S","Plantae",NA,NA,"Sapindaceae-4.Sapindoideae","Urvillea","glabra","Urvillea glabra","Cambess.","R.B. Torres","R.B. Torres; N. Figueiredo & A.R. Oliveira (2)","335","1988","06","17",NA,"Brasil","São Paulo","Estação Ecológica de Angatuba (IF)",NA,NA,NA,NA,"1988","06","17","Angatuba","-48.35056","-23.423889",NA,NA,"-48.35056","-23.423889",NA,NA,NA,NA,NA,NA
"36","2020-09-22 13:49:04-03","USP","SPFW","6729","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Camb.",NA,"Somner, G.V. Acevedo-Rodríguez, P.; Fernandes, H.","601","1990","09","19",NA,"Brasil","Espirito Santo","Vale do Santa Maria do Rio Doce",NA,NA,NA,NA,NA,NA,NA,"Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-04 15:46:36-03","IF","SPSF","45531","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambes.","R.B.Torres","R.B.Torres & N.Figueiredo & A.R.de Oliveira","335","1988","06","17","América do Sul","Brasil","SP","Estação Ecológica",NA,"COLETA: Mata Secundária.&nf;Trepadeira, frutos com alas bordô.; GEOGRAFIA: EX-UEC;",NA,NA,NA,NA,NA,"Itaberá","-49.1300010681152","-23.8600006103516","29370","auto",NA,NA,"Magnoliopsida",NA,NA,NA,"624","624"
"38","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Glaziou, AFM","12508",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Raddi, G","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Schüch (Barão de Capanema), G","s.n.","1817",NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Widgren, JF","1126","1844",NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"A. St.-Hil.","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in monte Babylonia prope Rio de Janeiro",NA,"m. Aug. 1816-21, flor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"?","s.n.","1846",NA,NA,"Southern America","Brazil","Rio de Janeiro","Novo Friburgo",NA,"Hb. Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Burchell, WJ","3583","1826","12","13","Southern America","Brazil","São Paulo","IBB/Cubatão, SP, in the lower part , about 1/3 , of the ascent up the Serra de Cubatão",NA,NA,NA,NA,NA,NA,NA,"Cubatão","-46.416667","-23.883333",NA,NA,"-46.416667","-23.883333",NA,NA,NA,NA,NA,NA
"45","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Riedel, L","181",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","scandens in sepibus",NA,"m. Jul. 1836, fruct.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2017-09-11 17:14:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Glaziou, AFM","1342",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Taipú",NA,"m. Jun. 1867, flor.; Hb. Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-21 10:19:13-03","IBt","SP","301755","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Ferrucci, MS","Souza, VC; et al.","11033","1996","04",NA,NA,"Brasil","São Paulo","Ilha da Queimada Grande",NA,NA,"SP047642","SP047642","2003",NA,NA,"Itanhaém","-46.7799987792969","-24.1800003051758","26998","auto",NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-21 10:19:13-03","IBt","SP","10487","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Radlkofer, L","Usteri, A","s.n.","1907","01","06",NA,"Brasil","São Paulo","Alto da Serra",NA,NA,"SP047643","SP047643",NA,NA,NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-11-21 10:19:13-03","IBt","SP","160288","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Kirizawa, M","Custodio Filho, A","45","1979","07","03",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Picada 7.",NA,NA,"SP047641","SP047641","1991","04","24","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,NA,NA,NA,"750","800"
"50","2015-09-19 23:29:32-03","UM","RECOLNAT_UM_MPU","MPU010904","PreservedSpecimen",NA,NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Cambessèdes","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,"In monte Babylonia (Rio de Janeiro)","hb","<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu010904' target='other'> <mi>dwc_moreinfo</mi></a>","MPU010904","MPU010904_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
