"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","previousCatalogNumber","individualCount","typeStatus","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","00527170","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.",NA,"L. Riedel","1832","05",NA,"Brazil","Rio de Janeiro",NA,"Sao Joao de Taboarahy",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527170","NY00527170_01",NA,NA,NA,"809","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00527164","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.","A. Custodio Filho","T. Sendulsky","1968","08","21","Brazil","São Paulo","Sao Paulo","Sao Paulo, Jardim Botânico e Parque do Estado","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527164","NY00527164_01",NA,NA,NA,"968","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00527169","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.",NA,"J. Ball","1882","07","10","Brazil","Rio de Janeiro","Petrópolis","Prope Petropolis","-43.1783","-22.505",NA,NA,"610","914","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527169","NY00527169_01",NA,NA,NA,"s.n.","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-27 03:43:00-03","NY","NYBG","00527192","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,NA,"G. Herter","1925","06",NA,"Uruguay","Montevideo",NA,"Atahualpa. Republica Oriental del Uruguay",NA,NA,NA,NA,"25","50","78779 [see label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527192",NA,NA,NA,NA,"936","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00527165","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.","J. R. I. Wood","C. G. Fonseca","1961","04","03","Brazil","São Paulo","Sao Paulo","Parque do Estado (on old maps Parque de Agua Funda), grounds of the Instituto de Botânica. Ca. 10 km. south and ca. 1 km. east of center of Sao Paulo (Praça da Sé)","-46.63","-23.6",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527165","NY00527165_01",NA,NA,NA,"49","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00527167","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.",NA,"R. Reiss","1936","03","05","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527167","NY00527167_01",NA,NA,NA,"172","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-05-17 10:21:00-03","NY","NYBG","02681777","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,NA,"J. A. Lira Neto","1997","08","26","Brazil","Rio de Janeiro","Duque de Caxias","Trilha ao redor da represa(barragem) Plataforma. Reserva da Petrobras","-43.266667","-22.55",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944040' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681777","NY02681777_01",NA,NA,NA,"645","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-01-28 13:11:20-03","MCN-PUC-MINAS","HPUC-MG","ANG1005","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,"N.P.Pereira","N.P.Pereira","2010","02","10","Brasil","Minas Gerais","Belo Horizonte","Jardim das Borboletas do MUSEU/PUC","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"Flores vermelhas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-01-28 13:11:20-03","MCN-PUC-MINAS","HPUC-MG","ANG1002","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,"F.P.Nunes","F.P.Nunes","2000","03","23","Brasil","Minas Gerais","Belo Horizonte","Parque das Mangabeiras","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"Flores vermelhas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-01-28 13:11:20-03","MCN-PUC-MINAS","HPUC-MG","ANG1004","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,"A.C.Faria","Andrea C. Faria","2000","03","23","Brasil","Minas Gerais","Belo Horizonte","Parque das Mangabeiras","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"Flores vermelhas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-01-28 13:11:20-03","MCN-PUC-MINAS","HPUC-MG","ANG1003","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,"Silva, J.L.","Silva, J.L.","1999","03","09","Brasil","Minas Gerais","Belo Horizonte","Mata da PUC COREU","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"Flores vermelhas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-06-29 11:30:57-03","UFRJ","RFA","23694","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Roem. & Schult.",NA,"S.F. da Siva; A.G. Guimarães, D.H.,G.S., L.B. Cabral","1995","05","01","Brasil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Porte arbustivo com aproximadamente 1,5m de comprimento, inflorescência vermelha","RFA19208",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:30:57-03","UFRJ","RFA","15131","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Roem. & Schult.",NA,"Cézio Pereira; F.Agarez","1974","06",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Pedra de Guaratiba","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"RFA13231",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:30:57-03","UFRJ","RFA","12957","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Roem. & Schult.",NA,"Cézio Pereira; F.Agarez","1972","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada da Boiuna, Jacarepaguá","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"RFA11982",NA,NA,NA,NA,"224",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:30:58-03","UFRJ","RFA","4712","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Roem. & Schult.","Cezio","Rodigásia Silva","1952","08","25","Brasil","Rio de Janeiro","Rio de Janeiro","Praia Vermelha","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"RFA42868",NA,"1972",NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-11-24 17:10:45-03","UTFPR","DVPR","1399","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Estevan, DA","Vieira, ABM; Brito, GGS; Mendes, LG","2014","08","13","Brasil","Paraná","Dois Vizinhos","Jardim Marcante","-53.057201385498","-25.7336006164551",NA,NA,NA,NA,"Arbusto de 0,1 a 0,9m de altura, flor vermelha.","DVPR001399",NA,NA,NA,NA,"s.n.","Magnoliophyta",NA,NA,NA,"19637","auto",NA,NA,NA,NA,NA,NA,NA
"27","2020-11-24 17:10:45-03","UTFPR","DVPR","975","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Dias, MC","Pizzutti, T; et al.","2003","11","22","Brasil","Paraná","Londrina","Fazenda Cotia","-51.1627998352051","-23.3103008270264",NA,NA,NA,NA,"Arbusto 1,5 m, flor rosa.; Interior da mata.","DVPR000975","DVPR000975","2004",NA,NA,"s.n.","Magnoliophyta",NA,NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA,NA
"28","2020-11-24 17:10:45-03","UTFPR","DVPR","4784","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Escobar, CG","Escobar, CG","2015","11","21","Brasil","Paraná","Dois Vizinhos","Região do parque Ecológico do Jirau","-53.057201385498","-25.7336006164551",NA,NA,NA,NA,"Erva 1,2m, flores de cor vermelho brilhante.","DVPR004784",NA,"2015",NA,NA,"s.n.","Magnoliophyta",NA,NA,NA,"19637","auto",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-15 11:14:44-03","FUNED","FUNED-POL","1597","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,NA,NA,"1991","06","17","Brasil","MG",NA,"Apiário Pio/Barão de Cocais/Funed",NA,NA,NA,NA,NA,NA,NA,"POL001597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-15 11:14:44-03","FUNED","FUNED-POL","1598","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,NA,NA,"1989","10","18","Brasil","MG",NA,"Faz. Sta Rita/PAMG/Funed",NA,NA,NA,NA,NA,NA,NA,"POL001598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-15 11:14:44-03","FUNED","FUNED-POL","1599","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,NA,NA,"1989","10","18","Brasil","MG",NA,"Faz. Sta Rita/PAMG/Funed",NA,NA,NA,NA,NA,NA,NA,"POL001599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-15 11:14:43-03","FUNED","FUNED-POL","3568","PreservedSpecimen","Plantae","Labiatae/Lamiaceae","Salvia","splendens","Salvia splendens",NA,NA,"LAOC",NA,NA,NA,"Brasil","MG",NA,"UFV-API",NA,NA,NA,NA,NA,NA,NA,"POL003568","POL003568_p01 POL003568_p02 POL003568_p03 POL003568_p04 POL003568_p05 POL003568_p06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-15 11:14:43-03","FUNED","FUNED-POL","1454","PreservedSpecimen","Plantae","Labiatae","Salvia","splendens","Salvia splendens",NA,NA,NA,"1991","06","17","Brasil","MG",NA,"Apiário Pio/Funed",NA,NA,NA,NA,NA,NA,NA,"POL001454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:32:50-03","EAO","IAN","35763","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Ker Gawl.",NA,"Santoro, J","1944","09",NA,"Brasil","São Paulo","Campinas","Campo Experimental Instituto.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,"IAN035763","IAN035763 IAN035763_e",NA,NA,NA,"7622",NA,NA,"Southern America",NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:32:50-03","EAO","IAN","35478","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Ker Gawl.","Epling","Santoro, J","1937","10","22","Brasil","São Paulo","Campinas","Jardim Instituto Agronomico.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,"IAN035478","IAN035478 IAN035478_e",NA,NA,NA,"1012",NA,NA,"Southern America",NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"36","2021-04-08 17:43:18-03","EAO","IAN","7766","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","brasiliensis","Savia brasiliensis","Pax & K.Hoffm.",NA,"Secco, RS",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN007766","IAN007766_f",NA,NA,NA,"s.n.","Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2013-07-03 11:05:00-03","EBDA","BAH","347","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Inácio de Menezes","Inácio de Menezes","1951","10",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"Sub arbusto ornamental",NA,NA,"1951","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2013-07-03 11:05:00-03","EBDA","BAH","6788","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","R. M. Harley","Lôbo, C.M.B.","1983","07","25","Brasil","Bahia",NA,"Bomfim de Feira - BA.",NA,NA,NA,NA,NA,NA,"Arbusto com + ou - 1m de altura de flores vermelhas bastante frequente. Cultivada.",NA,NA,"1986","03",NA,"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-01-20 14:40:31-03","UPM","MACK","394","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","A. V. G. Sousa; J. S. Ferraz","J. S. Ferraz","2008","03","26","Brasil","SP","São Paulo","Jardim da Universidade Presbiteriana Mackenzie","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,"2008","03","26","6",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"40","2019-12-12 15:31:44-03","UFABC","HUFABC","000736","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Roem. & Schult.","Ivanauskas, N","Teixeira-Costa, L; Rodrigues, D","2014","10","08","Brasil","São Paulo","São Paulo","Horto Oswaldo Cruz, Horto botânico dentro da área do Instituto Butantan","-46.716972","-23.566194","-46.716972","-23.566194",NA,NA,"Herbácea, c.s. 2 metros. Borda da mata. Corola de cor vermelha.","HUFABC000736","HUFABC000736",NA,NA,NA,"75","Angiospermas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-12-04 15:25:19-03","PUCPR","HUCP","2338","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Amaro, E","Amaro, E",NA,NA,NA,"Brasil","Paraná","Curitiba","Rebouças","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00012530","HUCP00012530","1983","10","03","s.n.","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"42","2019-12-04 15:25:19-03","PUCPR","HUCP","3770","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Yorinori, NA","Yorinori, NA",NA,NA,NA,"Brasil","Paraná","Morretes","Caminho dos Jesuítas","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"HUCP00012626","HUCP00012626","1990","01","31","131","Eudicotiledonea",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"43","2019-12-04 15:25:19-03","PUCPR","HUCP","24723","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Acra, LA","Salesbram, JAM","2017","03","15","Brasil","Paraná","Tijucas do Sul","Gama","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"Flor de cor alaranjada, F.O.M","HUCP00024723","HUCP00024723","2017","03","16","26","Eudicotiledonea",NA,NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA,NA
"44","2019-12-04 15:25:19-03","PUCPR","HUCP","2227","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Acra, LA","Francisco, DP",NA,NA,NA,"Brasil","Paraná","Cambará","Rua CEL. Batista","-50.073600769043","-23.0464000701904",NA,NA,NA,NA,NA,"HUCP00012518","HUCP00012518","1983","09","05","007","Eudicotiledonea",NA,NA,NA,"18610","auto",NA,NA,NA,NA,NA,NA,NA
"45","2019-12-04 15:25:19-03","PUCPR","HUCP","2219","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Acra, LA","Lenz, VL",NA,NA,NA,"Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00012608","HUCP00012608","1984","09","15","s.n.","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"46","2019-12-04 15:25:20-03","PUCPR","HUCP","8789","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Jaszczerski, JC","Muchinski, L","1996","04","08","Brasil","Paraná","Curitiba","Água Verde","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00012597","HUCP00012597",NA,NA,NA,"002","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"47","2019-12-04 15:25:19-03","PUCPR","HUCP","2225","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Acra, LA","Néquer, LM",NA,NA,NA,"Brasil","Paraná","Curitiba","Ahú","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00012634","HUCP00012634","1982","09","10","011","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"48","2019-12-04 15:25:19-03","PUCPR","HUCP","2224","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Acra, LA","Rechemberg, C",NA,NA,NA,"Brasil","Paraná","Curitiba","Alto da Glória","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00012534","HUCP00012534","1982","10","09","004","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"49","2019-12-04 15:25:19-03","PUCPR","HUCP","10380","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Jaszczerski, JC; Kossatz, E","Kajiwara, F","1997","03","13","Brasil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00012646","HUCP00012646",NA,NA,NA,"001","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"50","2019-12-04 15:25:19-03","PUCPR","HUCP","4386","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.",NA,"Reis, MM",NA,NA,NA,"Brasil","Paraná","Curitiba","Guabirotuba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00012582","HUCP00012582","1990",NA,NA,"s.n.","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"51","2019-12-04 15:25:19-03","PUCPR","HUCP","6261","S","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Neuw.","Jaszczerski, JC","Junior, D","1992","04","14","Brasil","Paraná","Curitiba","Guabirotuba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00012616","HUCP00012616",NA,NA,NA,"002","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
