"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","sex"
"11","2020-07-23 12:11:34-03","CEPLAC","CEPEC","102705","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"Amorim, A. M.","A. A. M. de Barros","1754","1979","12","05",NA,"Brasil","Rio de Janeiro","NITERÓI","Engenho do mato. Parque Estadual da Serra da Tiririca. Morro do Telégrafo, trilha da Barreira.","-43.1035995483398","-22.88330078125",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14785","auto",NA,NA,NA,NA,NA
"12","2020-07-23 12:11:34-03","CEPLAC","CEPEC","109721","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"A. M. Amorim","A. M. Amorim","3370","2000","03","25",NA,"Brasil","Rio de Janeiro","mangaratiba","RPPN Rio das Pedras.","-44.083333","-22.983333",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003",NA,NA,NA,NA,"44W5'","22S59'",NA
"13","2020-07-23 12:11:34-03","CEPLAC","CEPEC","113424","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"A. M. Amorim","A. M. Amorim","3619","2001","01","18",NA,"Brasil","Rio de Janeiro","mangaratiba","RPPN Rio das Pedras. Trilha para o Pico do Corisquinho.","-44.1","-22.983333",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2007",NA,NA,NA,NA,"44W6'","22S59'",NA
"14","2020-07-23 12:11:34-03","CEPLAC","CEPEC","102704","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"Amorim, A. M.","P. W. Feteira","176","2004","09","13",NA,"Brasil","Rio de Janeiro","NITERÓI","Itaipu, Soter, Reserva Ecológica Darcy Ribeiro, Serra do Malheiro. Sítio Pomar, Rua 45.","-43.1035995483398","-22.88330078125",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14785","auto",NA,NA,NA,NA,NA
"15","2020-07-23 12:11:34-03","CEPLAC","CEPEC","102715","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"Amorim, A. M.","P. Botelho","32","1994","12","21",NA,"Brasil","Rio de Janeiro","rio de janeiro","Encosta do Jardim Botânico, atrás da Pedra do Marinheiro.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"16","2020-07-23 12:11:34-03","CEPLAC","CEPEC","109727","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"C. A. L. de Oliveira","C. A. L. de Oliveira","552","1991","12","11",NA,"Brasil","Rio de Janeiro","rio de janeiro","Maciço da Tijuca, Serra da Carioca, Morro do Sumaré. Vertente Norte.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1991","57442","auto",NA,NA,NA,NA,NA
"17","2020-07-23 12:11:34-03","CEPLAC","CEPEC","105848","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"A. M. Amorim","A. M. Amorim","3212","1999","12","20",NA,"Brasil","Rio de Janeiro","rio de janeiro","Mata do Entorno do jardim Botànico do Rio de Janeiro, ytrilha para a Pedra do Marinheiro, vertente norte.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1999","57442","auto",NA,NA,NA,NA,NA
"18","2020-07-23 12:11:34-03","CEPLAC","CEPEC","109402","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"A. M. Amorim","A. M. Amorim","3363","2000","03","23",NA,"Brasil","Rio de Janeiro","rio de janeiro","PARNA Tijuca. Mata do Entorno, trilha para Pedra do Marinheiro.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003","57442","auto",NA,NA,NA,NA,NA
"19","2020-07-23 12:11:34-03","CEPLAC","CEPEC","110774","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"A. M. Amorim","J. M. A. Braga","7356","2004","01","14",NA,"Brasil","Rio de Janeiro","rio de janeiro","Pedra do Marinheiro.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2007","57442","auto",NA,NA,NA,NA,NA
"20","2020-07-23 12:11:34-03","CEPLAC","CEPEC","102716","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia",NA,"Amorim, A. M.","R. Marquete","648","1987","11","01",NA,"Brasil","Rio de Janeiro","rio de janeiro","Picada após a Pedra do Marinheiro em direção Mata Ombrófila Densa Degradada.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"21","2020-11-05 13:53:51-03","UNIRIO","HUNI","2026","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","J. Pereira Júnior","A.C.A. Defaveri; A. Sato",NA,"2007","12","19",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Natural Municipal de Grumari (PNM Grumari)","-43.533056","-23.048611",NA,"Habitat: Restinga Habito: Trepadeira","HUNI00002026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43º31'59''W","23º2'55''S",NA
"22","2020-11-05 13:53:51-03","UNIRIO","HUNI","2027","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","A.C.A. Defaveri; M.F. Castilhiori","S.Z. Cordeiro; A.C.A. Defaveri; A. Sato","14","2007","06","26",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Natural Municipal de Grumari (PNM Grumari)","-43.533056","-23.048611",NA,"Habitat: Restinga Habito: Trepadeira","HUNI00002027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43º31'59''W","23º2'55''S",NA
"23","2017-09-11 17:10:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.",NA,"Ackermann, ?","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"In prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:10:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"in silvis caeduis prope urbem et prope Mandioca, m. Sept.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:08:57-03","IBt","SP","367618","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","Amorim, AM","Amorim, AM; Baumgratz, JFA; Bovini, MG","3365","2000","03","24",NA,"Brasil","Rio de Janeiro","Mangaratiba","RPPN Rio das Pedras, trilha do Corisquinho","-44.040599822998","-22.9596996307373",NA,NA,"SP019093","SP019093","400","400",NA,NA,NA,"17272","auto","2003",NA,NA,NA,NA
"26","2019-11-21 10:08:57-03","IBt","SP","367602","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","Amorim, AM","Amorim, AM","3212","1999","12","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Mata do entorno do Jardim Botânico, trilha para a Pedra do Marinheiro, vertente norte","-43.2075004577637","-22.9027996063232",NA,NA,"SP019094","SP019094",NA,NA,NA,NA,NA,"57442","auto","1999",NA,NA,NA,NA
"27","2010-08-16 16:41:18-03","GH","HU-HERB","GH 00045006","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteria","fischeriana","Banisteria fischeriana","Regel & Körnicke",NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,"Type",NA,NA,NA,NA,NA,NA,NA,"undetermined"
