"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount"
"11","2020-10-14 10:00:04-03","FURB","FURB","51615","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Funez, L.A.","Funez, L.A.; Zermiani, A.E., Rocha, N.M. & Koffke, H.","2016","11","08","Brasil","Santa Catarina","Blumenau","Margem do Rio Itajaí Açu, Vale da Lua.","-49.1119444","-26.88","-49.1119444","-26.8800000","31","31","FURB51615","FURB51615",NA,NA,"5649",NA,NA,"Flores amarelas Habitat: Vegetação ripária das rochas Habito: Erva","2016","11","08",NA,NA,NA,NA,NA,NA
"12","2021-03-16 17:54:13-03","UCS","HUCS","11850","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Butzke, A.","Butzke, A.","1993","11","04","Brasil","Rio Grande do Sul","Marcelino Ramos","Estreito Augusto César","-51.9063987731934","-27.4617004394531",NA,NA,NA,NA,NA,NA,"Angiospermae","Poales","269",NA,NA,"Beira curso d' água",NA,NA,NA,"18635","auto",NA,NA,NA,NA
"13","2020-12-21 16:19:23-03","MBM","MBM","5199","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Smith, L.B.","Lindeman, J.; Haas, H.; Haas, H.","1966","10","15","Brazil","Paraná","Jaguariaíva","Lajeado Cinco Reis","-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"MBM005199","MBM005199",NA,NA,"3048","Southern America",NA,"Terrícola.",NA,NA,NA,"44368","auto",NA,NA,NA,NA
"14","2015-09-03 21:15:35-03","MNHN","RECOLNAT_MNHN_P","P01677814","PreservedSpecimen",NA,"Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"Glaziou, A.","1883","12","1","Brasil","São Paulo",NA,"Brésil. São Paulo, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,"P01677814","P01677814_01",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01677814' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"15496",NA,NA
"15","2015-09-03 21:15:35-03","MNHN","RECOLNAT_MNHN_P","P01677813","PreservedSpecimen",NA,"Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"Smith, L.B.|Klein, R.M.","1964","12","9","Brasil","Santa Catarina","Concórdia","Brazil. Rio Uruguai. Concórdia, Santa Catarina, Sul, Brasil, América do Sul","-51.93333","-27.43333",NA,NA,"400",NA,"P01677813","P01677813_01",NA,NA,NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01677813' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"13930",NA,NA
"16","2018-06-22 05:25:00-03","MO","MOBOT","2452640","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"Pe. Raulino Reitz","1964","12","14","Brazil","Santa Catarina",NA,"Rio Itajaí Açu, Encarno to Indaial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reitz 3988","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2009-07-27 09:32:00-03","MO","MOBOT","2999625","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"Auguste F.M. Glaziou","1885","5",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glaziou 15496","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","3002161","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","gemellaria","Dyckia gemellaria","E. Morren ex Mez",NA,"* SERRES","1880",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERRES s.n.","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","3001803","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","sulphurea","Dyckia sulphurea","Koch",NA,"HENNINGS","1885",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HENNINGS s.n.","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-06-10 10:10:27-03","FZB-BH","BHZB","4668","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia",NA,NA,"Echternacht, L.A.","2004","10","28","Brasil","MG","Belo Horizonte","FZB/BH - Coleção","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CultivadoTerrestre. Folhas verdes escuras, com a margem branca, carnosas. Raque da inflorescência avermelhada, brácteas cor de palha.",NA,NA,NA,"17082","auto",NA,NA,NA,NA
"21","2019-09-04 19:15:18-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","sulphurea","Dyckia sulphurea",NA,NA,"P. C. Hennings","1885","6","7","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,"Possible type",NA
"22","2019-06-03 11:52:36-03","URICER","HPBR","835","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","LOUREIRO, E. M.","BUTZKE, A.","1986","11","27","Brasil","RS","Marcelino-Ramos","ESTREITO RIO URUGUAI",NA,NA,NA,NA,NA,NA,"HPBR000835",NA,NA,NA,NA,NA,NA,"Flores amarelas, ocorrência agrupada.",NA,NA,NA,NA,NA,NA,NA,NA,"3"
"23","2019-06-03 11:52:36-03","URICER","HPBR","7269","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","BUTZKE,A.","BUTZKE,A. et al.","1993","11","04","Brasil","RS","Marcelino Ramos","Estreito Augusto César","-51.9063987731934","-27.4617004394531",NA,NA,NA,NA,"HPBR007269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18635","auto",NA,NA,NA,"1"
"24","2019-04-02 09:30:51-03","URICER","HPBR","6010","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","FORTES, M.","FORTES, M.","1993","11","04","Brasil","RS","Marcelino Ramos","ESTREITO AUGUSTO CÉSAR","-51.9063987731934","-27.4617004394531",NA,NA,NA,NA,"HPBR006010","HPBR006010_1 HPBR006010_2 HPBR006010_3",NA,NA,NA,NA,NA,"60cm de altura",NA,NA,NA,"18635","auto",NA,NA,NA,"2"
"25","2019-04-02 09:30:51-03","URICER","HPBR","6279","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"VASSILIOU, M. et. al.","1998","10","30","Brasil","RS","Marcelino Ramos","ESTREITO AUGUSTO CÉSAR","-51.9063987731934","-27.4617004394531",NA,NA,NA,NA,"HPBR006279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18635","auto",NA,NA,NA,"2"
"26","2020-08-20 14:58:50-03","UFSC","FLOR","36870","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Santos-Silva, F.","Lobo, G.M.","2007","01","22","Brasil","Santa Catarina","Blumenau","Salto Weissbach, Rio Itajaí-Açu.","-49.0661010742188","-26.9193992614746",NA,NA,NA,NA,"FLOR0036870","FLOR0036870_01 FLOR0036870_02 FLOR0036870_1 FLOR0036870_e",NA,"Poales","1",NA,NA,"reófita herbácea, 0,2m altura, flor amarela, fruto Imaturo, verde Habitat: sobre rochas nas margens de rio","2017","06",NA,"34291","auto",NA,NA,NA,NA
"27","2017-09-11 17:09:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"Glaziou, AFM",NA,NA,NA,"Brazil","São Paulo",NA,"nec non São Paulo urbem hujus nominis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15496","Southern America",NA,"Floret Decembri. (V. s. in herb. Berol., Bruxell., Leod., Warming.)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:09:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"Glaziou, AFM",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in Brasiliae prov. Rio de Janeiro, loco non indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"331","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 16:27:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Dyckia","gemellaria","Dyckia gemellaria","E.Morren",NA,"?",NA,NA,NA,"Brazil",NA,NA,"Patria ignota absque dubio Brasilia, verisimiliter australis. (V. s. specimina culta in herb. Leod.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-11 16:27:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Dyckia","sulphurea","Dyckia sulphurea","K.Koch",NA,"Schenck, JHR",NA,NA,NA,"Brazil","Santa Catarina",NA,"Habitat in Brasilia australis prov. Sta Catharina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"768","Southern America",NA,"specimen unicum cum illi herbarii horti Berolinensis typico optime quadrans ad amnis Itajahy ripas prope Encano legit. Floret Octobri. (V. v. in hort. Berol. et s. in herb. cit.; aliis hortis aliena.)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-08 12:50:44-03","UFRGS","ICN","084690","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Jarenkow, JA","Jarenkow, JA","1987","12","28","Brasil","RS","Marcelino Ramos","estreito de Augusto Cezar","-51.9063987731934","-27.4617004394531",NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,"822","América do Sul",NA,"Espécie ameaçada de extinção (Em perigo).; Erva rosetada. Escapo floral com 50-70cm, flores com pétalas amarelas.; sobre lagedo da beira do Rio Uruguai. Grande número de indivíduos juntos, em mancha de 1m², a maioria já com frutos.",NA,NA,NA,"18635","auto",NA,NA,NA,NA
"32","2021-02-08 12:50:44-03","UFRGS","ICN","200687","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"Costa, L M S","2019","03","07","Brasil","SC","Apiúna","Vilarejo Subida, Rio Itajaí-Açu","-49.458056","-27.100833","-49.458056","-27.100833","116","116","ICN00041906",NA,"Monocotyledon",NA,"s.n.","América do Sul",NA,"Material testemunho e amostra de DNA; Erva reófita, flores amarelas; Beira do Rio Itajaí-Açu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-08 12:50:44-03","UFRGS","ICN","175034","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Voltolini, CH","Voltolini, CH","2011","11","15","Brasil","SC","Ibirama","Margens do Rio Itajaí-Açu.","-49.5177993774414","-27.0569000244141",NA,NA,NA,NA,"ICN00029954",NA,"Monocotyledon",NA,"s.n.","América do Sul",NA,"Herbácea, rupícola.; Reofítico.",NA,NA,NA,"18533","auto",NA,NA,NA,NA
"34","2021-02-08 12:50:44-03","UFRGS","ICN","175035","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Voltolini, CH","Voltolini, CH","2011","11","15","Brasil","SC","Indaial","Margens do Rio Itajaí-Açu.","-49.2317008972168","-26.8978004455566",NA,NA,"87","87","ICN00029955",NA,"Monocotyledon",NA,"s.n.","América do Sul",NA,"Herbácea, rupícola.; Reofítico.",NA,NA,NA,"29534","auto",NA,NA,NA,NA
"35","2021-02-08 12:50:44-03","UFRGS","ICN","027676","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Strehl, T","Baptista et al, L","1973","12","11","Brasil","RS","Derrubadas","Parque Floresta do Turvo, Santo de Iucumã","-53.8608016967773","-27.2646999359131",NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,"s.n.","América do Sul",NA,"Espécie ameaçada de extinção (Em perigo).","1984","01","25","18158","auto",NA,NA,NA,NA
"36","2021-02-08 12:50:44-03","UFRGS","ICN","162076","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Strehl, T","Hagelund, K","1977","03","17","Brasil","RS","Tenente Portela","Parque Estadual do Turvo","-53.75830078125","-27.3710994720459",NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,"11199","América do Sul",NA,"Doação do Herbário Karner Hagelund.","1983","10","26","14404","auto",NA,NA,NA,NA
"37","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","93477","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Strehl, T.","Englert, S.",NA,NA,NA,"Brasil","Rio Grande do Sul","Derrubadas","Parque Estadual do Turvo, Rio Uruguai","-53.8608016967773","-27.2646999359131",NA,NA,NA,NA,"HAS0093477",NA,"Magnoliophyta",NA,"s.n.",NA,NA,"em cultivo TS 885; Te 885","2005","03","16","18158","auto",NA,NA,NA,NA
"38","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","93450","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Strehl, T.","Irgang, B. E.","2004","09",NA,"Brasil","Rio Grande do Sul","Tenente Portela","Parque Estadual do Turvo, Salto Yucumã","-53.75830078125","-27.3710994720459",NA,NA,NA,NA,"HAS0093450",NA,"Magnoliophyta",NA,"s.n.",NA,NA,NA,NA,NA,NA,"14404","auto",NA,NA,NA,NA
