"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"11","2020-02-08 08:47:37-03","NBC","NL-BOTANY","U.1099043","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Angelphytum","arnottii","Angelphytum arnottii",NA,"Lindeman JC; Haas JH de",NA,"1966","12","13","Southern America","Brazil","Rio Grande do Sul","Rio Grande do Sul. Campo 5 km S of Palmeira das Missoes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1099043 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1099043","NL-U1099043","(Baker) H.Rob.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0251411",NA,NA,NA
"12","2020-02-08 08:52:00-03","NBC","NL-BOTANY","U.1099046","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Verbesina","arnottii","Verbesina arnottii",NA,"Herter WG",NA,"1927","11","01","Southern America","Uruguay",NA,"Dep. De Rio Negro. Dict. Ofir.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1099046 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1099046","NL-U1099046","Baker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-11-04 11:00:57-03","ESALQ","ESA","88050","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Angelphytum","arnottii","Angelphytum arnottii","Robinson, H.","Ribas, O.S. ; Pereira L.B.S.","1693.0","1997","02","10",NA,"Brasil","Paraná",NA,"-49.8266983032227","-24.1578006744385",NA,NA,"ESA088050","ESA088050","H. Robinson","Arapoti",NA,NA,NA,NA,"1997","01","41852","auto",NA,NA,NA,NA,"01",NA,NA
"14","2020-11-04 11:00:57-03","ESALQ","ESA","55870","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Angelphytum","arnottii","Angelphytum arnottii",NA,"Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","7212.0","2007","01","14",NA,"Argentina","Corrientes","Ruta 94 em direção a Azara. 54km da divisa com Misiones. Campo provavelmente alagável",NA,NA,NA,"Erva, ca. 50cm alt. Flores amarelas","ESA055870","ESA055870","(Baker) H. Rob.","Santo Tomé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:00:57-03","ESALQ","ESA","60778","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Angelphytum","arnottii","Angelphytum arnottii","Robinson, H.","Ribas, O.S. ; Pereira L.B.S.","2352.0","1998","01","31",NA,"Brasil","Mato Grosso do Sul",NA,"-54.5463981628418","-21.8019008636475",NA,NA,"ESA060778","ESA060778","(Baker) H.Rob.","Rio Brilhante",NA,NA,NA,NA,NA,NA,"65544","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:00:57-03","ESALQ","ESA","25578","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Angelphytum","arnottii","Angelphytum arnottii","Magenta, M.","Souza, V.C.; Miyagi, P.H.; Souza, J.P.; Scalon, V.R.","8635.0","1995","05","28",NA,"Brasil","São Paulo",NA,"-48.8699989318848","-23.9799995422363",NA,NA,"ESA025578","ESA025578","(Baker) H.Rob.","Itapeva",NA,NA,NA,NA,NA,NA,"42926","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:00:57-03","ESALQ","ESA","56112","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Angelphytum","oppositifolium","Angelphytum oppositifolium","Dematteis, M.","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","7454.0","2007","01","18",NA,"Argentina","Corrientes","Ruta 34, 7km NW de San Carlos. Campo em beira de estrada",NA,NA,NA,"Erva, flores amarelas","ESA056112","ESA056112","(Saenz) H. Rob.","Ituzaingó",NA,NA,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:01:28-03","ESALQ","ESA","8697","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dimerostemma","arnotti","Dimerostemma arnotti","M. Magenta","Scaramuzza, C.A.M. ; Souza, V.C.","20.0","1989","04","08",NA,"Brasil","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA008697","ESA008697",NA,"Itararé",NA,NA,NA,NA,"2007",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:01:28-03","ESALQ","ESA","26547","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dimerostemma","arnotti","Dimerostemma arnotti","M. Magenta","Souza, V.C. et al.","2179.0",NA,NA,NA,NA,"Brasil","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA026547","ESA026547",NA,"Itararé",NA,NA,NA,NA,"2007",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:01:28-03","ESALQ","ESA","40461","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Magenta","Chung, F.; Matos, J.; Schmidt, M.; Gandara, F.; Ivanauskas, N.M.; Vanini, A.; Souza, J.P.; Souza, V.C.; Tamashiro, J.Y.; Rodrigues, R.R.","211.0","1997","12","17",NA,"Brasil","São Paulo",NA,"-48.8699989318848","-23.9799995422363",NA,NA,"ESA040461","ESA040461",NA,"Itapeva",NA,NA,NA,NA,"2007",NA,"42926","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:01:28-03","ESALQ","ESA","8757","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Magenta","Scaramuzza, C.A.M.","368.0",NA,NA,NA,NA,"Brasil","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA008757","ESA008757",NA,"Itararé",NA,NA,NA,NA,"2007",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:01:28-03","ESALQ","ESA","98537","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Magenta","Barreto, K.D.","3178.0","1994","11","08",NA,"Brasil","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA098537","ESA098537",NA,"Itararé",NA,NA,NA,NA,"2007",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:01:28-03","ESALQ","ESA","31356","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Magenta","Souza, V.C. ; Souza, J.P.","10900.0","1996","02","14",NA,"Brasil","São Paulo",NA,"-50.8899993896484","-22.2199993133545",NA,NA,"ESA031356","ESA031356",NA,"Rancharia",NA,NA,NA,NA,"2007",NA,"50606","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:01:28-03","ESALQ","ESA","93905","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","Gibau, A.","Souza, V.C.; Camargo, P.C.C.E.; Caliari, C.P.; Garcia, P.B.C.","31951.0","2005","12","09",NA,"Brasil","São Paulo","Estrada Itararé - Itapeva, próximo à ponte do Rio Verde. Cerrado.","-49.3400001525879","-24.1100006103516",NA,"Erva, ca. 1,5 m alt.; flores amarelas.","ESA093905","ESA093905","(Baker) M.D. Moraes","Itararé",NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-11-19 10:22:47-03","CPAP","CPAP","10991","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Angelphytum","arnottii","Angelphytum arnottii",NA,"Cervi, A. C.","3541","1991","12","17",NA,"Brasil","PR","Campo próximo a ponte do rio das Mortes, (PR-151)",NA,NA,NA,"Erva ereta de 70cm de altura. FLOR: amarela. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: . SUBSTRATO: . RELEVO: .",NA,NA,"(Baker) H. Rob.","Jáguariaíva&nf;ag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-19 10:22:47-03","CPAP","CPAP","16756","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Angelphytum","arnottii","Angelphytum arnottii","J. Pruski","Hatschbach, G.","58697","1993","02","08",NA,"Brasil","MS","Rodovia MS-295, fazenda Santa Paula, 18Km O de Tacuru","-55.0158004760742","-23.6324996948242",NA,"Erva ereta, 60m de altura. FLOR: capítulos amarelos. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Campo cerrado. SUBSTRATO: . RELEVO: .",NA,NA,"(Baker) H. Rob.","Tacuru",NA,NA,NA,NA,"1996",NA,"36822","auto",NA,NA,NA,NA,NA,NA,NA
"27","2019-02-15 11:34:05-02","IPA","IPA","77042","S","Plantae","Plantae",NA,"Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","Gaio, J.","Gaio, J.; Demeda, C.; Gonzatti, F.; Demeda, C.; Gonzatti, F.","517","2015","11","22","Southern America","Brasil","Rio Grande do Sul","Lagoa do Horácio., Próxima à Lagoa, na margem oeste.","-50.233056","-29.906111",NA,"Erva ereta.; Em solo arenoso bem drenado, local alterado; Na jazida de extração de areia.","IPA0077042","IPA0077042","(Baker) M.D.Moraes","Osório","6","6",NA,NA,"2016","01",NA,NA,"-50.233056","-29.906111",NA,NA,"14",NA,NA
"28","2019-08-27 13:26:50-03","IAP","PACA-AGP","28329","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","arnottii","Angelphytum arnottii","C.A. Mondin","Rambo, B.",NA,"1945","03",NA,NA,"Brasil","RS","ad fl. Uruguai","-52.7714004516602","-27.3617000579834",NA,"Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA028329",NA,"(Baker) H. Rob.","Nonoai",NA,NA,NA,NA,"2003","01","35080","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"29","2019-08-27 13:26:50-03","IAP","PACA-AGP","100611","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2855","2002","12","09",NA,"Brasil","RS","RST 453, Km 202",NA,NA,NA,"HASU 15004&nf;Ramificado na base, com ca.de 50cm Fenofase: Capítulos amarelos Hábito: subarbusto","PACA100611",NA,"(Saenz.) H. Rob.","Lajeado Grande",NA,NA,NA,NA,"2002","12",NA,NA,NA,NA,"Magnoliatae",NA,"09",NA,NA
"30","2019-08-27 13:26:50-03","IAP","PACA-AGP","97779","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2855","2002","12","09",NA,"Brasil","RS","Rodovia RST 453, Km 202",NA,NA,NA,"subarbusto ramificado na base, com ca. 50cm de altura. HASU 15004. Hábito: subarbusto","PACA097779",NA,"(Saenz.) H. Rob.","Lajeado Grande",NA,NA,NA,NA,"2002","12",NA,NA,NA,NA,"Magnoliatae",NA,"09",NA,NA
"31","2019-08-27 13:26:50-03","IAP","PACA-AGP","97784","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2847","2003","11","30",NA,"Brasil","RS","Rodovia RST 453, Km 203,5",NA,NA,NA,"com ca. 40cm de altura e capítulos amarelos. HASU 14996. Hábito: subarbusto","PACA097784",NA,"(Saenz.) H. Rob.","Lajeado Grande",NA,NA,NA,NA,"2003",NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"32","2019-08-27 13:26:50-03","IAP","PACA-AGP","8961","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Rambo, B.",NA,"1942","01","15",NA,"Brasil","RS",NA,"-50.4166984558105","-28.6678009033203",NA,"Habitat: in campestribus dumetosis Fenofase: flor","PACA008961",NA,"(Saenz.) H. Rob.","Bom Jesus",NA,NA,NA,NA,"2003","01","55856","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"33","2019-08-27 13:26:50-03","IAP","PACA-AGP","97782","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2865","2002","12","13",NA,"Brasil","RS","BR 392, a cerca de 5Km da cidade","-53.4914016723633","-30.5121994018555",NA,"ca. 40cm de altura. HASU 15014. Hábito: subarbusto","PACA097782",NA,"(Saenz.) H. Rob.","Caçapava do Sul",NA,NA,NA,NA,"2002","12","50525","auto",NA,NA,"Magnoliatae",NA,"13",NA,NA
"34","2019-08-27 13:26:50-03","IAP","PACA-AGP","11865","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Irm. Augusto",NA,"1932",NA,NA,NA,"Brasil","RS",NA,"-51.1794013977051","-29.1681003570557",NA,"Habitat: in campestribus dumetosis","PACA011865",NA,"(Saenz.) H. Rob.","Caxias do Sul",NA,NA,NA,NA,"2003","01","49662","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"35","2019-08-27 13:26:50-03","IAP","PACA-AGP","31006","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Rambo, B.",NA,"1946","01","04",NA,"Brasil","RS","Vila Oliva","-51.1794013977051","-29.1681003570557",NA,"Habitat: in campestribus siccis graminosis Fenofase: flor","PACA031006",NA,"(Saenz.) H. Rob.","Caxias do Sul",NA,NA,NA,NA,"2003","01","49662","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"36","2019-08-27 13:26:50-03","IAP","PACA-AGP","97785","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2912","2003","01","25",NA,"Brasil","RS","BR 158, Km 216","-53.6063995361328","-28.638599395752",NA,"com ca. 40cm de altura e capítulos amarelos. HASU 15169. Hábito: subarbusto","PACA097785",NA,"(Saenz.) H. Rob.","Cruz Alta",NA,NA,NA,NA,"2003","01","44498","auto",NA,NA,"Magnoliatae",NA,"25",NA,NA
"37","2019-08-27 13:26:50-03","IAP","PACA-AGP","97787","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2380","2001","10","27",NA,"Brasil","RS","Fazenda São Maximiano","-51.3250007629395","-30.113899230957",NA,"com ca. 60cm de altura. HASU 12843. Habitat: campo Hábito: subarbusto","PACA097787",NA,"(Saenz.) H. Rob.","Guaíba",NA,NA,NA,NA,"2004","10","28343","auto",NA,NA,"Magnoliatae",NA,"27",NA,NA
"38","2019-08-27 13:26:50-03","IAP","PACA-AGP","55709","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","J. Pivetta","374","1954","01","02",NA,"Brasil","RS","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,"Habitat: in campestribus dumetosis Fenofase: flor","PACA055709",NA,"(Saenz.) H. Rob.","Ijuí",NA,NA,NA,NA,"2003","01","36807","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"39","2019-08-27 13:26:50-03","IAP","PACA-AGP","97783","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","C. Mondin & A. Iob","2823","2002","12","16",NA,"Brasil","RS","Cerro do Negro (Ponte de Pedra)","-55.4827995300293","-29.5891990661621",NA,"ca. 60cm de altura e capítulos amarelos. HASU 14972. Hábito: subarbusto","PACA097783",NA,"(Saenz.) H. Rob.","Manoel Viana",NA,NA,NA,NA,"2002","12","43920","auto",NA,NA,"Magnoliatae",NA,"16",NA,NA
"40","2019-08-27 13:26:50-03","IAP","PACA-AGP","100619","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","C. Mondin & A. Iob","2823","2002","11","16",NA,"Brasil","RS","Cerro do Negro (Ponte de Pedra)","-55.4827995300293","-29.5891990661621",NA,"HASU 14972&nf;com ca. De 60 cm de altura Fenofase: Capítulos amarelos Hábito: subarbusto","PACA100619",NA,"(Saenz.) H. Rob.","Manoel Viana",NA,NA,NA,NA,"2002","11","43920","auto",NA,NA,"Magnoliatae",NA,"16",NA,NA
"41","2019-08-27 13:26:50-03","IAP","PACA-AGP","97778","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","C. Mondin & A. Iob","2831","2002","11","16",NA,"Brasil","RS","na estrada de acesso ao Cerro do Tigre","-55.4827995300293","-29.5891990661621",NA,"ca. 40cm de altura e capítulos amarelos. HASU 14980. Hábito: subarbusto","PACA097778",NA,"(Saenz.) H. Rob.","Manoel Viana",NA,NA,NA,NA,"2002","11","43920","auto",NA,NA,"Magnoliatae",NA,"16",NA,NA
"42","2019-08-27 13:26:50-03","IAP","PACA-AGP","100670","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2831","2002","11","16",NA,"Brasil","RS","Na estrada de acesso ao Cerro do Tigre.","-55.4827995300293","-29.5891990661621",NA,"HASU 14980.&nf;Subarbusto com cerca de 50cm de altura. Capítulos amarelos. Fenofase: flor Hábito: subarbusto","PACA100670",NA,"(Saenz.) H. Rob.","Manoel Viana",NA,NA,NA,NA,"2002","11","43920","auto",NA,NA,"Magnoliatae",NA,"16",NA,NA
"43","2019-08-27 13:26:50-03","IAP","PACA-AGP","97786","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","C. Mondin & A. Iob","2585","2002","03","02",NA,"Brasil","RS","Cerro Palomas","-55.5327987670898","-30.8908004760742",NA,"capítulos amarelos. HASU 10368. Habitat: campo Hábito: erva","PACA097786",NA,"(Saenz.) H. Rob.","Santana do Livramento",NA,NA,NA,NA,"2002","03","79795","auto",NA,NA,"Magnoliatae",NA,"02",NA,NA
"44","2019-08-27 13:26:50-03","IAP","PACA-AGP","97780","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2891","2003","01","23",NA,"Brasil","RS","Cerro Palomas","-55.5327987670898","-30.8908004760742",NA,"ca. 40cm de altura e capítulos amarelo-esverdeados. HASU 15174. Fenofase: flor Hábito: subarbusto","PACA097780",NA,"(Saenz.) H. Rob.","Santana do Livramento",NA,NA,NA,NA,"2003","01","79795","auto",NA,NA,"Magnoliatae",NA,"23",NA,NA
"45","2019-08-27 13:26:50-03","IAP","PACA-AGP","97781","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Mondin, C.","2954","2003","04","13",NA,"Brasil","RS","Cerro Palomas","-55.5327987670898","-30.8908004760742",NA,"capítulos amarelos. HASU 15409. Hábito: erva","PACA097781",NA,"(Saenz.) H. Rob.","Santana do Livramento",NA,NA,NA,NA,"2003","04","79795","auto",NA,NA,"Magnoliatae",NA,"13",NA,NA
"46","2019-08-27 13:26:50-03","IAP","PACA-AGP","36259","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Angelphytum","oppositifolium","Angelphytum oppositifolium","C. Mondin","Rambo, B.",NA,"1948","03",NA,NA,"Brasil","RS",NA,"-50.5835990905762","-29.4480991363525",NA,"Habitat: in campestribus graminosis Fenofase: flor","PACA036259",NA,"(Saenz.) H. Rob.","São Francisco de Paula",NA,NA,NA,NA,"2003","01","76715","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
