"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","county","locality","barcode","year","month","stateProvince","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","day","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","continentOcean","imagecode","infraspecificEpithet","class","order","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","fieldNumber","sex"
"14","2021-01-14 15:31:11-03","MN","R","211521","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Jesus, A. 19; Cruz, T. 19; Guimarães, M. 19; Gomes, F. 19, Coelho, M. 19; Santo, I.E. 640 & Oliveira, A.","Brasil","Carapebus","Parque Nacional da Restinga de Jurubatiba","R010061614","2011","07","Rio de Janeiro","-41.593889","-22.254444",NA,NA,NA,"14","41º35'38''W","22º15'16''S",NA,NA,"Lourenço, A.R.","2014","03","28",NA,"R010061614",NA,NA,NA,"1","1",NA,NA,NA,NA
"15","2021-03-31 13:40:09-03","MN","R","218167","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Mussat, E.","França",NA,NA,"R010069985","1864","07","Paris",NA,NA,NA,NA,"s.n.","17",NA,NA,"Herbier E. Mussat",NA,"Santos, L.A.","2013","11","08",NA,"R010069985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-31 13:40:09-03","MN","R","218168","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Roemer, F.","Alemanha",NA,"Worteworten Lee","R010069731","1924","07",NA,NA,NA,NA,NA,"s.n.","31",NA,NA,"Flora von Pommern",NA,"Santos, L.A.","2013","11","08",NA,"R010069731",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:31:11-03","MN","R","218169","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Netto, L.S.M.","França",NA,"Horto de Paris","R010069733",NA,NA,"Paris",NA,NA,NA,NA,"4206",NA,NA,NA,NA,NA,"Santos, L.A.","2013","11","08",NA,"R010069733",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:31:11-03","MN","R","85704","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Smith, L.B. 6374; Segadas-Vianna, F.; Silva, L.S.O.; Magnanini, A.; Dau, L.; Silva, Z.L.; Ormond, W.T. & Machline, G.C.","Brasil","Rio de Janeiro","Recreio dos Bandeirantes","R010069717","1952","04","Rio de Janeiro","-43.346944","-23.003611",NA,NA,NA,"04","43°20'49W","23°00'13S",NA,NA,"Lourenço, A.R.","2019","01","04",NA,"R010069717",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:31:11-03","MN","R","218107","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Gil, A.; Leite, B.M.B. & Moreira, C.B. 13","Brasil","São Pedro da Aldeia",NA,"R010069726,R010069591","2000","02","Rio de Janeiro","-42.1027984619141","-22.8391990661621","20879","auto",NA,"11",NA,NA,NA,NA,"Lourenço, A.R.","2019","01","04",NA,"R010069591 R010069726",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-14 15:31:11-03","MN","R","208123","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Bove, C.P. 426; Gil, A.; Moreira, C.; Borré, L.; Anjos, R. & Lisbôa, R.","Brasil","Carapebus","Lagoa de Carapebus","R010069724,R010069725","1999","05","Rio de Janeiro","-41.6610984802246","-22.1872005462646","13257","auto",NA,"11",NA,NA,"Coleçao líquida",NA,"Lourenço, A.R.","2019","01","04",NA,"R010069724 R010069725",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:31:11-03","MN","R","190687","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Santos, M.G. 684; Gallego, M.S. 122; Fevereiro, P.C.A. & Barcelos, J.I.","Brasil","Carapebus","Lagoa de Carapebus","R010069719","1995","12","Rio de Janeiro","-41.6610984802246","-22.1872005462646","13257","auto",NA,"14",NA,NA,"UFF 136",NA,"Lourenço, A.R.","2019","01","04",NA,"R010069719",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:31:11-03","MN","R","218116","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Bove, C.P. 1515; Paz, J.","Brasil","Quissamã","Lagoa dos Amarra-boi","R010069732","2005","07","Rio de Janeiro","-41.4721984863281","-22.1067008972168","33509","auto",NA,"05",NA,NA,NA,NA,"Lourenço, A.R.","2019","01","04",NA,"R010069732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:31:11-03","MN","R","218109","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Bove, C.P. 1608; Ferreira, F.; Imbassahy, C.; Machado, M.; Moreira, A.; Oliveira, A.; Paz, J. & Vaz, T.","Brasil","Quissamã","Lagoa Paulista","R010069727","2005","09","Rio de Janeiro","-41.4721984863281","-22.1067008972168","33509","auto",NA,"13",NA,NA,NA,NA,"Lourenço, A.R.","2019","01","04",NA,"R010069727",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:31:11-03","MN","R","218110","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Bove, C.P. 1288; Pereira, U.J.; Costa, L.S. & Canani, L.G.C.","Brasil","Carapebus","Parque Nacional da Restinga de Jurubatiba","R010069728,R010069729,R010069598","2003","10","Rio de Janeiro","-41.6610984802246","-22.1872005462646","13257","auto",NA,"22",NA,NA,"Coleção líquida e exsicata",NA,"Lourenço, A.R.","2014","01","04",NA,"R010069598 R010069728 R010069729",NA,NA,NA,NA,NA,"Álcool 70%",NA,NA,NA
"25","2021-01-14 15:31:11-03","MN","R","218108","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Bove, C.P. 1756; Paz, J. 481 & Circuncisão, J.D.","Brasil","Carapebus","Parque Nacional da Restinga de Jurubatiba","R010069589,R010069590,R010071479","2006","08","Rio de Janeiro","-41.6610984802246","-22.1872005462646","13257","auto",NA,"31",NA,NA,"Coleção líquida e exsicata",NA,"Lourenço, A.R.","2019","01","04",NA,"R010069589 R010069590",NA,NA,NA,NA,NA,"Álcool 70%",NA,NA,NA
"26","2021-01-14 15:31:11-03","MN","R","218115","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Bove, C.P. 1298; Pereira, U.J.; Costa, L.S. & Canani, L.G.C.","Brasil","Carapebus","Parque Nacional da Restinga de Jurubatiba","R010069730","2003","10","Rio de Janeiro","-41.6610984802246","-22.1872005462646","13257","auto",NA,"22",NA,NA,NA,NA,"Lourenço, A.R.","2014","01","04",NA,"R010069730",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:31:11-03","MN","R","187225","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Martins, V.L.C. 233; Silva, J.G. 3077 & Souza, A.T. 79","Brasil","Carapebus","Restinga de Carapebus","R010069718","1995","09","Rio de Janeiro","-41.6610984802246","-22.1872005462646","13257","auto",NA,"13",NA,NA,NA,NA,"Lourenço, A.R.","2019","01","04",NA,"R010069718",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-02-15 11:40:26-02","IPA","IPA","91215","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Silva, I.C.","Brasil","Ingá","Fazenda Maringá.","IPA0091215","2015","11","Paraíba","-35.6044006347656","-7.28082990646362","14177","auto","7","23",NA,NA,"Submersa fixa.","Plantae","Lycarião, T.A.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-02-15 11:40:26-02","IPA","IPA","91355","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Sousa, B.M.","Brasil","Mogeiro","Fazenda São Pedro da Mata., Reservatório. Na BR 230.","IPA0091355","2014","10","Paraíba","-36.005","-7.014722",NA,NA,"45","28","-36.005","-7.014722","Herbáceo.; Aquático.","Plantae","Sousa, B.M.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-02-15 11:40:26-02","IPA","IPA","7408","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Andrade-Lima","Brasil","Amarração","em pequeno poço, entre dunas.","IPA0007408","1954","07","Piauí",NA,NA,NA,NA,"54-1887","17",NA,NA,"Erva submersa.","Plantae","Andrade-Lima",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-02-15 11:40:26-02","IPA","IPA","91220","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Silva, I.C.","Brasil","Gurinhém","Fazenda Garças.","IPA0091220","2015","11","Paraíba","-35.449167","-7.186667",NA,NA,"12","23","-35.449167","-7.186667","Submersa fixa.","Plantae","Lycarião, T.A.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-02-15 11:40:26-02","IPA","IPA","91224","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Silva, I.C.","Brasil","Sobrado","Fazenda Riacho da Serra.","IPA0091224","2015","11","Paraíba","-35.315556","-7.183611",NA,NA,"16","23","-35.315556","-7.183611","Submersa fixa. Aquático.","Plantae","Lycarião, T.A.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-02-15 11:40:26-02","IPA","IPA","91296","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Lycarião, T.A.","Brasil","Barra de Santa Rosa","Próximo a BR 104, entre o km 46 e 47.","IPA0091296","2015","10","Paraíba","-36.045278","-6.731944",NA,NA,"77","05","-36.045278","-6.731944","Submersa fixa. Aquático.","Plantae","Lycarião, T.A.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-02-15 11:40:26-02","IPA","IPA","91340","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Sousa, B.M.","Brasil","Remígio","Reservatório. Na BR 104, próximo a entrada da cidade de Remígio.","IPA0091340","2014","10","Paraíba","-35.798889","-6.971389",NA,NA,"30","17","-35.798889","-6.971389","Herbáceo.; Planta submersa. Aquático.","Plantae","Sousa, B.M.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-02-15 11:40:26-02","IPA","IPA","91354","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Sousa, B.M.","Brasil","Campina Grande","Reservatório. Antes da bifurcação da BR 230 via externa acesso a riachão do Bacomata, sentido João Pessoa.","IPA0091354","2014","11","Paraíba","-35.698611","-7.265556",NA,NA,"44","28","-35.698611","-7.265556","Herbáceo. Planta flutuante.; Aquático.","Plantae","Sousa, B.M.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-02-15 11:40:26-02","IPA","IPA","91364","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Lacet, J.B.","Brasil","Congo","Açude Cordeiro.","IPA0091364","2015","04","Paraíba","-36.6975","-7.800278",NA,NA,"5","01","-36.6975","-7.800278","Flor verde escuro.; Reservatório de caatinga. Aquático / submersa.","Plantae","Silva, I.C.","2015","05","04","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-02-15 11:40:26-02","IPA","IPA","91368","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Silva, I.C.","Brasil","Juazeirinho","Açude Mucutú.","IPA0091368","2015","08","Paraíba","-36.516944","-7.044444",NA,NA,"3","25","-36.516944","-7.044444","Flor verde escuro.; Reservatório de caatinga. Aquático. Submerso.","Plantae","Silva, I.C.","2015","08","25","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-02-15 11:40:26-02","IPA","IPA","91369","S","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Lacet, J.B.","Brasil","Boqueirão","Açude Epitácio Pessoa.","IPA0091369","2016","03","Paraíba","-36.1349983215332","-7.48166990280151","19348","auto","16","07",NA,NA,"Flor verde escuro.; Reservatório de caatinga. Aquático. Submerso.","Plantae","Silva, I.C.","2016","03","09","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-16 17:50:02-03","UCS","HUCS","13361","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Piccoli, F.","Itália","Valli di Argenta","satnading fresh water",NA,"1993","06","Ferrara",NA,NA,NA,NA,"s.n.","12",NA,NA,"Herbarium Horti Ferrariensis","Angiospermae",NA,NA,NA,NA,NA,NA,NA,NA,"Alismatales",NA,NA,NA,NA,NA,NA
"40","2021-03-16 17:50:02-03","UCS","HUCS","29680","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina intermedia","L.","Kuhbier, H.","Alemanha","Langsee nahe Wiesdin",NA,NA,"1991","09","Neustrelitz",NA,NA,NA,NA,"s.n.","24",NA,NA,NA,"Angiospermae","Greifswald, R.D.",NA,NA,NA,NA,NA,"intermedia",NA,"Alismatales",NA,NA,NA,NA,NA,NA
"41","2021-03-16 17:50:02-03","UCS","HUCS","29680","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina intermedia","L.","Kuhbier, H.","Alemanha","Langsee nahe Wiesdin",NA,NA,"1991","09","Neustrelitz",NA,NA,NA,NA,"s.n.","24",NA,NA,NA,"Angiospermae","Greifswald, R.D.",NA,NA,NA,NA,NA,"intermedia",NA,"Alismatales",NA,NA,NA,NA,NA,NA
"42","2020-12-14 16:14:22-03","UFC","EAC","52035","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Gonzalez, H.H.S.; Matias, L.Q.; Sousa, D.J.L.","Brasil","Fortim","Nova esperança","EAC0052035","2011","10","Ceará","-37.80825","-4.512056",NA,NA,"32","11","-37.80825","-4.512056","Lagoa costeira","Monocotyledon","Gonzalez, H.H.S.","2011","11","17","Southern America","EAC0052035",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-14 16:14:22-03","UFC","EAC","29019","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Matias, L.Q.; Amado, R.; Bezerra, L.","Brasil","Beberibe","Praia do Canto Verde, lagoa permanente","EAC0029019","1999","07","Ceará","-38.1305999755859","-4.17971992492676","49277","auto","175","25",NA,NA,"Macrófita aquática; Litorâneo","Monocotyledon","Matias, L.Q.","1999","09","16","Southern America","EAC0029019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-14 16:14:22-03","UFC","EAC","26349","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Matias, L.Q.","Brasil","Camocim","Lagoa da Tatajuba","EAC0026349","1998","04","Ceará","-40.8410987854004","-2.90222001075745","42835","auto","s.n.","28",NA,NA,"Aquática submersa; Litorâneo","Monocotyledon","Matias, L.Q.","1998","05",NA,"Southern America","EAC0026349",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:37:44-03","MBM","MBM","177758","PreservedSpecimen","Plantae","Najadaceae","Najas","marina","Najas marina","L.","Ocana Nava; et al.; et al.","Mexico",NA,NA,"MBM177758",NA,NA,NA,NA,NA,NA,NA,"154",NA,NA,NA,NA,NA,"Ocana Nava",NA,NA,NA,"Northern America","MBM177758",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:37:44-03","MBM","MBM","45719","PreservedSpecimen","Plantae","Najadaceae","Najas","marina","Najas marina","L.","Schinini, A.","Argentina",NA,NA,"MBM045719",NA,NA,NA,NA,NA,NA,NA,"11978",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","MBM045719",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:37:44-03","MBM","MBM","79578","PreservedSpecimen","Plantae","Najadaceae","Najas","marina","Najas marina","L.","Shuey, A.G.","USA",NA,"Florida","MBM079578",NA,NA,NA,NA,NA,NA,NA,"2514",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern America","MBM079578",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2015-09-03 19:21:09-03","MNHN","RECOLNAT_MNHN_P","P02080382","PreservedSpecimen",NA,"Hydrocharitaceae","Najas","marina","Najas marina","L.","Riedel","Brasil",NA,"Lagoa de Pertininga","P02080382","1833","1",NA,NA,NA,NA,NA,NA,"1",NA,NA,"donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02080382' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"P02080382_01",NA,NA,NA,NA,NA,"hb",NA,NA,NA
"49","2021-02-11 17:20:48-03","UFPR","UPCB","4030","PreservedSpecimen","Plantae","Najadaceae","Najas","major","Najas major","All.","Deyrolle, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europa..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-02-11 17:20:48-03","UFPR","UPCB","5373","PreservedSpecimen","Plantae","Najadaceae","Najas","major","Najas major","All.","Deyrolle, E.","França","Paris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2012-04-19 13:51:00-03","MO","MOBOT","2895467","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","major","Najas major","All.","Miguel Bang","Bolivia",NA,"Titicaca.",NA,"1890",NA,"La Paz",NA,NA,NA,NA,"Bang 198",NA,NA,NA,NA,NA,"Foster's 1958 Catalog Notes File",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"52","2009-12-07 22:08:00-02","MO","MOBOT","2428631","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Elisa G. Nicora","Argentina","Monte Caseros","Arroyo Timboi, Estancia La Potota",NA,"1968","2","Corrientes",NA,NA,NA,NA,"Nicora 7393","25",NA,NA,NA,NA,"Lowden, R. M.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2011-03-26 12:56:00-03","MO","MOBOT","2442367","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Maria M. Arbo|Aurelio Schinini|Victor Maruñak|E. Vagabculow","Argentina","Mercedes","Macrosistema Iberá. Estancia Rincón del Diablo, Laguna Yacare",NA,"1998","11","Corrientes","-58.03333","-28.7",NA,NA,"Arbo 8033","30",NA,NA,NA,NA,"Arbo, M. M., //",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2009-11-17 17:10:00-02","MO","MOBOT","3388348","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Julian A. Steyermark|Bruno J. Manara|Gilberto N. Morillo","Venezuela",NA,"Laguna de Patos, 3.5 kms, al Suroeste de Cumaná, en frente de Hotel Cumanagoto.",NA,"1973","9","Sucre",NA,NA,NA,NA,"Steyermark 108555","15",NA,NA,NA,NA,"R.M. Lowden",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2019-07-31 14:33:07-03","CPATSA","HTSA","5624","PreservedSpecimen","Plantae","Najadaceae","Najas","marina","Najas marina","L.","Tonizza, M.C.","Brasil","Petrolina","Lagoa Paizão",NA,"2014","06","Pernambuco","-40.766944","-9.539444",NA,NA,"s.n.","16","-40.766944","-9.539444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2019-07-31 14:33:07-03","CPATSA","HTSA","5621","PreservedSpecimen","Plantae","Najadaceae","Najas","marina","Najas marina","L.","Tonizza, M.C.","Brasil","Petrolina","Lagoa Paizão",NA,"2014","02","Pernambuco","-40.766944","-9.539444",NA,NA,"s.n.","22","-40.766944","-9.539444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
