"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","scientificNameAuthorship","county","identifiedBy","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","typeStatus"
"11","2019-08-27 13:26:42-03","IAP","PACA-AGP","109179","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","R. Wasum",NA,"1975","05","04",NA,"Brasil","RS",NA,"-52.8939018249512","-30.0391998291016",NA,NA,NA,"PACA109179",NA,NA,"Mart.","Cachoeira do Sul","K.P. Soares","71201","auto","Liliopsida",NA,"2013","03","21",NA,NA,NA,NA,NA,NA
"12","2019-01-17 11:22:56-02","PUCRS","MPUC","3171","S","Plantae",NA,"Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis",NA,NA,"1967","09","01","South America","Brasil","RS",".",NA,NA,NA,NA,NA,NA,NA,NA,"Mart.",NA,"W. Kaercher",NA,NA,"Liliopsida",NA,"1975","01","01","1",NA,NA,NA,NA,NA
"13","2021-03-16 17:50:13-03","UCS","HUCS","17682a","PreservedSpecimen","Plantae","Angiospermae","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","17","2001","01","04",NA,"Brasil","Rio Grande do Sul",NA,"-49.723111","-29.334611",NA,NA,"acompanha vegetação de mata de capão.",NA,NA,NA,"Mart.","Farroupilha","Rossato, M.",NA,NA,NA,NA,NA,NA,NA,NA,"-49.723111","-29.334611",NA,NA,NA
"14","2021-03-16 17:50:13-03","UCS","HUCS","15169","PreservedSpecimen","Plantae","Angiospermae","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","12","2000","12","17",NA,"Brasil","Rio Grande do Sul",NA,"-50.660083","-28.758417",NA,NA,"Mata de capão",NA,NA,NA,"Mart.","Jaquirana","Rossato, M.",NA,NA,NA,NA,NA,NA,NA,NA,"-50.660083","-28.758417",NA,NA,NA
"15","2021-03-16 17:50:13-03","UCS","HUCS","24605","PreservedSpecimen","Plantae","Angiospermae","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","235","2004","11","06",NA,"Brasil","Rio Grande do Sul",NA,"-51.258167","-29.160222","656",NA,"vegetação de capoeiras, mata de recuperação.",NA,NA,NA,"Mart.","Caxias do Sul","Rossato, M.",NA,NA,NA,NA,"2004","11",NA,NA,"-51.258167","-29.160222","656",NA,NA
"16","2021-03-16 17:50:13-03","UCS","HUCS","24799","PreservedSpecimen","Plantae","Angiospermae","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","268","2004","12","30",NA,"Brasil","Rio Grande do Sul","Palmas","-53.615278","-30.8655","200",NA,"vegetação com capoeiras, mata de recuperação.",NA,NA,NA,"Mart.","Bagé","Rossato, M.",NA,NA,NA,NA,NA,NA,NA,NA,"-53.615278","-30.8655","200",NA,NA
"17","2021-03-16 17:50:13-03","UCS","HUCS","14348","PreservedSpecimen","Plantae","Angiospermae","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","11","1999","11","20",NA,"Brasil","Rio Grande do Sul","Guaritas","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,NA,NA,"Mart.","Caçapava do Sul","Rossato, M.","50525","auto",NA,NA,"1999","11",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-16 17:50:13-03","UCS","HUCS","13606","PreservedSpecimen","Plantae","Angiospermae","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","56","1999","03","19",NA,"Brasil","Rio Grande do Sul","Rio Tainhas, margem do rio.","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,NA,NA,"Mart.","Bom Jesus","Rossato, M.; Wasum, R.A.","55856","auto",NA,NA,"1999","03",NA,NA,NA,NA,NA,NA,NA
"19","2019-11-25 12:11:27-03","UFSM","SMDB","18201","S","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Essi, L; Freitas, JMB; Büneker, H","1054","2017","01","17",NA,"Brasil","Rio Grande do Sul",NA,"-53.8546981811523","-29.5377998352051",NA,NA,"Palmeira de folhas palmadas, com frutos. Em campo pedregoso e íngreme","SMDB018201",NA,NA,"Mart.","São Martinho da Serra","Essi, L","24165","auto",NA,NA,"2017","01","18",NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:13:36-03","MBM","MBM","384851","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Straube, F.C.; Macedo, L.F.F.; Macedo, L.F.F.","s.n.","2013","07","25","Southern America","Brazil","Paraná","Vale do Rio das Antas","-51.963583","-24.971139",NA,NA,"Mesmo indivíduo com flores e frutos; h = 2,5m; PAP = 1,0m; sem sinais de plântulas, nem jovens, rara na região.; Em pasto, com outras seis.","MBM384851",NA,NA,"Mart.","Santa Maria do Oeste","Ribas, O.S.",NA,NA,NA,NA,"2013","09","03",NA,"-51.963583","-24.971139",NA,NA,NA
"21","2020-12-21 16:13:36-03","MBM","MBM","156118","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Hatschbach, G.; Kummrow, R.; Kummrow, R.","58545","1992","06","24","Southern America","Brazil","Paraná","Cerro Azul, rodovia para Adrianópolis, próximo à descida para o Ribeirão do Rocha","-49.261100769043","-24.823600769043",NA,NA,NA,"MBM156118",NA,NA,"Mart.","Cerro Azul","Hatschbach, G.","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:13:36-03","MBM","MBM","67128","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Krapovickas, A.; et al.; et al.","34220","1978","12","07","Southern America","Brazil","Rio Grande do Sul","74km S de Caçapava do Sul, Rod. BR-84","-53.4914016723633","-30.5121994018555",NA,NA,NA,"MBM067128",NA,NA,"Mart.","Caçapava do Sul",NA,"50525","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:13:36-03","MBM","MBM","295140","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","11","1999","11","20","Southern America","Brazil","Rio Grande do Sul","Guaritas","-53.4914016723633","-30.5121994018555",NA,NA,NA,"MBM295140",NA,NA,"Mart.","Caçapava do Sul","Rossato, M.","50525","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:13:36-03","MBM","MBM","295141","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","17","2001","01","04","Southern America","Brazil","Rio Grande do Sul","Farroupilha","-51.3478012084961","-29.2250003814697",NA,NA,NA,"MBM295141",NA,NA,"Mart.","Farroupilha","Rossato, M.","19545","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:13:36-03","MBM","MBM","393572","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Barboza, E.; Cordeiro, J.; Roloff, J.R.; Cordeiro, J.; Roloff, J.R.","3964","2013","04","09","Southern America","Brazil","Paraná","Ribeirão do Rocha","-49.261100769043","-24.823600769043",NA,NA,"Palmeira 5m; frutos imaturos verdes, folhas em forma palmaleque.; Floresta Atlântica.","MBM393572","MBM393572 MBM393572_1",NA,"Mart.","Cerro Azul","Ribas, O.S.","32006","auto",NA,NA,"2013","05",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:13:36-03","MBM","MBM","9320","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Lindeman, J.; Haas, H.; Haas, H.","1423","1966","05","19","Southern America","Brazil","Paraná","Francisco Beltrão","-53.0550003051758","-26.0811004638672",NA,NA,NA,"MBM009320",NA,NA,"Mart.","Francisco Beltrão","Noblick, L.R.","32165","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:13:36-03","MBM","MBM","356664","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Corrijo, B.R.","s.n.","2009","12","16","Southern America","Brazil","Paraná","ARIE Buriti","-52.6706008911133","-26.2285995483398",NA,NA,"Palmeira de estipe com cerca de 5m de altura, frutos imaturos. Floresta Ombrófila Mista","MBM356664",NA,NA,"Mart.","Pato Branco","Hatschbach, G.; Ribas, O.S.","26000","auto",NA,NA,"2009","12","18",NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:13:36-03","MBM","MBM","295139","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rossato, M.","12","2000","12","17","Southern America","Brazil","Rio Grande do Sul","Jaquirana","-50.3577995300293","-28.8847007751465",NA,NA,NA,"MBM295139",NA,NA,"Mart.","Jaquirana","Rossato, M.","31282","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:13:36-03","MBM","MBM","51265","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Reitz, R.","7456","1970","08","01","Southern America","Brazil","Santa Catarina","Morro dos Conventos","-49.4858016967773","-28.934700012207",NA,NA,NA,"MBM051265","MBM051265",NA,"Mart.","Araranguá","Reitz, R.","19353","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2015-10-02 09:46:20-03","MNHN","RECOLNAT_MNHN_P","P00725557","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Glaziou, A.",NA,"1877","4","22",NA,"Brésil",NA,"Cult. Larangeiras",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00725557' target='other'> <mi>dwc_moreinfo</mi></a>","P00725557","P00725557_01",NA,"Mart.",NA,"Hahn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9014",NA
"31","2015-10-01 20:28:39-03","MNHN","RECOLNAT_MNHN_P","P00725558","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Glaziou, A.",NA,"1877","4","22",NA,"Brésil",NA,"Cult. Larangeiras",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00725558' target='other'> <mi>dwc_moreinfo</mi></a>","P00725558","P00725558_01",NA,"Mart.",NA,"Hahn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9014",NA
"32","2015-10-02 09:46:31-03","MNHN","RECOLNAT_MNHN_P","P00725559","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Glaziou, A.",NA,"1877","4","22",NA,"Brésil",NA,"Cult. Larangeiras",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00725559' target='other'> <mi>dwc_moreinfo</mi></a>","P00725559","P00725559_01",NA,"Mart.",NA,"Hahn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9014",NA
"33","2016-01-07 17:48:03-02","MNHN","RECOLNAT_MNHN_P","P00725560","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Sellow, F.",NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00725560' target='other'> <mi>dwc_moreinfo</mi></a>","P00725560","P00725560_01",NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type"
"34","2015-09-03 20:40:02-03","MNHN","RECOLNAT_MNHN_P","P01794292","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,"Province de Rio Grande do Sul",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01794292' target='other'> <mi>dwc_moreinfo</mi></a>","P01794292","P01794292_01",NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 2764 ter",NA
"35","2015-09-03 20:40:02-03","MNHN","RECOLNAT_MNHN_P","P01794294","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,"Province de Rio Grande do Sul",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01794294' target='other'> <mi>dwc_moreinfo</mi></a>","P01794294","P01794294_01",NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 2764 ter",NA
"36","2015-09-03 20:40:02-03","MNHN","RECOLNAT_MNHN_P","P01794295","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,"Province de Rio Grande do Sul",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01794295' target='other'> <mi>dwc_moreinfo</mi></a>","P01794295","P01794295_01",NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 2764 ter",NA
"37","2015-09-03 20:40:02-03","MNHN","RECOLNAT_MNHN_P","P01794304","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Glaziou, A.",NA,"1887","9","17",NA,"Brasil","Rio de Janeiro",NA,"-42.5311012268066","-22.2819004058838",NA,"hb","Cult. Nova Friburgo. Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01794304' target='other'> <mi>dwc_moreinfo</mi></a>","P01794304","P01794304_01",NA,"Mart.","Nova Friburgo",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17343",NA
"38","2015-09-03 20:40:02-03","MNHN","RECOLNAT_MNHN_P","P01794305","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Glaziou, A.",NA,"1887","9","17",NA,"Brasil","Rio de Janeiro","Brésil. R.J. Cult. Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01794305' target='other'> <mi>dwc_moreinfo</mi></a>","P01794305","P01794305_01",NA,"Mart.","Nova Friburgo",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17343",NA
"39","2015-09-03 20:40:02-03","MNHN","RECOLNAT_MNHN_P","P01794303","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Glaziou, A.",NA,"1887","9","17",NA,"Brasil","Rio de Janeiro","Brésil. R.J. Nova Froburgo","-42.5311012268066","-22.2819004058838",NA,"hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01794303' target='other'> <mi>dwc_moreinfo</mi></a>","P01794303","P01794303_01",NA,"Mart.","Nova Friburgo",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17343",NA
"40","2015-09-03 20:40:02-03","MNHN","RECOLNAT_MNHN_P","P01794306","PreservedSpecimen",NA,NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Glaziou, A.",NA,"1887","7","17",NA,"Brasil","Rio de Janeiro","Cult.","-42.5311012268066","-22.2819004058838",NA,"hb","Cult. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01794306' target='other'> <mi>dwc_moreinfo</mi></a>","P01794306","P01794306_01",NA,"Mart.","Nova Friburgo",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17343",NA
"41","2014-03-14 05:46:00-03","MO","MOBOT","1581554","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","A.C.V.D. d'Orbigny","Orbigny 17","1830",NA,NA,"South America","Bolivia","Santa Cruz","Monte Grande",NA,NA,NA,NA,NA,NA,NA,NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-11-15 05:15:00-02","MO","MOBOT","2457023","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Antonio C. Krapovickas|Carmen L. Cristóbal","Krapovickas 34220","1978","12","7","South America","Brazil","Rio Grande do Sul","74 Km S de Cacapava do Sul (BR 153, Km 84)",NA,NA,NA,NA,NA,NA,NA,NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2018-06-22 05:25:00-03","MO","MOBOT","2457040","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Lyman B. Smith|Pe. Raulino Reitz","Smith 9940","1957","1","10","South America","Brazil","Santa Catarina","Araranguá. Morro dos Conventos, ao norte do Arroio do Silva",NA,NA,NA,NA,NA,NA,NA,NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2012-04-20 05:09:00-03","MO","MOBOT","2492912","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Aurelio Schinini|Guillermo Caballero M.","Schinini Cacace 30221","1995","10","13","South America","Paraguay","Alto Paraná","Pikyry, en caati, bosque costero del rio Paraná, cercano al lago artificial Itaipu",NA,NA,NA,NA,NA,NA,NA,NA,"Mart.",NA,"Schinini, A., //",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2009-01-14 03:35:00-02","MO","MOBOT","3398872","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Bruno E. Irgang","Irgang 92607","1984","9","25","South America","Brazil","Rio Grande do Sul","Guaritas, Caçapava do Sul, RS.",NA,NA,NA,NA,NA,NA,NA,NA,"Mart.",NA,"B. Irgang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-03-29 10:41:14-03","UFSM","HDCF","6263","S","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Soares, K. P.; Witeck, L.; Büneker, H. M.",NA,"2012","07","07","América","Brasil","Rio Grande do Sul","Guaritas","-53.4914016723633","-30.5121994018555",NA,NA,"Folha, inflorescências e espinho",NA,NA,NA,"Mart.","Caçapava do Sul","Soares, K. P.","50525","auto",NA,NA,"2012","07","07",NA,NA,NA,NA,NA,NA
"47","2016-09-05 16:01:58-03","UFSM","HDCF","2185","S","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Marchiori, J. N. C.; Longhi, S. J.","233","1986","01","14","América","Brasil","Rio Grande do Sul","Guaritas","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,NA,NA,"Mart.","Caçapava do Sul","Marchiori, J. N. C.","50525","auto",NA,NA,"1986","01","14",NA,NA,NA,NA,NA,NA
"48","2019-03-29 10:41:14-03","UFSM","HDCF","6520","S","Plantae",NA,NA,"Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Soares, K. P.; Witeck, L.; Büneker, H. M.",NA,"2013","03","14","América","Brasil","Rio Grande do Sul",NA,"-55.057222","-29.467806",NA,NA,NA,NA,NA,NA,"Mart.","São Martinho da Serra","Soares, K. P.",NA,NA,NA,NA,"2013","03","14",NA,"-55.057222","-29.467806",NA,NA,NA
"49","2020-09-12 05:00:02-03","US","US","3635551","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","A. Krapovickas & C. L. Cristóbal","34207","1978","12","6","South America - Neotropics","Brazil",NA,"RGS. Mun. Cacapava do Sul",NA,NA,NA,NA,NA,"US01083408","US01083408_01",NA,"H. Wendl.",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
