"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","sex"
"15","2019-11-01 15:27:51-03","PUC-RIO","FCAB","6029","PreservedSpecimen","Plantae",NA,"Angiospermae","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"P. Occhioni","3343",NA,NA,NA,NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual Vila Velha.","-50.1618995666504","-25.0949993133545",NA,NA,NA,"Planta de campo limpo e seco.","006029",NA,"R.E.Fr.",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"16","2015-09-05 07:44:10-03","MNHN","RECOLNAT_MNHN_P","P00615259","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Suessenguth","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Minas Geraes",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00615259' target='other'> <mi>dwc_moreinfo</mi></a>","P00615259","P00615259_01 P00615259_02","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1778",NA,NA
"17","2015-09-24 05:56:41-03","MNHN","RECOLNAT_MNHN_P","P00615256","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Siqueira","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Minas Geraes",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00615256' target='other'> <mi>dwc_moreinfo</mi></a>","P00615256","P00615256_01 P00615256_02","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1490",NA,NA
"18","2015-09-05 07:44:10-03","MNHN","RECOLNAT_MNHN_P","P00615257","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Siqueira","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Minas Geraes",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00615257' target='other'> <mi>dwc_moreinfo</mi></a>","P00615257","P00615257_01 P00615257_02","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1490",NA,NA
"19","2015-09-05 07:44:10-03","MNHN","RECOLNAT_MNHN_P","P00615258","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Suessenguth","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Minas Geraes",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00615258' target='other'> <mi>dwc_moreinfo</mi></a>","P00615258","P00615258_01 P00615258_02","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 289",NA,NA
"20","2015-09-24 12:54:44-03","MNHN","RECOLNAT_MNHN_P","P00615260","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Suessenguth","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Minas Geraes",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00615260' target='other'> <mi>dwc_moreinfo</mi></a>","P00615260","P00615260_01 P00615260_02","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1775",NA,NA
"21","2015-09-04 17:05:09-03","MNHN","RECOLNAT_MNHN_P","P04923792","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"Smith, L.B.|Hatschbach, G.|Klein, R.M.",NA,"1965","1","14",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha.","-50.03333","-25.21667",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04923792' target='other'> <mi>dwc_moreinfo</mi></a>","P04923792","P04923792_01","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14473",NA,NA
"22","2021-02-11 17:17:48-03","UFPR","UPCB","22294","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Hatschbach, G.","Hatschbach, G.","3205","1952","12","21",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"Do campo..",NA,NA,"R.E.Fries",NA,NA,"1953","01",NA,NA,"46557","auto",NA,"01",NA,NA,NA
"23","2021-02-11 17:17:48-03","UFPR","UPCB","4593","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Hatschbach, G.","Hatschbach, G.","10706","1963","11","23",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"Flor alva rosada. Campo limpo..",NA,NA,"R.E.Fries",NA,NA,"1964","03",NA,NA,"46557","auto",NA,NA,NA,NA,NA
"24","2021-02-11 17:17:48-03","UFPR","UPCB","9153","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Pedersen, T.M.","Hatschbach, G.","25442","1970","11","17",NA,"Brasil","Paraná","Jaguariaíva","Rio Cilada","-49.7057991027832","-24.2511005401611",NA,NA,NA,"Campo limpo, seco..",NA,NA,"R.E.Fries",NA,NA,"1971","01",NA,NA,"44368","auto",NA,"01",NA,NA,NA
"25","2021-02-11 17:17:48-03","UFPR","UPCB","24523","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Silva, S.M.","Uhlmann, A.","103","1994","11","05",NA,"Brasil","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.7057991027832","-24.2511005401611",NA,NA,NA,"Herbácea de flores esbranquiçadas. Campo cerrado..",NA,NA,"R.E.Fries",NA,NA,"1995","06",NA,NA,"44368","auto",NA,"05",NA,NA,NA
"26","2020-05-02 04:38:00-03","MO","MOBOT","100700857","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"J.R.I. Wood|Anna Haigh","Wood 21913","2005","3","18","South America","Bolivia","Santa Cruz","Chiquitos","Chochis",NA,NA,NA,NA,NA,NA,NA,NA,"R.E. Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"27","2009-07-21 23:34:00-03","MO","MOBOT","2458940","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"Per Dusén","Dusén 15883",NA,NA,NA,"South America","Brazil","Paraná",NA,"Brasilia, Paraná loco acuratius haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,"R.E. Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","3422604","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","J.C Siqueira","Gert G. Hatschbach","Hatschbach 44350","1981","11","11","South America","Brazil","Paraná",NA,"Fda. Cajuru (mun. Jaguariaiva).",NA,NA,NA,NA,NA,NA,NA,NA,"R.E. Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","3422612","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","J.C. Siqueira","Gert G. Hatschbach","Hatschbach 20037","1968","10","12","South America","Brazil","Paraná",NA,"Fds do Lobo (mun. Arapoti).",NA,NA,NA,NA,NA,NA,NA,NA,"R.E. Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2009-07-17 17:34:00-03","MO","MOBOT","3422617","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"Per Dusén","Dusén 10535","1910","10","27","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R.E. Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2009-07-17 17:34:00-03","MO","MOBOT","3422633","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","R.E. Tress","Per Dusén","Dusén 15889","1914","11","21","South America","Brazil","Paraná",NA,"Jaguariahyra in campo.",NA,NA,"720.00000000",NA,NA,NA,NA,NA,"R.E. Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2009-07-17 17:34:00-03","MO","MOBOT","3424107","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","J.C. Siqueira","Per Dusén","Dusén 9230","1908","11","26","South America","Brazil","Paraná",NA,"Villa Velha, in campo.",NA,NA,NA,NA,NA,NA,NA,NA,"R.E. Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2008-05-27 22:02:00-03","MO","MOBOT","1811001","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis paraguariensis","T.M. Pederson","Troels M. Pedersen","Pedersen 9539","1969","12","12","South America","Paraguay","Paraguarí",NA,"Near Caapacú. Rocky outcrops.",NA,NA,NA,NA,NA,NA,NA,NA,"Pedersen","paraguariensis","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2011-06-09 17:28:00-03","MO","MOBOT","736990","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis paraguariensis","G.M. Pedersen (CTES)","Elsa M. Zardini|Tulio Tillería","Zardini 33687","1992","11","18","South America","Paraguay","Central",NA,"Estero del Ypoá. Villeta - Puerto Guyrati. 7 km S of Villeta. Cerrado scrub.","-57.55","-25.56666",NA,NA,NA,NA,NA,NA,"Pedersen","paraguariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"782","4",NA
"35","2020-09-12 05:00:02-03","US","US","2059456","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"G. Hatschbach","2579","1951","11","10","South America","Brazil","Paraná","Palmeira","Rio do Salto","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"US01340776","US01340776_01","R.E. Fr.",NA,NA,NA,NA,NA,NA,"35166","auto","Dicotyledonae",NA,NA,"1",NA
"36","2020-09-12 05:00:02-03","US","US","2573012","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"L. Smith, R. M. Klein & G. Hatschbach","14473","1965","1","14","South America","Brazil","Paraná","Ponta Grossa","Summit of sandstone cliffs, Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"US01340775","US01340775_01","R.E. Fr.",NA,NA,NA,NA,NA,NA,"46557","auto","Dicotyledonae",NA,NA,"1",NA
"37","2020-09-12 05:00:02-03","US","US","2622963","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"I. S. Gottsberger","736",NA,NA,NA,"South America - Neotropics","Brazil","São Paulo","Botucatu","18 km north of Botucatu (14 km east of São Manuel), along São manuel - Piracicaba highway; Near ex-RR Station","-48.439998626709","-22.8799991607666",NA,NA,NA,NA,"US01340774","US01340774_01","R.E. Fr.",NA,NA,NA,NA,NA,NA,"40412","auto","Dicotyledonae",NA,NA,"1",NA
"38","2020-09-12 05:00:02-03","US","US","1481628","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"P. K. Dusén","10453","1910","10","25","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyua","-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"US01340777","US01340777_01","R.E. Fr.",NA,NA,NA,NA,NA,NA,"44368","auto","Dicotyledonae",NA,NA,"1",NA
"39","2014-04-04 18:26:02-03","PNFM","IRAI","5724","S","Plantae","Magnoliophyta",NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Cordeiro, J.; Felitto, G.","Silva, J.M.","8227","2012","03","19",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-49.995472","-25.240389","950","950",NA,"Xilopodífera, flor zarcão. Campo recém queimado","IRAI00005724",NA,"R.E.Fr.",NA,NA,"2012","04","-49.995472","-25.240389",NA,NA,NA,NA,NA,NA,NA
"40","2014-04-04 18:26:02-03","PNFM","IRAI","5302","S","Plantae","Magnoliophyta",NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Ristow, R.; Teixeira, T.B.","Teixeira, T.B.","s.n.","2011","12","29",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.001361","-25.240722","920","920",NA,"Herbácea, 50 cm, caule e folhas pilosos, flor rosa. Campo limpo seco","IRAI00005302",NA,"R.E.Fr.",NA,NA,"2012","01","-50.001361","-25.240722",NA,NA,NA,"11",NA,NA,NA
"41","2019-09-04 19:31:56-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"P. Dusén","10535","1910","10","27","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"42","2018-04-06 15:20:18-03","F","FMNH-SEEDPLANTS","V0428691F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"G. G. Hatschbach","11873","1964","11","22","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0428691F","V0428691F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"43","2019-09-05 15:27:35-03","F","FMNH-SEEDPLANTS","V0047618F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"T. M. Pedersen","9539","1969","12","12","South America","Paraguay",NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,"V0047618F","V0047618F_01",NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"44","2021-02-12 15:01:54-03","UFSCar","SPSC","16","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","M.H.A.O. Souza","M.H.A.O. Souza",NA,NA,NA,NA,NA,"Brasil","São Paulo","Itirapina","Represa do Lobo.",NA,NA,NA,NA,NA,NA,NA,NA,"R.E.Fr.",NA,NA,"1974",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA
"45","2021-02-12 15:01:54-03","UFSCar","SPSC","17","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","M.H.A.O. Souza","M.H.A.O. Souza",NA,NA,NA,NA,NA,"Brasil","São Paulo","Itirapina","Represa do Lobo.",NA,NA,NA,NA,NA,NA,NA,NA,"R.E.Fr.",NA,NA,"1974",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 09:58:02-03","IBt","SP","51816","S","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Siqueira, JC","Lima, AS","s.n.","1943","11","12",NA,"Brasil","São Paulo","Itirapina",NA,"-47.8199996948242","-22.25",NA,NA,NA,NA,NA,NA,"R.E.Fr.",NA,NA,"1990","06",NA,NA,"22843","auto",NA,"19",NA,NA,NA
"47","2017-03-16 15:33:39-03","GH","HU-HERB","GH 00037081","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"P. K. H. Dusén","15883","1914","11","21","South America","Brazil","Paraná",NA,"Jaguariahyva",NA,NA,"720",NA,"Sheet",NA,NA,NA,"R. E. Fries",NA,"Isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,"15883",NA,"undetermined"
