"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","class"
"15","2021-03-01 16:39:29-03","UNICAMP","UEC","157134","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Cielo-Filho, R; Chiste, FS","35808","1998","09","25",NA,"Brazil","São Paulo","Campinas","Bosque dos Alemães","-47.060001373291","-22.8999996185303",NA,"Árvore de aproximadamente 14m crescendo no interior de Floresta Estacional Semidecidual. Tronco liso e flores amarelas quando maduras de odor agradável. Folhas inteiras na base da copa e lobadas no ápice. Indivíduo número 686.","UEC008411","UEC008411","Semir, J",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:39:29-03","UNICAMP","UEC","50656","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","paratypus","Pierozzi, NI","20982","1988","09","23",NA,"Brazil","São Paulo","Campinas","Campinas Ornamental, da Av. Brasil confluência com a 1A. de março proc. desconhecida","-47.060001373291","-22.8999996185303",NA,"Árvore com cerca de 6 m de altura. Planta masculina, flores creme","UEC012467","UEC012467","Marcondes-Ferreira, W","2011","11","23900","auto",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:39:29-03","UNICAMP","UEC","162581","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Antonelli, A","406","2008","09","14",NA,"Brazil","São Paulo","Campinas","Cruzamento Avenida Brasil e 1º de Março.","-47.060001373291","-22.8999996185303",NA,"Árvore, 15m. Diâmetro do tronco 60 cm à altura do peito. Folhas em alguns ramos dentadas, em outros inteiros. Flores aprox. 5 cm de comprimento, ligeiramente perfumadas, amarelas em ambos lados.&nf;&nf;Material tratado com etanol técnico,","UEC038484","UEC038484",NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:39:29-03","UNICAMP","UEC","50655","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","paratypus","Pierozzi, NI","20983","1988","09","23",NA,"Brazil","São Paulo","Campinas","Fazenda Sta Eliza Instituto Agronômico de Campinas, Coleção de genipapeiro. Localidade desconhecida","-47.060001373291","-22.8999996185303",NA,"Planta masculina. Árvore com +- 8 m de altura. Flores creme","UEC012468","UEC012468","Marcondes-Ferreira, W","2011","11","23900","auto",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:39:29-03","UNICAMP","UEC","127497","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Corrêa, AM; Silva, EA","02/43","2002","10","12",NA,"Brazil","São Paulo","Campinas","IAC, Fazenda Santa Eliza.","-47.060001373291","-22.8999996185303",NA,"Árvore, 10m de alt, flores amarelas.","UEC117102","UEC117102","Zappi, DC","2012",NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:39:29-03","UNICAMP","UEC","72799","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Bernacci, LC; Andrade, PR; Belinello, R; Falivene, SMP; Silva, AMC","1016","1995","01","10",NA,"Brazil","São Paulo","Pariquera-Açu","Extação esperimental do IAC.","-47.8800010681152","-24.7099990844727",NA,"Árvore ca. 15m alt, flores amarelas.; Floresta alta.","UEC073938","UEC073938","Zappi, DC","2012",NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:39:29-03","UNICAMP","UEC","186713","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Assis, MA","229","1994","05","11",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,"Árvore cerca de 10 m de alt. Frutos imaturos verdes. Vários indivíduos no local, os menores ca. 6m alt. sem frutos, os maiores com frutos e folhas amarelas.; Mata Atlântica.","UEC117101","UEC117101","Zappi, DC","1995",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:39:29-03","UNICAMP","UEC","79026","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Assis, MA","229","1994","05","11",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,"Árvore cerca de 10 m de alt. Frutos imaturos verdes. Vários indivíduos no local, os menores ca. 6m alt. sem frutos, os maiores com frutos e folhas amarelas.; Mata Atlântica.","UEC073942","UEC073942","Zappi, DC","1995",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:39:29-03","UNICAMP","UEC","78364","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Assis, MA","229","1994","05","11",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,"Árvore cerca de 10 m de alt. Frutos imaturos verdes. Vários indivíduos no local, os menores ca. 6m alt. sem frutos, os maiores com frutos e folhas amarelas.; Mata Atlântica.","UEC073939","UEC073939","Zappi, DC","1995",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:39:29-03","UNICAMP","UEC","74022","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Assis, MA","466","1994","10","29",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.Trilha lateral a praia.","-45.0699996948242","-23.4300003051758",NA,"Árvore 13 m de alt - botões esverdeados - flores creme a esbranquiçados - Pouco perfumadas - individuo sem fruto.","UEC073940","UEC073940","Zappi, DC",NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:39:29-03","UNICAMP","UEC","74020","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Assis, MA","456","1994","10","29",NA,"Brazil","São Paulo","Ubatuba","Picinguaba. Trilha lateral a Praia.","-45.0699996948242","-23.4300003051758",NA,"Árvore de 7m de alt, botões esverdeados flores com tubo creme e lobulos brancos -quando senescentes amarelados - perfume suave - frutos imaturos verdes.","UEC073946","UEC073946",NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-06-29 09:31:57-03","UFRRJ","RBR","11502","S","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"L.F.T. Menezes","1351","2004","12","23",NA,"Brasil","Rio de Janeiro","Mangaratiba","'Restinga da Marambaia, Caminho que liga bravo 6 a praia da Gaeta. Floresta beirando o caule.'","-44.040599822998","-22.9596996307373",NA,NA,"RBR00011502",NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA,NA,NA,NA
"27","2020-06-29 09:31:57-03","UFRRJ","RBR","20911","S","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"D. Hottz","41","2006","03","05",NA,"Brasil","Rio de Janeiro","Mangaratiba","Restinga da Marambaia, Ponta do Varejo, riacho que corta a trilha antes de chegar à praia.","-44.040599822998","-22.9596996307373",NA,NA,"RBR00020911",NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:43:23-03","MBM","MBM","350550","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Farney, C.; et al.; et al.","4495","2002","10","28","Southern America","Brazil","Rio de Janeiro","Macaé","Fazenda São Lázaro","-41.7868995666504","-22.3708000183105",NA,"Árvore 8m, isolada em área de plantio de côco; folhas discolores verdes; cálice verde, corola amarela. Flores perfumadas. Restinga degradada.","MBM350550","MBM350550",NA,NA,NA,"47209","auto",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:43:23-03","MBM","MBM","239285","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","ISOTYPE","Assis, M.A. de","466","1994","10","29","Southern America","Brazil","São Paulo","Ubatuba","Picinguaba, Trilha lateral à praia","-45.0699996948242","-23.4300003051758",NA,"Árvore 13m de altura; botões esverdeados, flores creme a esbranquiçadas, pouco perfumadas, indivíduo sem fruto.","MBM239285","MBM239285","Semir, J.; Zappi, D.","1995",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:43:23-03","MBM","MBM","59524","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","PARATYPE","Tamashiro, J.Y.; Parentoni, R.; Parentoni, R.","8461","1978","09","30","Southern America","Brazil","São Paulo","Campinas","Balão da Guanabara - Restaurante Timbó","-47.060001373291","-22.8999996185303",NA,"Árvore de 6m, flores amarelas.","MBM059524","MBM059524","Semir, J.","1994","07","23900","auto",NA,NA,"29",NA,NA,NA,NA
"31","2020-12-21 16:43:23-03","MBM","MBM","239287","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","PARATYPE","Assis, M.A. de","229","1994","05","11","Southern America","Brazil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,"Árvore cerca de 10m alt. Frutos imaturos verdes.; Mata Atlântica.","MBM239287","MBM239287","Semir, J.; Zappi, D.","1995",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"32","2020-12-11 11:40:52-03","UFMG","BHCB","46445","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:40:52-03","UFMG","BHCB","7761","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Lopes, MA; et al.","912","1986","05","09","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga. Mata do Jaó.","-42.1391983032227","-19.7896995544434",NA,"Mata Atlântica secundária;.arbóreo-15m;fruto verde separado;só folhas;",NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:40:52-03","UFMG","BHCB","7925","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Andrade, PM de; Lopes, MA","570","1984","10","23","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga. Matão.","-42.1391983032227","-19.7896995544434",NA,"Mata Atlântica;arbóreo;fruto verde;arv.nº4229;",NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:40:52-03","UFMG","BHCB","41865","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Muriaé","Usina Hidrelétrica de Cachoeira.","-42.3664016723633","-21.1305999755859",NA,NA,NA,NA,NA,NA,NA,"32715","auto",NA,NA,NA,NA,NA,NA,NA
"36","2011-03-18 12:48:00-03","MO","MOBOT","2395423","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","Isotype","Marco A. de Assis","Assis 466","1994","10","29","South America","Brazil","São Paulo",NA,"Rio Claro, SP - Brazil. Tilha lateral a praia.",NA,NA,NA,NA,NA,NA,"Zappi & Semir",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"37","2020-07-10 09:49:08-03","MBML","MBML-HERBARIO","1284",NA,"Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"G. Dalcolmo",NA,"1954","02",NA,NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis","-40.678056","-19.814167",NA,"Nome vulgar: genipapo preto. Doação de João Butkodiscky","MBML001284",NA,"D. Zappi/Nov.-1999",NA,NA,NA,NA,"40W40'41","19S48'51",NA,NA,NA,NA,NA
"38","2020-07-10 09:49:08-03","MBML","MBML-HERBARIO","41825",NA,"Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"A. M. Assis; V. Pereira","1839","2008","10","16",NA,"Brasil","Espírito Santo","Baixo Guandu","Córrego Luis Frederico (acesso para Torre 5/2 - LT 230 Kv Mascarenhas x Verona)","-40.865425","-19.489542",NA,"Arvore 15 m. DAP 40 cm. Frutos verdes. Floresta Ombrofila Densa. Isolada no pasto.","MBML041825",NA,NA,NA,NA,NA,NA,"40W51'55,53","19S29'22,35",NA,"260","260",NA,NA
"39","2020-07-15 14:43:38-03","UNESP-RC","HRCB","17459","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","Isótipo","Assis, M. A. de",NA,NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"Zappi & Semir",NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"40","2020-07-15 14:43:38-03","UNESP-RC","HRCB","17658","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","Parátipo","Assis, M. A. de",NA,NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"41","2020-07-15 14:43:38-03","UNESP-RC","HRCB","17460","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","Parátipo","Assis, M. A. de",NA,NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"Zappi & Semir",NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"42","2021-02-09 10:13:52-03","UENF","HUENF","2469","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Nascimento, M.T.; Dan, M.L.; Ribeiro, A.C.C.","194","2007","03","23",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Fazenda Santana","-41.138333","-21.335833",NA,NA,"HUENF00002471",NA,NA,NA,NA,NA,NA,"41º8'18''W","21º20'9''S",NA,"53","53",NA,NA
"43","2021-02-09 10:13:52-03","UENF","HUENF","10956","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Archanjo, K.M.P.A.","5597","2010","05","26",NA,"Brasil","Rio de Janeiro","Natividade","Mata São Vicente.","-41.9733009338379","-21.042200088501",NA,"Parcela 22","HUENF00011609",NA,NA,NA,NA,"18409","auto",NA,NA,NA,NA,NA,NA,NA
"44","2021-02-25 10:12:21-03","CVRD","CVRD","10643","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Folli, D.A.","5822","2008","01","06","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo amarelo","CVRD010643",NA,"Domingos A. Folli","2008","08","48094","auto",NA,NA,"24",NA,NA,NA,"Magnoliopsida"
"45","2021-02-25 10:12:21-03","CVRD","CVRD","5067","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Folli, D.A.","2430","1994","11","24","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo amarelo","CVRD005067","CVRD005067","Piero Delprete","1999","03","48094","auto",NA,NA,"18",NA,NA,NA,"Magnoliopsida"
"46","2021-02-25 10:12:21-03","CVRD","CVRD","7142","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Luz, A.A. da","33","2001","11","19","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo amarelo","CVRD007142",NA,"Daniela Zappi","2008","08","48094","auto",NA,NA,"24",NA,NA,NA,"Magnoliopsida"
"47","2021-02-25 10:12:21-03","CVRD","CVRD","14913","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Folli, D.A.","7201","2014","04","24","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"Na mata de cabruca no baixo Rio Doce, Brejo grande. <ll>dwc_commonname:</ll> Jenipapo amarelo","CVRD014913","CVRD014913","Domingos A. Folli","2014","04","48094","auto",NA,NA,"24","10","10",NA,"Magnoliopsida"
"48","2021-02-25 10:12:21-03","CVRD","CVRD","8307","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Folli, D.A.","4598","2003","09","05","América do Sul","BRASIL","ES","Linhares","Bairro Canivete","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo amarelo","CVRD008307",NA,"Domingos A. Folli","2008","08","48094","auto",NA,NA,"24",NA,NA,NA,"Magnoliopsida"
"49","2021-02-25 10:12:21-03","CVRD","CVRD","9866","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Folli, D.A.","5405","2006","11","22","América do Sul","BRASIL","ES","Linhares","Córrego Pau Atravessado","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo amarelo","CVRD009866","CVRD009866","Daniela Zappi","2008","08","48094","auto",NA,NA,"24",NA,NA,NA,"Magnoliopsida"
