"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","individualCount","occurrenceRemarks","identifiedBy","yearIdentified","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","continentOcean","fieldNumber","preparationType"
"17","2020-12-21 16:38:44-03","MBM","MBM","12474","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Physosiphon","pubescens","Physosiphon pubescens","B. Rodr.","Hatschbach, G.",NA,"Epífita.","Pabst, G.",NA,"23386","1969","10","23","Brazil","Paraná","Campina Grande do Sul","Serra Capivari Grande","-49.0553016662598","-25.3055992126465","55154",NA,NA,"MBM012474","auto","MBM012474",NA,NA,NA,NA,"Southern America",NA,NA
"18","2020-12-21 16:38:44-03","MBM","MBM","50156","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Physosiphon","pubescens","Physosiphon pubescens","B. Rodr.","Hatschbach, G.",NA,"Epífita.","Pabst, G.",NA,"3336","1956","11",NA,"Brazil","Paraná","Guaratuba","Estrada para Joinville, Alto da Serra","-48.5746994018555","-25.8827991485596","41937",NA,NA,"MBM050156","auto","MBM050156",NA,NA,NA,NA,"Southern America",NA,NA
"19","2020-12-21 16:38:46-03","MBM","MBM","6228","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","sarracenia","Pleurothallis sarracenia","Luer","Hatschbach, G.",NA,NA,"Luer, C.",NA,"17871","1967","11","16","Brazil","Paraná","Campina Grande do Sul","Sítio do Belizário","-49.0553016662598","-25.3055992126465","55154",NA,NA,"MBM006228","auto",NA,NA,NA,NA,NA,"Southern America",NA,NA
"20","2015-09-04 14:07:20-03","MNHN","RECOLNAT_MNHN_P","P00485363","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Phloeophila","pubescens","Phloeophila pubescens","(Barb.Rodr.) Garay","Regnell, A.",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485363' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1876","11","24","Brésil",NA,NA,"Brésil",NA,NA,NA,NA,NA,"P00485363",NA,"P00485363_01",NA,NA,NA,NA,NA,"III 2026","hb"
"21","2021-02-11 17:20:51-03","UFPR","UPCB","85443","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Cabral, M.R.",NA,"Amostra conservada em solução de glicerina com álcool..","Cabral, M.R.",NA,"13",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-11 17:20:51-03","UFPR","UPCB","85808","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Smidt, E.C.",NA,"Amostra conservada em solução de glicerina com álcool..","Smidt, E.C.",NA,"1061","2012","10",NA,"Brasil","Paraná","São José do Pinhais","Vossoroca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-11 17:20:51-03","UFPR","UPCB","85809","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Smidt, E.C.",NA,"Amostra conservada em solução de glicerina com álcool..","Smidt, E.C.",NA,"1062","2012","10",NA,"Sem procedência",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-11 17:20:51-03","UFPR","UPCB","70046","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Mancinelli, W.S.",NA,"Epífita..",NA,NA,"1161","2010","02","16","Brasil","Paraná","Tibagi","Canyon do Guartelá","-50.4136009216309","-24.5093994140625","56988",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-11 17:20:51-03","UFPR","UPCB","72400","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Mancinelli, W.S.",NA,"Epífita, flor roxa..","Mancinelli, W.S.","2010","1351","2010","11","07","Brasil","Paraná","Adrianópolis","Parque das Lauráceas","-48.9911003112793","-24.6571998596191","49901","750","750",NA,"auto",NA,NA,NA,"11","07",NA,NA,NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","2837876","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","sarracenia","Pleurothallis sarracenia","Luer","Gert G. Hatschbach",NA,NA,"C. Luer",NA,"Hatschbach 23386","1969","10","23","Brazil","Paraná",NA,"Serra Capivari Ode. (Mun. Campina Gde.",NA,NA,NA,"1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"27","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","13333",NA,"Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","C. N. de Fraga",NA,"Jardim do Museu. Coletada no Croton, na porta do Museu Mello Leitão, local indicado como sendo o local do Typus vivo. Sendo esta coleta, o material que deverá ser eleito como epitypus para a espécie. Folhas verdes, flores lilás branco,","A. P. Fontana/12-05-2005",NA,"585","2000","01","25","Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão","-40.6","-19.936111",NA,NA,NA,"MBML013333",NA,"MBML013333","40W36'0","19S56'10",NA,NA,NA,NA,NA
"28","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","23211",NA,"Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","A. P. Fontana; et al",NA,"Epífita, flores roxas quase pretas, com ápice verde.","A. P. Fontana/08-05-2005",NA,"696","2003","12","24","Brasil","Espírito Santo","São Roque do Canaã","Pedra dos Três Carneiros","-40.739444","-19.760833",NA,NA,NA,"MBML023211",NA,"MBML023211","40W44'22","19S45'39",NA,NA,NA,NA,NA
"29","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","5419",NA,"Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","L. Kollmann",NA,"Sépalas cor de vinho purpurescente, labelo branco e púrpureo, pétalas púrpureas, coluna branca, amarela e púrpurea, álcool/herb/cult.","A. P. Fontana/12-05-2005",NA,"47","1989","01","13","Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Parque","-40.6","-19.936111",NA,NA,NA,"MBML005419",NA,"MBML005419","40W36'0","19S56'10",NA,NA,NA,NA,NA
"30","2019-06-10 10:11:19-03","FZB-BH","BHZB","7885","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae",NA,"Ferreira Junior, C.A. et al.",NA,"ORC1998049.Cultivado",NA,NA,NA,"2009","12","14","Brasil","MG","Belo Horizonte","FZB-BH - Coleção de Orquídeas.","-43.937801361084","-19.9207992553711","17082",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","2688687","PreservedSpecimen","Plantae",NA,"Monocotyledonae","Orchidales","Orchidaceae","Pleurothallis","sarracenia","Pleurothallis sarracenia",NA,"G. Hatschbach","1",NA,NA,NA,"17871","1967","11","16","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"US00446953",NA,"US00446953_01",NA,NA,NA,NA,"South America",NA,NA
"32","2020-03-12 13:18:00-03","F","FMNH-SEEDPLANTS","V0435083F","PreservedSpecimen","Plantae","Spermatophyta","Monocotyledoneae",NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae",NA,"G. Hatschbach",NA,NA,NA,NA,"23386","1969","10","23","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"V0435083F",NA,"V0435083F_01 V0435083F_02",NA,NA,NA,NA,"South America","23386",NA
"33","2021-02-12 15:02:21-03","UFSCar","SPSC","7285","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","A.W.C. Ferreira",NA,"Ripicola","A.W.C. Ferreira",NA,NA,"2006","10","11","Brasil","São Paulo","São Carlos","Parque Ecológico de São Carlos. Córrego Espraiado",NA,NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA
"34","2019-05-06 12:01:21-03","UFU","HUFU","10561","S","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","sarracenia","Pleurothallis sarracenia","Luer","Nakajima, J.N.; Romero, R.; Zanini, E. & Simão, D.G.",NA,"Epífita prostrada, flores jovens com tépalas vinho. Flores maduras com tépalas amarelo-claro.; Afloramento rochoso.","Ribeiro, J.E.L.S.","2001","1531","1995","11","21","Brasil","Minas Gerais","São Roque de Minas","Estrada para a cachoeira dos Rolinhos.","-46.3657989501953","-20.2453002929688","57119",NA,NA,"HUFU00035721","auto","HUFU00035721",NA,NA,"07",NA,NA,NA,NA
"35","2020-08-20 14:54:41-03","UFSC","FLOR","2470","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Bresolin, A.",NA,"epífito, flor marrom","Siqueira, C.E.","2011","28","1970","10","15","Brasil","Santa Catarina","Florianópolis","Rio Tavares (Igreja de Pedra), Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","27000","300","300","FLOR0002470","auto",NA,NA,NA,"01","16",NA,NA,NA
"36","2020-08-20 14:54:41-03","UFSC","FLOR","1454","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Klein, R.M.; Bresolin, A.",NA,"epífita, flor roxa. Exemplar único.","Siqueira, C.E.","2011","6887","1966","11","23","Brasil","Santa Catarina","Florianópolis","Saco Grande, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","27000","200","200","FLOR0001454","auto",NA,NA,NA,"01","16",NA,NA,NA
"37","2017-09-11 17:12:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Physosiphon","pubescens","Physosiphon pubescens","Barb.Rodr.","Barbosa Rodrigues, J",NA,"Floret Novembri",NA,NA,"2026",NA,NA,NA,"Brazil","Minas Gerais",NA,"Habitat in campis supra arbores ad Serra de Caldas prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,"P03P4N0077",NA,NA,NA,NA,"Southern America",NA,NA
"38","2021-02-08 12:52:09-03","UFRGS","ICN","044128","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Acianthera","sarracenia","Acianthera sarracenia","(Luer.) Pridgeon & M.W. Chase.","Kuhlmann, JG",NA,NA,"Gonçalves, CN","2002","s.n.","1941","10","30","Brasil","MG","Viçosa",NA,"-42.8819007873535","-20.7539005279541","13937",NA,NA,"ICN00038759","auto",NA,NA,NA,"09","06","América do Sul",NA,NA
"39","2021-02-08 12:52:09-03","UFRGS","ICN","015095","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Acianthera","sarracenia","Acianthera sarracenia","(Luer.) Pridgeon & M.W. Chase.","Dutra, J",NA,NA,"Gonçalves, CN","2002","1095",NA,NA,NA,"Brasil","RS","São Leopoldo","Ferrabraz.","-51.1472015380859","-29.7602996826172","10287",NA,NA,"ICN00038761","auto",NA,NA,NA,"09","06","América do Sul",NA,NA
"40","2021-02-08 12:52:09-03","UFRGS","ICN","046575","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Acianthera","sarracenia","Acianthera sarracenia","(Luer.) Pridgeon & M.W. Chase.","Waechter, JL",NA,"Flores (sinsépalo) verde com manchas atropurpúreas, plantas reptantes, formando revestimento contínuo sobre os troncos.; Epífito em beira de mato.","Gonçalves, CN","2002","1449","1979","11","02","Brasil","RS","Torres","Colônia São Pedro.","-49.7268981933594","-29.3353004455566","20837",NA,NA,"ICN00038762","auto",NA,NA,NA,"09","06","América do Sul",NA,NA
"41","2021-02-08 12:52:09-03","UFRGS","ICN","035285","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Acianthera","sarracenia","Acianthera sarracenia","(Luer.) Pridgeon & M.W. Chase.","Waechter, JL; Baptista, L; Citadini, V",NA,"+- 4 mde altura; flores verdes manchadas de púrpura.","Gonçalves, CN","2002","626","1977","10","21","Brasil","RS","Torres","Morro Azul.","-49.7268981933594","-29.3353004455566","20837",NA,NA,"ICN00038763","auto",NA,NA,NA,"09","06","América do Sul",NA,NA
"42","2021-02-08 12:52:09-03","UFRGS","ICN","041255","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Acianthera","sarracenia","Acianthera sarracenia","(Luer.) Pridgeon & M.W. Chase.","Waechter, JL",NA,"Coletada em botão, floresceu em agosto; Arborizada em 26/08/1977; flores esverdeadas, obscuramente salpicada de púrpura.; Epífitica muro de pedras.","Gonçalves, CN","2002","s.n.","1977","08","26","Brasil","RS","Torres","Morro Azul.","-49.7268981933594","-29.3353004455566","20837",NA,NA,"ICN00038760","auto",NA,NA,NA,"09","06","América do Sul",NA,NA
"43","2021-02-08 12:52:22-03","UFRGS","ICN","046547","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Sarracenella","pubescens","Sarracenella pubescens","(Barb. Rodr.) Luer.","Waechter, J",NA,"Epífito; flores (cálice) verdes com manchas atropurpúreas.; Em interior de mato; sobre Heronima alchornoides.","Waechter, JL","1979","1444","1979","10","21","Brasil","RS","Torres","Morro Azul.","-49.7268981933594","-29.3353004455566","20837",NA,NA,"ICN00041169","auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA
"44","2020-08-26 10:50:18-03","MCN-FZBRS","HAS","11019","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Waechter, J.L.",NA,"Epífito em interior de mato sobre Hyeronima alchorneoides e com flores (cálice) verdes com manchas atropurpúreas","Gonçalves, C.N.","2004","1444","1979","10",NA,"Brasil","Rio Grande do Sul","Torres (Três Cachoeiras - RS)","Morro Azul",NA,NA,NA,NA,NA,"HAS0011019",NA,NA,NA,NA,"03","19",NA,NA,NA
"45","2019-11-21 10:12:48-03","IBt","SP","425766","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Barbero, APP",NA,NA,"Barbero, APP","2008","64","2008","11","26","Brasil","São Paulo","Leme","A 7 km da cidade","-47.3899993896484","-22.1800003051758","20942",NA,NA,NA,"auto",NA,NA,NA,"11","26",NA,NA,NA
"46","2019-11-21 10:12:48-03","IBt","SP","401883","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Barros, F",NA,NA,"Barros, F","2007","s.n.",NA,NA,NA,"Brasil","São Paulo","Leme","Cultivada na Seção do Orquidário do Instituto de Botânica sob nº 1396-D, florescendo em 13-XI-2006","-47.3899993896484","-22.1800003051758","20942",NA,NA,NA,"auto",NA,NA,NA,"01","18",NA,NA,NA
"47","2019-11-21 10:12:48-03","IBt","SP","29255","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Loefgren, A",NA,NA,"Barros, F","2002","CGG3881","1897","12","04","Brasil","São Paulo","São Paulo","Em cultivo da Comissão (da Serra do Caracol)","-46.6300010681152","-23.5400009155273","53584",NA,NA,"SP009458","auto","SP009458",NA,NA,"09","09",NA,NA,NA
"48","2019-11-21 10:12:48-03","IBt","SP","31019","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Hoehne, FC",NA,NA,"Barros, F","2002","s.n.","1933","10","08","Brasil","São Paulo","São Paulo","Parque do Estado, Jardim Botânico","-46.6300010681152","-23.5400009155273","53584",NA,NA,NA,"auto",NA,NA,NA,"09","09",NA,NA,NA
"49","2019-11-21 10:12:48-03","IBt","SP","252283","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Barros, F; Chiea, SAC",NA,NA,"Barros, F","2002","2380","1991","11","22","Brasil","São Paulo","Serra Negra","Alto da Serra","-46.7000007629395","-22.6100006103516","12188","1200","1200",NA,"auto",NA,NA,NA,"09","09",NA,NA,NA
