"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","yearIdentified","day","monthIdentified","dayIdentified","individualCount","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","sex"
"11","2021-03-15 18:24:50-03","USP","SPF","208343","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"Zappi, DC","2563","2009","11",NA,"Brasil","Serra do Cipó, Capela de São José. Trilha da Senhorinha, caminho a Congonhas do Norte.",NA,"Erva latescente com ramos eretos, flores creme..; Afloramentos rochosos isolados em campo limpo.","SPF00208343",NA,"Zappi, DC","Minas Gerais","2010","24","11",NA,NA,"Santana de Pirapama","-43.752638","-18.932889","-43.752638","-18.932889",NA,NA,NA,NA,NA,NA
"12","2021-03-15 18:24:50-03","USP","SPF","208354","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"Zappi, DC","2607","2009","11",NA,"Brasil","Serra do Cipó, Capela de São José. Trilha da Senhorinha, caminho a Congonhas do Norte.",NA,"Ervas eretas, latescentes, flores creme.; Afloramento rochoso.","SPF00208354",NA,"Zappi, DC","Minas Gerais","2010","25","11",NA,NA,"Santana de Pirapama","-43.741681","-18.96264","-43.741681","-18.96264",NA,NA,NA,NA,NA,NA
"13","2021-03-15 18:24:50-03","USP","SPF","209684","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"Milliken, W","4301","2011","03",NA,"Brasil","Serra do Cipó, Estrada da Captação da Faz Toucan Cipó",NA,"Erva 25 cm alt., latescente, flores alvas; campo arenoso com Vellozia","SPF00209684",NA,"Biggs, N","Minas Gerais","2011","19","07",NA,NA,"Santana de Pirapama","-43.756204","-19.003898","-43.756204","-19.003898","992","992",NA,NA,NA,NA
"14","2021-03-15 18:24:50-03","USP","SPF","209687","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"Zappi, DC","1939","2009","03",NA,"Brasil","Serra do Cipó, Trilha da Senhorinha, primeiro platô.",NA,"Ervas latescentes, em touceiras densas, eretas, corolas alvas.; Campo com solo arenoso e afloramentos rochosos.","SPF00209687",NA,"Devecchi, MF","Minas Gerais","2009","09",NA,NA,NA,"Santana de Pirapama","-43.749778","-18.947028","-43.749778","-18.947028",NA,NA,NA,NA,NA,NA
"15","2019-10-07 09:13:37-03","UEFS","HUEFS","139998","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"Rapini, A.","1770","2008","05",NA,"Brasil","Serra da Lapa, próximo à trilha para a Cachoeira Bicami.",NA,"Campo rupestres.","HUEFS0139998","HUEFS0139998 HUEFS0139998_01","A.Rapini","Minas Gerais","2009","02","10",NA,NA,"Santana do Riacho","-43.717222","-19.017778","43W43'2''","19S1'4''","1210","1210","Asteranae",NA,NA,NA
"16","2019-10-07 09:13:37-03","UEFS","HUEFS","189079","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"Andrade, I.R.","382","2012","05",NA,"Brasil","RPPN Brumas do Espinhaço e Ermo dos Gerais.",NA,"Campo rupestre.","HUEFS0189079","HUEFS0189079",NA,"Minas Gerais",NA,"16",NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Asteranae","26557","auto",NA
"17","2019-09-04 18:36:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Ditassa","hemipogonoides","Ditassa hemipogonoides",NA,"Type [status unknown]","L. Riedel","977","1824","11","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"18","2017-09-11 17:06:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Ditassa","hemipogonoides","Ditassa hemipogonoides","E.Fourn.",NA,"Riedel, L","977","1824","11","Southern America","Brazil","Serra da Lapa",NA,"In locis petrosis.; HABITAT: In locis petrosis.",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 09:58:51-03","IBt","SP","28573","S","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"Gomes, M","2836",NA,NA,NA,"Brasil","Serra do Cipó",NA,NA,NA,NA,"Rapini, A","Minas Gerais","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2010-08-16 16:42:11-03","GH","HU-HERB","GH 00076322","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Ditassa","hemipogonoides","Ditassa hemipogonoides","E. Fournier","Isotype","L. Riedel",NA,NA,NA,"South America","Brazil",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
