"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount"
"11","2017-03-14 10:56:00-03","MO","MOBOT","1537882","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","Henk van der Werff","I.A. Silva","Silva 269","1981","10","14","South America","Brazil","Espírito Santo","Linhares. Estrada: Louro. Metros. 320.",NA,NA,NA,NA,"(Meisn.) Mez","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"12","2013-06-28 10:57:00-03","MO","MOBOT","100607626","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","A. Quinet","Cyl Farney|J.C. Gomes","Farney 4174","2000","9","11","South America","Brazil","Rio de Janeiro","Serra de Sapiatiba, estrada para a Torre, mata en encosta.",NA,NA,NA,NA,"(Meisn.) Mez","São Pedro da Aldeia","-42.1027984619141","-22.8391990661621","20879","auto","100.00000000","300.00000000",NA,NA,NA,NA,NA,NA,NA,"1"
"13","2012-05-09 15:33:00-03","MO","MOBOT","100472442","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","A. Quinet","A. C. S. Cavalcanti|et al.","Cavalcanti 271","2008","10","17","South America","Brazil","Espírito Santo","Praia das Neves. Árvore com cerca de 4 m, de ramos enegrecidos; folhas cartáceas verdes glabras de face abaxial verde clara fosca e a adaxial verde brilhosa; botões florais esverdeados.",NA,NA,NA,NA,"(Meisn.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","2015-04-12 20:50:00-03","MO","MOBOT","1423829","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","H. van der Werff (MO)","Reyjane P. de Oliveira","Oliveira 106A","1997","7","8","South America","Brazil","Rio de Janeiro","Reserva Biológica União, Rio das Ostras. Morro. Trilha 4.",NA,NA,NA,NA,"(Meisn.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-04-12 20:50:00-03","MO","MOBOT","1423836","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","H. van der Werff (MO)","Reyjane P. de Oliveira","Oliveira 106B","1997","7","7","South America","Brazil","Rio de Janeiro","Reserva Biológica União, Rio das Ostras. Morro. Trilha 4.",NA,NA,NA,NA,"(Meisn.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-04-12 20:50:00-03","MO","MOBOT","1423846","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","H. van der Werff (MO)","Reyjane P. de Oliveira","Oliveira 106C","1998","7","15","South America","Brazil","Rio de Janeiro","Reserva Biológica União, Rio das Ostras. Morro. Trilha 4.",NA,NA,NA,NA,"(Meisn.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1423850","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","Henk van der Werff (MO)","A. Frulan|et al.","Frulan 7243","1981","4","19","South America","Brazil","Minas Gerais","Mun. Santana do riacho. Mata ciliar do córrego Andrequicé.",NA,NA,NA,NA,"(Meisn.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-11-16 15:19:00-02","MO","MOBOT","100938395","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","G. S. Siqueira","G.S. Siqueira","Siqueira 937","2013","12","1","South America","Brazil","Espírito Santo","Praia das Neves. Estrada: estrada da orla da praia. UTM X: 297681, Y: 7651422.",NA,NA,NA,NA,"(Meisn.) Mez","Presidente Kennedy","-41.0466995239258","-21.0988998413086","24088","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2013-06-28 11:01:00-03","MO","MOBOT","100607628","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","A. Quinet","Cyl Farney|J.C. Gomes|G.S.Z. Resende","Farney 4459","2001","12","3","South America","Brazil","Rio de Janeiro","Serra de Sapiatiba.",NA,NA,NA,NA,"(Meisn.) Mez","São Pedro da Aldeia","-42.1027984619141","-22.8391990661621","20879","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"20","2020-06-15 15:30:55-03","UNESP-RC","HRCB","62613","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","Quinet, A.","Farney, C.","4174","2000","09","11",NA,"Brasil","Rio de Janeiro","São Pedro da Aldeia. Serra de Sapiatiba, estrada para a torre.",NA,"Árvore de 6m alt.; folhas discolores verdes; folhas jovens vermelhas e frutos imaturos verdes.",NA,NA,"(Meisn.) Mez","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","100","100",NA,"2012",NA,NA,NA,NA,NA,NA
"21","2021-02-09 10:13:07-03","UENF","HUENF","10406","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Souza, T.P.","799","2012","09","15",NA,"Brasil","Rio de Janeiro","Maciço do Itaoca.",NA,"Parcela 9","HUENF00011053",NA,"(Meisn.) Mez","Campos dos Goytacazes","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"22","2021-02-09 10:13:07-03","UENF","HUENF","10408","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Areias, I.O.R.; et al.","548","2011","06","14",NA,"Brasil","Rio de Janeiro","Maciço do Itaoca.",NA,"Parcela 15","HUENF00011055",NA,"(Meisn.) Mez","Campos dos Goytacazes","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"23","2021-02-09 10:13:07-03","UENF","HUENF","10455","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Souza, T.P.","9","2011","06","29",NA,"Brasil","Rio de Janeiro","Maciço do Itaoca.",NA,"Parcela 1","HUENF00011119",NA,"(Meisn.) Mez","Campos dos Goytacazes","-41.447778","-21.796944",NA,NA,NA,NA,NA,NA,NA,NA,"41º26'52''W","21º47'49''S",NA,NA
"24","2021-02-09 10:13:07-03","UENF","HUENF","10407","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Souza, T.P.; Reis, M.P.","669","2013","02","20",NA,"Brasil","Rio de Janeiro","Maciço do Itaoca.",NA,"Parcela 8","HUENF00011054",NA,"(Meisn.) Mez","Campos dos Goytacazes","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"25","2021-02-09 10:13:07-03","UENF","HUENF","10409","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Souza, T.P.","354","2013","04","08",NA,"Brasil","Rio de Janeiro","Maciço do Itaoca.",NA,"Parcela 5","HUENF00011056",NA,"(Meisn.) Mez","Campos dos Goytacazes","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"26","2021-02-09 10:13:07-03","UENF","HUENF","10402","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Souza, T.P.; Faitanin, M.A.; Ribeiro, C.T.","1263","2013","03","04",NA,"Brasil","Rio de Janeiro","Maciço do Itaoca.",NA,"Parcela 15","HUENF00011049",NA,"(Meisn.) Mez","Campos dos Goytacazes","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"27","2021-02-09 10:13:07-03","UENF","HUENF","10456","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Areias, I.O.R.; Souza, T.P.","223","2010","06","26",NA,"Brasil","Rio de Janeiro","Maciço do Itaoca.",NA,"Parcela 14","HUENF00011120",NA,"(Meisn.) Mez","Campos dos Goytacazes","-41.447778","-21.796944",NA,NA,NA,NA,NA,NA,NA,NA,"41º26'52''W","21º47'49''S",NA,NA
"28","2021-02-09 10:13:07-03","UENF","HUENF","10234","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Souza, T.P.; Areias, I.O.R.; Mauad, L.P.","164","2009","12","01",NA,"Brasil","Rio de Janeiro","Maciço do Itaoca.",NA,"Parcela 13","HUENF00010880",NA,"(Meisn.) Mez","Campos dos Goytacazes","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"29","2021-02-25 10:12:39-03","CVRD","CVRD","802","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","Henk van der Werff","Silva, I.A.","269","1981","10","14","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Canela lajiana","CVRD000802",NA,"(Meisn.) Mez","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,"1990","11","13",NA,NA,"Magnoliopsida",NA
"30","2021-02-25 10:12:39-03","CVRD","CVRD","14684","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","Geovane S. Siqueira","Siqueira, G.S.","937","2013","12","01","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Canela folha redonda","CVRD014684","CVRD014684","(Meisn.) Mez","Presidente Kennedy","-41.0466995239258","-21.0988998413086","24088","auto","10","10",NA,"2015","11","19",NA,NA,"Magnoliopsida",NA
"31","2019-11-22 16:08:21-03","UEFS","HUEFS","214555","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,NA,"7243","2014","08","29",NA,"Brasil","Espírito Santo","Porto Tubarão. Próximo a Usina 8. Estrada Área Tubarão.",NA,"Mata Ciliar.","HUEFS0214555","HUEFS0214555","(Meisn.) Mez","Serra","-40.3078002929688","-20.1285991668701","16451","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnolianae",NA
"32","2019-11-22 16:08:21-03","UEFS","HUEFS","165135","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,NA,"1995","1993","09","13",NA,"Brasil","Espírito Santo","Reserva Natural Vale. Estrada Jueirana Vermelha",NA,"Mata de Tabuleiro","HUEFS0165135","HUEFS0165135","(Meisn.) Mez","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnolianae",NA
"33","2019-10-07 09:23:02-03","UEFS","HUEFS","165136","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Silva, I.A.","269","1981","10","14",NA,"Brasil","Espírito Santo","Reserva Natural Vale. Estrada Louro",NA,"Mata de Tabuleiro","HUEFS0165136","HUEFS0165136 HUEFS0165136_01","(Meisn.) Mez","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnolianae",NA
"34","2021-03-04 15:44:08-03","IF","SPSF","44912","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","A.Quinet","A.C.S.Cavalcanti & C.F.C.de Sá & M.F.Colodete","288","2008","10","19","América do Sul","Brasil","ES","rodovia ES-060",NA,"COLETA: Árvore 8m altura; ramos levemente esverdeados; botões florais esverdeados.; GEOGRAFIA: Próximo à área protegida pela marinha.;",NA,NA,"(Meisn.) Mez","Itacoara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"35","2021-03-04 15:44:08-03","IF","SPSF","44911","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","A.Quinet","A.C.S.Cavalcanti & C.F.C.de Sá & D.S.D.Araujo & M.A.C.Pereira","271","2008","10","17","América do Sul","Brasil","ES","praia das Neves",NA,"COLETA: Árvore 4m, ramos enegrecidos, botões florais esverdeados.; GEOGRAFIA: Ex-RB;",NA,NA,"(Meisn.) Mez","Presidente Kennedy","-41.0466995239258","-21.0988998413086","24088","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"36","2017-09-11 17:10:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Oreodaphne","confertiflora","Oreodaphne confertiflora",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in campis arenosis circa Macahé prov. Rio de Janeiro",NA,"m. Jun.; Dryas; HABITAT: Dryas",NA,NA,"Meisn.","Macaé","-41.7869","-22.3708","47209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
