"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","identifiedBy","fieldNumber","individualCount","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"13","2015-09-04 08:52:36-03","MNHN","RECOLNAT_MNHN_P","P02979911","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Irwin, H.S.|Harley, R.M.|Onishi, E.",NA,"1971","1","23",NA,"Brasil","Minas Gerais","Slopes of Serra da Caraça.","1500",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02979911' target='other'> <mi>dwc_moreinfo</mi></a>","P02979911","P02979911_01",NA,NA,NA,"28970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-12-16 10:13:00-02","MO","MOBOT","2906246","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Howard S. Irwin|R.M. Harley|Eunice Onishi","Irwin 28970","1971","1","23","South America","Brazil","Minas Gerais","Steep rocky lower slopes of Serra da Caraça, with plants mostly restricted to soil-filled crevices","1500.00000000",NA,NA,NA,NA,NA,NA,NA,"R.Liesner (MO)",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","1199385","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth. in DC.) Harley","Allemao","1164","1880",NA,NA,"South America - Neotropics","Brazil","Ceará",NA,NA,NA,NA,NA,"US02884532","US02884532_01",NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2675577","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth. in DC.) Harley","H. S. Irwin, R. M. Harley & E. Onishi","28970","1971","1","23","South America - Neotropics","Brazil","Minas Gerais","The Planalto do Brasil, Serra do Espinhaço, Steep rocky lower slopes of Serra da Caraça.","1500",NA,NA,NA,"US02884533","US02884533_01",NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","1706085","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","clausseni","Hyptis clausseni","Benth. in DC.","P. Claussen","s.n.","1838",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US00121871","US00121871_01","Possible isotype","Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-13 11:20:43-03","USP","SPF","22381","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Hensold, N","CFCR2901","1982","03","06",NA,"Brasil","Minas Gerais","Serra da Conceição",NA,NA,NA,NA,"SPF00022381","SPF00022381",NA,NA,"Harley, RM",NA,NA,"1993","05",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-13 11:20:43-03","USP","SPF","47545","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Zappi, DC","CFCR10914","1987","05","23",NA,"Brasil","Minas Gerais","Serra do Caraça",NA,NA,NA,NA,"SPF00047545","SPF00047545",NA,NA,"Harley, RM",NA,NA,"1990",NA,"Santa Bárbara","-43.4152984619141","-19.959400177002","33136","auto",NA,NA,NA
"20","2019-01-22 15:36:08-02","F","FMNH-SEEDPLANTS","V0360028F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","claussenii","Hyptis claussenii",NA,"P. C. D. Clausen",NA,NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"V0360028F","V0360028F_01 V0360028F_02","Possible type","Dicotyledoneae",NA,NA,NA,NA,NA,NA,"-44","-18",NA,NA,NA,NA,NA
"21","2019-01-22 15:29:05-02","F","FMNH-SEEDPLANTS","V0360029F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","claussenii","Hyptis claussenii",NA,"P. H. Claussen","192",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"V0360029F","V0360029F_01","Possible type","Dicotyledoneae",NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA
"22","2016-08-23 10:59:36-03","NHMLondon","NHM-LONDON-BOT","BM000992898","S","Plantae",NA,NA,"Lamiaceae","Hyptis","claussenii","Hyptis claussenii","Benth.","Pedro Cláudio Dinamarquez (Peter) Clausen; b.1804; d.1855; Clausen","s.n.","1840","04",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/201023d8221f470bded270487d5ac280235347d6/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,"-44.096503","-19.690239",NA,NA,"-44.096503","-19.690239","NHMUK:ecatalogue:497211"
"23","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","claussenii","Hyptis claussenii","Benth.","Claussen, P","1390",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Habitat in prov. Minarum",NA,NA,NA,NA,NA,"P08P1N0027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","claussenii","Hyptis claussenii","Benth.","Claussen, P","578",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Habitat in prov. Minarum",NA,NA,NA,NA,NA,"P08P1N0027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","claussenii","Hyptis claussenii","Benth.","Martins, AB","Herb. Fl.1196",NA,NA,NA,"Southern America","Brazil","Bahia","in Serra Itaraca prov. Bahiensis",NA,NA,NA,"Floret Augusto - Apriti",NA,"P08P1N0027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2014-09-23 10:58:01-03","G","G","G00437850","S","Plantae",NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Clausen, P. C. D.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00437850",NA,"ISOTYPUS of Hyptis claussenii Benth.",NA,"?",NA,NA,NA,NA,NA,"-45.44222222","-18.78777778",NA,NA,"-45.44222222","-18.78777778",NA
