"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","2422672","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","J. R. Pirani","6499","2014","06","20","South America","Brazil","São Paulo","Itanhaém","Jardim Ivoty, praça no final da Rua Manoel Joaquim do Nascimento (antiga Rua Argentina)","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2670193' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422672","Magnoliophyta","Asterales","L.f.",NA,"NY02422672_01","26998","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","565196","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","T. M. Pedersen","10317","1973","02","27","South America","Brazil","São Paulo","Peruíbe",NA,"-46.99","-24.32",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565196","Magnoliophyta","Asterales","L.f.","T. M. Pedersen","NY00565196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-24 17:10:34-03","UTFPR","DVPR","3186","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Silva, JM; Saridakis, DP","8650","2014","10","28",NA,"Brasil","Paraná","Pontal do Paraná","Balneário Barrancos","-48.235","-25.3624","-48.235","-25.3624","5","5",NA,NA,"Herbácea, flores alvas.; Restinga, no intercordão","DVPR003186","Magnoliophyta",NA,"L.f.","Cordeiro, J",NA,NA,NA,"2014","11","19",NA,NA,NA,NA
"14","2020-02-27 21:09:06-03","PUCPR","HUCP","23318","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Silva, JM; Saridakis, DP","8650","2014","10","28",NA,"Brasil","Paraná","Pontal do Paraná",NA,"-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,"L. f.","Cordeiro, J",NA,"19508","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:47:08-03","NBC","NL-BOTANY","U.1179686","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Pedersen TM",NA,"1973","02","27","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179686",NA,"Asterales","L.f.","Pedersen TM","NL-U1179686",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0084807",NA,NA
"16","2020-11-04 11:04:13-03","ESALQ","ESA","5880","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Vieira, A.O.S.","235.0","1988","10","09",NA,"Brasil","São Paulo","Praia Grande",NA,"-46.4000015258789","-24",NA,NA,NA,NA,NA,NA,NA,"ESA005880","Magnoliophyta",NA,"L.f.","Vieira, A.O.S.","ESA005880","22363","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:04:13-03","ESALQ","ESA","79348","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Pastore, J.A. ; Moura, C.","1152.0","2002","03","01",NA,"Brasil","São Paulo","São Vicente",NA,"-46.3899993896484","-23.9599990844727",NA,NA,NA,NA,NA,NA,NA,"ESA079348","Magnoliophyta",NA,"L. f.","Souza, V.C.","ESA079348","25482","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:04:13-03","ESALQ","ESA","25075","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Souza, V.C.; Souza, J.P. et al.","9262.0","1995","10","08",NA,"Brasil","São Paulo","Itanhaém","Fazenda São Luís.","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,NA,NA,"Erva, até 15 cm alt.; flores róseas. Latescente. Invasora em canteiros.","ESA025075","Magnoliophyta",NA,"L.f.","Vieira, A.O.S.","ESA025075","26998","auto",NA,NA,NA,NA,NA,NA,NA
"19","2019-10-04 15:01:07-03","IAP","PACA-AGP","118213","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Vieira, A.O.S","235","2014","08","27",NA,"Brasil","SP","Praia Grande","rod. Pedro taques, vila caiçara - pedro taques","-46.4000015258789","-24",NA,NA,NA,NA,NA,NA,"50cm. Flores lilases com guias de nectarios lilás-escuro, crescendo entre graminea, solo arenoso na baira de restinga perturbada. Material citologico&nf;fuel: 5788 Habitat: herbacea","PACA118213","Magnoliophyta","Campanulales","L. F.","Coelho, G. P.",NA,"22363","auto","2014","10","03","Magnoliatae",NA,NA,NA
"20","2020-12-20 21:16:31-03","UFV","VIC","11428","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Vieira, A.O.S.","235","1988","10","09",NA,"Brasil","São Paulo","Praia Grande","Rodovia Pedro Taques - Vila Caiçara, Solo arenoso na beira de Restinga.","-46.4000015258789","-24",NA,NA,NA,NA,NA,NA,"Herbácea com até 50 cm de altura; flores lilazes com guias de nectário lilás-escuro crescendo entre gramíneas.","VIC011428",NA,NA,"L. f.",NA,"VIC011428","22363","auto",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:27:38-03","UNICAMP","UEC","88375","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Souza, VC; Souza, JP; Scalon, VR; Astorino, A","10735","1996","01","27",NA,"Brazil","São Paulo","Angatuba","Bairro Santo Inácio, Estrada para Itatinga, ca. 29Km de Angatuba.","-48.526389","-23.8","-48.526389","-23.8","610","610",NA,NA,"Erva, até 15cm alt.; corola violeta com lábio inferior com duas faixas alvas.; Brejo.","UEC094825","Magnoliopsida",NA,"L.f.","Vieira, AOS","UEC094825",NA,NA,"1997","05","23",NA,NA,NA,NA
"22","2019-08-20 10:09:10-03","UNICAMP","UEC","107639","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Koehler, S; Barbosa, A; Faria, AD; Filliettaz, AM; Pansarin, ER; Belinello, R","9944","1999","06","12",NA,"Brazil","São Paulo","Vargem Grande Do Sul","Grande Alagado.","-46.95","-21.816667","-46.95","-21.816667",NA,NA,NA,NA,NA,"UEC094827","Magnoliopsida",NA,"L.f.","Vieira, AOS","UEC094827",NA,NA,"2004",NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:27:38-03","UNICAMP","UEC","53601","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Vieira, AOS","235","1988","10","09",NA,"Brazil","Amazonas","Praia Grande","Rod. Pedro Taques",NA,NA,NA,NA,NA,NA,NA,NA,"Herbácea até 0,5m, flores lilazes com guias de nectário lilás-escuro crescendo entre gramíneas..; Solo arenoso na beira de restinga","UEC094829","Magnoliopsida",NA,"L.f.","Vieira, AOS","UEC094829",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:27:38-03","UNICAMP","UEC","38247","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Martins, FR; Webster, GL; Tamashiro, JY; Yamamoto, K","16307","1984","09","06",NA,"Brazil","Mato Grosso do Sul","Selvíria","Fazenda Najib","-51.4188995361328","-20.3672008514404",NA,NA,NA,NA,NA,NA,"Flores arroxeadas frutos imaturos em brejo.; Cerrado perturbado (Carvoejamento).","UEC094828","Magnoliopsida",NA,"L.f.","Vieira, AOS","UEC094828","74358","auto","1988",NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:27:38-03","UNICAMP","UEC","54206","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Spiromelo, W; Vieira, MF; Vieira, MAS; Franco, ALM; Buzato, S; Egler, S; Regina.","22285","1989","11","27",NA,"Brazil","São Paulo","Boracéia",NA,"-48.7700004577637","-22.1900005340576",NA,NA,NA,NA,NA,NA,"Herbácea, 30cm, flores lilás e frutos verdes.; Mata restinga.","UEC094830","Magnoliopsida",NA,"L.f.","Vieira, AOS","UEC094830","10241","auto","1995",NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:27:38-03","UNICAMP","UEC","25055","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Shepherd, GJ","12849","1980","12","27",NA,"Brazil","São Paulo","Guarujá","Praia de Pernambuco, Em lugar sombreado.","-46.25","-23.9899997711182",NA,NA,"5","5",NA,NA,"Erva ereta ou decimbenta até 20cm, corola rosa clara c/ lista + escuras.","UEC094832","Magnoliopsida",NA,"L.f.","Vieira, AOS","UEC094832","18989","auto","1988",NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:27:38-03","UNICAMP","UEC","53916","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Shepherd, GJ","12849","1980","12","27",NA,"Brazil","São Paulo","Guarujá","Praia de Pernambuco, Em lugar sombreado.","-46.25","-23.9899997711182",NA,NA,"5","5",NA,NA,"Erva ereta ou decimbenta até 20cm, corola rosa clara c/ lista + escuras.","UEC094831","Magnoliopsida",NA,"L.f.","Vieira, AOS","UEC094831","18989","auto","1988",NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:27:38-03","UNICAMP","UEC","76637","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Souza, VC; Souza, JP","9262","1995","10","08",NA,"Brazil","São Paulo","Itanhaém","Fazenda São Luís","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,NA,NA,"Erva, até 15cm, alt, flores róseas. Latescente. Invasora em canteiros.","UEC094834","Magnoliopsida",NA,"L.f.","Vieira, AOS","UEC094834","26998","auto","1996",NA,NA,NA,NA,NA,NA
"29","2020-12-04 13:19:03-03","UDESC","LUSC","8303","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Silva, J.M.; Saridakis, D.P.","8650","2014","10","28",NA,"Brasil","Paraná","Pontal do Paraná","Balneário Barrancos.","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,NA,NA,"LUSC001524",NA,NA,"L.f.","Cordeiro, J.","LUSC001524","19508","auto","2014","11","19",NA,NA,NA,NA
"30","2020-10-14 10:00:27-03","FURB","FURB","45083","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Funez, L.A.","3535","2014","10","11",NA,"Brasil","Santa Catarina","Timbó","Centro, terreno baldio com pasto.","-49.2719445","-26.8191667","-49.2719445","-26.8191667","67","67",NA,NA,NA,"FURB21663",NA,NA,"L.f.","Coelho, G.P.","FURB21663",NA,NA,"2018","08","17",NA,NA,NA,NA
"31","2020-10-14 10:00:27-03","FURB","FURB","29806","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Gasper, A.L. de","2427","2009","09","30",NA,"Brasil","Santa Catarina","Garuva","Sol Nascente.","-48.7272223","-26.055","-48.7272223","-26.0550000","13","13",NA,NA,"Florística IFFSC e8000a (Erva Terrícola) Habitat: Floresta Ombrófila Densa de Terras Baixas; Estágio médio de regeneração; interior do fragmento Habito: erva terrícola; flor roxa","FURB21664",NA,NA,"L.f.","Coelho, G.P.","FURB21664",NA,NA,"2018","08","17",NA,NA,NA,NA
"32","2019-09-27 18:04:11-03","UFES","VIES","2674","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Pereira, O.J.; Klein, V.L.G.","771","1986","11","24",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque do Jardim Botânico.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,"VIES002674",NA,NA,"L.f.","Vieira, A.O.S.","VIES002674","57442","auto","2009","10","22",NA,NA,NA,NA
"33","2019-08-16 08:38:53-03","UTFPR","HCF","19755","S","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","J.M. Silva","8650","2014","10","28",NA,"Brasil","PR","Pontal do Paraná","Balneário Barrancos","-48.397222","-25.606667","48°23'50 W","25°36'24 S","5","5",NA,NA,"herbácea; flores alvas. Restinga, no intercordão.",NA,NA,NA,"L.f.","J. Cordeiro",NA,NA,NA,"2014","11","19",NA,NA,NA,NA
"34","2020-12-21 16:19:54-03","MBM","MBM","306675","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Cordeiro, J.","2209","2004","02","21","Southern America","Brazil","Paraná","Pontal do Paraná","Balneário Ipanema","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,NA,"Ruderal, flor alva.","MBM306675",NA,NA,"L.","Coelho, G.P.","MBM306675","19508","auto","2019","08","13",NA,NA,NA,NA
"35","2020-12-21 16:19:54-03","MBM","MBM","103773","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Cordeiro, J.","6514","2004","02","21","Southern America","Brazil","Paraná","Pontal do Paraná","Ipanema","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,NA,"Ruderal. flor alvacenta.",NA,NA,NA,"L.","Cordeiro, J.",NA,"19508","auto","2004",NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:19:54-03","MBM","MBM","122772","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Bangerter, E.B.","5574","1987","02","25",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM122772",NA,NA,"L.","Bangerter, E.B.","MBM122772",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:19:54-03","MBM","MBM","167170","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Bangerter, E.B.","5574","1987","02","25",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bis","MBM167170",NA,NA,"L.","Bangerter, E.B.","MBM167170",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:19:54-03","MBM","MBM","220875","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","?","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM220875",NA,NA,"L.","J.B.R.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:19:54-03","MBM","MBM","393211","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Silva, J.M.; Saridakis, D.P.; Saridakis, D.P.","8650","2014","10","28","Southern America","Brazil","Paraná","Pontal do Paraná","Balneário Barrancos","-48.397222","-25.606667","-48.397222","-25.606667","5","5",NA,NA,"Herbácea; flores alvas.; Restinga, no intercordão.","MBM393211",NA,NA,"L.","Cordeiro, J.","MBM393211",NA,NA,"2014","11","19",NA,NA,NA,NA
"40","2020-12-21 16:19:54-03","MBM","MBM","140045","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Vieira, A.O.S.","235","1988","10","09","Southern America","Brazil","São Paulo","Praia Grande","Rodovia Pedro Taques, Vila Caiçara,","-46.4000015258789","-24",NA,NA,NA,NA,NA,NA,NA,"MBM140045",NA,NA,"L.","Vieira, A.O.S.","MBM140045","22363","auto",NA,NA,NA,NA,NA,NA,NA
"41","2021-02-11 17:18:27-03","UFPR","UPCB","19828","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Vieira, A.O.S.","235","1988","10","09",NA,"Brasil","São Paulo",NA,"Praia Grande, Rodovia Pedro Taques Vila Caiçara.",NA,NA,NA,NA,NA,NA,NA,NA,"Herbácea, 0,5m, flor lilás com guias de nectário lilás-escuro crescendo entre gramíneas, solo arenoso na beira da restinga..",NA,NA,NA,"L.f.","Vieira, A.O.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-02-11 17:18:27-03","UFPR","UPCB","765","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.f.","Coelho, G.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-02-11 17:18:27-03","UFPR","UPCB","59839","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Cervi, A.C.","6184","1996","10","18",NA,"Brasil","Santa Catarina","Itapema",NA,"-48.611400604248","-27.0902996063232",NA,NA,NA,NA,NA,NA,"Erva ereta, flores azuladas. Restinga..",NA,NA,NA,"L.f.","Berger, J.Z.",NA,"9090","auto","2007","07",NA,NA,NA,NA,NA
"44","2021-02-11 17:18:27-03","UFPR","UPCB","67173","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Caddah, M.K.","686","2009","08","15",NA,"Brasil","Paraná","Pontal do Paraná","Restinga herbácea. Praia de Barrancos.","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,NA,"Pétalas roxas..",NA,NA,NA,"L.f.","Caddah, M.K.",NA,"19508","auto","2009","10",NA,NA,NA,NA,NA
"45","2018-06-22 05:25:00-03","MO","MOBOT","2455621","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Pe. Raulino Reitz","Reitz 6598","1963","2","4","South America","Brazil","Santa Catarina",NA,"Lages. Morro do Pinheiro Seco",NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,"L. f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2009-08-23 08:34:00-03","MO","MOBOT","2477005","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Otto Buchtien","Buchtien s.n.21","1904","1","10","South America","Chile","Los Lagos","Valdivia","In Fesspaltenam Meere bai Niebla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L. f.","Buchtien, O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2008-05-27 22:02:00-03","MO","MOBOT","2873196","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","R. Wagenknecht","Wagenknecht 18528","1940","3","25","South America","Chile",NA,NA,"Juan Fernandez Islands. Isla Mas Afuera. Cliffs along the strand near Quebrada El Mono in a little cave, in humid, rocky ground, shady place.",NA,NA,NA,NA,"10.00000000",NA,NA,NA,NA,NA,NA,NA,"L. f.","I.M. Johnston, June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2009-07-31 05:58:00-03","MO","MOBOT","2873291","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","James West","West 4999b","1936","1","4","South America","Chile",NA,NA,"Concepcion. East side Tumbes Peninsula; 10km. north of Talcahuano; marshy places near beach in the open.",NA,NA,NA,NA,"3.00000000",NA,NA,NA,NA,NA,NA,NA,"L. f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2008-05-27 22:02:00-03","MO","MOBOT","2873305","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Osvaldo Boelcke","Boelcke 6534","1952",NA,NA,"South America","Chile","Valparaiso",NA,"Las Docas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L. f.","Thomas G. Lammers, 12 May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2008-05-27 22:02:00-03","MO","MOBOT","2873407","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","João Geraldo Kuhlmann","Kuhlmann 6178","1941",NA,NA,"South America","Brazil",NA,NA,"Subpontanea no Jardim Botanico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L. f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2009-07-17 17:19:00-03","MO","MOBOT","2873546","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Carlo L.G. Bertero","Bertero 1106","1827",NA,NA,"South America","Chile","Valparaiso",NA,"Quintero.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L. f.","Thomas G. Lammers, 12 May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2020-06-15 15:29:46-03","UNESP-RC","HRCB","22401","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Souza, V.C.","9262","1995","12","08",NA,"Brasil","São Paulo","Itanhaém","Fazenda São Luís","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,NA,NA,"erva até 15 cm alt., flores róseas. Latescente",NA,NA,NA,"L.f.","Vieira, A.O.S.",NA,"26998","auto","1997","03","31",NA,NA,NA,NA
