"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","individualCount"
"11","2009-12-24 06:38:00-02","MO","MOBOT","3388238","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker","J. Pruski","Shunsuke Tsugaru|Yotaro Sano","Tsugaru B-185","1987","7","13","South America","Brazil","Goiás",NA,"Near Campinorte. 300 km N from Anapolis. Along the Rt. BR-153.",NA,NA,"520.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2012-04-20 18:00:00-03","MO","MOBOT","3388414","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"Ezechias P. Heringer|Tarciso S. Filgueiras|Roberta C. de Mendonça|B.A.S. Pereira","Heringer 6846","1981",NA,NA,"South America","Brazil","Distrito Federal",NA,"Bacia do RIo Sao Bartolomeu. Rebrotamento de base lenhosa. Folhas discolores pubescentes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2950770","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"E. P. Heringer, T. S. Filgueiras, F. R. Mendonca & B. A. S. Pereira","6846","1981","4","22","South America - Neotropics","Brazil","Distrito Federal",NA,"Brasilia, DF, Bacia do Rio Sao Bartolomeu",NA,NA,NA,NA,NA,NA,"US01635295","US01635295_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"14","2020-09-12 05:00:02-03","US","US","2569709","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"H. S. Irwin, R. Souza & R. Reis dos Santos","8225","1965","9","12","South America - Neotropics","Brazil","Distrito Federal",NA,"Planalto do Brasil, summit of Chapada da Contagem, ca 10 km E of Brasilia, DF",NA,NA,"1000",NA,NA,NA,"US01635299","US01635299_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"15","2020-09-12 05:00:02-03","US","US","3370790","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"M. A. Silva, D. Alvarenga, M. Fonseca & A. J. V. dos Santos","3810","1998","5","8","South America - Neotropics","Brazil","Goiás",NA,"Municipio de Niaquelandia, 4 km do povoado de Muquem em direcao a Niquelandia","-48.1522","-14.5206","495",NA,NA,NA,"US01635297","US01635297_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"16","2020-09-12 05:00:02-03","US","US","3332315","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"F. C. A. Oliveira, R. Marquete, F. R. Mendonca & M. Fonseca","533","1996","6","14","South America - Neotropics","Brazil","Goiás",NA,"Niquelandia 4 km da ponte de madeira, na estrada para a Reserva da Ibama","-48.45","-14.4961",NA,NA,NA,NA,"US01635296","US01635296_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"17","2020-09-12 05:00:02-03","US","US","2966772","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"J. H. Kirkbride & M. C. G. Kirkbride","3555","1980","7","10","South America - Neotropics","Brazil","Distrito Federal",NA,"Cerrado, s. s., e Campo Cerrado usado para pastagem, Perto Corrego Terra Branca","-47.75","-15.57","1000",NA,NA,NA,"US01635298","US01635298_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"18","2020-09-02 16:21:40-03","Cenargen","CEN","24127","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker","J. Semir","Glocimar Pereira-Silva","1136","1992","07","07",NA,"Brasil","GO","NIQUELANDIA","3,7 km sul da GO - 237, a 5 km da sede da Fazenda Ouro Fino. Área de influência da UHE Serra da Mesa.","-48.4597015380859","-14.4738998413086","500","500","Exsicatas","Capítulos extramíneos; folha discolor; abaxial amarelo-escuro; adaxial verde","CEN00024127","CEN00024127","74171","auto","1997",NA,"-4896667.0","-1455000.0",NA,NA,NA,"3"
"19","2020-09-02 16:21:40-03","Cenargen","CEN","114243","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.Esteves","J. B. Bringel","Maria Aparecida da Silva - IBGE","8250","2015","08","26",NA,"Brasil","GO","PADRE BERNARDO","Folha: SD-22-Z-D. Próximo ao povoado Vereda, proximidades do rio Monteiro (estrada de terra que sai da GO 435 para BR 251.","-48.505833","-15.460555","732","732","Exsicatas","Solo com presença de quartzo leitoso e mica. Heliófilo. Cipselas esbranquiçadas, cerdas brancas, brilhosas. Folhas discolores verdes. Doação Instituto Brasileiro de Geografia e Estatistica - Plantas do Brasil - Minas Gerais - IBGE 79867.","CEN00114243","CEN00114243",NA,NA,"2020","07","-48.505833","-15.460555",NA,NA,NA,"1"
"20","2019-10-07 09:12:01-03","UEFS","HUEFS","9185","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"Queiroz, L.P.de","2334","1989","07","01",NA,"Brasil","Minas Gerais","Capitólio","Furnas","-46.0499992370605","-20.6152992248535",NA,NA,NA,NA,"HUEFS0009185","HUEFS0009185 HUEFS0009185_01 HUEFS0009185_02","29474","auto",NA,NA,NA,NA,NA,NA,"Asteranae",NA
"21","2019-11-01 14:54:34-03","UnB","UB","97214","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker","Barroso, GM","Irwin, HS","8225","1965","09","12","Southern America","Brasil","Distrito Federal",NA,"Chapada da Contagem., ca. 10km E of Brasília",NA,NA,"1000","1000",NA,"Subshrub 1m. Heads cream; Burned-over cerrado",NA,NA,NA,NA,"1966",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 14:54:35-03","UnB","UB","204145","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R. Esteves","Bringel, JBA","Faria, JEQ","3930","2014","03","16","Southern America","Brasil","Goiás","Alto Horizonte","Margem da estrada de Alto Horizonte para o Sururuca, em frente a fazenda do José Luzia Filho","-49.3386001586914","-14.1955995559692",NA,NA,NA,"Subarbusto 0,6m. Inflorescência creme; Cerrado s.s. antropizado",NA,NA,"27619","auto","2016","03",NA,NA,NA,NA,NA,NA
"23","2018-08-09 21:10:47-03","UFMT","UFMT","34458","S","Plantae",NA,NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker","Souza, V.C.","Nave, A.G.; Dario, F.R.; Lopes, R.F.; Carneiro, P.H.M.","1297","1997","03","01",NA,"Brasil","Mato Grosso","Chapada dos Guimarães","Parque Nacional da Chapada dos Guimarães - Trilha de acesso ao Morro de Sõ Gerônimo.","-55.749698638916","-15.460599899292",NA,NA,NA,"Arbusto com altura de 1m, flor amarela, parte abaxial branca.; Cerrado; beira de estrada.",NA,NA,"107042","auto","1998",NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:08:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"Burchell, WJ","7796",NA,NA,NA,"Southern America","Brazil","Goiás",NA,"Rio Preto to As Lages","-48.133333","-14.05",NA,NA,NA,NA,NA,"P06P2N0031",NA,NA,NA,NA,"-48.133333","-14.05",NA,NA,NA,NA
"25","2017-09-11 17:08:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"Pohl, JBE","s.n",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat prov. Goyaz inter Caretào et Crixas",NA,NA,NA,NA,NA,NA,NA,"P06P2N0031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:08:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker",NA,"Pohl, JBE","s.n",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat prov. Goyaz inter Caretào et Crixas",NA,NA,NA,NA,NA,NA,NA,"P06P2N0031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-19 09:28:48-03","IBt","SP","103400","S","Plantae",NA,NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.Esteves","Esteves, RL","Irwin, HS; et al.","8225","1965","09","12",NA,"Brasil","Distrito Federal","Brasília","Chapada da Contagem, Ca. 10 km E of Brasília","-47.9296989440918","-15.7797002792358","1000","1000",NA,NA,NA,NA,"70570","auto","2007","06",NA,NA,NA,NA,NA,NA
