"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","relatedCatalogItem","eventTime","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","county","individualCount","sex"
"11","2021-01-10 20:42:43-03","INPA","INPA","40712","Dupli","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Allantoma","pauciramosa","Allantoma pauciramosa","(A.C.Sm.) S.A.Mori, Y.-Y.Huang & Prance","Mori, SA; Huang, YY","Prance, GT","17516","1973","09","05","Southern America","Brasil","Amazonas","AM 010, km 69-70, Estrada Manaus-Itacoatiara, km 69-70. Floresta em terra firme.","-59.648332","-2.656966",NA,NA,"INPA0040712","INPA0040712 INPA0040712_1 INPA0040712_1e INPA0040712_2 INPA0040712_2e INPA0040712_e INPA0040712_e1","isotype",NA,NA,NA,NA,"2008","09","-59.648332","-2.656966","20",NA,NA,NA
"12","2021-01-10 20:42:43-03","INPA","INPA","40712","Dupli","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Allantoma","pauciramosa","Allantoma pauciramosa","(A.C.Sm.) S.A.Mori, Y.-Y.Huang & Prance","Mori, SA; Huang, YY","Prance, GT","17516","1973","09","05","Southern America","Brasil","Amazonas","AM 010, km 69-70, Estrada Manaus-Itacoatiara, km 69-70. Floresta em terra firme.","-59.648332","-2.656966",NA,NA,"INPA0040712","INPA0040712 INPA0040712_1 INPA0040712_1e INPA0040712_2 INPA0040712_2e INPA0040712_e INPA0040712_e1","isotype",NA,NA,NA,NA,"2008","09","-59.648332","-2.656966","20",NA,NA,NA
"13","2020-08-31 08:53:39-03","INPA","INPA","39589","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A.Rodrigues","Rodrigues, WA","Rodrigues, WA","9114","1973","08","21","Southern America","Brasil","Amazonas","AM 010, Km 70., Estrada Manaus-Itacoatiara, km 70, num varadouro ao lado direito","-59.648332","-2.656966",NA,NA,"INPA0039589","INPA0039589 INPA0039589_1 INPA0039589_1e INPA0039589_2 INPA0039589_2e INPA0039589_e",NA,NA,NA,NA,NA,"1973",NA,"-59.648332","-2.656966",NA,"Manaus",NA,NA
"14","2020-08-31 08:53:39-03","INPA","INPA","36013","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A.Rodrigues","Rodrigues, WA","Coêlho, LF","INPA36013","1972","06","21","Southern America","Brasil","Amazonas","AM 010, km 139, Estrada Manaus-Itacoatiara, km 139.","-59.246135","-2.942612",NA,NA,"INPA0036013","INPA0036013 INPA0036013_1 INPA0036013_1e INPA0036013_1e1 INPA0036013_2 INPA0036013_d INPA0036013_e",NA,NA,NA,NA,NA,NA,NA,"-59.246135","-2.942612",NA,NA,NA,NA
"15","2020-08-31 08:53:39-03","INPA","INPA","36013","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A.Rodrigues",NA,"Coêlho, LF","INPA36013","1972","06","21","Southern America","Brasil","Amazonas","AM 010, km 139, Manaus-Itacoatiara km 139.","-59.246135","-2.942612",NA,NA,"INPA0036013","INPA0036013 INPA0036013_1 INPA0036013_1e INPA0036013_1e1 INPA0036013_2 INPA0036013_d INPA0036013_e","paratype",NA,NA,NA,NA,NA,NA,"-59.246135","-2.942612",NA,NA,NA,NA
"16","2020-08-31 08:53:39-03","INPA","INPA","27970","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A.Rodrigues","Rodrigues, WA","Rodrigues, WA","8790","1970","03","25","Southern America","Brasil","Amazonas","AM 010, Km 70., Estrada Manaus-Itacoatiara, km 70, margem direita","-59.648332","-2.656966",NA,NA,"INPA0027970","INPA0027970 INPA0027970_e INPA0027970_e1",NA,NA,NA,NA,NA,NA,NA,"-59.648332","-2.656966",NA,"Manaus",NA,NA
"17","2020-09-12 05:00:02-03","US","US","2839091","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A. Rodrigues",NA,"G. T. Prance","17516","1973","9","5","South America - Neotropics","Brazil","Amazonas","Manaus-Itacoatiara road.",NA,NA,NA,NA,"US00117499","US00117499_01","Isotype","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"18","2009-11-26 13:51:32-02","INPA","INPAW","4947","S","Plantae",NA,NA,"Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A. Rodrigues",NA,"Co&#234;lho, L.F.","170","1972","06","21",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2010-08-16 16:41:12-03","GH","HU-HERB","GH 00075226","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W. A. Rodrigues",NA,"G. T. Prance, W. A. Rodrigues, E. Lleras, D. Coelho & O. P. Monteiro","17516","1973","9","5","South America","Brazil","Amazonas","Manaus-Itacoatiara Road, Km. 69-70, terra firma, forest",NA,NA,"Sheet",NA,NA,NA,"Isotype",NA,NA,NA,"17516",NA,NA,NA,NA,NA,NA,NA,"undetermined"
"20","2014-09-23 10:58:11-03","G","G","G00369167","S","Plantae",NA,NA,"Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W. A. Rodrigues","Prance, G. T.","Prance, G. T. & al.","17516","1973","09","05","AMERIQUE DU SUD","Brazil","Amazonas",NA,"-65.08583333","-4.14444444",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00369167",NA,"ISOTYPUS of Cariniana pauciramosa W. A. Rodrigues",NA,NA,NA,NA,"1975","01","-65.08583333","-4.14444444","01",NA,NA,NA
