"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","869176","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"J. Jangoux","1744","1981","11","South America","Brazil","Fazenda Mucambo, 11 km from town.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869176","NY00869176_01","28","Tocantins","Tocantinópolis","-47.42","-6.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-27 03:59:00-03","NY","NYBG","02128340","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,NA,NA,"P. Jorgensen","4286","1931","09","South America","Paraguay","In the campo of Villarrica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287036' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128340",NA,NA,"Guairá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","565948","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","J. P. P. Carauta",NA,"R. Reitz","C1152","1945","06","South America","Brazil","Retiro, Sombrio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565948","NY00565948_01","10","Santa Catarina",NA,NA,NA,"25","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02172180","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.",NA,NA,"T. C. Plowman","9368","1980","02","South America","Brazil","Bananal 15 Km south of Imperatriz along Belém-Brasília highway (BR 010).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2320105' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172180","NY02172180_01","29","Maranhão","Imperatriz","-47.433333","-5.666667","290.00","290.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","565953","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"J. A. Steyermark","89331-A","1961","02","South America","Venezuela","Forest at base, between Rancho Alegre and base of Altiplanicie, on trail to Quebrada Cabeza Burro, 5 kms E of Las Chicharras, 47 kms. N of Tumeremo. Altiplanicie de Nuria","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565953",NA,"12","Bolívar",NA,NA,NA,"100","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-27 14:50:00-03","NY","NYBG","565955","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,"J. P. P. Carauta",NA,"T. S. Ibarrola","2583","1945","03","South America","Argentina","Cunosú Cuatiz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565955",NA,"06","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","02128335","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"H. H. Rusby","817","1921","10","South America","Bolivia","Jose Ballivian, Rurrenabaque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287011' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128335",NA,"06","El Beni",NA,"-67.517966","-14.445455","305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-30 14:33:00-03","NY","NYBG","02128331","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,"J. P. P. Carauta",NA,"T. Rojas","10542","1907",NA,"South America","Paraguay","In altaplanitie et declivibus Sierra de Amambay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2286997' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02128330","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","J. P. P. Carauta",NA,"W. G. F. Herter","361a (78512)","1925","05","South America","Uruguay","Colón-La Paz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2286994' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128330",NA,NA,"Montevideo",NA,NA,NA,"25","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1182817","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","J. P. P. Carauta",NA,"A. F. C. P. Saint-Hilaire","60","1816",NA,"South America","Brazil",NA,"sheet","Catal. D, No. 949 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409690' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182817","NY01182817_01",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","869171","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"R. Goodland","218","1965","11","South America","Brazil","Melo, 3 km N of Horto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869171","NY00869171_01","26","Minas Gerais","Paraopeba","-44.4042","-19.2744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-27 06:41:00-03","NY","NYBG","02128321","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,NA,NA,"E. Hassler","10509","1908","07","South America","Paraguay","Campos medio cerrado, Esperanza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2286288' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-27 04:17:00-03","NY","NYBG","02128344","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,NA,NA,"N. Ramírez","2918","1990","08","South America","Venezuela","Estación Biológica de Los LLanos de la Sociedad Venezolana de Ciencias Naturales. Ubicada aproximidamente a 17 kms S.E. de Calabazo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287049' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128344",NA,"31","Guárico",NA,"-67.42","8.93","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-27 06:39:00-03","NY","NYBG","02128334","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,NA,NA,"T. Rojas","12632","1945","05","South America","Paraguay","San Fernando, camp ribereño Rio Tebicuary","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287005' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128334",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","565970","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.",NA,NA,"J. S. Blanchet","1034","1831",NA,"South America","Brazil","Intratropica circa Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565970","NY00565970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","02128348","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"M.-F. Prévost","2130","1986","03","South America","French Guiana","Borde de la Piste de St Elie, Km 3,7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287042' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128348",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","565950","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","J. P. P. Carauta",NA,"A. Gehrt","28366","1931","10","South America","Brazil","Rio Carapitingui, 15 kil. quem de Mogy-Mirim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565950",NA,"15","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-03-09 15:31:00-03","NY","NYBG","02128341","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,NA,NA,"D. C. Daly","2211","1983","07","South America","Bolivia","Valle de Tucavaca, 30 km ENE of Santiago de Chiquitos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287039' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128341",NA,"21","Santa Cruz","Chiquitos","-59.13","-18.33","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","565946","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","A. C. Cervi",NA,"A. C. Cervi","6016","1995","11","South America","Brazil","Parque Estadual Vila Velha, (Fortaleza)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565946",NA,"04","Paraná","Ponta Grossa","-49.98","-25.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-10-20 12:09:00-02","NY","NYBG","902684","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,"C. C. Berg",NA,"M. J. Jansen-Jacobs","6004","1999","09","South America","Guyana","Upper Essequibo Region, Rewa River, near Camp 2 at foot of Spider Mountain","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1028127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902684","NY00902684_01","19",NA,NA,"-58.53","3.13","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","39990","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. Morenberg",NA,"S. R. King","767","1987","07","South America","Paraguay","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00039990",NA,"27",NA,NA,"-58","-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","02128332","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","J. P. P. Carauta",NA,"J. E. Montes","900","1945","05","South America","Argentina","[town name illegible- Yat..?]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287000' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128332",NA,"16","Misiones","Candelaria",NA,NA,"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","565945","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","J. A. Kallunki",NA,"L. Riedel","1931","1834","01","South America","Brazil","St. Carlos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565945","NY00565945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","565949","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","J. P. P. Carauta",NA,"R. Reitz","17518","1965","12","South America","Brazil","Furnas, Vila Volha, Ponta Grossa","sheet","Caule usado para misturar com fumo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565949","NY00565949_01","13","Paraná","Ponta Grossa","-50.041775","-25.223626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","869178","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"H. S. Irwin","11020","1965","12","South America","Brazil","Serra dos Pirineus, ca. 20 km S. of Corumbá de Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869178","NY00869178_01","03","Goiás","Abadiânia","-48.8086","-16.10434","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","869175","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"M. F. F. da Silva","1135","1983","04","South America","Brazil","Estrada do Arame","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869175","NY00869175_01","15","Maranhão","Grajaú","-46.1383","-5.8194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","869173","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.",NA,NA,"G. Eiten","3972","1962","04","South America","Brazil","Ilha de Balsas region, between the Rios Balsas and Parnaíba. 100 m. NE of main house of Fazenda Morros, about 35 km south of Lorêto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869173","NY00869173_01","03","Maranhão","Lorêto","-45.07","-7.38","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","565954","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","M. H. Nee",NA,"M. H. Nee","36063","1988","01","South America","Bolivia","12 km E of center of Santa Cruz, on road to Cotoca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565954",NA,"27","Santa Cruz","Andrés Ibáñez","-63.07","-17.77","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","02128328","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","M. D. M. Vianna-Filho",NA,"M. H. Nee","54121","2006","02","South America","Bolivia","10.8 km N of center of Villa Montes on highway to Camiri, then 2 km SE on dirt road.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2286297' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128328",NA,"12","Tarija","Gran Chaco","-63.4083","-21.19","430","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-11-01 11:26:00-02","NY","NYBG","02128339","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,"C. C. Berg",NA,"R. S. Williams","260","1902","04","South America","Bolivia","Asilla","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287026' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128339",NA,"07","La Paz","Franz Tamayo",NA,NA,"1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2016-09-27 14:59:00-03","NY","NYBG","02128343","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,NA,NA,"L. Aristeguieta","5619","1965","06","South America","Venezuela","Estación Biológica de Los Llanos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287048' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128343",NA,NA,"Guárico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","02128325","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.",NA,NA,"G. Gardner","VI.2310","1839","05","South America","Brazil","Brasil trop. [no specific locality]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2286292' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128325","NY02128325_01",NA,"Piauí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
