"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","fieldNumber","class","individualCount","day","yearIdentified","monthIdentified","county","coordinatePrecision","geoFlag","dayIdentified"
"24","2019-05-06 11:58:16-03","UFU","HUFU","16031","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.",NA,"Romero, R.; Nakajima, J.N. & Farinaccio, M.A.","4238","1997","04",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Estrada para Fazenda do Fundão.","-46.3657989501953","-20.2453002929688",NA,"Herbácea prostrada ca. Cálice esverdeado. Corola violeta. Estames liláses.; Campo limpo, solo levemente hidromórfico e pedregoso.","HUFU00040024","HUFU00040024",NA,NA,NA,NA,"25",NA,NA,"São Roque de Minas","57119","auto",NA
"25","2019-05-06 11:58:16-03","UFU","HUFU","24347","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Andrade, T.","Farinaccio, M.A.; Campos-Filho, E.M. & Vechi, C.","299","1999","12",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Estrada São Roque de Minas - Sacramento, Área de desenvolvimento de Sacramento.","-46.3657989501953","-20.2453002929688",NA,"Erva reptante. Inflorescência roxa de brácteas verdes.; Campo sujo.","HUFU00040027","HUFU00040027",NA,NA,NA,NA,"15","2005","02","São Roque de Minas","57119","auto","15"
"26","2019-05-06 11:58:16-03","UFU","HUFU","14305","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Andrade, T.","Romero, R.; Nakajima, J.N.; Farinaccio, M.A. & Miranda, V.F.O.","4135","1997","04",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Trilha do Paredão da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,"Herbácea prostrada. Cálice branco-esverdeado. Corola arroxeada. Estilete lilás. Guias de néctar com manchas cremes.; Campo rupestre.","HUFU00040025","HUFU00040025",NA,NA,NA,NA,"17","2005","02","São Roque de Minas","57119","auto","15"
"27","2019-05-06 11:58:16-03","UFU","HUFU","67297","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.",NA,"Silva, K.R.","32","2010","02",NA,"Brasil","Goiás","Fazenda Corrente","-52.5511016845703","-17.5694007873535",NA,"Subarbusto com inflorescências axilares e terminais no ápice da planta. Flores lilás.","HUFU00058905","HUFU00058905",NA,NA,NA,NA,"21",NA,NA,"Mineiros","100343","auto",NA
"28","2019-05-06 11:58:16-03","UFU","HUFU","12810","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.",NA,"Nakajima, J.N.; Ressel, K. & Guimarães, F.A.G.","1829","1996","07",NA,"Brasil","Minas Gerais","Guarita de Sacramento","-47.439998626709","-19.8652992248535",NA,"Herbácea rasteira, ca. 0,2 m. Cálice esverdeadas. Corola azulada.. Estames lilás.; Campo limpo com afloramento rochosos.","HUFU00040028","HUFU00040028",NA,NA,NA,NA,"08",NA,NA,"Sacramento","69737","auto",NA
"29","2019-05-06 11:58:16-03","UFU","HUFU","15456","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Andrade, T.","Romero, R.; Nakajima, J.N. & Farinaccio, M.A.","4339","1997","06",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Chapadão do Diamante.","-46.3657989501953","-20.2453002929688",NA,"Subarbusto. ca. 0,3 m. Cálice esverdeado. Corola com tubo lilás, lacínios violetas. Filetes liláses.; Campo rupestre.","HUFU00040017","HUFU00040017",NA,NA,NA,NA,"29","2005","02","São Roque de Minas","57119","auto","15"
"30","2019-05-06 11:58:16-03","UFU","HUFU","15464","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Adrade, T.","Romero, R.; Nakajima, J.N. & Farinaccio, M.A.","4352","1997","06",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Chapadão do Diamante.","-46.3657989501953","-20.2453002929688",NA,"Herbácea prostrada ca. 0,3 m. Cálice esverdeado. Corola violeta. Estames liláses.; Campo limpo.","HUFU00040023","HUFU00040023",NA,NA,NA,NA,"29","2005","02","São Roque de Minas","57119","auto","15"
"31","2019-05-06 11:58:16-03","UFU","HUFU","15581","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Andrade, T.","Romero, R.; Nakajima, J.N.; Farinaccio, M.A.; Furlan, A. & Prado, P.M.M.","4388","1997","08",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Guarita de Sacramento.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo prostrada. Cálice esverdeado. Corola lilás. Anteras arroxeadas.; Borda de campo cerrado com campo limpo.","HUFU00040026","HUFU00040026",NA,NA,NA,NA,"19","2005","02","São Roque de Minas","57119","auto","15"
"32","2019-05-06 11:58:16-03","UFU","HUFU","9197","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Nakajima, J.N.","Nakajima, J.N.; Romero, R.; Oliveira, R.; Oliveira, P.E. & Schiavini, I.","1194","1995","07",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Guarita de Sacramento.","-46.3657989501953","-20.2453002929688",NA,"herbácea, ca 0,4 m. Brácteas verdes. Botões liláses.; Campo limpo associado a afloramento rochoso.","HUFU00040029","HUFU00040029",NA,NA,NA,NA,"14","2003","11","São Roque de Minas","57119","auto",NA
"33","2019-05-06 11:58:16-03","UFU","HUFU","14363","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.",NA,"Nakajima, J.N.; Romero, R.; Farinaccio, M.A. & Miranda, V.F.O.","2277","1997","04",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Guarita de Sacramento, cerca de 1km.","-46.3657989501953","-20.2453002929688",NA,"Herbácea prostrada ca. 0,3 m. Cálice esverdeado. Corola lilás. Filetes liláses. Anteras arroxeadas.; Campo limpo associado a afloramento rochoso.","HUFU00040021","HUFU00040021",NA,NA,NA,NA,"15",NA,NA,"São Roque de Minas","57119","auto",NA
"34","2019-05-06 11:58:16-03","UFU","HUFU","5506","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Harley, R.","Romero, R.; Nakajima, J.N. & Guilherme, F.A.G.","801","1994","04",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Próximo a guarita de Sacramento.","-46.3657989501953","-20.2453002929688",NA,"Herbácea, ca. 0,20 m. Cálice azulado. Corola lilás, estames azulados.; Campo limpo.","HUFU00040018","HUFU00040018",NA,NA,NA,NA,"15","1997","06","São Roque de Minas","57119","auto",NA
"35","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.",NA,"St.-Hil, A","s.n.",NA,NA,"Southern America","Brazil","Minas Gerais","Habitat in humidis herbosis camporum elatiorum prope Serra da Canastra prov. Minarum",NA,NA,NA,"teste Benth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","coerulea","Hyptis coerulea","A.St.-Hil. ex Benth.",NA,"Lund, PW","s.n.",NA,NA,"Southern America","Brazil",NA,"in humidis prope Villam Franca",NA,NA,NA,"ex Benth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","coerulea","Hyptis coerulea","A.St.-Hil. ex Benth.",NA,"St.-Hil, A","s.n.",NA,NA,"Southern America","Brazil","Minas Gerais","Habitat in pascuis montis Serra da Canastra dicti prov. Minarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
