"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2015-10-11 10:19:51-03","MNHN","RECOLNAT_MNHN_P","P00683119","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.","type","Blanchet",NA,NA,"Brésil","In provincia Bahia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683119' target='other'> <mi>dwc_moreinfo</mi></a>","P00683119","P00683119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3396",NA,NA,NA
"12","2016-03-17 12:22:27-03","MNHN","RECOLNAT_MNHN_P","P02536558","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.",NA,"Blanchet",NA,NA,"Brasil","Brésil.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02536558' target='other'> <mi>dwc_moreinfo</mi></a>","P02536558","P02536558_01","Nakajima",NA,NA,NA,"1844","1","1","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"345",NA,NA,NA
"13","2015-10-04 07:16:46-03","MNHN","RECOLNAT_MNHN_P","P00683117","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.","type","Blanchet",NA,NA,"Brésil","In provincia Bahia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683117' target='other'> <mi>dwc_moreinfo</mi></a>","P00683117","P00683117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3396",NA,NA,NA
"14","2015-10-04 07:16:56-03","MNHN","RECOLNAT_MNHN_P","P00683118","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.","type","Blanchet",NA,NA,"Brésil","In provincia Bahia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683118' target='other'> <mi>dwc_moreinfo</mi></a>","P00683118","P00683118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3396",NA,NA,NA
"15","2009-08-28 05:32:00-03","MO","MOBOT","3354757","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch. Bip.",NA,"Robert M. King|Luther E. Bishop","King 8675","South America","Brazil","Vicinity of Pico das Almas, ca. 20 km. N.W. of the town of Rio das Contas.",NA,NA,NA,NA,NA,NA,NA,NA,"1981","1","25","Bahia",NA,NA,NA,NA,NA,"1066.80000000","1402.08000000",NA,NA,NA,NA,NA,NA,NA
"16","2009-08-28 05:32:00-03","MO","MOBOT","3354853","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch. Bip.",NA,"Robert M. King|Luther E. Bishop","King 8719","South America","Brazil","By small river, 3 Km. along road S of Mucuge.",NA,NA,NA,NA,NA,NA,NA,NA,"1981","1","31","Bahia",NA,NA,NA,NA,NA,"792.48000000",NA,NA,NA,NA,NA,NA,NA,NA
"17","2009-08-28 05:32:00-03","MO","MOBOT","3354919","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch. Bip.",NA,"Robert M. King|Luther E. Bishop","King 8721","South America","Brazil","By small river, 3 Km. along road S of Mucuge.",NA,NA,NA,NA,NA,NA,NA,NA,"1981","1","31","Bahia",NA,NA,NA,NA,NA,"792.48000000",NA,NA,NA,NA,NA,NA,NA,NA
"18","2009-08-28 05:32:00-03","MO","MOBOT","3355259","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch. Bip.",NA,"Robert M. King|Luther E. Bishop","King 8736","South America","Brazil","Main valley N of Mucuge from 3-8 Km N of town.",NA,NA,NA,NA,NA,NA,NA,NA,"1981","1","31","Bahia",NA,NA,NA,NA,NA,"792.48000000","914.40000000",NA,NA,NA,NA,NA,NA,NA
"19","2021-02-03 15:03:00-03","MO","MOBOT","100337827","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophorella","blanchetii","Lychnophorella blanchetii","(Sch. Bip.) Loeuille, Semir & Pirani","Isolectotype","Jacques S. Blanchet","Blanchet 3396","South America","Brazil","Ad Ignega Velha. [protologue: ‘Igrezia Velha, Serra Jacobine’]",NA,NA,NA,NA,"fide Loeuille et al.",NA,NA,NA,"1828",NA,NA,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","3239068","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch. Bip.",NA,"R. J. V. Alves, J. Becker & O. Roppa","4139","South America - Neotropics","Brazil","Ba, Chapada Diamantina - Path to Cachoeira da Fumaça",NA,NA,"US01636112","US01636112_01",NA,NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,"1600",NA,NA,NA,"Dicotyledonae",NA,"1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","3633833","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch. Bip.",NA,"M. Alves & F. Hurbath","23","South America - Neotropics","Brazil","Chapada Diamantina, Mucugê, Trilha para o Córrego do Boiadeiro",NA,NA,"US01636111","US01636111_01",NA,NA,NA,NA,"2011","4","29","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1",NA,NA
"22","2019-10-07 09:11:39-03","UEFS","HUEFS","66574","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.","Isótipo","Blanchet, J.S.","3396",NA,"Brasil","s.l.",NA,NA,"HUEFS0066574",NA,NA,NA,NA,NA,NA,NA,NA,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA
"23","2019-09-04 18:14:32-03","F","FMNH-SEEDPLANTS","V0077151F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii",NA,"Isotype","J. S. Blanchet","3396","South America","Brazil",NA,NA,NA,"V0077151F","V0077151F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"24","2019-09-04 19:48:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii",NA,"Holotype","J. S. Blanchet","3396","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"25","2020-07-23 11:59:14-03","CEPLAC","CEPEC","49125","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii",NA,NA,"R. M. Harley","27839",NA,"Brasil","Vale frente a Serra do Guarda Mor. Sobre pequenas areas acima do nivel do brejo.Foto",NA,NA,NA,NA,"D. J. N. Hind",NA,NA,NA,"1988","12","27","Bahia","ABAÍRA","-41.866667","-13.283333","41W52'","13S17'",NA,NA,NA,NA,NA,NA,NA,"30/10/1989",NA
"26","2020-07-23 11:59:14-03","CEPLAC","CEPEC","72461","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii",NA,NA,"H. P. Bautista","3426",NA,"Brasil","Serra da Jacobina. (Toca da Areia).",NA,NA,NA,NA,"H. A. Ogasawara",NA,NA,NA,"1996","05","07","Bahia","JACOBINA","-40.504444","-11.1525","40W30'16","11S9'9",NA,NA,NA,NA,NA,NA,NA,"18/04/2012",NA
"27","2020-11-12 16:58:23-03","UEL","FUEL","55355","PreservedSpecimen","Plantae","Tracheophyta","Asterales","Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.",NA,"Roque, N; et al.","2790",NA,"Brasil","Chapada Diamantina, Trilha para o Rio Paraguaçu, início na estação de tratamento de água. Proximá ao riacho",NA,NA,"FUEL055355",NA,"Moura, LM; Ogasawara, HA","2010","06",NA,"2010","05","22","Bahia","Mucugê","-41.391389","-13.000278","-41.391389","-13.000278","941","941",NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:08:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.",NA,"Blanchet","3396","Southern America","Brazil","Habitat in prov. Bahia ad Igreja Velha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:08:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.",NA,"Blanchet, JS","3396","Southern America","Brazil","Habitat in prov. Bahia ad Igreja Velha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2010-08-16 16:35:56-03","GH","HU-HERB","GH 00009903","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Schultz Bipontinus","Isotype","R. Blanchet","3396","South America","Brazil",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3396",NA,NA,"undetermined"
"31","2010-08-16 16:35:53-03","GH","HU-HERB","GH 00009904","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Schultz Bipontinus","Isotype","R. Blanchet","3396","South America","Brazil",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3396",NA,NA,"undetermined"
