"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","phylum","yearIdentified","monthIdentified","occurrenceRemarks","coordinatePrecision","imagecode","geoFlag","class","order","continentOcean","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount"
"17","2020-11-19 10:22:44-03","CPAP","CPAP","10404","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","1875","1993","04","14","Brasil","MT","Poconé","Rio Bento Gomes - ponte na estrada para Porto Cercado, Pantanal","-56.533333","-16.316667","56°32' W","16°19' S",NA,NA,"1993","04","Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Raro. AMBIENTE: Borda de rio, preso a Pistia, 70cm profundidade, água corrente. Com raras Lemna aequinoctialis. SUBSTRATO: solo arenoso. RELEVO: inclinado.",NA,NA,NA,NA,NA,NA,"14","100","100",NA,NA,NA
"18","2020-11-19 10:22:44-03","CPAP","CPAP","10666","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Pott, V. J.","1937","1992","08","12","Brasil","MS","Corumbá","Fazenda Bodoquena, lagoa da sede da Secção Guaicurus, Pantanal","-57.266667","-19.533333","57°16' W","19°32' S",NA,NA,NA,NA,"Erva aquática flutuante livre, sobre sedimento orgânico. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Em solo úmido de borda de lagoa, entre o camalote de E. crassipes. SUBSTRATO: solo argiloso-orgânico. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"100","100",NA,NA,NA
"19","2020-11-19 10:22:44-03","CPAP","CPAP","10672","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Pott, V. J.","1943","1992","08","12","Brasil","MS","Corumbá","Estrada do Passo do Lontra, entre fazenda Boa Sorte e fazenda Baú, estrada MS-164, Pantanal","-57","-19.666667","57°00' W","19°40' S",NA,NA,NA,NA,"Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Lagoa represada pela estrada, com Salvinia. protegida por Salvinia auriculata. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA
"20","2020-11-19 10:22:44-03","CPAP","CPAP","10683","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Pott, V. J.","1954","1992","08","14","Brasil","MS","Corumbá","Km 729, BR-262","-57.45","-19.466667","57°27' W","19°28' S",NA,NA,NA,NA,"Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Raro. AMBIENTE: Açude com Pistia definhando, e Hydrocotyte ranunculoides. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"140","140",NA,NA,NA
"21","2020-11-19 10:22:44-03","CPAP","CPAP","10689","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Pott, V. J.","1960","1992","08","14","Brasil","MS","Corumbá","Estrada inacabada para Forte Coimbra, próximo 8km da BR-262, Sub-região do Nabileque, Pantanal","-57.55","-19.516667","57°33' W","19°31' S",NA,NA,NA,NA,"Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Pouco frequente. AMBIENTE: Typhetum sombreado, com 80cm de água. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA
"22","2020-11-19 10:22:44-03","CPAP","CPAP","10703","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","1974","1992","10","09","Brasil","MS","Corumbá","Estrada para Forte Coimbra, MS-454, 9km da BR-262 , Pantanal","-57.55","-19.516667","57°33' W","19°31' S",NA,NA,"1992","10","Erva aquática flutuante livre. FLOR: estéril. FRUTO: . INTERESSE: . FREQUÊNCIA: Ocasional. AMBIENTE: Typhetum e Lemnetum formado de Spirodela intermedia e Lemna valdiviana. SUBSTRATO: solo calcário. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA
"23","2020-11-19 10:22:44-03","CPAP","CPAP","10705","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","1976","1992","10","09","Brasil","MS","Corumbá","Fazenda Fazendinha, estrada para Forte Coimbra, MS-454, 11,5km da BR-262 , Pantanal","-57.55","-19.516667","57°33' W","19°31' S",NA,NA,"1992","10","Erva aquática flutuante livre. FLOR: estéril. FRUTO: . INTERESSE: . FREQUÊNCIA: Raro. AMBIENTE: Lagoa de Wolffietum, em beira de estrada, com pisoteio de gado. Planta presa entre Spirogira, por isso várias (4) frondes unidas. Presença de Pistia, Wolffia",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA
"24","2020-11-19 10:22:44-03","CPAP","CPAP","10709","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","1980","1992","10","31","Brasil","MS","Corumbá","Polder, antiga codrasa, quase no final; 12km da BR-262, Pantanal","-57.683333","-19.016667","57°41' W","19°01' S",NA,NA,NA,NA,"Erva aquática flutuante livre, protegida por vegetação aquática. FLOR: estéril. FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Planície de inundação do rio Paraguai, próximo ao aterro da estrada. 30cm profundidade, próximo a Victoria amazonica .",NA,NA,NA,NA,NA,NA,NA,"100","100",NA,NA,NA
"25","2020-11-19 10:22:44-03","CPAP","CPAP","10721","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","1992","1992","11","22","Brasil","MS","Corumbá","Km 556 da BR-262, Sub-região de Miranda, Pantanal","-57.616667","-19.316667","57°37' W","19°19' S",NA,NA,"1992","11","Erva aquática flutuante livre. FLOR: estéril. FRUTO: . INTERESSE: . FREQUÊNCIA: Muito frequente. AMBIENTE: Caixa de empréstimo. Raras Wolffiella lingulata. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,"22","120","120",NA,NA,NA
"26","2020-11-19 10:22:44-03","CPAP","CPAP","10763","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","2034","1993","02","13","Brasil","MS","Corumbá","Estrada inacabada para Forte Coimbra, MS-454, 9,3km da BR-262, Pantanal","-57.55","-19.516667","57°33' W","19°31' S",NA,NA,"1993","02","Erva aquática flutuante livre. FLOR: estéril. FRUTO: . INTERESSE: . FREQUÊNCIA: Ocasional. AMBIENTE: Taboal e caetezal, borda de lagoa e aterro de estrada; meia sombra. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA
"27","2020-11-19 10:22:44-03","CPAP","CPAP","10767","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Hamilton, S.","10","1992","08","22","Brasil","MS","Ladário","Planície da Baía Negra, ao lado da estrada da Codraza, entre a baía e o rio Paraguai, 12km da BR-262","-57.516667","-19.033333","57°31' W","19°02' S",NA,NA,NA,NA,"Erva aquática flutuante livre; raízes escuras. Fértil. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Baía (lagoa). Com Azolla e Salvinia auriculata e algumas Wolffiellas welwitschii. SUBSTRATO: solo calcário. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"100","100",NA,NA,NA
"28","2020-11-19 10:22:44-03","CPAP","CPAP","10770","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Prado, A. L.","02","1992","08","05","Brasil","MT","Poconé","Tanque de plantas aquáticas da Universidade Federal de Mato Grosso","-56.316667","-16.366667","56°19' W","16°22' S",NA,NA,NA,NA,"Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Pequeno tanque com Woffiella e Chara. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"118","118",NA,NA,NA
"29","2020-11-19 10:22:44-03","CPAP","CPAP","10810","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Hamilton, S.","26","1993","05","30","Brasil","MS","Corumbá","Lagoa do Jacadigo, próximo a morraria da Trombas dos Macacos","-57.716667","-19.216667","57°43' W","19°13' S",NA,NA,"1993","06","Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Baía rasa, secando. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,"02","100","100",NA,NA,NA
"30","2020-11-19 10:22:44-03","CPAP","CPAP","10889","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","E. Landolt","Giardelli, M. L.","1221B","1941","01","24","Argentina",NA,"Prov. Buenos Aires","Pdo. de Tordillo, Estância La Bagatella",NA,NA,NA,NA,NA,NA,"1984",NA,"Erva aquática flutuante livre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-19 10:22:44-03","CPAP","CPAP","10891","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","E. Landolt","Venturi, S.","2076A","1923","10","21","Argentina",NA,"Prov. Tucuman","Faimalla, Rio Lules",NA,NA,NA,NA,NA,NA,"1984",NA,"Erva aquática flutuante livre. AMBIENTE: Flotando sobre água mansa. SUBSTRATO: . RELEVO: .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-19 10:22:44-03","CPAP","CPAP","11226","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","2047","1993","04","19","Brasil","MT","Cáceres","Baía do Iate - planície de inundação do rio Paraguai, Pantanal de Cáceres","-57.683333","-16.033333","57°41' W","16°02' S",NA,NA,NA,NA,"Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Raro. AMBIENTE: Baía de rio - entre raízes de Pistia no camalote. SUBSTRATO: solo areno-argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"100","100",NA,NA,NA
"33","2020-11-19 10:22:44-03","CPAP","CPAP","11268","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","2089","1993","04","23","Brasil","MT","Barão de Melgaço","Baía Acurizal - em frente igreja Nossa Senhora da Conceição, Pantanal","-55.933333","-16.183333","55°56' W","16°11' S",NA,NA,"1993","04","Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Baía tomada de bacero de E.crassipes, S.auriculata, Pistia stratiotes, L. helmintorrhiza. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,"23","100","100",NA,NA,NA
"34","2020-11-19 10:22:44-03","CPAP","CPAP","11280","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","2101","1993","04","26","Brasil","MS","Miranda","Km 562, BR-262, Sub-região de Miranda; Pantanal","-56.483333","-20.183333","56°29' W","20°11' S",NA,NA,"1993","04","Erva aquática flutuante livre pouco submersa. FLOR: estéril. FRUTO: . INTERESSE: Despoluidora. FREQUÊNCIA: Frequente. AMBIENTE: Açude pequeno de fazenda, 20cm profundidade perturbado pelo gado. SUBSTRATO: solo argiloso. RELEVO: pequena colina em planície",NA,NA,NA,NA,NA,NA,"27","115","115",NA,NA,NA
"35","2020-11-19 10:22:44-03","CPAP","CPAP","11456","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, A.","6436","1993","06","07","Brasil","MS","Corumbá","Fazenda Barrinhos; Sub-região da Nhecolândia; Pantanal - invernada Mário Dique, cultivada há 10 anos","-56.433333","-18.916667","56°26' W","18°55' S",NA,NA,"1993","06","Erva aquática submersa ouflutuante livre. FLOR: estéril.. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Abundante na borda. AMBIENTE: Braço pantanoso da vazante do Riozinho, com densa vegetação 2m altura. SUBSTRATO: solo arenoso com superfíc",NA,NA,NA,NA,NA,NA,"09","90","90",NA,NA,NA
"36","2020-11-19 10:22:44-03","CPAP","CPAP","13021","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Pott, V. J.","2347","1994","08","02","Brasil","MS","Ladário","Rio Paraguai; próximo ao Polder na Codrasa; Pantanal","-57.5","-19.016667","57°30' W","19°01' S",NA,NA,NA,NA,"Erva aquática. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Esparso. AMBIENTE: Enseada de rio, entre Pistia stratiotes. próximo a Victoria amazonica. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"85","85",NA,NA,NA
"37","2020-11-19 10:22:44-03","CPAP","CPAP","14058","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","2764","1995","07","23","Brasil","RS","Erval Seco","Área Indígena, próximo ao km 46 da RS-324, entre Vila Bananeira e Planalto","-53.466667","-27.5","53°28' W","27°30' S",NA,NA,"1995","07","Erva aquática flutuante livre. 5 frondes unidas. FLOR: estéril. FRUTO: . INTERESSE: Despoluidora. FREQUÊNCIA: Frequente. AMBIENTE: Lagoa de brejo represada em área de mata. Junto com Ricciocarpus natans. SUBSTRATO: solo argiloso de basalto. RELEVO: plano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-19 10:22:44-03","CPAP","CPAP","15768","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, A.","7852","1996","08","15","Brasil","MT","Poconé","Foz do Riozinho na Baía Caracara; Parque Nacional do Pantanal; Pantanal","-57.403056","-17.845556","57°24'11'' W","17°50'44'' S",NA,NA,"1996","08","Erva flutuante-submersa livre. FLOR: . FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Esparsa. AMBIENTE: Camalote (vegetação flutuante) em corixo. Com Salvinia auriculata e Eichhornia crassipes. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,"17","90","90",NA,NA,NA
"39","2020-11-19 10:22:44-03","CPAP","CPAP","17719","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Salis, S. M.","1050","1998","06","17","Brasil","MS","Corumbá","Baía do Castelo; Pantanal do Paraguai","-57.566667","-18.566667","57°34' W","18°34' S",NA,NA,"1998","07","Erva aquática flutuante livre. FLOR: não vista. FRUTO: não visto. INTERESSE: Levantamento florístico. FREQUÊNCIA: Pouco frequente. AMBIENTE: Margem de lagoa. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA
"40","2020-11-19 10:22:44-03","CPAP","CPAP","3996","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Pott, V. J.","351","1987","09","29","Brasil","MS","Corumbá","Fazenda Acurizal; Sub-região do Nabileque; Pantanal - estrada do Carandazal (MS-352)","-57.166667","-19.633333","57°10' W","19°38' S",NA,NA,NA,NA,"Erva flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Corixo (rio estacional). SUBSTRATO: solo argiloso (Calciaquoll). RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA
"41","2020-11-19 10:22:44-03","CPAP","CPAP","9798","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","1673","1992","07","13","Brasil","MS","Miranda","Km 562 da BR-262, lado esquerdo sentido Corumbá-Campo Grande, depois da ponte do rio Miranda, Pantanal","-56.483333","-20.183333","56°29' W","20°11' S",NA,NA,"1992","07","Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Muito frequente. AMBIENTE: Caixa de empréstimo. Comunidade de Hydrocotyle ranunculoides, Pistia stratiotes, Eichhornia crassipes, Scirpus cubensis, Azolla mex",NA,NA,NA,NA,NA,NA,NA,"115","115",NA,NA,NA
