"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"12","2021-03-15 16:37:00-03","NY","NYBG","440749","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Z. A. Trinta","1027","1964","12","08","South America","Brazil","Rio de Janeiro","Campos","Entre Campos e Morro do Coco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440749","NY00440749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 10:34:00-03","NY","NYBG","440750","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"P. Rosa",NA,"1938","02","23","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440750","NY00440750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 10:34:00-03","NY","NYBG","440746","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"G. G. Bondar",NA,"1946","10","19","South America","Brazil","Espírito Santo","Sao Mateus",NA,"-39.8589","-18.7161","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440746","NY00440746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 13:41:00-03","NY","NYBG","318373","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta pubiflora","Müll.Arg.","G. Gardner","5011","1836",NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318373","NY00318373_01",NA,"pubiflora","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","440747","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","G. G. Hatschbach","61198","1994","10","10","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Rod. BR 262, 3-5 km leste de Venda Nova do Imigrante","-41.1344","-20.3397","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440747","NY00440747_01","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","440753","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","R. M. Harley","25169","1988","10","18","South America","Brazil","Minas Gerais","Pedra Azul","8 km ao O. da cidade, na estrada para a Rodovia BR 116","-41.37","-15.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440753","NY00440753_01","A. J. M. Leeuwenberg",NA,NA,"650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 13:41:00-03","NY","NYBG","318372","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta pubiflora","Müll.Arg.","G. Gardner","5011",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318372","NY00318372_01",NA,"pubiflora","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 22:37:00-03","NY","NYBG","971365","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"G. Schüch","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971365","NY00971365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","440736","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","A. F. M. Glaziou","12950",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440736","NY00440736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-29 10:34:00-03","NY","NYBG","440739","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"Pessoal do Horto Florestal",NA,"1927","10","22","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440739","NY00440739_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-29 10:34:00-03","NY","NYBG","440742","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"G. Gardner","75","1836","08",NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","In collibus virgullosis siccis ad Rio Campo ido pr. Rio de Janeiro","-43.2075","-22.9031","sheet","Comm. am. Shuttleworth, 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440742","NY00440742_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","440748","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","G. G. Hatschbach","46922","1983","10","17","South America","Brazil","Espírito Santo","Linhares","Linhares, rod. p/ Povoaçao","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440748","NY00440748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-29 10:34:00-03","NY","NYBG","440743","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"L. T. Costa",NA,"1940","10","22","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440743","NY00440743_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1034250","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","A. C. Cervi","CA7270","1994","12","05","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248990' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034250","NY01034250_01","R. Spichiger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00440751","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","E. de Oliveira","3655","1967","11","21","South America","Brazil","Amapá",NA,"Margem do Castanhal e Cachoeira, entre S. Joao e o 1° deserto","-52.506442","-0.644275","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440751","NY00440751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","318369","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Martii Herbar. Florae Brasil.","104",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Copacabana","-43.184813","-22.973744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318369","NY00318369_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-29 10:34:00-03","NY","NYBG","440741","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"L. Lanstyack",NA,"1936","11","14","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440741","NY00440741_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","971366","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","J. E. B. Warming","372","1863","09","17","South America","Brazil",NA,NA,"Lagoa Santa. [Illegible] leiteira.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971366","NY00971366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01252450","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","B. A. Krukoff","8359","1936","09","11","South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes. Near Palmares.","-69.5048332","-4.696879","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499572' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252450","NY01252450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02098713","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","W. W. Thomas","12142","2000","04","01","South America","Brazil","Bahia","Jussari","Reserva Natural Serra do Teimoso, Fazenda Teimoso, 7 km. NW of Jussari","-39.524","-15.15519","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604648' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098713","NY02098713_01","Determiner unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","971363","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Y. E. J. Mexia","4200","1930","01","02","South America","Brazil","Minas Gerais","Viçosa","Agricultural College lands.","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971363","NY00971363_01","A. J. M. Leeuwenberg",NA,NA,"680","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","298205","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","W. W. Thomas","11251","1996","11","14","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Trail to peak of Monte Pascoal. Upper slopes and top of Monte Pascoal.","-40.5747","-15.2647","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298205","NY00298205_01","A. J. M. Leeuwenberg",NA,NA,"250","536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2017-02-01 14:58:00-02","NY","NYBG","01873605","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"K. Almeida","131","2001","05","03","South America","Brazil","Pernambuco","Sao Lourenço da Mata","Estaçao ecológica do Tapacurá","-34.9503","-8.0128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941316' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873605","NY01873605_01","R. F. Souza-Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-09-29 10:34:00-03","NY","NYBG","440734","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"P. R. J. Bamps","5017","1975","12","19","South America","Brazil","São Paulo",NA,"Queluz","-44.77","-22.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440734","NY00440734_01","A. J. M. Leeuwenberg",NA,NA,"520","520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","440737","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","D. S. D. de Araújo","3216","1979","10","02","South America","Brazil","Rio de Janeiro","Niterói","Morro das Andorinhas, Itaipú, na crista do morro","-43.1036","-22.8833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440737","NY00440737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","971362","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","G. G. Hatschbach","44295","1981","10","17","South America","Brazil","Minas Gerais",NA,"Rod. BR-116; 10 km N de Campanario.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971362","NY00971362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","95174","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","W. W. Thomas","11144","1996","03","25","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, along trail leading to summit of Monte Pascoal.","-40.5747","-15.2647","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095174","NY00095174_01","A. J. M. Leeuwenberg",NA,NA,"150","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","318370","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta densa","Müll.Arg.","J. B. E. Pohl","1847",NA,NA,NA,"South America","Brazil",NA,NA,"Ad Japuhiva prope Angra dos Reys",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318370","NY00318370_01",NA,"densa","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-10-21 17:14:00-02","NY","NYBG","318371","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta densa","Müll.Arg.","J. C. Mikan",NA,NA,NA,NA,"South America","Brazil",NA,NA,"In Prov. Minarum",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318371","NY00318371_01",NA,"densa","possible syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","318370","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta densa","Müll.Arg.","J. B. E. Pohl","1847",NA,NA,NA,"South America","Brazil",NA,NA,"Ad Japuhiva prope Angra dos Reys",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318370","NY00318370_01",NA,"densa","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-10-21 17:14:00-02","NY","NYBG","318371","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta densa","Müll.Arg.","J. C. Mikan",NA,NA,NA,NA,"South America","Brazil",NA,NA,"In Prov. Minarum",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318371","NY00318371_01",NA,"densa","possible syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-29 13:41:00-03","NY","NYBG","318374","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta pubiflora","Müll.Arg.","G. Gardner","5011",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318374","NY00318374_01",NA,"pubiflora","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
