"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount"
"23","2020-09-12 05:00:02-03","US","US","2883734","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","H. Leitao Filho, G. J. Shepherd & L. S. Kinoshita","1.834","1976","3","16","South America - Neotropics","Brazil","Minas Geraes",NA,"Municipio de Camanducaia - Monte Verde, nas proximidades do Hotel El Brujo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"24","2019-10-16 14:13:39-03","UEL","FUEL","48816","PreservedSpecimen","Plantae","Tracheophyta","Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Pasini, E","448","2010","11","06",NA,"Brasil","Rio Grande do Norte","Caçapava do Sul","Pedra do Segredo, capoeirão, beira da estrada",NA,NA,NA,NA,NA,NA,NA,NA,"Pasini, E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-08-20 14:57:35-03","UFSC","FLOR","43279","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Grings, M.; Stahlberg, S.B.; Buffon, I. & Kronbauer, S.","932","2010","01","09",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Josefáz, à 2 Km do perau das Pedras Brancas.","-50.063889","-29.374444",NA,NA,NA,"subarbusto, flor amarela fechadas e em botãoem frutificação, 0,5m altura. Recebido de ICN Nª 163170. Coordenadas originalmente registradas em UTM (0590855, 6750171), não correspondem ao muicípio indicado, mas ao vizinho, Três Forquilh","FLOR0043279",NA,"Grings, M.",NA,NA,NA,NA,NA,NA,NA,"50º3'50''W","29º22'28''S",NA
"26","2020-08-20 20:39:52-03","UFSC","FLOR","8475","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Falkenberg, D.B.","305","1980","10","26",NA,"Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869","900","900",NA,NA,"FLOR0008475",NA,"Grings, M.",NA,NA,"2010",NA,NA,"30776","auto",NA,NA,NA
"27","2020-08-20 14:57:35-03","UFSC","FLOR","35782","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Souza, M.L.; Zanin, A.; Longhi-Wagner, H.M. & Rieper, M.","1779","2006","12","06",NA,"Brasil","Santa Catarina","Urubici","Fazenda do Sr. Arno Philippe, proximidades da casa da fazenda, Campo dos Padres.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"subarbusto, flor amarela. Rara Habitat: local ensolarado","FLOR0035782","FLOR0035782","Grings, M.",NA,NA,"2019","09","11","30102","auto",NA,NA,NA
"28","2021-03-04 15:44:51-03","IF","SPSF","10763","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii",NA,"M.J.Robim","435","1987","01","19","América do Sul","Brasil","SP","Campos do Jordão","P.E. de Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: area degradada&nf;;",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"21048","auto",NA,NA,NA
"29","2021-02-08 12:43:27-03","UFRGS","ICN","146963","S","Plantae","Dicotyledon",NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Azevedo-Gonçalves, CF","428",NA,NA,NA,"América do Sul","Brasil","RS","São Francisco de Paula","CPCN do Pró-Mata","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,NA,"Grings, M",NA,NA,"2010","03","02","76715","auto",NA,NA,NA
"30","2021-02-08 12:43:27-03","UFRGS","ICN","163170","S","Plantae","Dicotyledon",NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Grings, M; Stahlberg, GB; Buffon, I; Kronbauer, S; Printes, RC","932","2010","01","09","América do Sul","Brasil","RS","São Francisco de Paula","Josafáz à 2 Km do perau das Pedras Brancas S 0590855 W 6750171 Datum Córrego Alegre","-50.5835990905762","-29.4480991363525",NA,NA,NA,"sub-arbusto de 0,5 m de alt.; flores amarelas fechadas e em botão; frutificando; em campo arbustivo em beira de capão",NA,NA,"Grings, M",NA,NA,NA,NA,NA,"76715","auto",NA,NA,NA
"31","2021-02-08 12:43:27-03","UFRGS","ICN","163406","S","Plantae","Dicotyledon",NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Grings, M; Printes, RC; Sanches, AM","1035","2010","03","21","América do Sul","Brasil","RS","São Francisco de Paula","Josafáz Cânion Pedras Brancas","-50.5835990905762","-29.4480991363525",NA,NA,NA,"sub-arbusto de 0,5 m com população significativa; flor amarela e frutificando; em campo arbustivo na borda de mata com araucária",NA,NA,"Grings, M",NA,NA,NA,NA,NA,"76715","auto",NA,NA,NA
"32","2021-02-18 17:08:39-03","FEPAGRO","BLA","6856","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","P. N. Capparelli",NA,"1946","02","08",NA,"Brasil","Santa Catarina","Sombrio",NA,"-49.61669921875","-29.113899230957","6","6",NA,NA,"BLA006856",NA,"M. Grings",NA,NA,"2020","10","28","16515","auto",NA,NA,NA
"33","2020-08-26 10:49:38-03","MCN-FZBRS","HAS","20387","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Krapovickas, A.","s.n.","1983","01",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Itaimbezinho.","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Barranca do rio; borda de bosque; decumbente. Flores amarelas; frutos cabisbaixos, ocultos pelas folhas. Doação Universidad Nacional del Nordeste - Corrientes (CTES) n° 38408.","HAS0020387",NA,NA,NA,NA,NA,NA,NA,"30776","auto",NA,NA,NA
"34","2021-01-21 15:29:39-03","IBt","SP","489433","S","Plantae",NA,NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Freitas, L","107","1998","01","21",NA,"Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30784","auto",NA,NA,NA
