"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","514839","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","J. J. Wurdack","A. Löfgren","14341","1894","04","18","South America","Brazil","São Paulo","Bocaina","Campos da Bocaina","-44.684548","-23.029725",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514839","NY00514839_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1654164","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","F. S. Meyer","F. A. Michelangeli","1615","2011","02","10","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, trail to summit of Pico do Desengano","-41.9112","-21.89968333333","1760",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568358' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654164","NY01654164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 02:08:00-03","NY","NYBG","1181596","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana",NA,"L. A. F. Santos Filho","L. A. F. Santos Filho","55","2008","07","15","South America","Brazil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Orgãos. Trilha Ajax-Morro Assú.","-43.1786","-22.505","1975","1975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386775' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181596","NY01181596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","514838","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","J. J. Wurdack","F. Segadas-Vianna","3207","1951","03",NA,"South America","Brazil","São Paulo","Sao José do Barreiro","Barreiro Co. Serra da Bocaina, Lageado Farm","-44.622423","-22.796043","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514838","NY00514838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-30 18:39:00-03","NY","NYBG","02332298","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana",NA,NA,"A. C. Brade","16954","1941","09","17","South America","Brazil","Minas Gerais",NA,"Serra do Caparaó.",NA,NA,"2000",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2507301' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332298","NY02332298_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-30 03:04:00-03","NY","NYBG","1184141","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana",NA,NA,"P. J. F. Guimarães","347","2008","03","27","South America","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional. Próximo a Torqueira.","-41.8381","-20.4","1877","1877","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462682' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184141","NY01184141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-30 03:25:00-03","NY","NYBG","01164717","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana",NA,"P. Guiamaraes","F. Almeda","9765","2009","03","10","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgãos. Trail to Pedra do Sino.","-43.01992","-22.45278","1626","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487656' target='other'> <mi>dwc_moreinfo</mi></a>","NY01164717","NY01164717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-30 07:00:00-03","NY","NYBG","1522624","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana",NA,"L. de S. Leoni","L. de S. Leoni","6307","2005","10","04","South America","Brazil","Minas Gerais","Espera Feliz","Parque Nacional","-41.9071998596191","-20.6502990722656","2268",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1775584' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522624","NY01522624_01",NA,"21988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00941687","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","P. J. F. Guimarães","G. G. Hatschbach","31405","1973","02","10","South America","Brazil","Minas Gerais","Caparaó","Parque Nac. de Caparao, caminho Pico da Bandeira","-41.835139","-20.411003","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941687","NY00941687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-28 14:08:00-03","NY","NYBG","778176","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana",NA,"P. J. F. Guimarães","J. Ferreira","1778","1929","01","09","South America","Brazil","Rio de Janeiro",NA,"Matto, vicinity of Macieiras, Mt. Itatiaia, Estaçao Biologica","-44.67","-22.43","1960","1960","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778176","NY00778176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1522617","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","L. de S. Leoni","L. de S. Leoni","5722","2004","05",NA,"South America","Brazil","Minas Gerais","Araponga","Fazenda Neblina. Parque Estadual do Brigadeiro.","-42.47","-20.72","1300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1775567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522617","NY01522617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","514843","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","A. C. Brade","A. C. Brade","20883","1951","05","07","South America","Brazil","São Paulo","Sao José do Barreiro","Serra da Bocaina; Tira Chapeú","-44.659863","-22.771302","2100","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514843","NY00514843_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","514844","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","J. J. Wurdack","P. Occhioni","7052","1975","03","15","South America","Brazil","Rio de Janeiro","Itatiaia","E. Rio - Parque Nac. Itatiaia Macieiras","-44.637434","-22.433733","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514844","NY00514844_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","778178","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","P. J. F. Guimarães","H. M. Curran","650","1918","12","09","South America","Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo","-42.5308","-22.2819",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778178","NY00778178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:31:26-03","UFRJ","RFA","4775","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","J. J. Wurdack","P. Occhioni","864","1947","03","07",NA,"Brasil","Rio de Janeiro","Itatiaia","Macieiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Árvore pequena, flor roxo claro","RFA45627",NA,NA,"19648","auto","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-13 09:20:17-03","UFRJ","RFA","17937","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","A. C. Brade","A.C. Brade","20883","1951","05","07",NA,"Brasil","São Paulo","São Paulo","Serra da Bocaina, Tira Chapéu","-46.6300010681152","-23.5400009155273","2100","2100",NA,"Arbusto, flor roxa, 1 - 2 m","RFA45628",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:31:26-03","UFRJ","RFA","16323","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","J. J. Wurdack","P. Occhioni","7052","1975","03","15",NA,"Brasil","Rio de Janeiro","Itatiaia","Macieiras","-44.5633010864258","-22.4960994720459","1800","1800",NA,"Arbusto de 5 a 6 m de altura, flor lilás","RFA45630",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-06-29 11:31:26-03","UFRJ","RFA","16320","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","J. J. Wurdack","P. Occhioni","7090","1975","03","12",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra do Itatiaia, Estrada do Registro, planalto km 46","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Arbusto de 5 a 6 m, flores roseas","RFA45629",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:31:26-03","UFRJ","RFA","2741","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.",NA,"J. T. Moura",NA,"1888","02",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA45631",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:20:42-03","UFBA","ALCB","96125","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Tibouchina","alba","Tibouchina alba","Cogn. ex Char.","Cordeiro, J; Martin, VC","Cordeiro, J; Cordeiro, J; Silva, JM","3509","2010","03","06","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque nacional do Caparaó","-41.8683013916016","-20.4333000183105","1640","1640",NA,"1,60 m alt. Flor vinosa.","ALCB068509",NA,NA,"21645","auto","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:20:42-03","UFBA","ALCB","96130","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Tibouchina","alba","Tibouchina alba","Cogn. ex Char.","Cordeiro, J; Martin, VC","Cordeiro, J; Cordeiro, J; Silva, JM","3559","2010","03","08","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque nacional do Caparaó","-41.8683013916016","-20.4333000183105","1970","1970",NA,"1,60 m alt. Flor alvacenta.","ALCB068510",NA,NA,"21645","auto","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 10:05:04-03","NBC","NL-BOTANY","L.2559075","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","alba","Tibouchina alba","Cogn.",NA,"Glaziou AFM",NA,"1888","01","01","Southern America","Brazil",NA,NA,"Prov. Rio de Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2559075 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2559075","NL-L2559075",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 10:05:05-03","NBC","NL-BOTANY","L.2559029","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","Cogn.",NA,"Glaziou AFM",NA,"1888","01","01","Southern America","Brazil",NA,NA,"Prov. Rio de Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2559029 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2559029","NL-L2559029",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 10:05:05-03","NBC","NL-BOTANY","L.2559030","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","Cogn.",NA,"Glaziou AFM",NA,"1888","01","01","Southern America","Brazil",NA,NA,"Prov. Rio de Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2559030 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2559030","NL-L2559030",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 10:05:10-03","NBC","NL-BOTANY","L.2559031","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","Cogn.",NA,"Glaziou AFM",NA,"1889","01","01","Southern America","Brazil",NA,NA,"Prov. Rio de Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2559031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2559031","NL-L2559031",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 10:05:10-03","NBC","NL-BOTANY","L.2559074","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","Cogn.",NA,"Glaziou AFM",NA,"1888","01","01","Southern America","Brazil",NA,NA,"Prov. Rio de Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2559074 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2559074","NL-L2559074",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-08 10:05:10-03","NBC","NL-BOTANY","U.1421012","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","Cogn.",NA,"Brade AC",NA,"1951","05","07","Southern America","Brazil",NA,NA,"São Paulo - Serra da Bocaína, Tira Chapeu.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1421012 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1421012","NL-U1421012",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 10:56:10-03","ESALQ","ESA","140619","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","echinatum","Pleroma echinatum","Gardner","Santos, P.M.L.A.","Gibau, A.; Gissi, D.S.; Orlandini, P.","254.0","2017","03","11",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Arbusto 1,5m. Corola rosa. Estames amarelos.","ESA140619",NA,NA,"34470","auto","2017",NA,"05","21",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 10:56:10-03","ESALQ","ESA","140451","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","echinatum","Pleroma echinatum","Gardner","Santos, P.M.L.A.","Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","86.0","2016","12","12",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Árvore ca. 1,5m. Cálice verde-arroxeado; corola roxa; anteras amarelas na base e roxas no ápice","ESA140451",NA,NA,"34470","auto","2017",NA,"01","06",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 10:56:10-03","ESALQ","ESA","140734","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","echinatum","Pleroma echinatum","Gardner","Santos, P.M.L. & Gibau, A.","Gibau, A.; Flores, T.B.; Valdemarin, K.S.","369.0","2017","08","25",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Arbusto ca. 0,6m. Cálice verde; corola roxa; filetes roxos, anteras amarelas.","ESA140734",NA,NA,"34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 10:56:10-03","ESALQ","ESA","140439","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","echinatum","Pleroma echinatum","Gardner","Santos, P.M.L.A. & Gibau, A.","Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","74.0","2016","12","12",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Arbusto ca. 1,5m. Flores liláses.","ESA140439",NA,NA,"34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:13:52-03","ESALQ","ESA","95578","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","Cogn.","Meyer, F.S.","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","5900.0","2006","07","13",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para a Pedra do Sino","-43","-22.45","1170","1170",NA,"Arbusto, ca. 1,5m alt. Frutos creme-rosados","ESA095578","ESA095578",NA,NA,NA,NA,NA,NA,NA,"-43","-22.45",NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:13:52-03","ESALQ","ESA","37283","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","Cogn.","Meyer, F.S.","Souza, J.P. et al.","2115.0","1998","02","12",NA,"Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,"ESA037283","ESA037283",NA,"21645","auto","2013",NA,"11","03",NA,NA,NA,NA,NA,NA,NA,NA
