"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber","continentOcean"
"11","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","melanopoda","Bifrenaria melanopoda","Klotzsch",NA,NA,NA,"Allcard",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"s.n.(Hort.","Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"12","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","melanopoda","Bifrenaria melanopoda","Klotzsch",NA,NA,NA,"Comm. Geogr.Geol. S. Paulo",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"3267?","in prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"13","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","melanopoda","Bifrenaria melanopoda","Klotzsch",NA,NA,NA,"Allardt",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"s.n.(Hort.","Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"14","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.",NA,NA,NA,"Martius, CFP",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"s.n.","in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"15","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.",NA,NA,NA,"Harrison, W",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"s.n.","Habitat in sylvis supra arbores prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"16","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.",NA,NA,NA,"Martius, CFP",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"s.n.","in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"17","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.",NA,NA,NA,"Harrison, W",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"s.n.","Habitat in sylvis supra arbores prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"18","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.",NA,NA,NA,"Warre",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"s.n.","Habitat in sylvis supra arbores prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"19","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.",NA,NA,NA,"Warre",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"s.n.","Habitat in sylvis supra arbores prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"20","2019-11-21 10:12:52-03","IBt","SP","46177","S","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Mamede, MCH","2011","03","Lanius, C","1941","12","27","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:12:52-03","IBt","SP","29852","S","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Koehler, S","2002","05","Spannagel, C","1930","04",NA,"Brasil","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto","272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:12:52-03","IBt","SP","31829","S","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Koehler, S","2002","05","Zoéga, F","1934","05","29","Brasil","São Paulo","Guarujá","-46.25","-23.9899997711182","18989","auto","s.n.","Ilha de Santo Amaro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:12:52-03","IBt","SP","29832","S","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Mamede, MCH","2011","03","Hoehne, FC","1932","09","22","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:12:52-03","IBt","SP","29420","S","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Hoehne, FC",NA,NA,"s.col.","1897","08","25","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","CGG3267","Cultivada em S.Paulo no Jardim da commissão.",NA,NA,"Recollecionada","SP009681","SP009681",NA,NA,NA,NA
"25","2019-11-21 10:12:52-03","IBt","SP","43081","S","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Mamede, MCH","2011","03","Lanius, C",NA,NA,NA,"Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","s.n.","Jabaquara",NA,NA,NA,NA,NA,NA,NA,NA,NA
