"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean","locality","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","recordNumber","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","typeStatus"
"11","2017-02-21 08:46:00-03","NY","NYBG","231158","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",NA,NA,NA,NA,NA,"E. R. Guaglianone","1995","11","21","Argentina","Misiones",NA,"-53.77","-26.03",NA,NA,"480","480","NY00231158","NY00231158_01","South America","Dpto. M. Belgrano: Ruta Nac. 101, 8 km. N de San Antonio, monte de Araucarias INYA, borde","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402573' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","2987",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02710968","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"H. S. Irwin","1958","10","31","Brazil","Minas Gerais","Viçosa","-42.868031","-20.7613428",NA,NA,NA,NA,"NY02710968","NY02710968_01","South America","State Agricultural School, Viçosa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997396' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","424097","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. Reitz",NA,NA,NA,"R. Reitz","1958","08","02","Brazil","Santa Catarina","Rio do Sul","-49.563988","-27.247405",NA,NA,"800","800","NY00424097","NY00424097_01","South America","Alto Matador, Rio do Sul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402559' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","6916",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","743494","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","H. Zeballos; R. Zeballos",NA,NA,NA,"R. Zeballos","1998","10","01","Bolivia","La Paz","Pedro Domingo Murillo","-68.13","-16.5",NA,NA,NA,NA,"NY00743494",NA,"South America","Predios de la Alcadía Municipal de la ciud de La Paz, Calle Mercado, entre Calles Colón y Ayacucho.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922458' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","1017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","424102","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. Reitz",NA,NA,NA,"R. Reitz","1962","07","14","Brazil","Santa Catarina","Lages","-50.3258","-27.8161",NA,NA,"900","900","NY00424102","NY00424102_01","South America","Alto da Serra, Encruzilhada, Lajes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402562' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","13227",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","424108","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. Reitz",NA,NA,NA,"R. Reitz","1962","07","11","Brazil","Santa Catarina","Canoinhas","-50.3897","-26.1772",NA,NA,"750","750","NY00424108","NY00424108_01","South America","Serra do Lucindo, Canoinhas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402566' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","13093",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","424111","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","M. H. Nee",NA,NA,NA,"H. N. Whitford","1918","08","31","Brazil","Santa Catarina","Três Barras","-50.3219","-26.1067",NA,NA,NA,NA,"NY00424111","NY00424111_01","South America","Tres Barras","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329415' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","116",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1085763","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"G. G. Hatschbach","1998","11","16","Brazil","Paraná","Palmas","-51.9906","-26.4844",NA,NA,NA,NA,"NY01085763","NY01085763_01","South America","Rodavia BR-449, Km. 5-10","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1252659' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","68727",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","424098","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. Reitz",NA,NA,NA,"R. M. Klein","1964","08","25","Brazil","Santa Catarina","Catanduvas","-51.6617","-27.0708",NA,NA,"900","900","NY00424098","NY00424098_01","South America","Catanduvas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402565' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","5460",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","424109","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"J. R. Pirani","1985","11","20","Brazil","São Paulo","Campos do Jordao","-45.59","-22.73",NA,NA,"2000","2000","NY00424109","NY00424109_01","South America","Campos de Jordao, Parque Estadual. Caminho para Sao José dos Alpes","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402577' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","1369",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","424114","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","M. H. Nee",NA,NA,NA,"P. K. H. Dusén","1915","07","09","Brazil","Paraná","Irati","-50.6508","-25.4672",NA,NA,NA,NA,"NY00424114","NY00424114_01","South America","Iratí","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329414' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","17096",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","424105","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. R. Mill",NA,NA,NA,"F. C. Hoehne","1932","05","13","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"NY00424105","NY00424105_01","South America","Jardim Botânico","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402568' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","29555",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","424096","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. Reitz",NA,NA,NA,"R. M. Klein","1962","09","14","Brazil","Santa Catarina","Santa Cecília","-50.4267","-26.9608",NA,NA,"1000","1000","NY00424096","NY00424096_01","South America","Rio Correntes, Santa Cecilia","sheet",NA,"Nesta excicata só masc. Typus novae formae. Isotypus <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402561' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","2998",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","424100","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. Reitz",NA,NA,NA,"R. Reitz","1962","07","11","Brazil","Santa Catarina","Canoinhas","-50.3897","-26.1772",NA,NA,"750","750","NY00424100","NY00424100_01","South America","Horto Florestal I.N.P., Canoinhas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402563' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","13089",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","02710967","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"D. R. Hunt","1966","07","24","Brazil","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,NA,NA,NA,"NY02710967","NY02710967_01","South America","Parque Nacional","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997392' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","6430",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","424104","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. Reitz",NA,NA,NA,"R. Reitz","1958","09","20","Brazil","Santa Catarina","Lauro Muller","-49.3967","-28.3931",NA,NA,"300","300","NY00424104","NY00424104_01","South America","Pinhal da Companhia, Lauro Müller-Uruçanga","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402560' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","7188",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","424116","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","M. H. Nee",NA,NA,NA,"J. N. Rose","1915","07","26","Brazil","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,NA,NA,NA,"NY00424116","NY00424116_01","South America","Vicinity of Itatiaia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329418' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","20427",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","424095","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","L. B. Smith",NA,NA,NA,"L. B. Smith","1956","11","16","Brazil","Santa Catarina","Bom Retiro","-49.4892","-27.7972",NA,NA,"1000","1000","NY00424095","NY00424095_01","South America","Riozinho","sheet",NA,"Sample removed by Shana Weber, 1992 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402569' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","7635",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","424107","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1977","03","29","Brazil","Paraná","Catanduvas","-53.1567","-25.2033",NA,NA,NA,NA,"NY00424107","NY00424107_01","South America","Ibema","sheet",NA,"Sample removed by Shana Weber, 1992 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402570' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","39867",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","424101","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"A. H. Gentry","1985","01","24","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"40","40","NY00424101","NY00424101_01","South America","Rio do Cedro. Forest off Rio Nunes-Guaraqueçaba road","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402575' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","49828",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02711501","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"R. Reitz","1962","07","10","Brazil","Santa Catarina","Canoinhas","-50.3899993896484","-26.1772003173828",NA,NA,"750",NA,"NY02711501","NY02711501_01","South America","Arroios.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3014234' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","13084","50616","auto",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","424106","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. R. Mill",NA,NA,NA,"G. Guala","1990","05","22","Brazil","Santa Catarina","Caçador","-51","-27",NA,NA,"1000","1000","NY00424106","NY00424106_01","South America","Caçador. Floresta Nacional de Caçador, at the headquarters along SC-302","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402576' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","1430",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-18 09:28:41-03","UNESP-IBB","BOTU","9866","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bert.) O. Kunt.",NA,NA,NA,NA,"Sforcin, J.M.","1998","03","18","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU009866","BOTU009866",NA,NA,NA,NA,"Coletada em um jardim. <ll>dwc_commonname:</ll> Pinheiro-do-Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-06-29 11:29:03-03","UFRJ","RFA","36500","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","Marcelo Guerra Santos et all.",NA,NA,NA,"Ana Mayumi G. Tamashiro; Mariana M. M. C. Quinteiro","2007","01","31","Brasil","Rio de Janeiro","Resende","-44.4467010498047","-22.468900680542",NA,NA,NA,NA,"RFA23318",NA,NA,"22°19#?#48,9#?##?#S 44°36#?#52,5#?##?#W alt. 1350m.",NA,NA,"Quinteiro, do Curso de pós-graduação em Ciência Ambiental da Universidade Federal Fluminense, orientada de Moemy Gomes de Moraes.",NA,NA,NA,"36089","auto",NA,NA,NA,NA,NA,NA,NA
"35","2020-11-24 17:11:09-03","UTFPR","DVPR","5979","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","Silva, DR","2018","02","27","Rocha Filho, JA; Piva, J; Machado, C","2018","02","27","Brasil","Paraná","Capanema","-53.3715","-25.3422","-53.3715","-25.3422","329","329","DVPR005979",NA,NA,"Estrada sentido fazenda Ouro Azul, Lajeado dos Borbas.",NA,NA,"Árvore 15 m de altura. Folhas verde-concolores, glabras. Estróbilos imaturos, verdes. Ponto 751.; Árvore meio a cobertura vegetal de atividades agrárias, agricultura.","Pinophyta",NA,"672",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-01-20 14:40:09-03","UPM","MACK","2745","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","F. A. Medeiros","2018","03","12","F. A. Medeiros","2018","03","03","Brasil","SP","São Pedro","-47.9099998474121","-22.5400009155273",NA,NA,NA,NA,NA,NA,NA,"Thermas Water Park",NA,NA,"Pousada dos Chalés",NA,NA,"5","19379","auto",NA,NA,NA,NA,NA,NA,NA
"37","2019-12-04 15:26:44-03","PUCPR","HUCP","8796","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Jaszczerski, JC",NA,NA,NA,"Zanlorenzi, P","1996","05","09","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"HUCP00023965","HUCP00023965",NA,"Santa Felicidade",NA,NA,NA,"Pinidae",NA,"001","25180","auto",NA,NA,NA,NA,NA,NA,NA
"38","2019-12-04 15:26:44-03","PUCPR","HUCP","15688","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2004","05","22","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"HUCP00023519","HUCP00023519",NA,"Vila Isabel",NA,NA,NA,"Pinidae",NA,"052","25180","auto",NA,NA,NA,NA,NA,NA,NA
"39","2019-12-04 15:26:44-03","PUCPR","HUCP","20321","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2009","09","01","Brasil","Paraná","Araucária","-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,"HUCP00023823","HUCP00023823",NA,NA,NA,NA,NA,"Pinidae",NA,"2830","21346","auto",NA,NA,NA,NA,NA,NA,NA
"40","2019-12-04 15:26:44-03","PUCPR","HUCP","24925","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Ribeiro, EB","2016","11","28","Santos, APM","2016","11","10","Brasil","Paraná","Araucária","-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,"HUCP00024925","HUCP00024925",NA,"Escola Padre José Nunes",NA,NA,NA,"Pinidae",NA,"s.n.","21346","auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-12-04 15:26:44-03","PUCPR","HUCP","12502","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Carone, L",NA,NA,NA,"Carone, L","2000","05","23","Brasil","Paraná","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,"HUCP00023809","HUCP00023809",NA,NA,NA,NA,NA,"Pinidae",NA,"019","61623","auto",NA,NA,NA,NA,NA,NA,NA
"42","2019-12-04 15:26:44-03","PUCPR","HUCP","206","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Marina, F","1985","08","20","Marina, F",NA,NA,NA,"Brasil","Paraná","Colombo","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"HUCP00023941","HUCP00023941",NA,"Embrapa",NA,NA,NA,"Pinidae",NA,"025","13536","auto",NA,NA,NA,NA,NA,NA,NA
"43","2019-12-04 15:26:44-03","PUCPR","HUCP","321","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Jaszczerski, JC","1985","07","20","Marino, F",NA,NA,NA,"Brasil","Paraná","Colombo","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,NA,NA,"Embrapa",NA,NA,NA,"Pinidae",NA,"025","13536","auto",NA,NA,NA,NA,NA,NA,NA
"44","2019-12-04 15:26:44-03","PUCPR","HUCP","15639","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Selusniaki, M",NA,NA,NA,"Marques, L","2004","04","14","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"HUCP00023861","HUCP00023861",NA,"Água Verde",NA,NA,NA,"Pinidae",NA,"003","25180","auto",NA,NA,NA,NA,NA,NA,NA
"45","2019-12-04 15:26:44-03","PUCPR","HUCP","23476","S","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Dunaiski, A",NA,NA,NA,"Dunaiski, A","2009","11","15","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"HUCP00023577","HUCP00023577",NA,"Ahú",NA,NA,NA,"Pinidae",NA,"3942","25180","auto",NA,NA,NA,NA,NA,NA,NA
