"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","typeStatus"
"11","2021-03-30 12:53:37-03","EAO","IAN","64993","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"Servico de Peste","47421","1947","01",NA,"Southern America","Brasil","Minas Gerais",NA,"Arredores de Diamantina.",NA,NA,NA,NA,"IAN064993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:53:37-03","EAO","IAN","65710","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Kuhlmann, M","Moogen, J","s.n.",NA,NA,NA,"Southern America","Brasil","Paraná",NA,"Parque Iguassú.",NA,NA,NA,NA,"IAN065710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:53:37-03","EAO","IAN","99121","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Black, GA","Andrade-Lima, D de","1184","1952","11","11","Southern America","Brasil","Pernambuco",NA,"Gurjaú. Mata.",NA,NA,NA,"Flores mais ou menos arroxeadas.","IAN099121",NA,NA,NA,"1955","02",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-02-15 11:48:00-02","IPA","IPA","5497","S","Plantae","Plantae",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Black, G.A.","Andrade-Lima","1184","1952","11","11","Southern America","Brasil","Pernambuco",NA,"Mata, gurjaú.",NA,NA,NA,"Flor mais ou menos arroxeada.","IPA0005497",NA,NA,NA,"1955","02",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:19:00-03","UFV","VIC","45124","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"Santos-Gonçalves, A.P.; Costa, C.J.","651","2013","05","01",NA,"Brasil","Bahia","Apuarema","Estrada lateral à BR101","-39.7439002990723","-13.8563995361328",NA,"Bambu ocorrendo em borda e interior de floresta conservada. todos os individuos avistados em florescimento atingindo ca. de 8m de altura. Colmo: entrenós cam ca. 34cm de comprimento e 4cm de diâmetro. Entrenó escabroso.","VIC045124",NA,NA,NA,NA,NA,"13543","auto",NA,NA,NA,NA,NA,NA
"16","2020-12-20 21:19:00-03","UFV","VIC","45125","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"Santos-Gonçalves, A.P.; Costa, C.J.","651","2013","05","01",NA,"Brasil","Bahia","Apuarema","Estrada lateral à BR101","-39.7439002990723","-13.8563995361328",NA,"Bambu ocorrendo em borda e interior de floresta conservada. Todos os individuos avistados em florescimento, atingindo ca. de 8m de altura. Colmo: entrenós com ca. 34cm do comprimento e 4cm de diametro. Entrenó escabroso.","VIC045125",NA,NA,NA,NA,NA,"13543","auto",NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:42:50-03","UFJF","CESJ","9803","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R.M.Pereira","L. Krieger","CESJ9803","1970","12","28","América do Sul","Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,"Na mata (taquaral), flor e frutos. Mat. fixado: caule novo, folha, flor e frutos.","CESJ009803",NA,NA,NA,"1976","07","46557","auto","08",NA,NA,NA,NA,NA
"18","2019-11-21 14:42:50-03","UFJF","CESJ","70076","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","S. Honda; G.M.P. Ferreira","F. Spina; V. Martuscelli","s.n.","2012","03","21","América do Sul","Brasil","São Paulo","São Paulo","APA Capivari-Monos, Aldeia Indígena Tenondé-Porã","-46.6300010681152","-23.5400009155273",NA,"Planta bambusóide entouceirada, 5 a 6m alt. Espiguetas presentes.","CESJ070076",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
"19","2019-08-20 10:01:25-03","UNICAMP","UEC","46276","S","Plantae","Liliopsida",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Shirasuna, RT","Gentry, A","59079","1987","09","05",NA,"Brazil","São Paulo","Campinas","Santa Genebra Forest Reserve, Barão Geraldo.&nf;Disturbed semideciduous forest.&nf;Transect 5.","-46.083333","-22.866667",NA,"Subscandent bamboo, 1 dbh, sterile.","UEC063236","UEC063236",NA,NA,"2011","03",NA,NA,"25","-46.083333","-22.866667",NA,NA,NA
"20","2021-03-01 16:20:32-03","UNICAMP","UEC","194379","S","Plantae","Liliopsida",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Borges, LG","Borges, LG; Silva, C","2","2017","01","18",NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM Serra do Mar núcleo Santa Virgínia",NA,NA,NA,"Planta com 3m","UEC131285",NA,NA,NA,"2017","01",NA,NA,"18",NA,NA,NA,NA,NA
"21","2021-03-01 16:20:32-03","UNICAMP","UEC","197242","S","Plantae","Liliopsida",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Padgurschi, MCG","Padgurschi, MCG; Bakker, YV","1856","2016","04","08",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Floresta Ombrófila Densa Montana","-45.05","-23.283333",NA,"Parcela em estádio avançado de regeneração (sem intervenção há pelo menos 40 anos)","UEC140543","UEC140543","100","100","2016","04",NA,NA,NA,"-45.05","-23.283333",NA,NA,NA
"22","2021-03-01 16:20:32-03","UNICAMP","UEC","197244","S","Plantae","Liliopsida",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Padgurschi, MCG","Padgurschi, MCG","1858","2016","12","22",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Floresta Ombrófila Densa Montana","-45.05","-23.283333",NA,"Borda da trilha, trilha aberta (passagem de carro). Flores diminutas com amadurecimento das partes feminina e masculina concomitante. Estigma plumoso, branco.","UEC140541","UEC140541","100","100","2016","12",NA,NA,NA,"-45.05","-23.283333",NA,NA,NA
"23","2019-11-19 14:08:51-03","UFRPE","PEUFR","501","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","G. Black","D.A. Lima","1184","1952","11","11",NA,"Brasil","Pernambuco","Cabo de Santo Agostinho","mata de Gurjaú","-35.0349998474121","-8.28666973114014",NA,"Flores +/- arroxeadas","PEUFR000501",NA,NA,NA,"1955","02","25282","auto",NA,NA,NA,NA,NA,NA
"24","2020-04-22 16:26:49-03","UFPB","JPB","57493","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"Maciel, JR; Amorim, BS; Cavalcanti, D; Melo, AV de","1928","2014","04","29","Southern America","Brasil","Pernambuco","Jaqueira","RPPN Frei Caneca, Mata do Jasmim. Floresta submontana.","-35.842222","-8.725556",NA,"; HABITAT: Terrícola.; DESC: Touceira com 20-30 ramos, colmo verde-escuro, atingindo 6m altura, apoiante na vegetação.","JPB0057493",NA,"620","620",NA,NA,NA,NA,NA,"-35.842222","-8.725556",NA,NA,NA
"25","2020-12-21 16:40:34-03","MBM","MBM","159239","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"Stubblebine, W.H.; et al.; et al.","551",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Poços de Caldas","Mata da Colina","-46.5614013671875","-21.7877998352051",NA,NA,"MBM159239","MBM159239",NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:40:34-03","MBM","MBM","254345","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Pereira, R.M.","Krieger, L.","9803",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"MBM254345","MBM254345",NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
"27","2020-12-11 11:45:10-03","UFMG","BHCB","154503","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"Mota, NFO; Giacomin, LL; Resende, VL","2492","2012","02","10","Southern America","Brasil","Santa Catarina","São Bento do Sul","CEPA, Rugendas (Reserva da Univille)","-49.308889","-26.323056",NA,"Bambu com colmos adultos com cerca de 1,5 cm de raio, eretos a apoiantes, verdes a amarelos. Entrenós variando de 30 cm a 1,2 cm de comprimento. Floração em massa. Espiguetas vinaceas; Floresta Ombrófila Densa Montana","BHCB046619",NA,"670","670","2018","07",NA,NA,"03","-49.308889","-26.323056",NA,NA,NA
"28","2014-09-29 11:54:00-03","MO","MOBOT","100351930","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"Talmon S. dos Santos|Thomas R. Soderstrom|et al.","Santos 3912","1983","10","21","South America","Brazil","Bahia","Ilhéus","São José. Mata higrófila, secondary.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,"1",NA,NA
"29","2017-07-13 05:17:00-03","MO","MOBOT","1948090","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","A.P. Santos-Gonçalves & R. da Silva (VIC)","Fernando O. Zuloaga|Gustavo Martinelli|Marcelo D. Vázquez Á.","Zuloaga 2394","1985","5","3","South America","Brazil","Rio de Janeiro","Petrópolis","Floresta sob Regime de Preservacão Permanente do IBDF, entre Vale dos Princesas y Rocío.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"1000.00000000","1200.00000000",NA,NA,"36524","auto",NA,NA,NA,"1",NA,NA
"30","2014-09-26 14:39:00-03","MO","MOBOT","1948162","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","A.P. Santos-Gonçalves & R. da Silva (VIC)","A.B. Joly","Joly 8450","1948","6","14","South America","Brazil","São Paulo","Santo André","Alto da Serra.","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA,"1",NA,NA
"31","2015-07-24 10:17:00-03","MO","MOBOT","100833382","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Shirasuna","M. R. Pace|B.L.P. Villagra","Pace 177","2012","2","2","South America","Brazil","São Paulo","Santo André","Reserva Biológica do Alto da Serra de Paranapiacaba. Trilha 17. Floresta Ombrófila Densa Montana.","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA,"1",NA,NA
"32","2010-08-24 09:46:00-03","MO","MOBOT","244983","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"F. Sellow","Sellow s.n.","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2014-09-26 14:34:00-03","MO","MOBOT","100351935","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","A.P. Santos-Gonçalves & R. da Silva (VIC)","Moysés Kuhlmann","Kuhlmann s.n.","1948","2","27","South America","Brazil","São Paulo",NA,"Paranapiacaba, mata da Estacão Biológica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"34","2014-09-29 11:29:00-03","MO","MOBOT","1156870","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R.T. Shirasuna (SP)","Lynn G. Clark|M. Morel","Clark 830","1991","2","25","South America","Brazil","São Paulo","Salesópolis","Estacão Biológica Boraceia/Reserva Hidrológica do Rio Claro-SABESP, trail to Campos da Boraceia.","-45.9","-22.6",NA,NA,NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"35","2017-11-24 14:12:06-02","UFLA","ESAL","12387","S","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"Vilela, EA; et al.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Madre de Deus","Fazenda Patrimônio",NA,NA,NA,"; 12.0; ;; floresta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-11-24 14:12:06-02","UFLA","ESAL","2379","S","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","S.C. Pereira","W. H. Stubblebine; et al.","551",NA,NA,NA,NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,"; ; ;",NA,NA,NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA
"37","2020-09-25 10:39:14-03","UFPE","UFP","214","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","neesii","Merostachys neesii","Rupr vel aff.","George, Black","Lima, A","UFP1184","1952","11","11",NA,"Brasil","Pernambuco","Gurjaú",NA,NA,NA,NA,"Flor mais ou menos arroxeada.; Flor mais ou menos arroxeada.","UFP000214",NA,NA,NA,"1955","02",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"T. S. Santos & T. R. Soderstrom","3912","1983","10","21","South America - Neotropics","Brazil","Bahia",NA,"Llheus, sao jose, near salobrinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"39","2020-09-12 05:00:02-03","US","US","2925818","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","C. E. Calderón","2376","1976","4","11","South America - Neotropics","Brazil","Bahia","Jaguaquara","Jaguaquara, apuarema","-39.9707984924316","-13.5305995941162",NA,NA,"US00029008","US00029008_01","550","550",NA,NA,"34448","auto",NA,NA,NA,"1","Monocotyledonae",NA
"40","2020-09-12 05:00:02-03","US","US","1503518","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"H. Luederwaldt","22354","1915","12",NA,"South America - Neotropics","Brazil","São Paulo",NA,"Ypiranga",NA,NA,NA,NA,"US00026446","US00026446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"41","2020-09-12 05:00:02-03","US","US","2678695","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"M. Kuhlmann & J. F. Toledo","3149","1948","3","10","South America - Neotropics","Brazil","São Paulo",NA,"Jardim botanico; sao paulo",NA,NA,NA,NA,"US00026448","US00026448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"42","2020-09-12 05:00:02-03","US","US","2722793","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","C. E. Calderón & R. S. Pinheiro","2257","1972","3","8","South America - Neotropics","Brazil","Bahia","Jaguaquara","Riacho de ouro","-39.9707984924316","-13.5305995941162",NA,NA,"US00026416","US00026416_01","625","625",NA,NA,"34448","auto",NA,NA,NA,"1","Monocotyledonae",NA
"43","2020-09-12 05:00:02-03","US","US","3312624","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"T. S. Santos & T. R. Soderstrom","3912","1983","10","21","South America - Neotropics","Brazil","Bahia",NA,"Llheus, sao jose, near salobrinho",NA,NA,NA,NA,"US00519931","US00519931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"44","2020-09-12 05:00:02-03","US","US","79087","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"F. Sellow","s.n.",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,"[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,NA,"Photograph and fragmentary material of type specimen ex herb. Trin.","US00134261","US00134261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae","Type collection"
"45","2020-09-12 05:00:02-03","US","US","2982150","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","T. Da Silva","s.n.","1980","1","15","South America - Neotropics","Brazil","São Paulo",NA,"Parque do estado, instituto de botanica, sao paulo",NA,NA,NA,NA,"US00007334","US00007334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"46","2020-09-12 05:00:02-03","US","US","2810424","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","T. R. Soderstrom","2154","1976","4","20","South America - Neotropics","Brazil","Bahia","Ubaitaba","Ubaitaba, br-101, fazenda santa rita","-39.323299407959","-14.3125",NA,NA,"US00029011","US00029011_01","150","200",NA,NA,"27575","auto",NA,NA,NA,"1","Monocotyledonae",NA
"47","2020-09-12 05:00:02-03","US","US","2982153","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","T. Da Silva","s.n.","1980","1","15","South America - Neotropics","Brazil","São Paulo",NA,"Parque do estado, instituto de botanica, sao paulo",NA,NA,NA,NA,"US00007333","US00007333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"48","2020-09-12 05:00:02-03","US","US","2722794","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","C. E. Calderón & R. S. Pinheiro","2257","1972","3","8","South America - Neotropics","Brazil","Bahia","Jaguaquara","Riacho de ouro","-39.9707984924316","-13.5305995941162",NA,NA,"US00026417","US00026417_01","625","625",NA,NA,"34448","auto",NA,NA,NA,"1","Monocotyledonae",NA
"49","2020-09-12 05:00:02-03","US","US","3312625","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.",NA,"T. S. Santos & T. R. Soderstrom","3912","1983","10","21","South America - Neotropics","Brazil","Bahia",NA,"Llheus, sao jose, near salobrinho",NA,NA,NA,NA,"US00519932","US00519932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"50","2020-09-12 05:00:02-03","US","US","2982151","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","T. Da Silva","s.n.","1980","1","15","South America - Neotropics","Brazil","São Paulo",NA,"Parque do estado, instituto de botanica, sao paulo",NA,NA,NA,NA,"US00007331","US00007331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"51","2020-09-12 05:00:02-03","US","US","2992807","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","F. A. McClure","21294","1943","11","8","South America - Neotropics","Brazil","São Paulo",NA,"Estacao biologica do alto da serra",NA,NA,NA,NA,"US00028923","US00028923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"52","2020-09-12 05:00:02-03","US","US","2722791","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","C. E. Calderón & R. S. Pinheiro","2257","1972","3","8","South America - Neotropics","Brazil","Bahia","Jaguaquara","Riacho de ouro","-39.9707984924316","-13.5305995941162",NA,NA,"US00026414","US00026414_01","625","625",NA,NA,"34448","auto",NA,NA,NA,"1","Monocotyledonae",NA
"53","2020-09-12 05:00:02-03","US","US","2953858","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","Vinicius-Silva, R.","R. Kummrow","1372","1980","7","16","South America","Brazil","Paraná","Guaratuba","Rio da santa","-48.5746994018555","-25.8827991485596",NA,NA,"US00007329","US00007329_01",NA,NA,NA,NA,"41937","auto",NA,NA,NA,"1","Monocotyledonae",NA
