"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount"
"11","2019-11-06 09:55:55-03","UFOP","OUPR","17885","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Lisboa, M.A.","s.n.",NA,"Brasil","Minas Gerais","Casa Branca, Fazenda da Cachoeira.",NA,"Anomalia 35.",NA,NA,"Harley, R.M.","1973","12","04","Moeda","-44.0527992248535","-20.3330993652344","14750","auto","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-27 15:51:34-03","MNHN","RECOLNAT_MNHN_P","P00076054","PreservedSpecimen",NA,NA,NA,"Verbenaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.","isotype","Glaziou, A.",NA,NA,"Brésil",NA,"Minas, Caraça","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00076054' target='other'> <mi>dwc_moreinfo</mi></a>","P00076054","P00076054_01","Harley","1884","6","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15332",NA,NA,NA,NA
"13","2015-09-27 15:51:42-03","MNHN","RECOLNAT_MNHN_P","P00076055","PreservedSpecimen",NA,NA,NA,"Verbenaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.","isotype","Glaziou, A.",NA,NA,"Brésil",NA,"Minas, Caraça","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00076055' target='other'> <mi>dwc_moreinfo</mi></a>","P00076055","P00076055_01","Harley","1884","6","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15332",NA,NA,NA,NA
"14","2015-09-03 22:02:54-03","MNHN","RECOLNAT_MNHN_P","P00076056","PreservedSpecimen",NA,NA,NA,"Verbenaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"Minas, Caraça","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00076056' target='other'> <mi>dwc_moreinfo</mi></a>","P00076056","P00076056_01 P00076056_02","Harley","1884","2","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2014-01-07 13:01:53-02","MNHN","RECOLNAT_MNHN_P","P00737286","PreservedSpecimen",NA,NA,NA,"Verbenaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.","isotype","Glaziou, A.",NA,NA,"Brésil",NA,"Minas, Caraça","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737286' target='other'> <mi>dwc_moreinfo</mi></a>","P00737286","P00737286_01",NA,"1884","6","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15332",NA,NA,NA,NA
"16","2020-12-11 11:36:53-03","UFMG","BHCB","191102","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Quaresma, AS; Meyer, PB","893","Southern America","Brasil","Minas Gerais",NA,NA,"Campo sujo","BHCB191102",NA,NA,"2018","05","02","Nova Lima","-43.96195","-20.114472",NA,NA,"2018","06","10",NA,NA,NA,"-43.96195","-20.114472",NA,NA
"17","2020-12-11 11:36:53-03","UFMG","BHCB","99696","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Mota, RC da","3030","Southern America","Brasil","Minas Gerais","Serra do Caraça.",NA,"Arbusto; flores arroxeadas.; Planta coletada em campo rupestre na subida do Pico do Sol","BHCB010490",NA,NA,"2006","04","18","Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto","2015","02","11",NA,NA,NA,NA,NA,NA,NA
"18","2021-02-11 17:19:16-03","UFPR","UPCB","28380","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Pereira, E.","8216",NA,"Brasil","Minas Gerais","Estrada para Ouro Preto, km 44",NA,"Arbusto, 1m, flor alva..",NA,NA,"Harley, R.M.","1964","09","13",NA,NA,NA,NA,NA,"1996","01","01",NA,NA,NA,NA,NA,NA,NA
"19","2020-09-04 16:38:11-03","FVD","FVD","44","MachineObservation","Plantae",NA,NA,"Lamiaceae","Hyptis","cf. rhypidiophylla","Hyptis cf. rhypidiophylla","Briq.",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra de Ouro Branco",NA,"Subarbusto de 70 cm de altura. Altitude e coordenadas geográficas aproximadas.; Domínio fitogeográfico: Cerrado; Vegetação: Campo rupestre","FVD00044","FVD00044_v1 FVD00044_v2 FVD00044_v3","V.A.O. Dittrich","2012","04","24","Ouro Branco","-43.716389","-20.488889",NA,NA,"2012","05",NA,"1520","1520",NA,"43°42'59W","20°29'20S",NA,NA
"20","2020-09-12 05:00:02-03","US","US","1110402","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.","Isotype","A. F. M. Glaziou","15332","South America - Neotropics","Brazil","Minas Gerais","Serra de Caraga.",NA,NA,"US00118906","US00118906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"21","2020-09-12 05:00:02-03","US","US","1199798","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"E. H. Ule","14880","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US02886075","US02886075_01",NA,"1892","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"22","2020-09-12 05:00:02-03","US","US","1110402","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Stachytarpheta","caracana","Stachytarpheta caracana","Glaz.","Isotype","A. F. M. Glaziou","15332","South America - Neotropics","Brazil","Minas Gerais","Serra do Caraca.",NA,NA,"US00118906","US00118906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"23","2019-11-13 11:20:48-03","USP","SPF","222627","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Forzza, RC","6389",NA,"Brasil","Minas Gerais","Serra do Ouro Branco",NA,NA,"SPF00222627",NA,"Harley, RM","2011","05","18","Ouro Branco","-43.697222","-20.488611",NA,NA,"2017","09",NA,"1384","1384",NA,"-43.697222","-20.488611",NA,NA
"24","2019-11-13 11:20:48-03","USP","SPF","64486","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Pirani, JR","CFCR11188",NA,"Brasil","Minas Gerais","Serra do Ouro Branco",NA,NA,"SPF00064486","SPF00064486","Harley, RM","1987","07","24","Ouro Branco","-43.716667","-20.483333",NA,NA,NA,NA,NA,"1500","1500",NA,"-43.716667","-20.483333",NA,NA
"25","2019-11-13 11:20:48-03","USP","SPF","65363","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Martens, LA","81",NA,"Brasil","Minas Gerais","Serra da Moeda",NA,NA,"SPF00065363","SPF00065363","Harley, RM","1989","08",NA,"Brumadinho","-44.216667","-20.133333",NA,NA,"2005","06",NA,"1400","1400",NA,"-44.216667","-20.133333",NA,NA
"26","2019-11-13 11:20:48-03","USP","SPF","75714","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Arbo, MM","3962",NA,"Brasil","Minas Gerais","Serra do Ouro Branco",NA,NA,"SPF00075714","SPF00075714","Harley, RM","1990","02","12","Ouro Branco","-43.683333","-20.466667",NA,NA,"2004","04",NA,"1200","1500",NA,"-43.683333","-20.466667",NA,NA
"27","2019-11-13 11:20:48-03","USP","SPF","95333","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Lisboa, M","s.n.",NA,"Brasil","Minas Gerais",NA,NA,NA,"SPF00095333","SPF00095333","Harley, RM","1973","12","04","Moeda","-44.0527992248535","-20.3330993652344","14750","auto","1991","01",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-01-14 12:01:43-03","USP","SPF","231206","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Souza, VC","32226",NA,"Brasil","Minas Gerais",NA,NA,NA,"SPF00231206",NA,"Antar, GM","2004","07","21","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto","2017","05",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-13 11:20:48-03","USP","SPF","83278","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Braga, MMN","13688",NA,"Brasil","Minas Gerais","Serra do Ouro Branco",NA,NA,"SPF00083278","SPF00083278","Harley, RM","1988","07","29","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-13 11:20:48-03","USP","SPF","32508","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Pirani, JR","698",NA,"Brasil","Minas Gerais","Serra do Caraça",NA,NA,"SPF00032508","SPF00032508","Harley, RM","1983","05","27","Santa Bárbara","-43.4152984619141","-19.959400177002","33136","auto","2017","09",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-07 09:16:19-03","UEFS","HUEFS","26959","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Braga, M.M.N.","CESJ25252",NA,"Brasil","Minas Gerais","Serra do Ouro Branco.",NA,"Campo rupestre.","HUEFS0026959","HUEFS0026959",NA,"1988","07","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA
"32","2019-10-07 09:16:19-03","UEFS","HUEFS","91978","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Ule, E.","2673",NA,"Brasil","Minas Gerais","Serra de Caraça.",NA,NA,"HUEFS0091978","HUEFS0091978","R.M.Harley","1892","03",NA,NA,NA,NA,NA,NA,"2007","05",NA,NA,NA,NA,NA,NA,"Asteranae",NA
"33","2019-09-04 18:18:16-03","F","FMNH-SEEDPLANTS","V0074447F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Verbenaceae","Stachytarpheta","caracana","Stachytarpheta caracana",NA,"Isotype","A. Glaziou","15332","South America","Brazil",NA,NA,NA,NA,"V0074447F","V0074447F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"34","2014-09-23 10:58:02-03","G","G","G00438000","S","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.","HOLOTYPUS of Hyptis rhypidiophylla Briq.","Glaziou, A. F. M.","15332","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00438000",NA,"Harley, R. M.","1885",NA,"00",NA,"-42.9125","-22.48222222",NA,NA,"1982","01","01",NA,NA,NA,"-42.9125","-22.48222222",NA,NA
