"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","occurrenceRemarks","class","coordinatePrecision","geoFlag","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","812779","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","J. T. Mickel",NA,NA,NA,"T. S. dos Santos","360","1969","01","30","Brazil","Bahia",NA,"Itajú do Colônia, km 3 da estrada Itajú a Santa Cruz da Vitória.",NA,NA,NA,NA,"NY00812779","NY00812779_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807766' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","812781","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","J. T. Mickel",NA,NA,NA,"M. F. F. da Silva","1032","1983","04","09","Brazil","Maranhão","Santa Luzia","Localidade Bom Jesus (CEM), penetração à margem direita da BR 222 em frente ao km 100, a 12km da rodovia, fazenda Codominas, às margens do Rio dos Santos. 3,86m delat.","-45.6581","-3.9633",NA,NA,"NY00812781","NY00812781_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807771' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4058568","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"R. M. Tryon","5626","1961","02","12","Suriname",NA,NA,"Paramaribo and vicinity. Moko-Moko swamp, 28 km south of P.",NA,NA,NA,NA,"NY04058568","NY04058568_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366625' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4058569","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"R. M. Tryon","5626","1961","02","12","Suriname",NA,NA,"Paramaribo and vicinity. Moko-Moko swamp, 28 km south of P.",NA,NA,NA,NA,"NY04058569","NY04058569_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366626' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4058567","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"R. M. Tryon","5626","1961","02","12","Suriname",NA,NA,"Paramaribo and vicinity. Moko-Moko swamp, 28 km south of P.",NA,NA,NA,NA,"NY04058567","NY04058567_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366624' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4058564","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"G. S. Jenman","s.n.","1899",NA,NA,"Guyana",NA,NA,"Demerara, British Guiana. Coast region, near shore.",NA,NA,NA,NA,"NY04058564","NY04058564_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366621' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","812750","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","J. Prado",NA,NA,NA,"J. P. P. Carauta","5249","1986","02","04","Brazil","Rio de Janeiro",NA,"Piraí, Reservatório de Vigário.",NA,NA,NA,NA,"NY00812750","NY00812750_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807695' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1009398","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","J. Prado",NA,NA,NA,"F. C. Hoehne","4104","1955","05","15","Brazil","São Paulo","Sao Vicente",NA,"-46.3897","-23.96",NA,NA,"NY01009398","NY01009398_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1746272' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02565661","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"D. F. Austin","7210","1979","10","24","Brazil","Amapá",NA,"Campo Verde, fazenda do Sr. Wolf.","-51.9517","0.7772",NA,NA,"NY02565661","NY02565661_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823082' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","4058565","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"G. S. Jenman","s.n.","1897",NA,NA,"Guyana",NA,NA,"Demerara, British Guyana. Coast Region.",NA,NA,NA,NA,"NY04058565","NY04058565_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366622' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","4058573","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"C. H. Dodson","14566","1984","07","28","Ecuador","Esmeraldas",NA,"La Tola, km 130 Norte de Esmeraldas. En manglares al sur de la ciudad y a lado de la carretera.",NA,NA,NA,NA,"NY04058573",NA,NA,"5","Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366630' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1018213","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"S.L. de S. Winter","191","2004","07","05","Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico. Crescendo dentro do Lago Frei Leandro.","-43.2075","-22.9031",NA,NA,"NY01018213","NY01018213_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250785' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","4058570","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"M. H. Nee","53638","2005","12","04","Bolivia","Santa Cruz","Ignacio Warnes","21 km NE of Santa Cruz-Warnes highway, on road past Candelaria and towards Nueva Esperanza, 2 km NE of Chimbote.","-62.9928","-17.4703",NA,NA,"NY04058570",NA,"300",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366627' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","4058558","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"J. J. Copeland","s.n.","1972","07","17","Trinidad and Tobago",NA,NA,"Trinidad. Nariva Swamp",NA,NA,NA,NA,"NY04058558","NY04058558_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366615' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","4058576","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"M. A. Sundue","698","2002","04","21","Bolivia","Santa Cruz","Andrés Ibáñez","4.3 km (by dirt road) NW of bridge over Río Piraí at La Bélgica.","-63.245","-17.5233",NA,NA,"NY04058576",NA,"370",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366633' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","4058577","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"N. Ritter","3891","1996","11","19","Bolivia","El Beni","Cercado","City of Trinidad. Roadside marsh. Alongside the road between the city and the airport; ca. 0.5 km SE of the entrance to the airport.","-64.9175","-14.8272",NA,NA,"NY04058577",NA,"175",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366634' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","812782","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","B. Øllgaard",NA,NA,NA,"L. B. Holm-Nielsen","25227","1980","08","30","Ecuador","Esmeraldas",NA,"San Lorenzo - Limones at Machetajero.","-78.88","1.25",NA,NA,"NY00812782","NY00812782_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807773' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","2481039","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"N. Ritter","2787","1996","01","14","Bolivia","Santa Cruz","Andrés Ibáñez","City of Santa Cruz. A large (ca. 10-15 hectares) wetland complex, across the highway from the international airport.","-63.17","-17.65",NA,NA,"NY02481039",NA,"430",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2729264' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","4058566","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"G. S. Jenman","s.n.","1897",NA,NA,"Guyana",NA,NA,"Demerara, British Guyana. Coast Region.",NA,NA,NA,NA,"NY04058566","NY04058566_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366623' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","4058562","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"G. S. Jenman","s.n.","1897",NA,NA,"Guyana",NA,NA,"Demerara, British Guyana. Coast Region.",NA,NA,NA,NA,"NY04058562","NY04058562_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366619' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1016652","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","J. Prado",NA,NA,NA,"Collector unspecified","s.n.",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"NY01016652","NY01016652_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180969' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","03698391","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"M. H. Nee","57360","2010","12","23","Bolivia","Santa Cruz","Sara","western outskirts of La Bélgica.","-63.2328","-17.5703",NA,NA,"NY03698391",NA,"362",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3984638' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","03698390","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"M. H. Nee","57360","2010","12","23","Bolivia","Santa Cruz","Sara","western outskirts of La Bélgica.","-63.2328","-17.5703",NA,NA,"NY03698390",NA,"362",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3984637' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","4058572","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"R. Espinosa","E1879","1947","08","28","Ecuador",NA,NA,"Río Amarillo.",NA,NA,NA,NA,"NY04058572",NA,"1000",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366629' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","4058571","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"M. H. Nee","33729","1987","01","22","Bolivia","Santa Cruz","Andrés Ibáñez","W side of Santa Cruz, brushy floodplain of Río Pirai","-63.2","-17.78",NA,NA,"NY04058571",NA,"400",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366628' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","812755","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","J. Prado",NA,NA,NA,"H. Luederwaldt","s.n.","1914","06",NA,"Brazil","São Paulo",NA,"Piassaguéra, Santos.","-46.387953","-23.873871",NA,NA,"NY00812755","NY00812755_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=262619' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","812780","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","S. M. Silva; M. Borgo",NA,NA,NA,"M. Borgo","307","1998","12","17","Brazil","Paraná","Guaratuba","Ilha da Paca.","-48.58","-25.88",NA,NA,"NY00812780","NY00812780_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807770' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","02565660","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"M. F. F. da Silva","1032","1983","04","09","Brazil","Maranhão","Santa Luzia","Localidade Bom Jesus (CEM), penetração à margem direita da BR 222 em frente ao km 100, a 12km da rodovia, fazenda Codominas, às margens do Rio dos Santos. 3,86m delat.","-45.6581","-3.9633",NA,NA,"NY02565660","NY02565660_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823081' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","674944","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"J. S. de la Cruz","3216","1922","12","17","Guyana",NA,NA,"Pomeroon River, Pomeroon District.","-58.61143","7.413225",NA,NA,"NY00674944",NA,NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815688' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","02104158","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","R. C. Moran; F. B. Matos",NA,NA,NA,"L. Nusbaumer","4084","2014","05","20","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, localité de Quebrangulo.","-36.439834","-9.252708",NA,NA,"NY02104158","NY02104158_01","660",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2625045' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","4058578","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"M. A. Sundue","698","2002","04","21","Bolivia","Santa Cruz","Andrés Ibáñez","4.3 km (by dirt road) NW of bridge over Río Piraí at La Bélgica.","-63.245","-17.5233",NA,NA,"NY04058578",NA,"370",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366635' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","4058561","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"G. S. Jenman","s.n.","1897",NA,NA,"Guyana",NA,NA,"Demerara, British Guyana. Coast Region.",NA,NA,NA,NA,"NY04058561","NY04058561_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","674482","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"J. N. Rose","20731","1915","08","09","Brazil","Rio de Janeiro",NA,"Milo Pecanha.",NA,NA,NA,NA,"NY00674482","NY00674482_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812107' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
