"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"11","2020-06-29 11:28:59-03","UFRJ","RFA","24330","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","C.M.Vieira","F.M.de B. Pereira","377","2000","05","03",NA,"Brasil","Minas Gerais","Itamonte","Distrito Dois Irmãos Comarca de Itanhandú Fazenda dos Dois Irmãos.","-44.8699989318848","-22.283899307251","1400","1400",NA,"Trepadeira de flores amarelas.","RFA32474",NA,NA,NA,NA,"2000","05","22","26914","auto",NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:34:15-03","EAO","IAN","104497","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss","Barreto, M","Magalhães, MG","2284","1942","11","23","Southern America","Brasil","Minas Gerais","Jaboticatuba","Capoeirinha em depressão profunda do terreno. Serra do Charco.",NA,NA,NA,NA,NA,"Arbusto de 0,80-1,50m de altura, esparsas; flor alva.","IAN104497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:34:15-03","EAO","IAN","14384","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss","Barreto, M","Magalhães, MG","2284","1942","11","23","Southern America","Brasil","Minas Gerais","Jaboticatuba","Capoeirinha em depressão profunda do terreno. Serra do Charco.",NA,NA,NA,NA,NA,"Arbusto de 0,80-1,50m de altura, esparsas; flor alva.","IAN014384","IAN014384 IAN014384_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:34:18-03","EAO","IAN","60833","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aquifoliaceae","Ilex","virgata","Ilex virgata","Loes.",NA,"Glaziou, AFM","883",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN060833","IAN060833 IAN060833_e IAN060833_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-01-20 14:40:08-03","UPM","MACK","37","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","M.L.Brotto","M. J. Robim; S. Xavier","757","1993","01","06",NA,"Brasil","SP","Campos do Jordão","Parque Estadual, trilha do Rio Sapucaí, no campo","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","08","15","21048","auto",NA,NA,NA,NA,NA,NA
"16","2019-12-04 15:24:43-03","PUCPR","HUCP","22140","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Cordeiro, J; Lozano, E","Lozano, E; Selusniaki, M","569","2011","04","30",NA,"Brasil","Paraná","Campina Grande do Sul","Morro Getúlio","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"HUCP00005201","HUCP00005201",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:24:43-03","PUCPR","HUCP","19162","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Selusniaki, M","Selusniaki, M","1109","2006","03","15",NA,"Brasil","Paraná","Antonina","Pico Paraná","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008",NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:24:43-03","PUCPR","HUCP","19967","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Selusniaki, M","Selusniaki, M; Beltrami, L","1958","2007","12","09",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA
"19","2019-12-04 15:24:43-03","PUCPR","HUCP","19747","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Selusniaki, M","Selusniaki, M","2199","2008","07","14",NA,"Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"20","2019-12-04 15:24:43-03","PUCPR","HUCP","10559","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Schiesinsky, D","Schiesinsky, D","024","1992","10","10",NA,"Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"HUCP00018431","HUCP00018431",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
"21","2019-12-04 15:24:43-03","PUCPR","HUCP","19927","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Brotto, M","Brotto, M","084","2008","03","16",NA,"Brasil","Paraná","Tijucas do Sul",NA,"-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA
"22","2019-12-04 15:24:43-03","PUCPR","HUCP","19954","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Santos, EP","Santos, EP","1073","2001","10","24",NA,"Brasil","Paraná","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"HUCP00004001","HUCP00004001",NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA
"23","2019-12-04 15:24:43-03","PUCPR","HUCP","20191","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Selusniaki, M","Selusniaki, M","2589","2009","03","18",NA,"Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00003467","HUCP00003467",NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"24","2019-12-04 15:24:43-03","PUCPR","HUCP","19715","S","Plantae","Eudicotiledonea",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek.","Selusniaki, M","Selusniaki, M","2109","2008","05","17",NA,"Brasil","Paraná","Tijucas do Sul","Morro dos Perdidos","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA
"25","2020-11-26 18:07:05-03","CPAN-UFMS","COR","10488","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","S. Andrews","Cordeiro, J.; Silva, J. M.; Barbosa, E.; Ribas, O. S.","1733","1999","12","28",NA,"Brasil","Santa Catarina","Campo Alegre","Subida a Serra Quiriri","-49.2655982971191","-26.1924991607666","1500","1500",NA,"Arbusto com 1,2m de altura; flor alva Habito: Arbusto",NA,NA,NA,NA,NA,"2002",NA,NA,"37493","auto",NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:09:21-03","UFBA","ALCB","033072","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss.","Coelho, GC","Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","PCD1050","1994","10","26","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio, campos aberto e rupestre","-41.470833","-12.455556","1080","1080",NA,"5,0 m. Folhas simples. Flores com corola alva. Frequente.; Vegetação de campo aberto sobre pedras. Afloramento rochoso de arenito.",NA,NA,NA,"-41.470833","-12.455556","1998","07","31",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:09:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss.","Barbosa, E; Cordeiro, J","Ribas, OS; Cordeiro, J; Silva, JM; Marinero, F","7182","2006","04","10","Southern America","Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, trilha para o pico Caratuva","-49","-25.3",NA,NA,NA,"4 m. Flor alva.; da Serra do Mar, encosta do morro.",NA,NA,NA,"-49","-25.3","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:09:21-03","UFBA","ALCB","033204","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss.","Coelho, GC","Guedes, ML; Funch, L; Santos, ES; Paraguassu, A; Silva, MP da; Argôlo, AS","PCD1418","1994","12","27","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio","-41.470833","-12.455556","1100","1100",NA,"3,0 m. Folhas simples, semi-crassas, discolores. Inflorescência em panícula, botões esverdeados. Frutos imaturos, verde-vináceos. Raro.; Vegetação de mata úmida entre grandes afloramentos rochosos. Afloramento rochoso.",NA,NA,NA,"-41.470833","-12.455556","1998","07","31",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:09:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss.","Andrews, S","Cordeiro, J; Silva, JM; Barbosa, E; Ribas, OS","1733","1999","12","28","Southern America","Brasil","Santa Catarina","Campo Alegre","subida da Serra Quiriri","-49.2655982971191","-26.1924991607666","1500","1500",NA,"1,20 m. Flor alva.",NA,NA,NA,NA,NA,"2002",NA,NA,"37493","auto",NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:09:21-03","UFBA","ALCB","96181","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss.","Martin, VC","Cordeiro, J; Silva, JM","3524","2010","03","06","Southern America","Brasil","São Paulo","São José do Barreiro","Serra da Bocaína","-44.5699996948242","-22.6399993896484","1640","1640",NA,"80 cm alt. Frutos pactos.",NA,NA,NA,NA,NA,"2010",NA,NA,"30784","auto",NA,NA,NA,NA,NA,NA
"31","2021-02-08 21:31:37-03","UFBA","ALCB","126701","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss.","Groppo Jr., M; M.","Hoehne, W","s/n","1940","11",NA,"Southern America","Brasil","São Paulo","São Paulo","Cidade Jardim.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"ALCB039631",NA,NA,NA,NA,"1996",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
"32","2020-02-08 08:44:08-03","NBC","NL-BOTANY","U.1093451","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Widgren JF",NA,"1845","01","01","Southern America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1093451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1093451","NL-U1093451",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"33","2020-02-08 08:44:08-03","NBC","NL-BOTANY","L.2282040","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Edwin G","Reitz R; Klein RM",NA,"1960","11","10","Southern America","Brazil","Santa Catarina",NA,"Brazil, Santa Catarina, Serra da Boa Vista, São José",NA,NA,NA,NA,NA,"Matinha<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2282040 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2282040","NL-L2282040",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0760347",NA,NA,NA,NA
"34","2020-02-08 08:44:08-03","NBC","NL-BOTANY","U.1093450","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Lindeman JC; Haas JH de",NA,"1966","10","16","Southern America","Brazil",NA,NA,"Brasiliae Australis. Est. Paraná. Bank of Rio 5 Reis, 5 km S. of Jaguariaíva.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1093450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1093450","NL-U1093450",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"35","2020-02-08 08:44:08-03","NBC","NL-BOTANY","U.1093463","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Hatschbach GG",NA,"1971","11","21","Southern America","Brazil",NA,NA,"Rod. Br-277 (mun. Palmeira) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1093463 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1093463","NL-U1093463",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"36","2020-02-08 08:44:08-03","NBC","NL-BOTANY","WAG.1661910","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Kummrow R",NA,"1975","06","03","Southern America","Brazil",NA,NA,"Rod. Curitiba-Penta Orossa, Rio Tibagi, (mun. Palmeira) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1661910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1661910","NL-WAG1661910",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"37","2020-02-08 08:44:08-03","NBC","NL-BOTANY","WAG.1661911","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Kummrow R",NA,"1987","01","14","Southern America","Brazil",NA,NA,"Morro Mão Catira (mun. Quatro Barras) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1661911 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1661911","NL-WAG1661911",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"38","2020-02-08 08:44:08-03","NBC","NL-BOTANY","WAG.1661912","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Cordeiro J; Manosso A",NA,"1986","04","09","Southern America","Brazil",NA,NA,"Morro Mãe Catira (mun. Quatro Barras) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1661912 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1661912","NL-WAG1661912",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"39","2020-02-08 08:44:08-03","NBC","NL-BOTANY","WAG.1661913","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Silva JM",NA,"1990","03","07","Southern America","Brazil",NA,NA,"Morro Sete (mun. Quatro Barras) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1661913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1661913","NL-WAG1661913",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"40","2020-02-08 08:44:08-03","NBC","NL-BOTANY","U 0262059","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia mugiensis","Loes.",NA,"Lindeman JC; Horreüs de Haas R",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,"Parque Nacional do Iguaçú",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200262059 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0262059",NA,"mugiensis",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw14032",NA,NA,NA,NA
"41","2020-02-08 08:44:08-03","NBC","NL-BOTANY","U.1093464","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia mugiensis","Loes.",NA,"Lindeman JC; Haas JH de",NA,"1966","11","23","Southern America","Brazil",NA,NA,"Brasiliae Australis. Est. Paraná. Parque Nacional do Iguaçu, forest near N-border of park, 2½ km W of road to Capanema, line C3.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1093464 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1093464","NL-U1093464","mugiensis",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"42","2020-02-08 08:44:08-03","NBC","NL-BOTANY","U.1093465","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia mugiensis","Loes.",NA,"Lindeman JC; Haas JH de",NA,"1966","10","20","Southern America","Brazil",NA,NA,"Brasiliae Australis. Est. S. Paulom By road BR 34, cerrado at km 158, SE of Piraju.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1093465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1093465","NL-U1093465","mugiensis",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"43","2020-11-04 11:00:13-03","ESALQ","ESA","16148","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia",NA,"Coelho, G.C.","Pereira, S.C.","1509.0","1981","12","02",NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"ESA016148","ESA016148",NA,NA,NA,"1996","08","13","23696","auto",NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:00:13-03","ESALQ","ESA","103741","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia",NA,"Zappi","Forzza, R.C.","4266.0","2006","09","20",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA103741","ESA103741",NA,NA,NA,"2007",NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:00:13-03","ESALQ","ESA","16149","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia",NA,NA,"Tamashiro, J.Y.","1299.0","1991","10","28",NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"ESA016149","ESA016149",NA,NA,NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA
"46","2020-11-04 11:00:13-03","ESALQ","ESA","16150","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia",NA,"Ivanauskas, N.M.","Leitão Filho, H.F. Leitão, P.F.","2230.0","1984","12","11",NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"ESA016150",NA,NA,NA,NA,"1994","11","30","23696","auto",NA,NA,NA,NA,NA,NA
