"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","typeStatus","stateProvince","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","02099142","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","P. da C. Gadelha Neto","3182","2012","03","15","South America","Brazil","Millennium Inorganic Chemicals Mineração Ltda.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2316566' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099142","-34.9769","-6.5022",NA,NA,NA,"Paraíba","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY02099142_01","G. P. Lewis","Mataraca","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 21:50:00-03","NY","NYBG","00917737","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","R. F. Vieira","1050","1991","11","14","South America","Brazil","Municipio Missoes. Pedreira a 7 km de Ita","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917737","-44.1","-14.9",NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917737_01","R. C. Barneby",NA,"620","620",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 01:10:00-03","NY","NYBG","01098827","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","J. F. Ramos","1136","1983","11","18","South America","Brazil","Campina de Santa Rosa, ramal da BR-422.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1281952' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098827","-49.6725","-3.7661",NA,NA,NA,"Pará","Magnoliophyta","Fabales",NA,"NY01098827_01","R. C. Barneby","Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","408593","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","L. P. de Queiroz","3674","1993","10","29","South America","Brazil","Ca. 5m N de Rio de Contas na estrada para Brumadinho","sheet",NA,"foto <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408593","-41.82","-13.53",NA,NA,NA,"Bahia","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00408593_01","R. C. Barneby","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 21:50:00-03","NY","NYBG","00917775","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","E. T. Neto","1962","1996","03","04","South America","Brazil","Rio Araguari, Uberlândia. UHE Capim Branco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917775",NA,NA,NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917775_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","632431","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","W. Ganev","1319","1992","10","23","South America","Brazil","Catolés de Cima, próximo a casa de Zizim. Serra do Tanque do Boi","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632431","-41.87","-13.28",NA,NA,NA,"Bahia","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00632431_01","G. P. Lewis","Abaíra","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 21:50:00-03","NY","NYBG","00917712","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","W. R. Anderson","37184","1972","03","18","South America","Brazil","15 km N of Montalvânia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917712",NA,NA,NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917712_01","R. C. Barneby",NA,"550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-30 08:08:00-03","NY","NYBG","01492270","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","E. Hassler","9350","1905",NA,NA,"South America","Paraguay","In viciniis Caaguazú","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1858914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01492270",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales",NA,"NY01492270_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 21:50:00-03","NY","NYBG","00917745","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","S. M. de Faria","SMF1779","1999","08","26","South America","Brazil","Estrada para Sta. Rita lado esquerdo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917745",NA,NA,NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917745_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-29 10:23:00-03","NY","NYBG","408604","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","J. Revilla","8490","1983","10","04","South America","Brazil","Campinas de Santa Rosa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408604","-49.6725","-3.7661",NA,NA,NA,"Pará","Magnoliophyta","Fabales",NA,"NY00408604_01","R. C. Barneby","Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01492268","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","C. E. O. Kuntze","s.n.","1892","09",NA,"South America","Paraguay",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1858825' target='other'> <mi>dwc_moreinfo</mi></a>","NY01492268",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY01492268_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","632433","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","W. Ganev","1416","1992","11","12","South America","Brazil","Boa Vista, ca. de 4 km de Catolés","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632433","-41.85","-13.32",NA,NA,NA,"Bahia","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00632433_01","G. P. Lewis","Abaíra","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-29 10:23:00-03","NY","NYBG","408603","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","J. M. Silva","2139","1997","10","16","South America","Brazil","Canion do Rio Guarani","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408603","-53.1806","-25.4192",NA,NA,NA,"Paraná","Magnoliophyta","Fabales",NA,"NY00408603_01","R. C. Barneby","Três Barras do Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-30 08:08:00-03","NY","NYBG","01492269","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","E. Hassler","4125","1885",NA,NA,"South America","Paraguay",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1858904' target='other'> <mi>dwc_moreinfo</mi></a>","NY01492269",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales",NA,"NY01492269_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-29 21:50:00-03","NY","NYBG","00917722","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","E. T. Neto","641","1991","05","15","South America","Brazil","Joao Pinheiro, margem esquerda do Rio do Sono. Cerca de 1 km acima do paredao","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917722","-46.1725","-17.7428",NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917722_01","R. C. Barneby","João Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-29 21:50:00-03","NY","NYBG","00917718","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","A. G. Fernandes","8208","1980","03","05","South America","Brazil","Cocalzinho, Serra da Ibiapaba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917718","-41","-4",NA,NA,NA,"Ceará","Magnoliophyta","Fabales",NA,"NY00917718_01","R. C. Barneby","Viçosa do Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00917719","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","G. G. Hatschbach","39013","1976","10","08","South America","Brazil","Rod. BR-020, 10 km N de Alvorada do Norte","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917719","-46.4831","-14.4736",NA,NA,NA,"Goiás","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00917719_01 NY00917719_02","R. C. Barneby","Simolândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02099135","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","P. da C. Gadelha Neto","3426","2013","02","28","South America","Brazil","EMPARN: Mata do Jiqui Floresta Estacional Semidecidual.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2316223' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099135","-35.1989","-5.9281",NA,NA,NA,"Rio Grande do Norte","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY02099135_01","M. de L. Rico-Arce","Parnamirim","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-29 21:50:00-03","NY","NYBG","00917723","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","L. Duarte","803","1966","10","16","South America","Brazil","Estr. Uberaba, Belo Horizonte 35 km. de Uberaba, próximo ao Afloramento de Basalto","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917723",NA,NA,NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917723_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-29 21:50:00-03","NY","NYBG","00917746","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","M. G. Carvalho","811","1991","11","30","South America","Brazil","Beira do rio Jequitinhonha, Regiao do Eixo- Berito","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917746",NA,NA,NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917746_01","R. C. Barneby",NA,"350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","408599","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","S. A. Mori","11316","1978","11","22","South America","Brazil","Estrada que liga Barra do Choça a Faz. Roda d'Agua (Rio Catolé), 3-6km a E de Barra do Choça. Folha SD-24 (15-41b)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408599","-40.57","-14.88",NA,NA,NA,"Bahia","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00408599_01","R. C. Barneby","Barra do Choça",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-09-29 21:50:00-03","NY","NYBG","00917721","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","E. T. Neto","636","1991","05","14","South America","Brazil","Joao Pinheiro, margem direita do Rio do Sono, próximo à foz do Ribeirao da Onça. Faz. Jucurutú","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917721","-46.1725","-17.7428",NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917721_01","R. C. Barneby","João Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00917725","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","Pedralli","s.n.","1987","10","11","South America","Brazil","Rio Araçuaí.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917725","-47.6747016906738","-19.1525001525879",NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00917725_01","R. C. Barneby","Nova Ponte",NA,NA,"47316","auto",NA,NA,NA,NA,NA,NA,NA
"34","2016-09-29 21:50:00-03","NY","NYBG","00917741","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","A. G. Fernandes","9691","1981","02","15","South America","Brazil","Cocalzinho, Viçosa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917741","-41.0919","-3.5622",NA,NA,NA,"Ceará","Magnoliophyta","Fabales",NA,"NY00917741_01","R. C. Barneby","Viçosa do Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","408602","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","G. G. Hatschbach","12886","1965","10","09","South America","Brazil","Rio Tibagi, Barra do Iapó","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408602","-50.4133","-24.5094",NA,NA,NA,"Paraná","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00408602_01","S. F. Smith","Tibagi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00917743","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","G. G. Hatschbach","56312","1992","01","21","South America","Brazil","Rod. GO-327, Rio Tocantinzinho","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917743","-48.0781","-14.1517",NA,NA,NA,"Goiás","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00917743_01","R. C. Barneby","Colinas do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-29 21:50:00-03","NY","NYBG","00917747","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","M. A. Lopes","s.n.","1985","02","24","South America","Brazil","Riachino- UCAT, Santana do Riacho","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917747",NA,NA,NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917747_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","408598","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","G. G. Hatschbach","48350","1984","09","19","South America","Brazil","Capao da Volta","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408598","-41.28","-13.41",NA,NA,NA,"Bahia","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00408598_01","R. C. Barneby","Ibicoara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-29 21:50:00-03","NY","NYBG","00917724","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","M. G. Carvalho","637","1992","09","18","South America","Brazil","Piexe Cru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917724","-42.7297","-17.2858",NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917724_01","R. C. Barneby","Turmalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-09-30 08:08:00-03","NY","NYBG","01492272","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","Á. L. Cabrera","1572","1930","12","07","South America","Argentina","Punta Lara","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1858983' target='other'> <mi>dwc_moreinfo</mi></a>","NY01492272",NA,NA,NA,NA,NA,"Buenos Aires","Magnoliophyta","Fabales",NA,"NY01492272_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00917720","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","J. B. E. Pohl","2556",NA,NA,NA,"South America","Brazil","Rio dos Peixes, S. Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917720",NA,NA,NA,NA,NA,"Goiás","Magnoliophyta","Fabales","(Hook. & Arn.) Speg.","NY00917720_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-09-30 01:10:00-03","NY","NYBG","01098825","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","J. Revilla","8289","1983","08","18","South America","Brazil","Margem da estrada do rio Mojú +/- km 25.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1281950' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098825","-49.6725","-3.7661",NA,NA,NA,"Pará","Magnoliophyta","Fabales",NA,"NY01098825_01","R. C. Barneby","Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-29 15:08:00-03","NY","NYBG","469305","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","A. Gehrt","s.n.","1941","08","24","South America","Brazil","Catanduva","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469305","-48.97","-21.13",NA,NA,NA,"São Paulo","Magnoliophyta","Fabales",NA,"NY00469305_01",NA,"Catanduva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2016-09-29 21:50:00-03","NY","NYBG","00917740","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","L. V. Costa","s.n.","1998","11",NA,"South America","Brazil","UHE Guilman-Amorim, Antônio Dias. As margens do Rio Piracicaba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917740",NA,NA,NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917740_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
