"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","eventTime","sex"
"11","2021-04-05 14:33:44-03","UNESC","CRI","10551","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","M. Verdi",NA,NA,NA,"M. Verdi; Luciana Mancini","2011","09","01","Brasil","Santa Catarina","Balneário Arroio do Silva","-49.424167","-28.981111","49º25'27''W","28º58'52''S","CRI005098","CRI005098",NA,"8","8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:44-03","UNESC","CRI","11365","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Fábio C. S. Vieira","2020","04","17","M. Verdi; L.C. Mancino","2011","12","19","Brasil","Rio Grande do Sul","Morrinhos do Sul","-49.926111","-29.318056","49º55'34''W","29º19'5''S","CRI005228","CRI005228","Pixirica.","19","19","6219","Floresta Ombrófila Densa de Terras Baixas Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:41:47-03","E","E","285761","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,"UY",NA,NA,NA,NA,NA,NA,"E00285761",NA,"Uruguay",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285761 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","holotype","Temperate South America","herbarium specimen of unspecif","BGBASE:297234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:41:47-03","E","E","207057","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Proenca, C.; Oliveira, R.S.; Pinto, A.S.","1996","12","15","BR",NA,NA,NA,NA,NA,NA,"E00207057",NA,NA,NA,NA,"1656","<a href=http://data.rbge.org.uk/herb/E00207057 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:41:47-03","E","E","206999","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Farias, R.; De Carvalho, A.M.; De Carvalho, J.A.; De Carvalho, V.M.; Milhomens Fonseca, L.C.; Proença, C.; Potzernheim, M.L.; Rosa Cardosa, O.G.","1998","09","07","BR",NA,NA,NA,NA,NA,NA,"E00206999",NA,NA,NA,NA,"138","<a href=http://data.rbge.org.uk/herb/E00206999 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:41:47-03","E","E","112735","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,"AR","Prov. de Buenos Aires",NA,NA,NA,NA,NA,"E00112735",NA,"Near Buenos Aires.",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00112735 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:133924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:41:47-03","E","E","112736","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Molinari, Edgardo P.","1961","11","15","AR","Prov. de Misiones",NA,NA,NA,NA,NA,"E00112736",NA,"Posadas.",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00112736 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:133925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:41:47-03","E","E","167707","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Gavilanes, M.L. et al.","1990","12","20","BR",NA,NA,NA,NA,NA,NA,"E00167707",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00167707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:176706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-23 10:41:47-03","E","E","112733","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,"AR","Prov. de Buenos Aires",NA,NA,NA,NA,NA,"E00112733",NA,"Near Buenos Aires.",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00112733 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:133918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-23 10:41:47-03","E","E","64854","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Ratter, J.A., Pott, A., Pott, V., Almeida Rego, S.C., Martins, F., Tamashiro, J. & Ufms Fieldcourse","1987","11","17","BR",NA,NA,NA,NA,NA,NA,"E00064854",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00064854 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:70155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-23 10:41:47-03","E","E","112737","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Lorentz, P.G.","1905","02","17","UY",NA,NA,NA,NA,NA,NA,"E00112737",NA,"Concepción del Uruguay.",NA,NA,"156","<a href=http://data.rbge.org.uk/herb/E00112737 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:133935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-09-23 10:41:47-03","E","E","112734","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",NA,NA,NA,NA,NA,"Molinari, Edgardo P.","1961","11","15","AR","Prov. de Misiones",NA,NA,NA,NA,NA,"E00112734",NA,"Posadas.",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00112734 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:133919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","386715","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","amarus","Blepharocalyx amarus","O.Berg",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00386715","NY00386715_01","Montevideo",NA,NA,"s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195333' target='other'> <mi>dwc_moreinfo</mi></a>","isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00749745","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","M. Sobral",NA,NA,NA,"P. Fiaschi","2004","12","04","Brazil","Bahia","Rio de Contas","-41.8114","-13.5792",NA,NA,"NY00749745","NY00749745_01","Trilha de acesso ao Pico das Almas",NA,NA,"2694","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=907969' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00906801","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","B. K. Holst",NA,NA,NA,"E. P. Heringer","1981","12","14","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"NY00906801","NY00906801_01","Papuda",NA,NA,"7374","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982767' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","02282344","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","M. Sobral",NA,NA,NA,"S. A. Mori","1979","07","24","Brazil","Bahia","Rio de Contas","-41.95","-13.55",NA,NA,"NY02282344","NY02282344_01","Pico das Almas, a 18 km ao SNW de Rio de Contas.","1300","1600","12497","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2354930' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00906793","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","C. E. B. Proença",NA,NA,NA,"J. A. Ratter","1987","11","17","Brazil","Mato Grosso do Sul",NA,"-57.55","-19.13",NA,NA,"NY00906793","NY00906793_01","Santa Cruz, Serra de Urucum, nr Corumbá","850","850","R5978","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982741' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","720663","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg",NA,NA,NA,NA,"M. F. d. Santos","2010","12","16","Brazil","Distrito Federal","Brasília","-47.94456","-15.95936",NA,NA,"NY00720663","NY00720663_01","Fazenda Água Limpa (propreidade da UNB). Na beira da estrada prox. à cabeceira do córrego Capetinga.","1079",NA,"623","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519346' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","561360","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","L. R. Landrum",NA,NA,NA,"G. G. Hatschbach","1968","01","24","Brazil","Paraná","Colombo","-49.2242","-25.2919",NA,NA,"NY00561360","NY00561360_01","Rio Canguiri",NA,NA,"18421","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550192' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","02714723","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","A. Stadnik",NA,NA,NA,"A. M. V. de Carvalho","1997","12","29","Brazil","Bahia","Rio de Contas","-41.8114","-13.5792",NA,NA,"NY02714723","NY02714723_01","Ca. 1 km antes do distrito de Mato Grosso","1300","1300","6448","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623029' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","561407","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","L. R. Landrum",NA,NA,NA,"O. Handro","1969","11","20","Brazil","São Paulo","Praia Grande","-46.4","-24",NA,NA,"NY00561407","NY00561407_01","Mongaguá, Praia Grande.",NA,NA,"2107","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550160' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","561365","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","M. L. Kawasaki",NA,NA,NA,"J. M. Silva","1998","11","21","Brazil","Paraná","Tunas do Paraná","-49.0856","-24.9744",NA,NA,"NY00561365","NY00561365_01","Tunas do Paraná, arredores.",NA,NA,"2628","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550147' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00906802","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","L. R. Landrum",NA,NA,NA,"E. P. Heringer","1980","09","25","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"NY00906802","NY00906802_01","Bacia do Rio São Bartolomeu.",NA,NA,"5506","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982770' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","561385","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","L. R. Landrum",NA,NA,NA,"R. M. Klein","1962","12","06","Brazil","Santa Catarina","Curitibanos","-50.5842","-27.2831",NA,NA,"NY00561385","NY00561385_01","Marombas, Curitibanos","900","900","3297","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550186' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","823281","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","M. Sobral",NA,NA,NA,"F. S. Juchum","2000","11","19","Brazil","Bahia","Rio de Contas","-41.93","-13.52",NA,NA,"NY00823281","NY00823281_01","Trilha de acesso para o Pico das Almas, ca. de 24.1 km de Rio de Contas.","1380","1500","114","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938380' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00906792","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","M. L. Kawasaki",NA,NA,NA,"T. R. S. Silva","1990","09","07","Brazil","Minas Gerais","Grão Mogol","-42.8894","-16.5594",NA,NA,"NY00906792","NY00906792_01","Alto do Morro do jambeiro, flanco da descida para o Córrego Escurinha","800","800","CFCR13494","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982733' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1181613","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg",NA,NA,NA,NA,"Disciplina Princípios e Métodos em Taxonomia Vegetal","2003","09","19","Brazil","São Paulo","Brotas","-47.9239","-22.2161",NA,NA,"NY01181613","NY01181613_01","Estação Ecologica de Itirapina.",NA,NA,"263","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386867' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","561392","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","M. Sobral",NA,NA,NA,"M. Sobral","1983","10",NA,"Brazil","Rio Grande do Sul","Cachoeira do Sul","-52.8939","-30.0394",NA,NA,"NY00561392","NY00561392_01","Durasnal",NA,NA,"2594","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550141' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","561394","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","B. K. Holst; M. L. Kawasaki",NA,NA,NA,"H. de F. Leitão Filho","1979","12","11","Brazil","São Paulo",NA,"-47.992538","-25.197304",NA,NA,"NY00561394","NY00561394_01","Mun. Ilha do Cardoso.",NA,NA,"10754","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550143' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00906798","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","L. R. Landrum",NA,NA,NA,"E. P. Heringer","1978","10","11","Brazil","Goiás","Luziânia","-47.9503","-16.2528",NA,NA,"NY00906798","NY00906798_01",NA,NA,NA,"16131","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982760' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","885646","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","L. R. Landrum",NA,NA,NA,"A. Backes","1988","12","07","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"NY00885646","NY00885646_01","Ana Rech - Faxinal.","700","700","5003","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005227' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","885649","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg",NA,NA,NA,NA,"K. Hagelund","1980","11","28","Brazil","Rio Grande do Sul","Arroio dos Ratos","-51.7292","-30.0772",NA,NA,"NY00885649",NA,"Fazenda Faxinal - Arroio dos Ratos",NA,NA,"13427","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005236' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","1019249","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","L. S. Funch",NA,NA,NA,"R. Fonseca","2005","01","21","Brazil","Bahia","Lençóis","-41.4","-12.55",NA,NA,"NY01019249","NY01019249_01","Px. ao cerrano.",NA,NA,"10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280193' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
