"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","1018291","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez",NA,NA,NA,NA,"Pessoal do Horto Florestal","s.n.","1927","05","26","Brazil","Rio de Janeiro","Rio de Janeiro","Mata do horto florestal.","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1253825' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018291","NY01018291_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","537987","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","M. Kuhlmann",NA,NA,NA,"E. Kuehn","1197",NA,NA,NA,"Brazil","São Paulo","Amparo","Amparo, Monte Alegre","-46.7597","-22.7003",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537987","NY00537987_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","537984","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","23359","1970","01","18","Brazil","Paraná","Guaratuba","Divisa","-48.5744","-25.8831",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537984","NY00537984_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","537982","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","B. Coe-Teixeira",NA,NA,NA,"J. Mattos","8890","1961","04","18","Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537982","NY00537982_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","537979","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","27195","1931","02","03","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537979","NY00537979_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"16","2016-09-30 18:51:00-03","NY","NYBG","720656","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata",NA,NA,NA,NA,NA,"L. C. de S. Assis","1096","2005","02","15","Brazil","São Paulo","São Paulo","Jardim Botanico, Instituto de Botanica.","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720656","NY00720656_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","537985","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","O. Handro",NA,NA,NA,"O. Handro","2306","1982","04","25","Brazil","São Paulo","Sao Paulo","Sao Paulo, Agua Funda, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537985","NY00537985_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","537981","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","H. H. van der Werff",NA,NA,NA,"A. H. Gentry","49239","1985","01","05","Brazil","São Paulo","Nazaré Paulista","Forest at camping facility, Represa Atabainha Lake, ca. 21 km W of Igaratá off Dom Pedro highway between Campinas and Jacarei","-46.08","-23.42",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537981","NY00537981_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:39:22-03","EAO","IAN","139928","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","Moraes, PLR de","2004","02","02","Eiten, G","8090d","1968","01","17","Brasil","São Paulo","São Paulo","Grounds of the Instituto de Botânica, 10km south of center of city. Secondary forest.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Tree 5m tall (central leader was cut), trunk 8cm d.b.h.","IAN139928",NA,NA,"Southern America",NA,NA,"Dicotiledônea",NA,"53584","auto",NA,NA,NA,NA
"20","2020-01-20 14:40:31-03","UPM","MACK","2878","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez.","J. B. Baitello","2005","12",NA,"R. Costa","304","2005","10","18","Brasil","SP","São Paulo","Parque Tizo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"21","2020-02-08 09:36:30-03","NBC","NL-BOTANY","U 0275981","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1968","01","01","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200275981 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0275981",NA,NA,"Southern America",NA,NA,NA,"Laurales",NA,NA,"Magnoliopsidae","Uw14525",NA,NA
"22","2020-02-08 09:36:30-03","NBC","NL-BOTANY","L 0574396","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez",NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,"Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200574396 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0574396",NA,NA,"Southern America",NA,NA,NA,"Laurales",NA,NA,"Magnoliopsidae",NA,NA,NA
"23","2020-02-08 09:36:30-03","NBC","NL-BOTANY","L.1804150","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","01","16","Brazil",NA,NA,"Plantas de Santa Catarina-Brasil, Pinhal da Companhia, Lauro Müller-Urussanga, Pinhal.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1804150 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1804150","NL-L1804150",NA,"Southern America",NA,NA,NA,"Laurales",NA,NA,"Magnoliopsidae",NA,NA,NA
"24","2020-02-08 09:36:30-03","NBC","NL-BOTANY","U.1416501","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","01","16","Brazil",NA,NA,"SANTA CATARINA. Pinhal da Cia. Lauro Müller-Uruçanga. Pinhal.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416501","NL-U1416501",NA,"Southern America",NA,NA,NA,"Laurales",NA,NA,"Magnoliopsidae",NA,NA,NA
"25","2020-02-08 09:36:30-03","NBC","NL-BOTANY","U.1416502","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez",NA,NA,NA,NA,"Frazao A",NA,"1918","03","01","Brazil",NA,NA,"Therezopolis. Est. do Rio.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416502 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416502","NL-U1416502",NA,"Southern America",NA,NA,NA,"Laurales",NA,NA,"Magnoliopsidae",NA,NA,NA
"26","2020-02-08 09:36:30-03","NBC","NL-BOTANY","U.1416503","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez",NA,NA,NA,NA,"Eiten G",NA,"1968","01","17","Brazil",NA,NA,"SÃO PAULO. Municipio de São Paulo: grounds of the Instituto de Botânica, 10 km south of center of city of SÃO PAULO. Secondary forest.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416503 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416503","NL-U1416503",NA,"Southern America",NA,NA,NA,"Laurales",NA,NA,"Magnoliopsidae",NA,NA,NA
"27","2020-11-04 10:56:01-03","ESALQ","ESA","134444","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","Baitello, J.B.","2014",NA,NA,NA,"150.0","2013","01","21",NA,NA,NA,NA,NA,NA,"23.38.25",NA,NA,NA,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 16560. Altura: 5m","ESA134444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:12:04-03","ESALQ","ESA","5609","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees) Mez","Baitello, J.B.",NA,NA,NA,"Gandolfi, S. et al.","11464.0","1994","01","01","Brasil","São Paulo","Guarulhos",NA,"-46.5299987792969","-23.4599990844727",NA,NA,NA,NA,NA,"ESA005609",NA,NA,NA,NA,NA,"Magnoliophyta",NA,"26398","auto",NA,NA,NA,NA
"29","2020-11-04 11:12:04-03","ESALQ","ESA","5608","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez","Gandolfi, S.",NA,NA,NA,"Gandolfi, S. et al.","12604.0","1984","01","01","Brasil","São Paulo","Guarulhos",NA,"-46.5299987792969","-23.4599990844727",NA,NA,NA,NA,NA,"ESA005608",NA,NA,NA,NA,NA,"Magnoliophyta",NA,"26398","auto",NA,NA,NA,NA
"30","2020-11-04 11:12:04-03","ESALQ","ESA","23303","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees) Mez","Baitello, J.B.",NA,NA,NA,"Sartori, A. et al.",NA,"1995","02","14","Brasil","São Paulo","Jacupiranga",NA,"-48","-24.6900005340576",NA,NA,NA,NA,NA,"ESA023303",NA,NA,NA,NA,NA,"Magnoliophyta",NA,"35797","auto",NA,NA,NA,NA
"31","2020-11-04 11:12:04-03","ESALQ","ESA","5610","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez","Gandolfi, S.",NA,NA,NA,"Gandolfi, S. et al.","10032.0","1984","01","01","Brasil","São Paulo","Guarulhos",NA,"-46.5299987792969","-23.4599990844727",NA,NA,NA,NA,NA,"ESA005610",NA,NA,NA,NA,NA,"Magnoliophyta",NA,"26398","auto",NA,NA,NA,NA
"32","2020-11-04 11:12:04-03","ESALQ","ESA","7283","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees) Mez","Baitello, J.B.","2003","01","01","Gandolfi, S. et al.","12300.0","1984","01","01","Brasil","São Paulo","Guarulhos",NA,"-46.5299987792969","-23.4599990844727",NA,NA,NA,NA,NA,"ESA007283",NA,NA,NA,NA,NA,"Magnoliophyta",NA,"26398","auto",NA,NA,NA,NA
"33","2020-11-04 11:12:04-03","ESALQ","ESA","119331","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata",NA,"Colletta, G.D. & Alves, F.M.","2012","07","12","Colletta, G.D.","687.0","2012","07","03","Brasil","São Paulo","São Paulo","Estrada da Cumbica n° 500, mata ao lado do ct do São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Árvore, 6m, frutos imaturos verdes, cupula avermelhada, placa 5942","ESA119331",NA,NA,NA,NA,NA,"Magnoliophyta",NA,"53584","auto",NA,NA,NA,NA
"34","2015-07-02 14:02:30-03","JBP","HPL","11842","S","Plantae","Lauraceae","Ocotea","cf. lanata","Ocotea cf. lanata",NA,NA,NA,NA,NA,"H. Lorenzi","6738","2009","09","09","Brasil","MG","Belo Oriente","No distrito de Brauninha em mata de encosta na zona da mata de MG a 250 metros de altitude","-42.4836","-19.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17433","auto",NA,NA,NA,NA
"35","2015-07-02 14:02:31-03","JBP","HPL","11045","S","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees) Mez","J.B. Baitello","2008","04","16","R.T. Polisel","354","2006","09","01","Brasil","SP","Juquitiba","Coeltado na estrada dos Carmos, km 2,5, ao lado da prainha.S 23° 58' 00; W 47° 6' 00, altitude 701m.","-47.06","-23.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24559","auto",NA,NA,NA,NA
"36","2015-07-02 14:02:31-03","JBP","HPL","12082","S","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. Ex Nees) Mez","J.B. Baitello","2004","07","01","M.A.W. Lentini, N.M. Oliveira, A.P.C. do Carmo",NA,"1998","02","10","Brasil","SP","Barra do Turvo","Coletado nas proximidades de encontro entre o Rio Pardo e o Rio Turvo, margens do Rio Pardo.","-48.5047","-24.7564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38172","auto",NA,NA,NA,NA
"37","2016-02-02 14:38:23-02","BGBM","B","B 10 0185308","S","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez",NA,NA,NA,NA,"F. Sellow","458",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185308 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185308","B100185308 B100185308_1","isosyntype","Middle and South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-02-02 14:38:23-02","BGBM","B","B 10 0185309","S","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","Mez",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185309 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185309","B100185309 B100185309_1","isotype","Middle and South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-02-15 11:40:56-02","IPA","IPA","13123","S","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","Kuhlmann, M.",NA,NA,NA,"Kuehn, E.; Kuhlmann, M.; Kuhlmann, M.","1197","1942","04",NA,"Brasil","São Paulo","Amparo","Monte Alegre","-46.7599983215332","-22.7000007629395",NA,NA,NA,NA,NA,"IPA0013123",NA,NA,"Southern America",NA,NA,"Plantae",NA,"18036","auto",NA,NA,NA,NA
"40","2019-08-27 13:30:39-03","IAP","PACA-AGP","113773","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","M. Sobral","2010","08","15","A. Stival-Santos","1632","2010","02","01","Brasil","SC","Angelina","Rancho das Tábuas","-49.049444","-27.630278","49°02'58,00W","27°37'49,00S","590","590","FURB 30009 Habitat: Beira da estrada Ecossistema: floresta ombrófila densa","PACA113773",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales",NA,NA,"Magnoliatae",NA,NA,NA
"41","2019-08-27 13:30:39-03","IAP","PACA-AGP","58318","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","I. de Vattimo","1955",NA,NA,"Reitz & Klein","934","1953","08","12","Brasil","SC","Brusque","Mata da Azambuja","-48.9174995422363","-27.0981006622314",NA,NA,NA,NA,"HBR 9419 Habitat: in silva Fenofase: fruto Hábito: arbusto","PACA058318",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","19684","auto","Magnoliatae",NA,NA,NA
"42","2019-08-27 13:30:39-03","IAP","PACA-AGP","65504","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","I. de Vattimo","1955",NA,NA,"Reitz & Klein","934","1953","08","12","Brasil","SC","Brusque","Mata da Azambuja","-48.9174995422363","-27.0981006622314",NA,NA,NA,NA,"HBR 9419 Habitat: mata Fenofase: fruto Hábito: arbusto","PACA065504",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","19684","auto","Magnoliatae",NA,NA,NA
"43","2019-08-27 13:30:39-03","IAP","PACA-AGP","67498","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","I. de Vattimo","1976",NA,NA,"Bresolin, A.","107","1971","01","20","Brasil","SC","Florianópolis","Pantano do Sul","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"Habitat: mata Fenofase: flor Hábito: arvoreta","PACA067498",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","27000","auto","Magnoliatae",NA,NA,NA
"44","2019-11-21 14:38:10-03","UFJF","CESJ","59364","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & C.Mart.) Mez","M. Sobral","2010","08","15","A. Stival-Santos; E. Legal; S. Silveira","1632","2010","02","01","Brasil","Paraná","Angelina","Rancho das Tábuas, Lat.:25º37'49,00S; Lon.:49º02'58,00O; Alt.:590m.","-49.049444","-25.630278","-49.049444","-25.630278","590","590","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista; estádio suces. avançado. Arvoreta, 6m alt., à beira de estrada. Flor branca.","CESJ059364",NA,NA,"América do Sul",NA,NA,"Angiosperma",NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 14:38:10-03","UFJF","CESJ","68222","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & C.Mart.) Mez","V.A. Campos","2013",NA,NA,"V.A. Campos","s.n.","2013",NA,NA,"Brasil","Minas Gerais","Rio Preto","RPPN Mato Limpo","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Árvore, ca 8m. Indivíduo ML970. Dentro da parcela 14 da fitossociologia. Altitude 1030 m.s.m.","CESJ068222",NA,NA,"América do Sul",NA,NA,"Angiosperma",NA,"20815","auto",NA,NA,NA,NA
"46","2019-11-21 14:38:10-03","UFJF","CESJ","68199","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & C.Mart.) Mez","V.A. Campos","2013",NA,NA,"V.A. Campos","s.n.","2013",NA,NA,"Brasil","Minas Gerais","Rio Preto","RPPN Mato Limpo","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Árvore, ca 11m. Indivíduo ML1329. Dentro da parcela 19 da fitossociologia. Altitude 1030 m.s.m.","CESJ068199",NA,NA,"América do Sul",NA,NA,"Angiosperma",NA,"20815","auto",NA,NA,NA,NA
"47","2021-03-01 16:32:40-03","UNICAMP","UEC","155264","S","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","Santos, K; Baitello, JB","2001",NA,NA,"Santos, K","2770","2000","07","06","Brazil","São Paulo","Campinal","Mata Fazenda Malabar, Campinas/Itatiba.","-46.55","-22.916667","-46.55","-22.916667",NA,NA,"Árvore zoocórica. Altura total: 8m.; altura do fuste: 3m. PAP: 34cm.","UEC070504","UEC070504",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
