mpo_county,mpo_check,mpo_check2,mpo_check3
Serra da Cantareira,serradacantareira,NA,serradacantareira
Bom Sucesso de Itararé,bomsucessodeitarare,NA,bomsucessodeitarare
Campo de Congonhas,campodecongonhas,NA,campodecongonhas
Paticonia,paticonia,NA,paticonia
Indaiatuba,indaiatuba,NA,indaiatuba
Porto Feliz,portofeliz,NA,portofeliz
Salto de Pirapora,saltodepirapora,NA,saltodepirapora
Itatiba,itatiba,NA,itatiba
Salto,salto,NA,salto
Piracicaba,piracicaba,NA,piracicaba
Campo Grande,campogrande,NA,campogrande
Boracéia,boraceia,NA,boraceia
Itinga,itinga,NA,itinga
Embú,embu,embudasartes,embudasartes
Campo Limpo Paulista,campolimpopaulista,NA,campolimpopaulista
Embu,embu,embudasartes,embudasartes
Araraquara,araraquara,NA,araraquara
Pirituba,pirituba,NA,pirituba
Caieiras,caieiras,NA,caieiras
Santa Branca,santabranca,NA,santabranca
São Caetano do Sul,saocaetanodosul,NA,saocaetanodosul
Itapecerica da Serra,itapecericadaserra,NA,itapecericadaserra
Várzea Paulista,varzeapaulista,NA,varzeapaulista
SÃO PAULO,saopaulo,NA,saopaulo
Pinheiros,pinheiros,NA,pinheiros
Itu,itu,NA,itu
Cocaes,cocaes,NA,cocaes
Itú,itu,NA,itu
Arujá,aruja,NA,aruja
Buri,buri,NA,buri
Sao José dos Campos,saojosedoscampos,NA,saojosedoscampos
Sarapuí,sarapui,NA,sarapui
Praia Grande,praiagrande,NA,praiagrande
Boa Esperança do Sul,boaesperancadosul,NA,boaesperancadosul
Sao Vicente,saovicente,NA,saovicente
Bananal,bananal,NA,bananal
Barra do Turvo,barradoturvo,NA,barradoturvo
Bragança Paulista,bragancapaulista,NA,bragancapaulista
SAO PAULO,saopaulo,NA,saopaulo
São Miguel Arcanjo,saomiguelarcanjo,NA,saomiguelarcanjo
Itapevi,itapevi,NA,itapevi
Lindóia,lindoia,NA,lindoia
São Bernardo Do Campo,saobernardodocampo,NA,saobernardodocampo
Piruquê,piruque,NA,piruque
Moji das Cruzes,mojidascruzes,mogidascruzes,mogidascruzes
Barra do Una,barradouna,NA,barradouna
Barra de Una,barradeuna,NA,barradeuna
Boraceia,boraceia,NA,boraceia
Sallesópolis,sallesopolis,salesopolis,salesopolis
Alumínio,aluminio,NA,aluminio
Mato Grosso,matogrosso,NA,matogrosso
Santana do Riacho,santanadoriacho,NA,santanadoriacho
Emas,emas,NA,emas
Conchal,conchal,NA,conchal
Estreito,estreito,NA,estreito
Mogi,mogi,mogidascruzes,mogidascruzes
Uberaba,uberaba,NA,uberaba
Campo Alegre,campoalegre,NA,campoalegre
Florianópolis,florianopolis,NA,florianopolis
Piracaia,piracaia,NA,piracaia
Piedade,piedade,NA,piedade
Picinguaba,picinguaba,NA,picinguaba
Monguaguá,monguagua,mongagua,mongagua
Vale do Ribeira,valedoribeira,NA,valedoribeira
Sousas,sousas,NA,sousas
Itambé,itambe,NA,itambe
Pirajussara,pirajussara,NA,pirajussara
São vicente,saovicente,NA,saovicente
Parelheiros,parelheiros,NA,parelheiros
SETE BARRAS,setebarras,NA,setebarras
Jardim Botanico,jardimbotanico,NA,jardimbotanico
Bauru,bauru,NA,bauru
Ipiranga,ipiranga,NA,ipiranga
Santo Anastácio,santoanastacio,NA,santoanastacio
Anastácio,anastacio,NA,anastacio
ANASTÁCIO,anastacio,NA,anastacio
PERUÍBE,peruibe,NA,peruibe
Santana,santana,NA,santana
Itapitingui,itapitingui,NA,itapitingui
Palmitalzinho,palmitalzinho,NA,palmitalzinho
Itacaré,itacare,NA,itacare
Águas de Prata,aguasdeprata,NA,aguasdeprata
Ribeirão Pires,ribeiraopires,NA,ribeiraopires
Rio Grande da Serra,riograndedaserra,NA,riograndedaserra
Jaraguá,jaragua,NA,jaragua
Rubiao Junior,rubiaojunior,NA,rubiaojunior
Porto Primavera,portoprimavera,NA,portoprimavera
Bocaina do Sul,bocainadosul,NA,bocainadosul
Votorantim,votorantim,NA,votorantim
Ibiuna,ibiuna,NA,ibiuna
Ibiína,ibiina,ibiuna,ibiuna
Mairipora,mairipora,NA,mairipora
Teodoro sampaio,teodorosampaio,NA,teodorosampaio
Jundiai,jundiai,NA,jundiai
Agudos,agudos,NA,agudos
Ilha da Queimada Grande,ilhadaqueimadagrande,NA,ilhadaqueimadagrande
Santo Andre,santoandre,NA,santoandre
Itanhaem,itanhaem,NA,itanhaem
Pedregulho,pedregulho,NA,pedregulho
Juréia,jureia,NA,jureia
Idaiatuba,idaiatuba,indaiatuba,indaiatuba
Cajamar,cajamar,NA,cajamar
Americana,americana,NA,americana
Inúbia,inubia,inubiapaulista,inubiapaulista
Limeira,limeira,NA,limeira
Nubia,nubia,inubiapaulista,inubiapaulista
Araçatuba,aracatuba,NA,aracatuba
São Simão,saosimao,NA,saosimao
Bebedouro,bebedouro,NA,bebedouro
Espírito Santo do Pinhal,espiritosantodopinhal,NA,espiritosantodopinhal
Santa Rita do Passa Quatro,santaritadopassaquatro,NA,santaritadopassaquatro
Moji-Guaçu,mojiguacu,mogiguacu,mogiguacu
Eldorado,eldorado,NA,eldorado
Sao Luiz da Paraitinga.,saoluizdaparaitinga,saoluizdoparaitinga,saoluizdoparaitinga
Tombos,tombos,NA,tombos
Morro Chato,morrochato,NA,morrochato
Tarumã,taruma,NA,taruma
Paranapanema,paranapanema,NA,paranapanema
Araras,araras,NA,araras
Mogi-Guaçú,mogiguacu,NA,mogiguacu
Itapetinga,itapetinga,NA,itapetinga
S. Ant. da Alegria,santdaalegria,santoantoniodaalegria,santoantoniodaalegria
Paulo de Freitas,paulodefreitas,NA,paulodefreitas
Reserva da Juréia,reservadajureia,NA,reservadajureia
Mairinque,mairinque,NA,mairinque
Iracemópolis,iracemopolis,NA,iracemopolis
MAIRINQUE,mairinque,NA,mairinque
Vinhedo,vinhedo,NA,vinhedo
Espraiado,espraiado,NA,espraiado
Taubaté,taubate,NA,taubate
Vila Amália,vilaamalia,NA,vilaamalia
Itatuba,itatuba,NA,itatuba
S. Luis do Paraytinga,sluisdoparaytinga,saoluizdoparaitinga,saoluizdoparaitinga
itaquera,itaquera,NA,itaquera
Itaquera.,itaquera,NA,itaquera
Ouro Verde,ouroverde,NA,ouroverde
Rio Claro,rioclaro,NA,rioclaro
Porto Epitácio,portoepitacio,NA,portoepitacio
Elihu Root,elihuroot,NA,elihuroot
Carapicuíba,carapicuiba,NA,carapicuiba
Palheireiros,palheireiros,NA,palheireiros
São Bento do Sapucaí,saobentodosapucai,NA,saobentodosapucai
Lorena,lorena,NA,lorena
Sao José do Barreiro,saojosedobarreiro,NA,saojosedobarreiro
Sao Roque,saoroque,NA,saoroque
Viracopos,viracopos,NA,viracopos
Barra do turvo,barradoturvo,NA,barradoturvo
SÃO JOSÉ DOS CAMPOS,saojosedoscampos,NA,saojosedoscampos
Querência,querencia,NA,querencia
Brejetuba,brejetuba,NA,brejetuba
Rio das Pedras,riodaspedras,NA,riodaspedras
Mariporã,maripora,mairipora,mairipora
s/ local,slocal,"NA","NA"
JUNDIAÍ,jundiai,NA,jundiai
Mogí das cruzes,mogidascruzes,NA,mogidascruzes
Marsilac,marsilac,NA,marsilac
Sao Miguel Arcanjo,saomiguelarcanjo,NA,saomiguelarcanjo
Mogi Mirim,mogimirim,NA,mogimirim
Guapira,guapira,NA,guapira
"São Roque
",saoroque,NA,saoroque
SÃO ROQUE,saoroque,NA,saoroque
SANTA CRUZ DA ESTRELA,santacruzdaestrela,NA,santacruzdaestrela
Itaqui,itaqui,NA,itaqui
Diadema,diadema,NA,diadema
picinguaba,picinguaba,NA,picinguaba
Sao Bernardo Do Campo,saobernardodocampo,NA,saobernardodocampo
são bernardo do campo,saobernardodocampo,NA,saobernardodocampo
São Bernado do Campo,saobernadodocampo,saobernardodocampo,saobernardodocampo
"Cotia
",cotia,NA,cotia
Talhado,talhado,NA,talhado
"Jundiaí

",jundiai,NA,jundiai
Mogi Cruzes,mogicruzes,mogidascruzes,mogidascruzes
SANTO ANDRÉ,santoandre,NA,santoandre
"Paranapiacaba
",paranapiacaba,NA,paranapiacaba
Ñazaré Paulista,nazarepaulista,NA,nazarepaulista
Barueri,barueri,NA,barueri
Arariquama,arariquama,aracariguama,aracariguama
Assis,assis,NA,assis
Araçariguama,aracariguama,NA,aracariguama
Pirssununga,pirssununga,pirassununga,pirassununga
Santo Amaro,santoamaro,NA,santoamaro
"Juquitiba
",juquitiba,NA,juquitiba
Mogi da Cruzes,mogidacruzes,mogidascruzes,mogidascruzes
Serra da Bocaina,serradabocaina,NA,serradabocaina
"São José do Barreiro
",saojosedobarreiro,NA,saojosedobarreiro
Pindamonhangaba,pindamonhangaba,NA,pindamonhangaba
São Francisco,saofrancisco,NA,saofrancisco
Extrema,extrema,NA,extrema
Sete Barros,setebarros,setebarras,setebarras
Sabaúna,sabauna,NA,sabauna
Ponte Grande,pontegrande,NA,pontegrande
Santo Antônio do Pinhal,santoantoniodopinhal,NA,santoantoniodopinhal
Sao Jose do Barreiro,saojosedobarreiro,NA,saojosedobarreiro
Campos da Bocaina,camposdabocaina,NA,camposdabocaina
rodovia Washington Luiz km 261,rodoviawashingtonluizkm,NA,rodoviawashingtonluizkm
Santa Rita de Passa Quatro,santaritadepassaquatro,santaritadopassaquatro,santaritadopassaquatro
Núbia,nubia,inubiapaulista,inubiapaulista
Sud Mennucci.,sudmennucci,NA,sudmennucci
São João das Laranjeiras,saojoaodaslaranjeiras,NA,saojoaodaslaranjeiras
Matão (G9),mataog,matao,matao
Sao Joao das Laranjeiras,saojoaodaslaranjeiras,NA,saojoaodaslaranjeiras
Nazare Paulista,nazarepaulista,NA,nazarepaulista
Sabauna,sabauna,NA,sabauna
Taruma,taruma,NA,taruma
Itariri,itariri,NA,itariri
Sao Jose dos Campos,saojosedoscampos,NA,saojosedoscampos
Tapirai,tapirai,NA,tapirai
Ferraz de Vasconcelos,ferrazdevasconcelos,NA,ferrazdevasconcelos
Itapina,itapina,NA,itapina
São Luis do Paraitinga,saoluisdoparaitinga,saolourencodaserra,saolourencodaserra
Ilha do Cardoso,ilhadocardoso,NA,ilhadocardoso
"Peruíbe
",peruibe,NA,peruibe
"Embu das Artes
",embudasartes,NA,embudasartes
Mogi das Cruzes - estrada Usaca,mogidascruzesestradausaca,mogidascruzes,mogidascruzes
Guarujá,guaruja,NA,guaruja
Itapira da Serra,itapiradaserra,NA,itapiradaserra
Períbe,peribe,peruibe,peruibe
Mongagá,mongaga,mongagua,mongagua
Ilha de São Sebastião,ilhadesaosebastiao,NA,ilhadesaosebastiao
Paruíbe,paruibe,peruibe,peruibe
Itanhém,itanhem,NA,itanhem
Pinheirinho,pinheirinho,NA,pinheirinho
Córrego Alegre,corregoalegre,NA,corregoalegre
"Mogi das Cruzes
",mogidascruzes,NA,mogidascruzes
Capivari,capivari,NA,capivari
Jucupiranga,jucupiranga,NA,jucupiranga
Carlos Botelho,carlosbotelho,NA,carlosbotelho
Mamparra,mamparra,NA,mamparra
Parelheiro,parelheiro,NA,parelheiro
Paraíbuna,paraibuna,NA,paraibuna
Antonina,antonina,NA,antonina
Parque São Paulo,parquesaopaulo,NA,parquesaopaulo
p/ Mogi das Cruzes,pmogidascruzes,mogidascruzes,mogidascruzes
Riberao Grande,riberaogrande,NA,riberaogrande
Guaratinguetá,guaratingueta,NA,guaratingueta
SANTO ANDRE,santoandre,NA,santoandre
Sete barras,setebarras,NA,setebarras
Såo Paulo,saopaulo,NA,saopaulo
Rio Grande,riogrande,NA,riogrande
Mogi Guaçu,mogiguacu,NA,mogiguacu
