etiqueta_duplicaDO,duplicados
froelichia procerahomeros.n.na,204/34864
"froelichia proceraválio, i.2591962",196/34881
"froelichia proceraratter, j.a.49191983",140/34798
"froelichia procerabarro, k.d.; fernandes, g.d.; fernandes, r.d.33471994",113/34855
"froelichia procerakuhlmann, m.35141955",199/34883
"froelichia proceraassis, m.a.; a. furlan, v.t.r.a.a.e.c.8661996",34854
"froelichia proceraassis, m.a.; furlan, a.; tannus, j.l.s.; savassi, a.p.g.11541998",101/34880
"froelichia procerafantinati, m.r.; foresto, e.b.432002",93
"froelichia proceramiranda, v.f.o.1492000",100/34871
froelichia proceranas.n.na,203/34838
"froelichia proceracesar, o.7271986",34842
"froelichia procerashepherd, g.j.; semir, j.; salgado, p.r.; andrade, j.b.72821978",159/34851
"froelichia procerasiqueira, j.c.231081990",117/34848
"froelichia procerasiqueira, j.c.231091990",116/34850
"froelichia proceraflores, t.b.26152017",86/34828
"froelichia proceratannus, j.l.s.351998",103/34877
"froelichia procerav.b.zipparro, s.m.s.s.n.na",206/34863
"froelichia proceramiranda, v.f.o.s.n.na",205/34862
"froelichia proceravilhalva, d.a.a.; gomes, s.m.342005",90/34849
"froelichia procerazipparro, v.b.18732000",99/34872
"herbstia brasilianabrade, a.c.57841912",84/34795
"herbstia brasilianagehrt, g.57731921",82/34792
"herbstia brasilianagehrt, g.s.n.1921",83/34796
"herbstia brasilianahashimoto, g.5821948",79/80/34793/34797
"herbstia brasilianahoehne, w.s.n.1953",78/34791/76/34790/77/34788
"herbstia brasilianaroth, l.cesj9261943",81/34789
"herbstia brasilianausteri, a.101905",85/34794
"crinum americanumbartolomeu, j.g.s.n.1953",237/34938
"crinum americanumedwall, g.cgg42351898",234/34944
"crinum americanumluederwaldt, h.89331910",238/34932
"crinum americanummosén, c.w.h.29741874",239/240
"crinum americanummosén, c.w.h.2974na",241
"crinum americanummosén, c.w.h.37041875",235
"crinum americanumlemos, d.s.n.1926",230/34946
"crinum americanumluederwaldt, h.62931910",231/247/34947
"crinum americanumluederwaldt, h.62941910",232/34948
"crinum americanumrubim, a.s.n.1997",227/34941
"hippeastrum morelianumbernacci, l.c.28417na",290/34994
"hippeastrum morelianumbernacci, l.c.28419na",289/34995
"hippeastrum morelianumsantiago, g.s.12016",34989
"hippeastrum morelianumlorenzi, h.28032001",284/34993
"hippeastrum morelianumvieira, l.t.a.4272016",34991
"hippeastrum morelianumvieira, l.t.a.4412016",34990
"hippeastrum morelianumhutchison, p.c.; paffaro, j.89401985",287/34997
"hippeastrum morelianumhutchison, p.c.; páffaro, j.l.89401985",288
"hippeastrum morelianumschmitz, m.c.s.n.1987",286/34992
"hippeastrum psittacinumdutilh, j.h.a.s.n.2000",250/34953
"hippeastrum psittacinumdutilh, j.h.a.; oliveira, r.s.s.n.2008",249/34951
"hippeastrum psittacinumeiten, g.; mimura, i.57251964",251/34954
"hippeastrum psittacinumkrieger, l.cesj1861941",252/34950
"hippeastrum psittacinumoliveira, r.s.; dutilh, j.h.a.1152008",248/34952
"hippeastrum reginaetombolato, a.f.c.171001994",293/35002
"hippeastrum reginaeloefgren, a.3691909",295
"hippeastrum reginaeheiner, a.2181904",296/297
"hippeastrum reginaemosén, c.w.h.37041875",298
"hippeastrum reginaemosén, c.w.h.3704na",299
hippeastrum striatumnas.n.na,34980
"hippeastrum striatumloefgren, a.30771895",282/34972
"hippeastrum striatumribeiro, a.g.2111996",271/34958
"hippeastrum striatumarzolla, f.a.r.d.p.; condez, t.h.; paula, g.c.r.6292004",265/34968
"hippeastrum striatumbicalho, h.s.n.1963",279/34981
"hippeastrum striatumcustodio filho, a.16771983",275/34982
"hippeastrum striatumcustodio filho, a.; marques, j.j.9911982",277/34985
"hippeastrum striatumdutilh, j.h.a.s.n.2002",266/267/34965/34977
"hippeastrum striatumdutilh, j.h.a.s.n.2008",256/34976
"hippeastrum striatumdutilh, j.h.a.; peixoto, m.s.n.2008",255/34963
"hippeastrum striatumhoehne, f.c.309961933",281/34955
"hippeastrum striatumarzolla, f.a.r.d.p.; paula, g.c.r.; condez, t.h.6292004",264/34978
"hippeastrum striatumkrieger, l.; pickel, b.57621942",280/34961/34962
"hippeastrum striatumkirizawa, m.35452006",263/34988
"hippeastrum striatumlombardi, j.a.69142007",258/34975
"hippeastrum striatummartius, c.f.p.s.n.na",34979
"hippeastrum striatumoliveira, r.s.; dutilh, j.h.a.1162008",257/34966
"hippeastrum striatumshepherd, g.j.; al.59091977",278/34969
"hippeastrum striatumshirasuna, r.t.; queiroz, r.t.3982007",260/34987
"hippeastrum striatumstehmann, j.r.; viana, p.l.; zamberlan, p.47992007",261/34970
"hippeastrum striatumsugiyama, m.35621983",276/34983
"hippeastrum striatumtavares, a.r.s.n.2007",262/34986
"hippeastrum vittatumpickel, d.b.s.n.na",301/35004
"zephyranthes blumenaviahandro, o.12461940",311/35009
"zephyranthes blumenaviashepherd, g.j.; kirszenzaft, s.59091977",309
"zephyranthes blumenaviakirizawa, m.35672007",305/35012
"zephyranthes blumenaviakirizawa, m.; wanderley, m.g.l.27551992",307/35013
"zephyranthes blumenaviahandro, o.12321965",310/35010
"astronium urundeuvarodrigues, a.s.n.na",460/35151
"astronium urundeuvaaraújo, h.s.s.n.1990",440
"astronium urundeuvabarreto, k.d.17491994",402/35066
"astronium urundeuvagarcia, l.c.2412008",369/35078
astronium urundeuvanas.n.na,35095/35097/35098/35099
"astronium urundeuvarodrigues, r.r.11994",413/35149/416/35113/418/35071
"astronium urundeuvarodrigues, r.r.; ivanauskas, n.; malamud, r.11994",415/35126
"astronium urundeuvarodrigues, r.r.; ivanauskas, n.m.; malamud, r.11994",414/417/35090/35177
"schinus engleripickel, b.s.n.1946",358/35056
"schinus engleripickel, b.s.n.1948",356/35055
"schinus engleripirani, j.r.9351984",343/35027
"schinus engleripirani, j.r.; mello-silva, r.; fernandes, j.b.; ferreira, a.g.; simão-bianchini, r.25151989",338/35030
"schinus engleriqueiroz, l.p.; martins, e.; carvalho-okano, r.m.; guimarães, p.f.26631990",325/35018
"schinus engleriqueiroz, l.p.; martins, e.; carvalho-okano, r.m.; guimarães, p.f.26831990",326/35019
"schinus engleribarreto, t.e.2182013",313/35044
"schinus englerihoehne, w.s.n.1948",357/35057
"anemia blechnoidesalston, a.h.g.; lutz, b.m.j.3321938",471
"anemia blechnoidesalmeida, t.e.; salino, a.; bettinardi, m.l.; mello, f.n.a.; flores, t.b.; braga, d.p.p.32192013",468/35183
"anemia blechnoideswindisch, p.g.; proctor, g.r.4654na",35182
anemia phyllitidissilva15391995,635/35384
anemia phyllitidissilva171991,688/35377
anemia phyllitidissilva17101995,639/35379
"anemia phyllitidisbrade, a.c.215171921",799/35399
"anemia phyllitidismaruyama, a.; cicco, l.1592015",482/35488
"anemia phyllitidissoares, a.p.n.51995",644/35270
"anemia phyllitidisregnell, a.f.ii3381857",815/35393
"anemia phyllitidisregnell, a.ii3581857",816/35396
"anemia phyllitidissalino, a.65972001",568/35191/567/35452/569/35249
"anemia phyllitidisulbricht, a.341903",808
"anemia phyllitidisulbricht, a.571903",809
"anemia phyllitidisbarros, a.a.m.5171990",700
"anemia phyllitidismachado, a.b.s.n.1947",774/35421
"anemia phyllitidiscampinas, a.p.29141938",791/35376
"anemia phyllitidisbarretto, e.h.p.; rosário, r.p.g.842013",35290
"anemia phyllitidisbernacci, l.c.; leitão filho, h.f.; tamashiro, j.y.; grombone-guaratini, m.t.; meira neto, j.a.a.196681987",705/35313
"anemia phyllitidisboelcke, o.s.n.na",818
"anemia phyllitidisfonseca, c.g.381961",763/764/35193/35208/762/35392
"anemia phyllitidismoura, c.; liborio, l.c.3162009",511/35482
"anemia phyllitidismosén, c.w.h.22671894",812/35192
"anemia phyllitidisrodrigues, c.e.1071992",670/35372
"anemia phyllitidisfalabella, c.m.e.462005",35431
"anemia phyllitidisfutemma, c.r.t.s.n.1990",691/35495
"anemia phyllitidiscangianeli, r.s.n.na",822/35252
"anemia phyllitidiscapanema, g.s.s.n.1877",813
"anemia phyllitidiscarauta, j.p.p.73072003",551/35264
"anemia phyllitidiscastellanos, a.230601960",766/35259
anemia phyllitidisccj511993,664/35476
"anemia phyllitidiscordeiro, i.27282001",572/35462
"anemia phyllitidislúcio, d.s.12007",35220
"anemia phyllitidisdavis, p.h.; sakane, m.604361976",746/35331
"anemia phyllitidisdedecca, d.92271947",35217/35218
"anemia phyllitidisdedecca, d.s.n.1948",771/35512
"anemia phyllitidisdiogo, j.c.21904",807/35265
"anemia phyllitidiseiten, g.; clayton, w.d.60741965",758/35471
"anemia phyllitidispandin, f.c.p.51994",653/35273
"anemia phyllitidisferreira, v.f.3210na",820
anemia phyllitidisfougerss.n.na,817/35357
"anemia phyllitidisfranco, j.m.s.n.2006",537/35347/536/35342
"anemia phyllitidiseiten, g.; eiten, l.t.18361960",765/35394
"anemia phyllitidiseiten, g.; eiten, l.t.24491960",767/35391
"anemia phyllitidisgemtchújnicov, i.d.s.n.1981",726/35209
"anemia phyllitidisdavidse, g.104291976",744/35373
"anemia phyllitidisgibbs, p.e.s.n.1976",751/35287
"anemia phyllitidisgomes, s.m.; antunes, r.m.; gomes, p.b.; nakakura, h.c.c.; melo, m.s.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; franco, g.c.; forster, w.; ivanauskas, n.m.4482002",557
"anemia phyllitidisgomes, s.m.; antunes, r.m.; gomes, p.b.; nakakura, h.c.c.; melo, m.s.; rodrigues, r.r.4482002",556/35297
"anemia phyllitidiswinther, g.s.n.na",35388
"anemia phyllitidisrose, j.n.211311915",800/35206
"anemia phyllitidisprado, j.17142007",524/35200
"anemia phyllitidisprado, j.; marcelli, m.8211996",619/35397
"anemia phyllitidispastore, j.a.; moura, c.9292001",560/35501
"anemia phyllitidisfranco, j.m.s.n.2007",523/35343
"anemia phyllitidisguillaumon, j.r.s.n.2008",515/35499
"anemia phyllitidiskozera, c.8661999",595/35255
"anemia phyllitidiskozera, c.; vanini, a.; hayashi, a.h.; lima, c.b.k.8661999",594/35443
"anemia phyllitidisroth, l.cesj1931943",777/35294
"anemia phyllitidislauri, l.s.72007",35425/35427
"anemia phyllitidislauri, l.s.82007",35424/35428
"anemia phyllitidislauri, l.s.92007",35429/35430
"anemia phyllitidislombardi, j.a.66472007",522/35386
"anemia phyllitidislusso, m.f.g.421979",734/35212
"anemia phyllitidisguedes, m.l.; cartano, f.s.n.1989",701/35338
"anemia phyllitidissilva, m.r.12161993",665/35374
"anemia phyllitidissilva, m.r.1521992",671/35382
"anemia phyllitidissilva, m.r.16891995",634/35385
"anemia phyllitidissilva, m.r.2081992",672/35383
"anemia phyllitidissilva, m.r.2741992",675/35381
"anemia phyllitidissilva, m.r.7201993",655/35380
"anemia phyllitidissilva, m.r.; rodrigues, c.e.5031992",679/35378
"anemia phyllitidismonteiro, r.48931977",737/35319/738/35345/739/740/35389/35390
"anemia phyllitidismosén, c.w.h.22671874",814/35260
"anemia phyllitidisrosa, n.a.38231980",732/35201
anemia phyllitidisna4401913,802
"anemia phyllitidishandro, o.444511938",789/35395
"anemia phyllitidistravassos, o.p.3581962",759
"anemia phyllitidisgibbs, p.e.35261976",750/35203
"anemia phyllitidisdavis, p.h.; n.d.da cruz, j.s.m.f.s.k.; shepherd., g.j.29331976",748
"anemia phyllitidispace, m.r.; prado, j.; angyalossy, v.1722012",500/35400
"anemia phyllitidisluiz, r.s.1931943",776
"anemia phyllitidispereira, f.g.; garcia, r.j.f.6062012",501/35370
"anemia phyllitidisprado, j.; hirai, r.y.; vasconcellos-neto, j.20332009",512/35300
"anemia phyllitidisesteves, r.581993",656/35493
"anemia phyllitidisfarias, r.6332002",554/35485
"anemia phyllitidisrodrigues, c.e.8471995",649/35189
"anemia phyllitidisrodrigues, c.e.; silva, m.r.1141992",674/35187
"anemia phyllitidisrodrigues, c.e.; silva, m.r.4661993",659/35188
"anemia phyllitidisrosa, n.a.; pires, j.m.38231980",731
"anemia phyllitidisroth, l.s.n.1943",775/35269
"anemia phyllitidistsugaru, s.b-161987",710/35196
"anemia phyllitidisnicolau, s.a.; deus, j.r.m.; menezes, a.c.12601996",629
"anemia phyllitidisgodoy, s.a.p.; garcia, g.m.p.f.r.j.f.; honda, s.3121995",636/35339
"anemia phyllitidishonda, s.; pena, r.p.s.; costa, r.; rocha, a.c.3692008",514/35500
"anemia phyllitidisgomes, s.m.4482002",553/35479
"anemia phyllitidissaka, m.n.312010",509/35403
"anemia phyllitidissakuragui, c.m.19072005",539/35441
"anemia phyllitidissalino, a.3251988",702/35326
"anemia phyllitidissalino, a.10821991",686/35324
"anemia phyllitidissalino, a.20241994",651/652/35333/35463
"anemia phyllitidissalino, a.155981905",805/35250
"anemia phyllitidissalino, a.; almeida, t.e.; cabral, f.n.; potascheff, c.m.; fagundes, i.c.; libon, a.p.155982013",497/35450
"anemia phyllitidissalino, a.; almeida, t.e.; cabral, f.n.; potascheff, c.m.; fagundes, i.c.; liboni, a.p.155982013",496/35302
"anemia phyllitidissampaio, a.j.43821926",798/35261
"anemia phyllitidissampaio, p.s.p.361997",612/35440
"anemia phyllitidisschwacke, c.a.w.2376na",819
"anemia phyllitidisschwartsburd, p.b.; rossi, l.25352011",503/35285
"anemia phyllitidisschwartsburd, p.b.; rossi, l.25422011",502/35286
"anemia phyllitidisselusniaki, m.7062006",538/35221
"anemia phyllitidistsugaru, s.; sano, y.b-161987",709/35375
"anemia phyllitidissilveira, n.98411991",684/35516
"anemia phyllitidissimão-bianchini, r.10251996",35215
"anemia phyllitidissouto, l.s.; mazziero, f.f.f.; nonato, f.r.; castelo, a.c.d.; koga, m.l.222015",479/35472
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.351612013",488/35226
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.351712013",498/35229
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.351722013",483/35223
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.361382013",495/35225
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.361482013",490/35246
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.361732013",484/35228
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.361742013",492/35245
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.361962013",494/35241
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.362152013",485/35227
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.362192013",486/35240
"anemia phyllitidissouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.362732013",491/35224
"anemia phyllitidissouza, v.c.112121996",625/35352
"anemia phyllitidissouza, v.c.; lopez, m.c.p.; gonçalves, g.t.; silva, s.j.g.s.n.1988",703/35436
"anemia phyllitidissouza, v.c.; rodrigues, r.r.; souza, j.p.; sanches, i.d.; astorino, a.; magossi, r.; petrini, m.; tavares junior, j.e.112121996",627/35256
"anemia phyllitidissouza, v.c.; rodrigues, r.r.; souza, j.p.; sanches, i.d.112121996",626/35455
"anemia phyllitidistoledo junior, f.t.1061912",803
"anemia phyllitidistoledo junior, f.t.4461913",801
"anemia phyllitidistaroda, n.56091977",741/35303
"anemia phyllitidistozzi, a.m.g.a.; fillettaz, a.m.; mendonça, c.v.; galvão, j.c.1111998",605/35449
"anemia phyllitidistozzi, a.m.g.a.; filliettaz, a.m.; mendonça filho, c.v.; galvão, j.c.; moreira, j.l.a.; santos, k.981111998",604/35298
"anemia phyllitidisresende, u.m.; carvalho., v.m.7421992",681/35296
"anemia phyllitidisusteri, a.s.n.1905",804/35356
"anemia phyllitidisvasconcellos, m.b.s.n.1981",728/35513
"anemia phyllitidisvasconcellos, m.b.; vasconcellos, j.; wieda, v.s.; uieda, w.125911981",727/35325
"anemia phyllitidishoehne, w.26481948",773/35197
"anemia phyllitidishoehne, w.s.n.1941",779/35295
"anemia phyllitidishoehne, w.s.n.1948",772/35293
"anemia phyllitidisoliveira, w.1231998",597
"anemia phyllitidiswettstein, r.; schiffners.n.1901",810/811/35358/35362
"anemia phyllitidiswidmer, f.l.f.452005",35426
"anemia phyllitidiswindisch, p.g.2871973",753/35272
"anemia phyllitidiswindisch, p.g.3211973",752/35271
"annona dolabripetalacustodio filho, a.; gentry, a.h.47141987",1109/35697
"annona dolabripetalacustodio filho, a.20611983",1053/35792/1055/1056/35842/35845
"annona dolabripetalacustodio filho, a.21851984",1043/35793/1044/35843
"annona dolabripetalacustodio filho, a.25341986",1036/35794/1191/35838
"annona dolabripetalasavassi, a.p.2152002",885/35795
"annona dolabripetalaalmeida-scabbia, r.j.saibadela2071994",956/35892
"annona dolabripetalaalmeida-scabbia, r.j.s.n.1994",953/972/973/974/35718/35719/35720/35722
"annona dolabripetalaalmeida-scabbia, r.j.s.n.1995",936/937/35717/35723
"annona dolabripetalaalmeida-scabbia, r.j.2071994",951/35652
"annona dolabripetala, b.f.barros,-f-de-10311985",1194
"annona dolabripetala, b.f.s.n.1985",35545
"annona dolabripetalabrown jr, k.s.; francini, r.b.208171988",1028/35645/1029/35644
"annona dolabripetalacardoso-leite, e.; oliveira, a.3091994",1170/35603
"annona dolabripetalacarvalho, j.d.s.n.1986",1038/35889
"annona dolabripetalacordeiro, i.; pinheiro, f.; oliveira, r.j.19942000",892/35883
"annona dolabripetalacustodio filho, a.21421983",1054/35841
"annona dolabripetalacustodio filho, a.; cerati, t.m.12701983",1048/35844
"annona dolabripetaladelfini, c.8502013",829/35556
"annona dolabripetalalemos, d.235101928",1088
"annona dolabripetalamartins, e.g.a.1972011",1120/35519/840/35750
"annona dolabripetalamartins, e.g.a.; almeida-costa, d.g.; godoy, m.c.m.1972011",1119
"annona dolabripetalagonzález, e.f.86251980",1112
"annona dolabripetalaarzolla, f.a.r.d.p.; souza, f.m.; araújo, c.o.; corrêa, w.8102005",862/35827
"annona dolabripetalahoehne, f.c.77681919",1090
"annona dolabripetalahoehne, f.c.285981931",1086/1087/1214/1215/35523/35754/1213/35688
"annona dolabripetalahoehne, f.c.304911932",1083
"annona dolabripetalahoehne, f.c.s.n.1931",1216/1217/35746/35747/1085/35890
"annona dolabripetalaloefgren, f.c.h.a.8820(59851899",1092
"annona dolabripetalaarzolla, f.a.r.d.p.1392000",899/35825
"annona dolabripetalasouza, f.m.; sousa, r.c.; santos, m.f.; ribeiro, s.j.6902007",851/35807/1128/35785
"annona dolabripetalasouza, f.m.; sousa, r.c.; corrêa, w.10152007",852/35806
"annona dolabripetalaferreira, s.3161990",35789
"annona dolabripetalaferretti, a.r.; souza, v.c.; vanini, a.; rodrigues, r.r.; tamashiro, j.y.; nave, a.g.; peneireiro, f.m.128na",1097/35632
"annona dolabripetalaflores, t.b.17922013",830/35563
"annona dolabripetalahashimoto, g.6131949",1206/35748/1077/35886
"annona dolabripetalagandolfi, s.80761984",1045/35579
"annona dolabripetalagandolfi, s.; bezerra, c.l.f.; leitão filho, h.f.8076na",1221/35786
"annona dolabripetalagandolfi, s.; leitão filho, h.f.; bezerra, c.l.f.84861984",1047/35633
"annona dolabripetalagentry, a.h.; zardini, e.m.493561985",1223
"annona dolabripetalagentry, a.h.; zardini, e.m.s.n.1985",35547
"annona dolabripetalagibbs, p.e.; leitão filho, h.f.; kinoshita, l.s.; andrade, j.b.35011976",1231/35917
"annona dolabripetalagorgatti, l.31977",1199/1069/35887/1070/35567/1198/35522
"annona dolabripetalagorgatti, l.s.n.1977",35546
"annona dolabripetalagottsberger, g.k.; döring, j.221186/-111986",1193
"annona dolabripetalagottsberger, g.k.; döring, j.s.n.1986",35542
"annona dolabripetalagottsberger, i.s.; gottsberger, g.k.171275/-151975",1200
"annona dolabripetalagottsberger, i.s.; gottsberger, g.k.s.n.1975",35541
"annona dolabripetalagouvêa, l.s.k.272261992",997/35582
"annona dolabripetalaguilherme, f.a.g.2722002",883/35708
"annona dolabripetalalorenzi, h.15771994",1173/35607
"annona dolabripetalaserafim, h.1862008",849
"annona dolabripetalahandro, o.12011967",1204/1203/35914/1201/35690/1202/35521
"annona dolabripetalahandro, o.s.n.1967",35540
"annona dolabripetalamosén, c.w.h.3778na",1101
"annona dolabripetalamosén, c.w.h.27691874",1095
"annona dolabripetalamosén, c.w.h.37781874",1096
"annona dolabripetalamosén, c.w.h.37781875",1093/1094
"annona dolabripetalahoehne, w.131041944",1208/1209
"annona dolabripetalahoehne, w.133511944",1211
"annona dolabripetalahoehne, w.s.n.1944",35534/35538/35539/1207/1210/35692/35694/1079/1080
"annona dolabripetalahoehne, f.c.s.n.1919",1089/35916
"annona dolabripetalahoehne, f.c.s.n.1932",1082/35888
"annona dolabripetalaivanauskas, n.m.50142004",880/35588
"annona dolabripetalalombardi, j.a.; tsuji, r.62292006",1131/35606
"annona dolabripetalapastore, j.a.; moura, c.9642001",888/35798
"annona dolabripetalakinoshita, l.s.272261992",994/35649
"annona dolabripetalakuhlmann, m.20101949",1078/35884
"annona dolabripetalabernacci, l.c.; durigan, g.; franco, g.a.d.c.; furlan, e.; árbocz, g.f.29372000",1150/35769
"annona dolabripetalarossi, l.1091979",1063/35828/1196/1197/1064/35560
"annona dolabripetalarossi, l.7751990",1009/35824
"annona dolabripetalaleitão filho, h.f.3311968",1073/1074/35654/35891
"annona dolabripetalaleitão filho, h.f.9041969",1072/35847
"annona dolabripetalaleitão filho, h.f.83511978",1227
"annona dolabripetalaleitão filho, h.f.s.n.1978",35548
"annona dolabripetalalemos, c.s.n.1928",1218/35913
"annona dolabripetalalima, m.e.l.17202008",1121/35901
"annona dolabripetalalobao, a.; fiaschi, p.; unwin, m.lobao,-a;-fiaschi,-p;-unwin,-m-4912000",1152
"annona dolabripetalalobao, a.; fiaschi, p.; unwin, m.lobao,-a;-fiaschi,-p;-unwin,-m-4932000",1151
