"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","class","locality","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber"
"21","2019-08-20 10:03:40-03","UNICAMP","UEC","110645","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Simões, AO","Simões, AO; Quast, GR; Quast, MP","100","1998","01","19",NA,"Brazil","São Paulo",NA,"Subarbusto latescente, com xilopódio; flores brancas; fauce amarela.",NA,NA,NA,"Pedra do Baú, Face noroeste; a cerca de 1740 metros de altitude, próximo à escada de subida da pedra. Sobre pedra, em encosta íngreme.","São Bento Do Sapucaí","-45.7299995422363","-22.6800003051758","18089","auto",NA,NA,NA,NA,NA,"1740","1740",NA,NA
"22","2020-12-21 16:12:41-03","MBM","MBM","415455","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll. Arg.) Woodson","Pereira, S.F.","Pereira, S.F.; Barbosa, P.R.; Ferreira, T.G.; Barbosa, P.R.; Ferreira, T.G.","248","2012","02","07","Southern America","Brazil","Minas Gerais",NA,"Planta latescente, herbácea, ca. 60 cm. Sépalas verdes com a extremidade avermelhada. Corola branca fauci amarelo.; Campo rupestre.","MBM415455",NA,NA,"Área da Pedra Branca","Caldas","-46.388056","-21.9325",NA,NA,"2012","02","07","-46.388056","-21.9325","1340","1340",NA,NA
"23","2020-12-11 11:31:53-03","UFMG","BHCB","92007","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson",NA,"Simões, AO; Quast, GR","2","1997","04",NA,"Southern America","Brasil","Minas Gerais",NA,"Arbusto, 50-80 cm, látex branco, folhas senescentes com pontuações escuras, frutos marrom-avermelhados.",NA,NA,NA,"Pico dos Dias, Cume do pico, área do Laboratório Nacional de Astrofísica.","Brasópolis","-45.6074981689453","-22.4736003875732","20433","auto",NA,NA,NA,NA,NA,"1800","1800",NA,NA
"24","2020-12-11 11:31:53-03","UFMG","BHCB","92006","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson",NA,"Simões, AO; Quast, GR","165","1998","04","19","Southern America","Brasil","Minas Gerais",NA,"Subarbusto, 40-90cm, látex branco, flores brancas com fauce amarela.; Em encosta de montanha.",NA,NA,NA,"Pico dos Dias, Cume do pico, área do Laboratório Nacional de Astrofísica.","Brasópolis","-45.6074981689453","-22.4736003875732","20433","auto",NA,NA,NA,NA,NA,"1800","1800",NA,NA
"25","2021-02-04 10:25:27-03","UFRPE","HST","5584","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","L.S.Kinoshita","F. de Barros","2196","1991","01","25",NA,"Brasil","Goiás",NA,"Trepadeira da mata. Flores róseas.","HST005584",NA,NA,"Ponte de Pedra","Parauna","-50.448600769043","-16.9477996826172","62630","auto","1996",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","209621","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll. Arg.) Woodson",NA,"A. Regnell","876",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,"US03248347","US03248347_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"27","2020-09-12 05:00:02-03","US","US","1339086","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll. Arg.) Woodson",NA,"A. Regnell","875","1861","10","16","South America - Neotropics","Brazil","Minas Gerais",NA,NA,"US03248346","US03248346_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"28","2020-09-12 05:00:02-03","US","US","209620","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll. Arg.) Woodson",NA,"A. Regnell","876","1847","3",NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,"US03248348","US03248348_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"29","2021-03-15 18:24:47-03","USP","SPF","167098","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","Simões, AO","Simões, AO","671","1998","12","20",NA,"Brasil","Minas Gerais",NA,"Arbusto, 80 cm, látex branco, flores brancas com fauce amarela. Em área de encosta.","SPF00167098",NA,NA,"Cume do Pico dos Dias. Área do Laboratório Nacional de Astrofísica.","Brazópolis","-45.6074981689453","-22.4736003875732","20433","auto",NA,NA,NA,NA,NA,"1800","1800",NA,NA
"30","2019-11-13 11:15:10-03","USP","SPF","212180","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","Matozinhos, CN","Rezende, MG","81","2008","03","28",NA,"Brasil","Minas Gerais",NA,NA,"SPF00212180",NA,NA,NA,"Caldas","-46.386100769043","-21.9235992431641","25710","auto","2008","11",NA,NA,NA,NA,NA,NA,NA
"31","2018-10-25 11:28:27-03","F","FMNH-SEEDPLANTS","V0425384F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"RRC ID Flag","A. F. Regnell","III-876","1861","11","27","South America","Brazil","Minas Gerais",NA,NA,"V0425384F","V0425384F_01 V0425384F_02","Dicotyledoneae",NA,NA,"-44","-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 876"
"32","2018-10-25 11:28:27-03","F","FMNH-SEEDPLANTS","V0425385F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,NA,"A. F. Regnell","976","1867","1",NA,"South America","Brazil",NA,NA,NA,"V0425385F","V0425385F_01","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-01-27 18:24:27-03","IAC","IAC","46387","S","Plantae",NA,NA,"Apocynaceae-2.Apocynoideae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","L.S. Kinoshita-Gouvêa","R.B. Torres et al.","1612","2005","11","13",NA,"Brasil","Minas Gerais",NA,"látex branco abundante",NA,NA,NA,"Pedra Branca","Caldas","-46.3861","-21.9236",NA,NA,"2006","05","13","-46.3861","-21.9236",NA,NA,NA,NA
"34","2020-01-27 18:24:27-03","IAC","IAC","51399","S","Plantae",NA,NA,"Apocynaceae-2.Apocynoideae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","E. Ramos & T.B. Conforti","E. Ramos & T.B. Conforti","252","2007","04","21",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Caldas","-46.3861","-21.9236",NA,NA,"2007","04","21","-46.3861","-21.9236",NA,NA,NA,NA
"35","2020-01-27 18:24:27-03","IAC","IAC","53225","S","Plantae",NA,NA,"Apocynaceae-2.Apocynoideae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","R.B. Torres","R.B. Torres; A. Santos; G. Pelissari & P.S. Pereira","1916","2011","10","24",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Serra da Pedra Branca","Caldas","-46.3861","-21.9236",NA,NA,"2011","10","24","-46.3861","-21.9236",NA,NA,NA,NA
"36","2019-05-06 11:52:04-03","UFU","HUFU","61581","S","Plantae",NA,NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","Matozinhos, C.N.","Rezende, M.G.; Souza, F.S. & Machado, T.M.","169","2008","09","13",NA,"Brasil","Minas Gerais",NA,"Arbusto, ca. 1,5 m alt. Flores brancas, frutos vináceos. Presença de látex.; Campo de altitude.","HUFU00001486",NA,NA,"Pocinho do Rio Verde, Pedra Branca","Caldas","-46.386100769043","-21.9235992431641","25710","auto","2008","11",NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:06:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Dipladenia","venulosa","Dipladenia venulosa","Müll.Arg.",NA,"Lindberg, GA","194",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in hb. Mart. Florebat Octobri. Pl. Oreas",NA,NA,NA,"Habitat ad oppidum Caldas prov. Minarum","Caldas","-46.3861","-21.9236","25710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 09:58:48-03","IBt","SP","247116","S","Plantae",NA,NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","Kinoshita, LS","Barros, F","2196","1991","01","25",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,"Estrada GO-411 ca. 90 km após a cidade de Paraúna, localidade denominada Ponte de Pedra, margens do ribeirão Corrente","Paraúna","-50.448600769043","-16.9477996826172","62630","auto","1996",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 09:58:48-03","IBt","SP","2893","S","Plantae",NA,NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","Sales, MF","Hoehne, FC","s.n.","1919","01","21",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Pedra Branca","Caldas","-46.386100769043","-21.9235992431641","25710","auto","1993","07","17",NA,NA,NA,NA,NA,NA
"40","2019-11-21 09:58:48-03","IBt","SP","374405","S","Plantae",NA,NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","Simões, AO","Simões, AO; Quast, GR; Quast, MP","100","1998","01","19",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"Pedra do Baú, face noroeste, próximo à escada de subida da pedra","São Bento do Sapucaí","-45.7299995422363","-22.6800003051758","18089","auto","2005",NA,NA,NA,NA,"1740","1740",NA,NA
