"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","infraspecificEpithet","typeStatus","fieldNumber"
"11","2021-04-05 14:25:03-03","UNESC","CRI","694","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI001562","CRI001562","1044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:02-03","UNESC","CRI","4415","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","V. C. Zanette","Valdemar Boff","1995","11","01","Brasil","Santa Catarina","Maracajá",NA,"-49.453056","-28.847222","49º27'11''W","28º50'50''S",NA,NA,"CRI001556","CRI001556","262",NA,NA,NA,"Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:03-03","UNESC","CRI","660","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1991","04","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI001548","CRI001548","1010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:03-03","UNESC","CRI","595","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Luis R. M. Baptista","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI001559","CRI001559_1 CRI001559_2","945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:33:19-03","UNESC","CRI","7884","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Vanilde Citadini- Zanette","Jean Gabriel Cemin","2007","10","24","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI001561","CRI001561",NA,"2008","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:33:19-03","UNESC","CRI","5011","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Rafael Martins","E. Giacomelli","1996","11","05","Brasil","Santa Catarina","Forquilhinha",NA,"-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI001545","CRI001545",NA,"2010","10","27","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:02-03","UNESC","CRI","13429","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Vanilde Citadini-Zanette","Maria Eduarda Ferreira","2018","06","04","Brasil","Santa Catarina","Criciúma","Horto Medicinal - UNESC","-49.369701385498","-28.6774997711182",NA,NA,NA,NA,"CRI012036",NA,NA,"2018","06","04","Flor lilás. Habito: Arbustivo","18248","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","402724","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. Reiss","1934","11","13","Brazil","Paraná","Ipiranga","Ypiranga.","-50.5842","-25.0242",NA,NA,NA,NA,"NY00402724","NY00402724_01","114",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470577' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1039462","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"W. Hoehne","1944","11","10","Brazil","São Paulo","Sao Paulo","Parque do Estado de Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,"NY01039462","NY01039462_01","1554",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1486419' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","402719","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"J. C. Lindeman","1966","10","17","Brazil","Paraná","Campo Mourao","25 km S.E. of Campo Mourao. Road side.","-52.3831","-24.0458",NA,NA,NA,NA,"NY00402719","NY00402719_01","2754",NA,NA,NA,"Slide: L 13. 27,28 Wood sample no. U 13910 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470564' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","402736","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"L. B. Smith","1956","11","25","Brazil","Santa Catarina","Bom Retiro","Residual forest, Lomba Alta","-49.4892","-27.7972",NA,NA,"1000","1000","NY00402736","NY00402736_01","7956",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470570' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","931250","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"H. S. Irwin","1964","09","04","Brazil","Distrito Federal","Brasília","Ca. 23 km. S.W. of Brasília on road to Anápolis.","-48.15","-15.93",NA,NA,"700","1000","NY00931250","NY00931250_01","5974",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001641' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","402727","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"P. K. H. Dusén","1915","09","27","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"NY00402727","NY00402727_01","17213",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470579' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","402734","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"G. G. Hatschbach","1982","09","30","Brazil","Paraná","Teixeira Soares","Rio da Areia","-50.4606","-25.3683",NA,NA,NA,NA,"NY00402734","NY00402734_01","45503",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470565' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","931251","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"H. S. Irwin","1964","09","04","Brazil","Distrito Federal","Brasília","Ca. 23 km. S.W. of Brasília on road to Anápolis.","-48.15","-15.93",NA,NA,"700","1000","NY00931251","NY00931251_01","5974",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001694' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","402690","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","R. S. Bustos","R. S. Bustos","1995","03","15","Brazil","Paraná","Curitiba","Capao da Imbúia","-49.22","-25.37",NA,NA,NA,NA,"NY00402690","NY00402690_01","4",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470560' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","402730","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"A. C. Dias","1984","10","02","Brazil","São Paulo","Sete Barras","Parque Estadual de Carlos Botelho, Instituto Florestal","-47.989753","-24.144027",NA,NA,NA,NA,"NY00402730","NY00402730_01","s.n.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470585' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","402742","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. Reitz","1953","09","22","Brazil","Santa Catarina","Itajaí","Penha, Itajaí.","-48.6617","-26.9081",NA,NA,"20","20","NY00402742","NY00402742_01","5714",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470571' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","402715","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"A. H. Gentry","1985","01","24","Brazil","Paraná","Morretes","Sapitanduva, Datschbach Biological Reserve ca. 10 km N E of Morretes.","-48.75","-25.5",NA,NA,"40","40","NY00402715","NY00402715_01","49795",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470591' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","402721","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"L. B. Smith","1964","10","21","Brazil","Santa Catarina","Sao Miguel do Oeste","Forest near Sao Miguel d'Oeste.","-53.52","-26.72",NA,NA,"600","700","NY00402721","NY00402721_01","12813",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470568' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","777294","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","L. Rossi","G. L. Esteves","2000","10","20","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatuba. Base do Gravi","-45.4097","-23.6203",NA,NA,NA,NA,"NY00777294","NY00777294_01","2765",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470589' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","402725","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. Reitz","1956","09","21","Brazil","Santa Catarina","Ibirama","Ibirama.","-49.534691","-27.013976",NA,NA,"100","100","NY00402725","NY00402725_01","3682",NA,NA,NA,"Vouchers for wood samples deposited at Syracuse Universities. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470569' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","402720","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"D. S. D. de Araújo","1980","11","04","Brazil","Rio de Janeiro","Cachoeiras de Macacu","A beira da estr. entre Funchal e Fazenda Santo Amaro.","-42.6531","-22.4625",NA,NA,NA,NA,"NY00402720","NY00402720_01","4094",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470583' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","402722","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. P. Belém","1965","04","10","Brazil","Bahia","Ilhéus","Rodovia Camacan - Canavieira.","-39.0492","-14.7892",NA,NA,NA,NA,"NY00402722","NY00402722_01 NY00402722_02","737",NA,NA,NA,"Coleçao de madeira. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470562' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","402744","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. Reitz","1958","09","19","Brazil","Santa Catarina","Lauro Muller","Novo Horizonte, Lauro Müller.","-49.483071","-28.387264",NA,NA,"400","400","NY00402744","NY00402744_01","7229",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470573' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","402740","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. Reitz","1957","12","20","Brazil","Santa Catarina","Garuva","Pôrto do Palmital, Garuva, S. Francisco do Sul.","-48.8547","-26.0269",NA,NA,"10","10","NY00402740","NY00402740_01","4062",NA,NA,NA,"Foto em preto e côr. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470575' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","402743","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. Reitz","1958","02","04","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre.","-49.2656","-26.1925",NA,NA,"1200","1200","NY00402743","NY00402743_01","6386",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470576' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","402685","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","A. H. Gentry","E. Bausen","1988","03","23","Brazil","Espírito Santo","Santa Teresa","Santa Teresa, Sede, morro à direita da rua em direçao ao hospital.","-40.6003","-19.9358",NA,NA,NA,NA,"NY00402685","NY00402685_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470558' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","402726","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"P. K. H. Dusén","1908","09","28","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"NY00402726","NY00402726_01","6632",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470581' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","402684","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"C. Medri","1997","09","27","Brazil","Paraná","Sapopema","Sapopema, Salto das Orquídeas.","-50.5803","-23.9108",NA,NA,NA,NA,"NY00402684","NY00402684_01","431",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470596' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","402735","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. Kummrow","1981","10","31","Brazil","Paraná","Quatro Barras","Col. Japonesa","-49.0767","-25.3658",NA,NA,NA,NA,"NY00402735","NY00402735_01","1581",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470563' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","402739","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"R. Reitz","1953","09","24","Brazil","Santa Catarina","Palhoça","Campo do Massiambú, Palhoça.","-48.62515","-27.834087",NA,NA,"10","10","NY00402739","NY00402739_01","954",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470574' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","402733","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"G. G. Hatschbach","1978","01","05","Brazil","Paraná","Piraquara","Santa Maria","-49.0631","-25.4419",NA,NA,NA,NA,"NY00402733","NY00402733_01","40658",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470566' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","777293","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","A. H. Gentry","E. Bausen","1988","03","23","Brazil","Espírito Santo","Santa Teresa","Sede, morro à direita da rua em direçao ao hospital","-40.6003","-19.9358",NA,NA,NA,NA,"NY00777293","NY00777293_01","4481",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470559' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","777292","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","S. M. Silva","M. Borgo","2000","02","12","Brazil","São Paulo","Ilha Comprida","Rio Camapui, Pedrinhas","-47.73","-24.87",NA,NA,NA,NA,"NY00777292","NY00777292_01","677",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470588' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","402731","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"H. de F. Leitão Filho","1970","10","26","Brazil","São Paulo","Tapiraí","Rodovia Piedade-Tapirai. Km 115.","-47.5","-23.96",NA,NA,NA,NA,"NY00402731","NY00402731_01","1088",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470586' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
