"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","fieldNumber"
"11","2019-08-27 13:25:44-03","IAP","PACA-AGP","66880","PreservedSpecimen","Plantae","Gramineae","Apoclada","simplex","Apoclada simplex","McClure & Smith","F. A. McClure","R. M. Klein","1963","10","28","Brasil","SC","Palmares","Campos Novos - Pinhal",NA,NA,NA,NA,"PACA066880","PACA066880","Magnoliophyta","Cyperales","Paratipo","4108",NA,"900","900",NA,"sp. nov. Paratypus&nf;altura 6-8m,&nf;Os números Reitz & Klein 16355 e Reitz 4657 foram colhidos na mesma touça. Habitat: lugares umidos","Liliatae",NA,"1966",NA,NA,NA,NA,NA,NA
"12","2019-11-27 11:47:50-03","IAP","PACA-AGP","66881","PreservedSpecimen","Plantae","Gramineae","Apoclada","simplex","Apoclada simplex","McClure & Smith","F. A. McClure","Reitz, R.","1963","12","27","Brasil","SC","Palmares","Campos Novos, Pinhal.",NA,NA,NA,NA,"PACA066881","PACA066881","Magnoliophyta","Cyperales","Isotipo","16355",NA,"900","900",NA,"Conforme McClure, Smithson, contr. Bot. ( ; 12, fig. 5. 1977.","Liliatae",NA,"1966",NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:18:53-03","UFV","VIC","45825","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","T.S.Filgueiras","R.T.Shirasuna; T.S.Filgueiras","2009","10","05","Brasil","São Paulo","Barra do Turvo","Parque Estadual de Jacupiranga., Margem de pequeno córrego de mata atlântica.","-48","-24","-48","-24","VIC045825","VIC045825",NA,NA,NA,"2565",NA,"670","670",NA,"Bambu lignificado com aproximadamente 6 m de altura; folhas estreitas; estéril; rara.; Folhas estreitas; estéril.; Bambu lignificado com aproximadamente 6 m de altura.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:42:03-03","UFJF","CESJ","60364","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Smith","D.B. Falkenberg","D.B. Falkenberg","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de Caçador","-51.0149993896484","-26.7752990722656",NA,NA,"CESJ060364",NA,"Angiosperma",NA,NA,"6752","América do Sul",NA,NA,NA,"Estéril. Limbo enrolado. Bambu de colmo oco, ca. 6m alt., na beira de mata com araucária.",NA,NA,"1994","38516","auto",NA,NA,NA,NA
"15","2021-03-01 16:20:22-03","UNICAMP","UEC","171824","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Santos, AG","Santos, AG; Matsemeoto, K; Belinello, R","2002","02","23","Brazil","Paraná","Curitiba","Morro dos perdidos, próximo do posto a polícia civil de barra do turvo sentido PR-SP.","-48.2875","-24.934167","-48.2875","-24.934167","UEC016922","UEC016922","Liliopsida",NA,NA,"411",NA,NA,NA,NA,"Bambu lignificado coletadona estrada BR 116.",NA,NA,"2002",NA,NA,"02",NA,NA,NA
"16","2020-10-14 10:04:54-03","FURB","FURB","38733","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Falkenberg, DB","Falkenberg, D.B.","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética de Caçador.","-51.0149993896484","-26.7752990722656",NA,NA,"FURB03067","FURB03067",NA,NA,NA,"6748",NA,"1000","1000",NA,"Bambu de colmo oco, estéril",NA,NA,"1994","38516","auto",NA,NA,NA,NA
"17","2020-10-14 10:04:54-03","FURB","FURB","38728","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Falkenberg, DB","Falkenberg, D.B.","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de Caçador.","-51.0149993896484","-26.7752990722656",NA,NA,"FURB38772","FURB38772",NA,NA,NA,"6752",NA,"1000","1000",NA,"Limbo enrolado, bambu de colmo oco, estéril",NA,NA,"1994","38516","auto",NA,NA,NA,NA
"18","2020-12-21 16:40:00-03","MBM","MBM","194503","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","Clark, L.G.","Clark, L.G.; et al.; et al.",NA,NA,NA,"Brazil","São Paulo",NA,"Rod. BR-116, km 528",NA,NA,NA,NA,"MBM194503","MBM194503",NA,NA,NA,"1027","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:40:00-03","MBM","MBM","51274","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","Smith, L.B.","Klein, R.",NA,NA,NA,"Brazil","Santa Catarina","Caçador","4km ao sul de Caçador","-51.0149993896484","-26.7752990722656",NA,NA,"MBM051274","MBM051274",NA,NA,NA,"7779","Southern America",NA,NA,NA,NA,NA,NA,NA,"38516","auto",NA,NA,NA,NA
"20","2020-12-21 16:40:00-03","MBM","MBM","202947","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","Falkenberg, D.B.","Falkenberg, D.B.",NA,NA,NA,"Brazil","Santa Catarina","Caçador","Reserva Florestal","-51.0149993896484","-26.7752990722656",NA,NA,"MBM202947","MBM202947",NA,NA,NA,"6748","Southern America",NA,NA,NA,NA,NA,NA,NA,"38516","auto",NA,NA,NA,NA
"21","2020-12-21 16:40:00-03","MBM","MBM","202948","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","Falkenberg, D.B.","Falkenberg, D.B.",NA,NA,NA,"Brazil","Santa Catarina","Caçador","Reserva Florestal","-51.0149993896484","-26.7752990722656",NA,NA,"MBM202948","MBM202948",NA,NA,NA,"6752","Southern America",NA,NA,NA,NA,NA,NA,NA,"38516","auto",NA,NA,NA,NA
"22","2020-12-21 16:40:00-03","MBM","MBM","51196","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","McClure, F.A.","Klein, R.","1963","10","28","Brazil","Santa Catarina","Campos Novos","Palmares","-51.2249984741211","-27.4016990661621",NA,NA,"MBM051196","MBM051196",NA,NA,"PARATYPE","4108","Southern America","900","900",NA,"Calamodêndrica, 6-8m.; Pinhal, lugares úmidos.",NA,NA,"1966","43319","auto",NA,NA,NA,NA
"23","2020-12-21 16:40:00-03","MBM","MBM","51197","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","McClure, F.A.","Klein, R.","1964","02","26","Brazil","Santa Catarina","Campos Novos","Palmares","-51.2249984741211","-27.4016990661621",NA,NA,"MBM051197","MBM051197",NA,NA,"PARATYPE","4657","Southern America","900","900",NA,"Pinhal.",NA,NA,"1966","43319","auto",NA,NA,NA,NA
"24","2021-02-11 17:21:16-03","UFPR","UPCB","32054","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Smith","Falkenberg, D.B.","Falkenberg, D.B.","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de Caçador","-51.0149993896484","-26.7752990722656",NA,NA,"UPCB0038120",NA,NA,NA,NA,"6752",NA,NA,NA,NA,"Beira da mata de araucaria. Bambu com colmo oco, estéril..",NA,NA,"1994","38516","auto","01","01",NA,NA
"25","2021-02-11 17:21:16-03","UFPR","UPCB","32055","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Smith","Falkenberg, D.B.","Falkenberg, D.B.","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de Caçador","-51.0149993896484","-26.7752990722656",NA,NA,"UPCB0038121",NA,NA,NA,NA,"6748",NA,NA,NA,NA,"Beira da mata de araucaria. Bambu com colmo oco, estéril..",NA,NA,"1994","38516","auto","01","01",NA,NA
"26","2009-07-05 15:35:00-03","MO","MOBOT","246049","PreservedSpecimen","Plantae","Poaceae","Apoclada","diversa","Apoclada diversa","McClure & L.B. Sm.",NA,"Jason R. Swallen","1946","1","22","Brazil","Santa Catarina",NA,"Cacador, Rio Cacador",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swallen 8271","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2013-08-23 04:12:00-03","MO","MOBOT","1775715","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.",NA,"Lynn G. Clark","1991","3","11","Brazil","Santa Catarina",NA,"Mun. Caçador-Rio das Antas, about 7.2 km from Caçador","-51","-26.85",NA,NA,NA,NA,NA,NA,NA,"Clark 898","South America","910.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2010-12-02 14:45:00-02","MO","MOBOT","1775757","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","E. Ruiz-Sanchez","Lynn G. Clark","1992","2","17","Brazil","São Paulo",NA,"Km 528 of BR-116, just across the highway from Posto Alto da Serra Paraiso, between Rio Barreiro and Rio Caapora. In secondary forest on the W side of the highway just before the gas station (heading toward Curitiba)","-48.35","-24.9666667",NA,NA,NA,NA,NA,NA,NA,"Clark 1027","South America","620.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"29","2009-06-24 20:49:00-03","MO","MOBOT","1775765","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.",NA,"Jason R. Swallen","1946","1","22","Brazil","Santa Catarina",NA,"Rio Caçador",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swallen 8270","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2010-12-02 14:43:00-02","MO","MOBOT","1775843","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","E. Ruiz-Sanchez","Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital","1976","3","8","Brazil","São Paulo",NA,"38 km NE of the São Paulo-Paraná border, near the 267 km post on Highway 116. Bamboo forest on marshy ground.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Davidse 10903","South America","680.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1136"
"31","2008-05-27 22:02:00-03","MO","MOBOT","1792648","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","J. Valls","J. Valls","1974","1","9","Brazil","Santa Catarina",NA,"Campos Novos, estr. C. Novos-Curitibanos, 40 km apos. C. Novos, 18 km W do rio Marombas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Valls 3113","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2008-05-27 22:02:00-03","MO","MOBOT","226651","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.",NA,"Per Dusén","1916","1","21","Brazil","Paraná",NA,"Tres Barras, locis silvulae sat apertis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dusén 17506","South America","760.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2012-05-14 14:11:00-03","MO","MOBOT","226663","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.",NA,"Gerald F. Guala II|Tarciso S. Filgueiras","1990","5","23","Brazil","Santa Catarina",NA,"Cacador.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guala 1426","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2018-06-22 05:24:00-03","MO","MOBOT","246085","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","Smith, L. B.","Pe. Raulino Reitz|Roberto M. Klein","1963","12","27","Brazil","Santa Catarina",NA,"Palmares, Campos Novos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reitz 16355","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-08-01 18:19:28-03","UNESP-IBILCE","SJRP","06009","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure and Smith in Reitz",NA,"L. Clark",NA,NA,NA,"Brasil","São Paulo","Alto da Serra","Posto Alto da Serra",NA,NA,NA,NA,NA,NA,"Tracheophyta","Poales",NA,NA,"América do Sul",NA,NA,NA,"In secondary forest;","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-08-01 18:19:28-03","UNESP-IBILCE","SJRP","04577","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure and Smith in Reitz",NA,"L. Clark",NA,NA,NA,"Brasil","Santa Catarina","Caçador","rio das antas","-51.0149993896484","-26.7752990722656",NA,NA,NA,NA,"Tracheophyta","Poales",NA,NA,"América do Sul",NA,NA,NA,"Bamboo in secondary forest;","Liliopsida",NA,NA,"38516","auto",NA,NA,NA,NA
"37","2017-11-24 14:11:59-02","UFLA","ESAL","549","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Valls et alii",NA,NA,NA,"Brasil","Santa Catarina","Campos Novos",NA,"-51.2249984741211","-27.4016990661621",NA,NA,NA,NA,NA,NA,NA,"3113",NA,NA,NA,NA,"; ; ;",NA,NA,NA,"43319","auto",NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US","2152479","PreservedSpecimen","Plantae","Poaceae","Apoclada","diversa","Apoclada diversa","McClure & L.B. Sm. in Reitz",NA,"J. R. Swallen","1946","1","22","Brazil","Santa Catarina",NA,"Cacador, Rio Cacador.",NA,NA,NA,NA,"US00139285","US00139285_01",NA,"Cyperales","Type collection","8271","South America",NA,NA,NA,"Some confusion as to which specimen is holotype. US has 2 sheets with non-consecutive sheet numbers but annotated sheet 1 (USNH 2152479) and sheet 2 (USNH 2383418). Protologue explicitly cites 2383418 as holotype, but 2152479 is annotated as holotype.","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"39","2020-09-12 05:00:02-03","US","US","2383418","PreservedSpecimen","Plantae","Poaceae","Apoclada","diversa","Apoclada diversa","McClure & L.B. Sm. in Reitz",NA,"J. R. Swallen","1946","1","22","Brazil","Santa Catarina",NA,"Cacador, Rio Cacador.",NA,NA,NA,NA,"US00139284","US00139284_01",NA,"Cyperales","Type collection","8271","South America",NA,NA,NA,"Some confusion as to which specimen is holotype. US has 2 sheets with non-consecutive sheet numbers but annotated sheet 1 (USNH 2152479) and sheet 2 (USNH 2383418). Protologue explicitly cites 2383418 as holotype, but 2152479 is annotated as holotype.","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"40","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein","1963","10","28","Brazil","Paraná",NA,"Palmares, campos novos",NA,NA,NA,NA,NA,NA,NA,"Cyperales",NA,"4108","South America","900","900",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"41","2020-09-12 05:00:02-03","US","US","1284470","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"P. K. Dusén","1916","1","21","Brazil","Paraná",NA,"Tres barras",NA,NA,NA,NA,"US00031861","US00031861_01 US00031861_02",NA,"Cyperales",NA,"17506","South America","760","760",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"42","2020-09-12 05:00:02-03","US","US","3289647","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"L. G. Clark, X. Londoño & W. De Oliveira","1992","2","17","Brazil","São Paulo",NA,"Km 528 of br116, just across the highway from posto alto da serra paraiso, between rio barreiro and rio caapora","-48.35","-24.9667",NA,NA,"US00452380","US00452380_01 US00452380_02",NA,"Cyperales",NA,"1027","South America - Neotropics","620","620",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"43","2020-09-12 05:00:02-03","US","US","3260470","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"X. Londoño & L. G. Clark","1992","2","19","Brazil","Santa Catarina",NA,"A orilla del rio do inferno grande, br470, entre curitibanos y campo novos, ca 18 km antes de campo novos",NA,NA,NA,NA,"US00502353","US00502353_01 US00502353_02",NA,"Cyperales",NA,"695","South America","880","880",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"44","2020-09-12 05:00:02-03","US","US","2434530","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein",NA,NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"US00030025","US00030025_01 US00030025_02",NA,"Cyperales",NA,"4657","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"45","2020-09-12 05:00:02-03","US","US","2434523","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein","1963","10","28","Brazil","Paraná",NA,"Palmares, campos novos",NA,NA,NA,NA,"US00030010","US00030010_01 US00030010_02",NA,"Cyperales",NA,"4108","South America","900","900",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"46","2020-09-12 05:00:02-03","US","US","2434529","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein","1964","2","26","Brazil","Santa Catarina","Campos Novos","Palmeiras","-51.2249984741211","-27.4016990661621",NA,NA,"US00030004","US00030004_01 US00030004_02",NA,"Cyperales",NA,"4657","South America","900","900",NA,NA,"Monocotyledonae",NA,NA,"43319","auto",NA,NA,"1",NA
"47","2020-09-12 05:00:02-03","US","US","2845013","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"G. Davidse","1976","3","8","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"US00030013","US00030013_01 US00030013_02",NA,"Cyperales",NA,"10903","South America - Neotropics","680","680",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"48","2020-09-12 05:00:02-03","US","US","3260469","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"X. Londoño & L. G. Clark","1992","2","19","Brazil","Santa Catarina",NA,"A orilla del rio do inferno grande, br470, entre curitibanos y campo novos, ca 18 km antes de campo novos",NA,NA,NA,NA,"US00502354","US00502354_01 US00502354_02",NA,"Cyperales",NA,"695","South America","880","880",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"49","2020-09-12 05:00:02-03","US","US","2743807","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"A. Castellanos","1964","2","26","Brazil","Santa Catarina","Campos Novos","Palmeiras","-51.2249984741211","-27.4016990661621",NA,NA,"US00030003","US00030003_01 US00030003_02",NA,"Cyperales",NA,"24588","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"43319","auto",NA,NA,"1",NA
"50","2020-09-12 05:00:02-03","US","US","2725905","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"J. Valls","1974","1","9","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"US00030014","US00030014_01 US00030014_02",NA,"Cyperales",NA,"3113","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"51","2020-09-12 05:00:02-03","US","US","3289629","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"L. G. Clark & W. De Oliveira","1991","3","11","Brazil","Santa Catarina","Caçador","Road cacador - rio das antas, about 7.2 km from cacador","-51","-26.85",NA,NA,"US00452378","US00452378_01 US00452378_02",NA,"Cyperales",NA,"898","South America","910","910",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"52","2020-09-12 05:00:02-03","US","US","3289648","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"L. G. Clark, X. Londoño & W. De Oliveira","1992","2","17","Brazil","São Paulo",NA,"Km 528 of br116, just across hwy from posto alto da serra paraiso, between rio barreiro and rio caapora","-48.35","-24.9667",NA,NA,"US00502399","US00502399_01 US00502399_02",NA,"Cyperales",NA,"1027","South America - Neotropics","620","620",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
