"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","monthIdentified","continentOcean","coordinatePrecision","geoFlag","dayIdentified","imagecode","class","typeStatus","fieldNumber","preparationType","order"
"13","2015-07-02 14:03:24-03","JBP","HPL","6951","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","R. Tsuji, H. lorenzi, et al.","1528","2007","01","25","Brasil","ES","Soretama","Coletado na Reserva da Vale do Rio Doce, em vegetação ombrófila.","-40.0978","-19.1969",NA,NA,NA,NA,NA,NA,"06",NA,"33715","auto","04",NA,NA,NA,NA,NA,NA
"14","2015-07-02 14:03:24-03","JBP","HPL","7021","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","R. Tsuji, H. Lorenzi et al.","1603","2007","01","29","Brasil","MG","Viçosa","Coletado na coleção de jabuticaba - UFV, Seção de Fruticultura.","-42.8819","-20.7539",NA,NA,NA,NA,NA,NA,"06",NA,"13937","auto","04",NA,NA,NA,NA,NA,NA
"15","2015-07-02 14:03:24-03","JBP","HPL","9549","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","R. Tsuji","2372","2007","12","02","Brasil","RJ","Sapucaia","3° distrito de Sapucaia, estrada da Conceição n°300, Fazenda Córrego Sujo (propriedade Sra. Estela Souza); acesso Rod. Stos. Dummont (BR-116; km 23).","-42.9144","-21.995",NA,NA,NA,NA,NA,NA,"06",NA,"27567","auto","04",NA,NA,NA,NA,NA,NA
"16","2020-06-29 09:31:39-03","UFRRJ","RBR","16810","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral",NA,"2020","S. Brito","s.n.",NA,NA,NA,"?",NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"RBR00016810","04",NA,NA,NA,"16","RBR00016810",NA,NA,NA,NA,NA
"17","2013-04-01 09:18:37-03","IPT","BCTW","19961","S","Plantae","Magnoliophyta",NA,"Myrciaria","phitrantha","Myrciaria phitrantha","(Kiaersk.) Mattos",NA,NA,"Lorenzi, H.","38",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"18","2015-11-07 07:07:50-02","MNHN","RECOLNAT_MNHN_P","P01902632","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","phitrantha","Eugenia phitrantha","Kiaersk.","Mazine-Capelo",NA,"Glaziou, A.",NA,"1887","1","27","Brésil",NA,NA,"(Rio Jan.) Sete Pontes, chez Mr de Beaurepaire Rohan",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902632' target='other'> <mi>dwc_moreinfo</mi></a>","P01902632",NA,NA,NA,NA,NA,"P01902632_01",NA,"isotype","16051","hb",NA
"19","2015-11-07 07:31:36-02","MNHN","RECOLNAT_MNHN_P","P01902633","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","phitrantha","Eugenia phitrantha","Kiaersk.","Mazine-Capelo",NA,"Glaziou, A.",NA,"1887","1","27","Brésil",NA,NA,"(Rio Jan.) Sete Pontes, chez Mr de Beaurepaire Rohan",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902633' target='other'> <mi>dwc_moreinfo</mi></a>","P01902633",NA,NA,NA,NA,NA,"P01902633_01",NA,"isotype","16051","hb",NA
"20","2015-11-07 07:07:46-02","MNHN","RECOLNAT_MNHN_P","P01902634","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","phitrantha","Eugenia phitrantha","Kiaersk.","Mazine-Capelo",NA,"Glaziou, A.",NA,"1887","1","27","Brésil",NA,NA,"(Rio Jan.) Sete Pontes, chez Mr de Beaurepaire Rohan",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902634' target='other'> <mi>dwc_moreinfo</mi></a>","P01902634",NA,NA,NA,NA,NA,"P01902634_01",NA,"isotype","16051","hb",NA
"21","2015-09-04 23:00:16-03","MNHN","RECOLNAT_MNHN_P","P05321338","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","phitrantha","Eugenia phitrantha","Kiaersk.",NA,NA,"Glaziou, A.",NA,"1892","10","22","Brasil","Rio de Janeiro",NA,"Quinta.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05321338' target='other'> <mi>dwc_moreinfo</mi></a>","P05321338",NA,NA,NA,NA,NA,"P05321338_01",NA,NA,"20323","hb",NA
"22","2015-09-04 23:00:16-03","MNHN","RECOLNAT_MNHN_P","P05321337","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","phitrantha","Eugenia phitrantha","Kiaersk.",NA,NA,"Glaziou, A.",NA,"1892","10","22","Brasil","Rio de Janeiro","Rio de Janeiro","Quinta.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05321337' target='other'> <mi>dwc_moreinfo</mi></a>","P05321337",NA,NA,"57442","auto",NA,"P05321337_01",NA,NA,"20323","hb",NA
"23","2015-09-04 23:00:17-03","MNHN","RECOLNAT_MNHN_P","P05321339","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","phitrantha","Eugenia phitrantha","Kiaersk.",NA,NA,"Glaziou, A.",NA,"1878","9","24","Brasil","Rio de Janeiro","São Gonçalo","Sete Pontes, Chez Maº da Bea..","-43.0539016723633","-22.8269004821777",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05321339' target='other'> <mi>dwc_moreinfo</mi></a>","P05321339",NA,NA,"16990","auto",NA,"P05321339_01",NA,NA,"9445","hb",NA
"24","2020-07-10 09:48:00-03","MBML","MBML-HERBARIO","44822",NA,"Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","A.A. Assis",NA,"A. M. Assis; M. D. S. Demuner & M. B. Redighieri","2443","2010","04","25","Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante - mata do Fuxico","-40.422944","-18.765583","40W25'22,6","18S45'56,1","155","155","Árvore 10m, DAP 25cm, caulifloria, frutos verdes e secos","MBML044822",NA,NA,NA,NA,NA,"MBML044822",NA,NA,NA,NA,NA
"25","2021-02-25 10:13:10-03","CVRD","CVRD","200","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","Marcelo C. Souza","2015","Spada, J.","83","1978","06","28","BRASIL","ES","Linhares","Área de Experimento.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Jabuticaba da mata","CVRD000200","06","América do Sul","48094","auto","30",NA,"Magnoliopsida",NA,NA,NA,"Myrtales"
"26","2021-02-25 10:13:10-03","CVRD","CVRD","10473","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","Marcelo C. Souza","2015","Tsuji, R.","1528","2007","01","25","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Jabuticaba da mata","CVRD010473","06","América do Sul","48094","auto","30",NA,"Magnoliopsida",NA,NA,NA,"Myrtales"
"27","2021-02-25 10:13:10-03","CVRD","CVRD","4854","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","Marcelo C. Souza","2015","Folli, D.A.","2230","1994","03","01","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Jabuticaba da mata","CVRD004854","06","América do Sul","48094","auto","30","CVRD004854","Magnoliopsida",NA,NA,NA,"Myrtales"
"28","2021-02-25 10:13:10-03","CVRD","CVRD","11141","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","Marcelo C. Souza","2015","Folli, D.A.","5999","2008","03","27","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"RFL-001/80 bloco E Trat. 1 <ll>dwc_commonname:</ll> Jabuticaba da mata","CVRD011141","06","América do Sul","48094","auto","30",NA,"Magnoliopsida",NA,NA,NA,"Myrtales"
"29","2021-03-15 18:29:03-03","USP","SPF","83006","PreservedSpecimen","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","Stadnik, A","2015","Mattos, J","s.n.","1964","01","15","Brasil","São Paulo","São Paulo","Cultivada na Estação Experimental de Criação; Água Funda.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Árvore pequena; de 3 m alt. Flores brancas com cálice branco-esverdeado. Frutos maduros verde-claros; costados.","SPF00083006","11",NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"30","2018-10-08 09:56:51-03","UFSS","REAL","651","S","Plantae","Magnoliophyta","Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral",NA,NA,"Veiga, N.F.G.; Varela, J.R.; Varela, J.R.","s.n.","2014","04","29","Brasil","Paraná","Capitão Leônidas Marques","Lote urbano","-54.020386","-25.828556","-54.020386","-25.828556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-09-04 19:41:00-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Myrtaceae","Eugenia","phitrantha","Eugenia phitrantha",NA,NA,NA,"A. Glaziou","16051",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,"Dicotyledoneae","Holotype",NA,NA,NA
"32","2020-11-23 11:39:25-03","IAC","IAC","55340","S","Plantae",NA,"Myrtaceae-2.Myrtoideae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","L.B. Évora et al.","2014","L.B. Évora; L.C. Bernacci & F.D.M. Carvalho","57","2014","05","07","Brasil","São Paulo","Campinas","IAC, Fazenda Santa Elisa, Quadra do Café, L3, P12","-47.077171","-22.870251","-47.077171","-22.870251",NA,NA,NA,NA,"05",NA,NA,NA,"07",NA,NA,NA,NA,NA,NA
"33","2021-02-23 13:22:55-03","MN","R-TIPOS","9140","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","phitrantha","Eugenia phitrantha","Kiaersk.","Sobral, M.","1990","Glaziou, A.F.M.","16051","1887","01","27","Brasil","Rio de Janeiro",NA,"Sete Pontes",NA,NA,NA,NA,NA,NA,NA,"R000009140",NA,NA,NA,NA,NA,"R000009140_001",NA,"Isotypus",NA,NA,NA
"34","2020-12-01 09:01:50-03","MCN-FZBRS","HAS","87614","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrciaria","aureana","Myrciaria aureana","Mattos","Mattos, J.","1964","Bordo, A.","s.n.","1963","01",NA,"Brasil","São Paulo","São Paulo","Água Funda","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Cultivada na Água Funda. Pequena árvore. Casca amarelada, soltando plaquinhas. Fl. br. Fr. costado.","HAS0087614",NA,NA,"53584","auto",NA,NA,NA,"Isotypus",NA,NA,NA
"35","2019-11-21 10:12:30-03","IBt","SP","79375","S","Plantae",NA,"Myrtaceae","Myrciaria","aureana","Myrciaria aureana","Mattos","Mattos, J","1964","Mattos, J","s.n.","1964","01","15","Brasil","São Paulo","São Paulo","Cultivada na Estação Experimental de Criação, Água Funda","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Árvore pequena 3 m alt., flores brancas com cálice branco-esverdeado. Frutos maduros verde-claro, costados","SP001370","01",NA,"53584","auto",NA,"SP001370",NA,"Holotype",NA,NA,NA
"36","2019-11-21 10:12:30-03","IBt","SP","79375a","Extra","Plantae",NA,"Myrtaceae","Myrciaria","aureana","Myrciaria aureana","Mattos","Mattos, J","1964","Mattos, J","s.n.","1964","01","15","Brasil","São Paulo","São Paulo","Cultivada na Estação Experimental de Criação, Água Funda","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Árvore pequena 3 m alt., flores brancas com cálice branco-esverdeado. Frutos maduros verde-claro, costados","SP001371","01",NA,"53584","auto",NA,"SP001371",NA,"Holotype",NA,NA,NA
