"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem"
"11","2020-05-08 11:09:17-03","UEFS","HUEFS","12555","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Ganev, W.","1992","11","18",NA,"Brasil",NA,NA,NA,"HUEFS0012555","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","1491","Bahia","Abaíra",NA,"-41.85","-13.333333","1470","1470","HUEFS0012555 HUEFS0012555_01 HUEFS0012555_02",NA,NA,"2003","11",NA,"Parátipo","41W51'","13S20'","Rosanae",NA
"12","2020-05-08 11:09:17-03","UEFS","HUEFS","20242","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","França, F.","1995","07","09",NA,"Brasil",NA,NA,NA,"HUEFS0020242","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","1282","Bahia","Abaíra","Catolés Caminho Boa Vista para Bicota.","-41.6636009216309","-13.2496995925903","1200","1600","HUEFS0020242","26531","auto","2003","11",NA,"Parátipo",NA,NA,"Rosanae",NA
"13","2020-05-08 11:09:17-03","UEFS","HUEFS","38961","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Conceição, A.S.","1999","05","03",NA,"Brasil",NA,NA,NA,"HUEFS0038961","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","286","Bahia","Abaíra","Catolés, Guarda-Mor.","-41.6636009216309","-13.2496995925903",NA,NA,"HUEFS0038961","26531","auto","2003","11",NA,"Holótipo",NA,NA,"Rosanae",NA
"14","2020-05-08 11:09:17-03","UEFS","HUEFS","74406","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Conceição, A.S.","2003","05","31",NA,"Brasil",NA,NA,"Campo rupestre.","HUEFS0074406","Angiospermae","Fabales","Conc. et al.",NA,"594","Bahia","Abaíra","Catolés, Serrinha.","-41.851944","-13.319444","1448","1448","HUEFS0074406",NA,NA,NA,NA,NA,NA,"41W51'7''","13S19'10''","Rosanae",NA
"15","2020-05-08 11:09:17-03","UEFS","HUEFS","14781","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Ganev, W.","1993","09","02",NA,"Brasil",NA,NA,NA,"HUEFS0014781","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","2194","Bahia","Rio de Contas",NA,"-42.35","-13.833333","1325","1325","HUEFS0014781",NA,NA,"2003","11",NA,"Parátipo","42W21'","13S50'","Rosanae",NA
"16","2020-05-08 11:09:17-03","UEFS","HUEFS","15952","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Ganev, W.","1993","10","25",NA,"Brasil",NA,NA,NA,"HUEFS0015952","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","2413","Bahia","Abaíra",NA,"-41.85","-13.316667","1300","1300","HUEFS0015952",NA,NA,"2003","11",NA,"Parátipo","41W51'","13S19'","Rosanae",NA
"17","2020-05-08 11:09:17-03","UEFS","HUEFS","27126","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Stannard, B.","1992","03","02",NA,"Brasil",NA,NA,NA,"HUEFS0027126","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","51708","Bahia","Abaíra","Caminho de Boa Vista até o Bicota.","-41.85","-13.316667","1200","1400","HUEFS0027126",NA,NA,"2003","11",NA,"Parátipo","41W51'","13S19'","Rosanae",NA
"18","2020-05-08 11:09:17-03","UEFS","HUEFS","42271","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Conceição, A.S.","1999","11","27",NA,"Brasil",NA,NA,"Campo rupestre. Próximo as Samambais do Guarda Mor. Solo areno-argiloso com muitas rochas.","HUEFS0042271","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","443","Bahia","Catolés","Guarda Mor.",NA,NA,NA,NA,"HUEFS0042271",NA,NA,"2003","11",NA,"Parátipo",NA,NA,"Rosanae",NA
"19","2020-05-08 11:09:17-03","UEFS","HUEFS","45181","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Hind, D.J.N.","1992","01","31",NA,"Brasil",NA,NA,NA,"HUEFS0045181","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","H51412","Bahia","Abaíra","Gerais do Pastinho, estrada velha Abaíra-Catolés.","-41.75","-13.25","900","1000","HUEFS0045181",NA,NA,"2008","06",NA,NA,"41W45'","13S15'","Rosanae",NA
"20","2020-05-08 11:09:17-03","UEFS","HUEFS","74474","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Conceição, A.S.","2003","07","22",NA,"Brasil",NA,NA,"Campo rupestre. Solo argiloso, pedregoso.","HUEFS0074474","Angiospermae","Fabales","Conc. et al.",NA,"662","Bahia","Abaíra","Catolés, Lagoinhas","-41.854167","-13.316111","1380","1380","HUEFS0074474",NA,NA,NA,NA,NA,NA,"41W51'15''","13S18'58''","Rosanae",NA
"21","2020-05-08 11:09:17-03","UEFS","HUEFS","33236","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Queiroz, L.P.de","1998","04","20",NA,"Brasil",NA,NA,"Campo rupestre.","HUEFS0033236","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","5036","Bahia","Abaíra","Catolés Distrito de Catolés. Estrada para Serrinha e Bicota.","-41.6636009216309","-13.2496995925903",NA,NA,"HUEFS0033236","26531","auto","2003","11",NA,"Parátipo",NA,NA,"Rosanae",NA
"22","2020-05-08 11:09:17-03","UEFS","HUEFS","112623","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Conceição, A.S.","2003","12","16",NA,"Brasil",NA,NA,"Campo rupestre.","HUEFS0112623","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","777","Bahia","Abaíra","Catolés, Lagoinhas.","-41.6636009216309","-13.2496995925903",NA,NA,"HUEFS0112623","26531","auto",NA,NA,NA,NA,NA,NA,"Rosanae",NA
"23","2020-05-08 11:09:17-03","UEFS","HUEFS","112633","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","anamariae","Chamaecrista anamariae","Conceição, A.S.","2004","01","11",NA,"Brasil",NA,NA,"Campo rupestre.","HUEFS0112633","Angiospermae","Fabales","Conc. et al.","A.S.Conceição","787","Bahia","Abaíra","Catolés, Lagoinhas.","-41.6636009216309","-13.2496995925903",NA,NA,"HUEFS0112633","26531","auto","2004","01",NA,NA,NA,NA,"Rosanae",NA
"24","2020-07-23 12:01:38-03","CEPLAC","CEPEC","107910","PreservedSpecimen","Plantae","Caesalpiniaceae","Chamaecrista","anamariae","Chamaecrista anamariae","A. S. Conceição","2003","07","22",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. S. Conceição","662","Bahia","ABAÍRA","Catolés. Lagoinha.","-41.854167","-13.316111",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W51'15","13S18'58",NA,"30/07/2003"
"25","2019-11-01 14:58:52-03","UnB","UB","107547","PreservedSpecimen","Plantae","Fabaceae","Chamaecrista","anamariae","Chamaecrista anamariae","Conceição, AS; Campos, GL","1999","11","27","Southern America","Brasil",NA,NA,"Folhas verdes, levemente discolores, cartáceas. Flores com pedicelo, brácteas e bractéolos verdes, sépalas verde-vináceos, pétalas amarelas.; Subarbuto 0,5m; Campo rupestre. Solo: Solo areno-argiloso com muitas rochas.",NA,"Dicotyledoneae",NA,"Queiroz & G.P. Lewis",NA,"443","Bahia","Catolés",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paratype",NA,NA,NA,NA
