"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","continentOcean","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"11","2021-02-23 13:21:57-03","MN","R-TIPOS","157030a","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.",NA,NA,"Isoparatypus","Vidal, J.","IV - 273","1953",NA,NA,"Brasil","Rio Grande do Sul",NA,"Baia de Tramandaí",NA,NA,NA,NA,"R000157030a","R000157030a_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-23 13:21:57-03","MN","R-TIPOS","192646","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.",NA,NA,"Paratypus","Matzenbacher, N.I.","2194","1996","10","20","Brasil","Rio Grande do Sul","Guaíba","Fazenda São Maximiano","-51.3250007629395","-30.113899230957","28343",NA,"R000192646","R000192646_001","auto",NA,NA,NA,NA,NA,NA,NA,"190","190"
"13","2020-08-20 14:55:18-03","UFSC","FLOR","28195","PreservedSpecimen","Plantae",NA,NA,"Asterales","Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, N.I.",NA,"Paratypus","Matzenbacher, N.I.","2046","1995","10","22","Brasil","Rio Grande do Sul","Guaíba","Fazenda São Maximiano, BR-116, km 307.","-51.3250007629395","-30.113899230957","28343","PARATYPUS.","FLOR0028195",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-08 12:37:00-03","UFRGS","ICN","113360","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","cf. riograndensis","Senecio cf. riograndensis","Matzenb.","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","s.n.","1995","09","16","Brasil","RS","Santana do Livramento","Santa Colina.","-55.5327987670898","-30.8908004760742","79795","Planta estéril.; No campo.",NA,NA,"auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"15","2021-02-08 12:37:04-03","UFRGS","ICN","157085","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","s.n.","1997","10","15","Brasil","RS","Guaíba",NA,"-51.3250007629395","-30.113899230957","28343",NA,NA,NA,"auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"16","2021-02-08 12:37:04-03","UFRGS","ICN","113070","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI",NA,NA,"Mondin, CA","991","1994","10","29","Brasil","RS","Júlio de Castilhos",NA,"-53.6817016601562","-29.226900100708","41205","No campo.",NA,NA,"auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"17","2021-02-08 12:37:04-03","UFRGS","ICN","092804","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI","1997",NA,"Irgang, BE; et al.","s.n.","1984","09","28","Brasil","RS","Quaraí","Cerro do Jarau.","-56.4514007568359","-30.3875007629395","74636","Erva de 50 cm, flores amarelas.",NA,NA,"auto","07","03",NA,NA,NA,"América do Sul",NA,NA,NA
"18","2021-02-08 12:37:04-03","UFRGS","ICN","113072","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI",NA,"Paratypus","Matzenbacher, NI","2035","1994","10","30","Brasil","RS","Guaíba","Fazenda São Maximiliano BR-116 km 307","-51.3250007629395","-30.113899230957","28343","Em campo de coxilha.","ICN00000046","ICN00000046","auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"19","2021-02-08 12:37:04-03","UFRGS","ICN","113075","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI",NA,"Holotypus","Matzenbacher, NI","2031","1994","10","15","Brasil","RS","Guaíba","Fazenda São Maximiliano BR-116 km 307","-51.3250007629395","-30.113899230957","28343","Em campo de coxilha.","ICN00000045","ICN00000045","auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"20","2021-02-08 12:37:04-03","UFRGS","ICN","181064","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI","1997",NA,"Hagelund, K","15245","1984","10","26","Brasil","RS","Arroio dos Ratos","Fazenda Faxinal","-51.7291984558105","-30.0771999359131","29956",NA,NA,NA,"auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"21","2021-02-08 12:37:04-03","UFRGS","ICN","157088","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","s.n.","1997","10","09","Brasil","RS","Guaíba",NA,"-51.3250007629395","-30.113899230957","28343",NA,NA,NA,"auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"22","2021-02-08 12:37:04-03","UFRGS","ICN","113884","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","2250","1997","10","05","Brasil","RS","Guaíba","Fazenda São Maximiano, BR-116, km 307.","-51.3250007629395","-30.113899230957","28343","Em campo de coxilha.",NA,NA,"auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"23","2021-02-08 12:37:04-03","UFRGS","ICN","123297","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","s.n.","2001","10","21","Brasil","RS","Guaíba","Fazenda São Maximiano BR 116 Km 308","-51.3250007629395","-30.113899230957","28343","Em campo.",NA,NA,"auto",NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"24","2021-02-08 12:37:04-03","UFRGS","ICN","113359","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","Matzenbacher, NI","1997",NA,"Rodrigues, RS","s.n.","1996","10","10","Brasil","RS","Porto Alegre","Morro do Osso.","-51.2299995422363","-30.0331001281738","29946","Capítulos amarelos.",NA,NA,"auto","07","27",NA,NA,NA,"América do Sul",NA,NA,NA
"25","2019-10-04 16:06:44-03","MCN-FZBRS","HAS","36296","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenbacher",NA,NA,"Paratypus","Matzenbacher, N. I.","2194","1996","10",NA,"Brasil","Rio Grande do Sul","Guaíba","BR 116, km 307","-51.3250007629395","-30.113899230957","28343","Em campo sujo, topo de morro a190 msm.","HAS0036296","HAS0036296","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
