"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","infraspecificEpithet","typeStatus","class","dayIdentified","relatedCatalogItem","individualCount","fieldNumber"
"28","2021-03-15 16:37:00-03","NY","NYBG","764193","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","A. Sagástegui A.","8454","1976","05","19","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764193","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","M. H. Nee","Cajamarca","Celendín","Cantange (Sucre-Oxamarca)",NA,NA,"2200","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00864790","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","J. A. Ratter","R2883","1976","04","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864790","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé",NA,"Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"NY00864790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00864791","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","J. A. Ratter","R1915","1968","06","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864791","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé",NA,"Mato Grosso",NA,"8 km E. of the Base Camp of the Expedition. (Base Camp c. 270 km N. of Xavantina on the Xavantina - São Felix road).","-51.87","-12.9",NA,NA,"NY00864791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","309470","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","M. H. Nee","48777","1998","03","27","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309470","Magnoliophyta","Poales",NA,"M. H. Nee","Santa Cruz","Andrés Ibáñez","6.5 km from Santa Cruz-Samaipata highway turning off at Tarumá, on dirt road along Río Salado and oil pipeline.","-63.67","-18.1","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01174855","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","R. J. S. de Jaccoud","s.n.","1954","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174855","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","J. R. Swallen","Acre","Rio Branco","Maloca perto de Socó","-67.8099975585938","-9.9747200012207",NA,NA,"NY01174855_01","178770","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00864758","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","H. S. Irwin","8001","1965","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864758","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","G. Davidse","Distrito Federal","Brasília","Chapada da Contagem, ca. 50 km N.E. of Brasília","-47.58674","-15.46379","1000","1000","NY00864758_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00864808","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","G. Eiten","9151","1968","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864808","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé",NA,"Mato Grosso","Barra do Garças","Serra do Roncador. 250 km along new road NNE of village of Xavantina. (Ca. 10km due SW of Royal Society-Royal Geografic Society Base Camp. 12.8 km along main road S of turnoff road to Base Camp. 250 m W of main road.","-51.75","-12.85","450","450","NY00864808_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00864830","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","G. M. Magalhaes","19226","1963","05","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864830","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","T. R. Soderstrom","Minas Gerais","Santa Vitória","Altoda Serra dos Patos","-50.1214","-18.8386",NA,NA,"NY00864830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00864804","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","M. A. Chase","9308","1925","04","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864804","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","M. A. Chase","Minas Gerais",NA,"Serra do Curral, southeast of Bello Horizonte",NA,NA,"1100","1100","NY00864804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00864773","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","E. P. Heringer","6808","1981","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864773","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","T. de S. Filgueiras","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797",NA,NA,"NY00864773_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
