"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","class","order","individualCount","sex"
"15","2021-03-01 16:24:46-03","UNICAMP","UEC","113037","S","Plantae","Magnoliopsida","Asteraceae","Mikania","neurocaula","Mikania neurocaula","A.DC.","Freitas, L; Kinoshita, LS","877",NA,"Brazil","UEC163074","2000","05","30","São Paulo","São José do Barreiro","Fazenda Pinheirinho, Campo de altitude","-44.5699996948242","-22.6399993896484","30784","Corola Amarelo esverdeado; Subarbusto","auto","UEC163074",NA,NA,NA,NA,NA,NA,"1700","1700",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:16:40-03","MBM","MBM","145863","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Tenório, E.C.; Frietas, L.C.; Frietas, L.C.","1452","Southern America","Brazil","MBM145863","1979","06","11","Minas Gerais","Rio Pardo de Minas","Rio Pardo de Minas","-42.5396995544434","-15.6097002029419","62891",NA,"auto","MBM145863","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-10-03 20:00:05-03","MNHN","RECOLNAT_MNHN_P","P00706764","PreservedSpecimen",NA,NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Vauthier, A.C.",NA,NA,"Brésil","P00706764","1833",NA,NA,NA,NA,"Province de Minas Geraes : Sabara",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00706764' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"P00706764_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","270","hb",NA,NA,NA,NA
"18","2015-10-03 14:16:33-03","MNHN","RECOLNAT_MNHN_P","P00706765","PreservedSpecimen",NA,NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Vauthier, A.C.",NA,NA,"Brésil","P00706765","1833",NA,NA,NA,NA,"Province de Minas Geraes : Sabara",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00706765' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"P00706765_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","270","hb",NA,NA,NA,NA
"19","2015-10-03 14:16:47-03","MNHN","RECOLNAT_MNHN_P","P00706766","PreservedSpecimen",NA,NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Vauthier, A.C.",NA,NA,"Brésil","P00706766","1833",NA,NA,NA,NA,"Province de Minas Geraes : Sabara",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00706766' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"P00706766_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","270","hb",NA,NA,NA,NA
"20","2015-09-04 05:35:25-03","MNHN","RECOLNAT_MNHN_P","P02694557","PreservedSpecimen",NA,NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Saint-Hilaire, A. de",NA,NA,"Brésil","P02694557","1816",NA,NA,"Minas Gerais",NA,"Province. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. No.928 50 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02694557' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"P02694557_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA
"21","2020-12-11 11:33:16-03","UFMG","BHCB","161896","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Fernandes, AC; Mendes, FH; Massensini Júnior, A","59","Southern America","Brasil","BHCB032520","2010","07","15","Minas Gerais","Francisco Sá","BR 251","-43.410833","-16.423028",NA,"Subarbusto de 65cm alt. Flores brancas.; Beira da estrada, cerrado alterado.",NA,NA,NA,"2011","12",NA,"-43.410833","-16.423028","1098","1098",NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:33:17-03","UFMG","BHCB","41533","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Duarte, AP","10989","Southern America","Brasil","BHCB006937","1968","07","10","Minas Gerais",NA,"Serra do Cipó., Km 113-114",NA,NA,NA,"Campo pedregoso",NA,NA,NA,"2013","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:33:17-03","UFMG","BHCB","54642","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Magalhães, GM","3007","Southern America","Brasil",NA,"1942","07","05","Minas Gerais","Belo Horizonte","Serra do Curral.","-43.937801361084","-19.9207992553711","17082","Campo com cascalho. Muito frequente. Arbustivo, 0,8m. Flor alva.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:33:17-03","UFMG","BHCB","54643","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Barreto, HLM","8587","Southern America","Brasil",NA,"1933","07","22","Minas Gerais","Belo Horizonte","Serra do Taquaril.","-43.937801361084","-19.9207992553711","17082","Campo. Pouco frequente. Arbustivo, 1m.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","3302734","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","E. Tenorio & L. Freitas","s.n.","South America - Neotropics","Brazil","US01773856","1979","6","11","Minas Gerais",NA,"Rio Pardo de Minas",NA,NA,NA,NA,NA,"US01773856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Asterales","1",NA
"26","2020-09-12 05:00:02-03","US","US","3351500","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","T. Lewinsohn, P. Prado, B. Buys & V. Motta","PIC5295","South America - Neotropics","Brazil","US01773855","1995","7","17","Minas Gerais",NA,"Joquim felicio, Serra do Cabral, Fazenda da Onca","-44.2508","-17.7247",NA,NA,NA,"US01773855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Asterales","1",NA
"27","2020-09-12 05:00:02-03","US","US","3671888","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","G. Hatschbach, M. M. Hatschbach, O. S. Ribas & J. A. Carneiro","76001","South America - Neotropics","Brazil","US01673868","2003","7","2","Minas Gerais",NA,"Rod. BR-365, próximo do trevo para Vereda da Onça (mun Buritizeiro)",NA,NA,NA,NA,NA,"US01673868_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Asterales","1",NA
"28","2020-09-12 05:00:02-03","US","US","3491928","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","J. N. Nakajima, R. Romero, R. P. Oliveira, P. Oliveira & I. Schiavini","1162","South America - Neotropics","Brazil","US01773854","1995","7","14","Minas Gerais",NA,"Procedencia: Guarita de Sacramento, Parna Serra da Canastra, Sao Roque de Minas",NA,NA,NA,NA,NA,"US01773854_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Asterales","1",NA
"29","2021-03-15 18:25:32-03","USP","SPF","216058","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Loeuille, B","858",NA,"Brasil","SPF00216058","2013","07","12","Minas Gerais","Santana do Riacho","Serra do Cipó, Estrada da Usina, 200 m da MG 010.","-43.60675","-19.305694",NA,"Subarbusto até 50 cm. Flores alvas.; Campo rupestre.",NA,NA,"Loeuille, B; Oliveira, CT","2015",NA,NA,"-43.60675","-19.305694","947","947",NA,NA,NA,NA,NA,NA,NA
"30","2019-11-13 11:16:27-03","USP","SPF","217089","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Quaresma, AS","196",NA,"Brasil","SPF00217089","2011","06","26","Minas Gerais","Gouveia","Estrada para Barão de Guaicuí.","-43.721944","-18.371667",NA,NA,NA,NA,"Anônimo",NA,NA,NA,"-43.721944","-18.371667","1432","1432",NA,NA,NA,NA,NA,NA,NA
"31","2019-10-07 09:11:43-03","UEFS","HUEFS","192848","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Quaresma, A.S.","181",NA,"Brasil","HUEFS0192848","2011","06","26","Minas Gerais","Diamantina","Caminho para a Sopa a partir da entrada para Conselheiro Mata.","-43.712222","-18.266944",NA,"Campo sujo.",NA,NA,NA,NA,NA,NA,"43W42'44''","18S16'1''","1431","1431",NA,NA,NA,"Asteranae","Asterales",NA,NA
"32","2019-10-07 09:11:43-03","UEFS","HUEFS","192863","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Quaresma, A.S.","196",NA,"Brasil","HUEFS0192863","2011","06","26","Minas Gerais","Gouveia","Estrada para Barão de Guaicuí.","-43.721944","-18.371667",NA,"Campo rupestre.",NA,NA,"C.T.Oliveira","2015",NA,NA,"43W43'19''","18S22'18''","1432","1432",NA,NA,NA,"Asteranae","Asterales",NA,NA
"33","2019-10-07 09:11:43-03","UEFS","HUEFS","192871","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Quaresma, A.S.","204",NA,"Brasil","HUEFS0192871","2011","06","28","Minas Gerais","Diamantina","Estrada de terra após o caminho do Aeroporto, entrada a esquerda.","-43.651111","-18.226389",NA,"Campo sujo.",NA,NA,NA,NA,NA,NA,"43W39'4''","18S13'35''","1294","1294",NA,NA,NA,"Asteranae","Asterales",NA,NA
"34","2019-09-04 19:37:23-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Mikania","neurocaula","Mikania neurocaula",NA,"A.-C. Vauthier","270","South America","Brazil",NA,"1833",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,"Dicotyledoneae",NA,NA,NA
"35","2018-05-14 16:43:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Mikania","neurocaula","Mikania neurocaula",NA,"J. Nakajima","360","South America","Brazil",NA,"1994","6","25","Minas Gerais",NA,NA,"-44","-18",NA,NA,NA,NA,"RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,NA,"360",NA,"Dicotyledoneae",NA,NA,NA
"36","2019-01-23 12:08:06-02","F","FMNH-SEEDPLANTS","V0050721F","PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Mikania","neurocaula","Mikania neurocaula",NA,"A.-C. Vauthier","270","South America","Brazil","V0050721F","1833",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0050721F_01",NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"Dicotyledoneae",NA,NA,NA
"37","2020-04-29 16:29:34-03","UFVJM","HDJF","5595","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Chaves, DA","85","Southern America","Brasil","HDJF005595","2013","12","17","Minas Gerais",NA,"Cadeia do Espinhaço: Parque Nacional das Sempre Vivas, em torno da casa de apoio","-43.767583","-17.9244",NA,NA,NA,"HDJF005595_01","Nakajima, JN; Bringel, JBA","2018","03",NA,"-43.767583","-17.9244","1337","1337",NA,NA,NA,NA,NA,NA,NA
"38","2020-04-29 16:29:34-03","UFVJM","HDJF","5706","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Chaves, DA; Silva, JFG; Gonçalves, MF","268","Southern America","Brasil","HDJF005706","2014","03","18","Minas Gerais",NA,"Cadeia do Espinhaço: Módulo RAPELD Sempre Vivas I e entorno","-43.793167","-17.921283",NA,NA,NA,"HDJF005706_01","Nakajima, JN; Bringel, JBA","2018","03",NA,"-43.793167","-17.921283","1306","1306",NA,NA,NA,NA,NA,NA,NA
"39","2020-04-29 16:29:34-03","UFVJM","HDJF","6849","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Faria, JEQ","7915","Southern America","Brasil","HDJF006849","2017","06","18","Minas Gerais","Diamantina","Margem da estrada para Conselheiro Mata, próximo a estrada para Galheiros","-43.789444","-18.290833",NA,NA,NA,NA,"Chaves, DA","2017","06",NA,"-43.789444","-18.290833","1356","1356",NA,NA,NA,NA,NA,NA,NA
"40","2019-11-01 14:54:17-03","UnB","UB","207214","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Chaves, DA; Silva, JFG; Gonçalves, MF","268","Southern America","Brasil",NA,"2014","03","18","Minas Gerais",NA,"Cadeia do Espinhaço: Módulo RAPELD Sempre Vivas I e entorno","-43.793167","-17.921283",NA,"Complexo Rupestre",NA,NA,"Nakajima, JN; Bringel, JBA","2018","03",NA,"-43.793167","-17.921283","1306","1306",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-01 14:54:17-03","UnB","UB","207031","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Chaves, DA","85","Southern America","Brasil",NA,"2013","12","17","Minas Gerais",NA,"Cadeia do Espinhaço: Parque Nacional das Sempre Vivas, em torno da casa de apoio","-43.767583","-17.9244",NA,"Complexo Rupestre",NA,NA,"Nakajima, JN; Bringel, JBA","2018","03",NA,"-43.767583","-17.9244","1337","1337",NA,NA,NA,NA,NA,NA,NA
"42","2019-05-06 11:53:46-03","UFU","HUFU","5815","S","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Nakajima, J.N.; Romero, R.","360",NA,"Brasil","HUFU00058368","1994","06","25","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Próximo à guarita de Sacramento.","-46.3657989501953","-20.2453002929688","57119","Arbusto, ca. 1,0 m. Brácteas esverdeadas; papilho, corola e estiletes creme, flor com odor de mel.; CAmpo limpo.","auto","HUFU00058368","Nakajima, J.N.","1998","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-05-06 11:53:46-03","UFU","HUFU","63750","S","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Franco, I.M.; Marques, D.; Araújo, I.M. & Silva, K.R.","1040",NA,"Brasil","HUFU00048258","2012","06","27","Minas Gerais","Diamantina","Parque Estadual do Biribiri, Alto da Jacuba, próximo à Casa dos Ventos.","-43.608889","-18.142222",NA,"Arbusto, ca. 1 m alt. Invólucro verde. Flores e estiletes alvos. Anteras marrons com estrias nigrescentes.; Cerrado, área alterada.",NA,"HUFU00048258","Quaresma, A.S.","2012","07",NA,"-43.608889","-18.142222","1382","1382",NA,NA,NA,NA,NA,NA,NA
"44","2019-05-06 11:53:46-03","UFU","HUFU","71631","S","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Chaves, D.A.; Silva, J.F.G. & Goncalves, M.F.","268",NA,"Brasil","HUFU00048259","2014","03","18","Minas Gerais",NA,"Cadeia do Espinhaço, Módulo RAPELD Sempre Vivas. I e entorno.","-43.793056","-17.921389",NA,"Complexo Rupestre.",NA,"HUFU00048259","Nakajima, J.N.","2015","11",NA,"-43.793056","-17.921389","1306","1306",NA,NA,NA,NA,NA,NA,NA
"45","2019-05-06 11:53:46-03","UFU","HUFU","12780","S","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Nakajima, J.N.; Ressel, K. & Guimarães, F.A.G.","1845",NA,"Brasil","HUFU00058369","1996","07","08","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Guarita de Sacramento.","-46.3657989501953","-20.2453002929688","57119","Subarbusto ca. de 1,5 m. Brácteas esverdeadas, corola e estigma creme.; Borda de cerrado com campo limpo.","auto","HUFU00058369","Nakajima, J.N.","1998","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-05-06 11:53:46-03","UFU","HUFU","9165","S","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Nakajima, J.N.; Romero, R.; Oliveira, R.C.; Oliveira, P.E.A.M. & Schiavini, I.","1162",NA,"Brasil","HUFU00058370","1995","07","14","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Guarita de Sacramento.","-46.3657989501953","-20.2453002929688","57119","Arbusto, ca. 1 m. Brácteas verdes, papilho branco e corola creme.; Afloramento rochoso.","auto","HUFU00058370","Nakajima, J.N.","1998","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2017-09-11 17:08:15-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Martius, CFP","1434",NA,"?",NA,NA,NA,NA,NA,NA,"loco non indicato",NA,NA,NA,NA,NA,"P06P2N0063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2017-09-11 17:08:15-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Vauthier, AC","270","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"Habitat prov. Minas Geraes in campis ad Sabara",NA,NA,NA,NA,NA,"P06P2N0063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-02-08 12:36:43-03","UFRGS","ICN","050413","S","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Duarte, AP","10431","América do Sul","Brasil",NA,"1967","06","05","MG",NA,"80 Km de Diamantina para Virgem da Lapa",NA,NA,NA,"HB 46.197",NA,NA,"Ritter, MR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-02-08 12:36:43-03","UFRGS","ICN","131978","S","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Nakajima, JN; et al.","1162","América do Sul","Brasil",NA,"1995","07","14","MG","São Roque de Minas","Guarita de Sacramento PARNA Serra da Canastra","-46.3657989501953","-20.2453002929688","57119","Doação herbário HUFU.; Arbusto de 1m. Bracteas verdes. Papilho branco. Corola creme.; Afloramento rochoso.","auto",NA,"Nakajima, JN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
