"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem","sex"
"11","2021-03-04 11:04:41-03","UFRB","HURB","18876","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa","Leme",NA,"Souza, E.H.; Cavalcante, B. P.","703","2018","11","28",NA,"Brasil","Bahia","Ilhéus","Mata da Esperança;","-39.0494003295898","-14.7889003753662",NA,NA,"HURB000018876",NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","3351685","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Lymania","globosa","Lymania globosa","Leme",NA,"W. W. Thomas, L. M. Silva, T. S. Santos, A. Amorim & S. Sant'Ana","10714","1994","9","28","South America - Neotropics","Brazil","Bahia","Ilhéus","2.0 Km NNE of Banco da Vitoria on road leading to west edge ofata da Espeança","-39.0911","-14.7772",NA,NA,"US01936628","US01936628_01",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA,NA
"13","2020-07-23 12:00:56-03","CEPLAC","CEPEC","52112","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa",NA,"A. M. Amorim","A. M. de Carvalho","3678","2003","09","01",NA,"Brasil","Bahia","URUÇUCA","7.3Km na estrada Serra Grande/Itacaré, Faz. Lagoa do Conj. Sta. Cruz.","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W1'","14S25'",NA,"30/12/1997",NA
"14","2020-07-23 12:00:56-03","CEPLAC","CEPEC","63256","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa",NA,"E. M. C. Leme","W. W. Thomas","10714","1994","09","28",NA,"Brasil","Bahia","ILHÉUS","Mata da Esperança. 2Km ao NNE do Banco da Vitória, Rod. Ao W da Mata.","-39.091111","-14.777222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'28","14S46'38",NA,"30/04/1995",NA
"15","2020-07-23 12:00:56-03","CEPLAC","CEPEC","84689","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa",NA,"Sem Informação","F. do S. Juchum","12","1994","02","09",NA,"Brasil","Bahia","ITACARÉ","Ca. 8Km da Rod. Itacaré/Ilheus, viscinal a direita.","-38.9967002868652","-14.2775001525879",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41230","auto",NA,NA,NA,NA,NA,NA
"16","2020-07-23 12:00:56-03","CEPLAC","CEPEC","15849","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa",NA,"A. Costa","S. A. Mori","11472","1979","02","07",NA,"Brasil","Bahia","MARAÚ","Rod. BR-030, 3Km ao S Maraú.","-39.0147018432617","-14.103099822998",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47076","auto",NA,"0W0'0","0S0'0",NA,"30/07/1994",NA
"17","2020-07-23 12:00:56-03","CEPLAC","CEPEC","14957","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa",NA,"L. O. F. de Sousa","S. A. Mori","11059","1993","10","05",NA,"Brasil","Bahia","URUÇUCA","Nova estrada que liga Uruçuca/Serra Grande, a 28-30Km de Uruçuca.","-39.2844009399414","-14.5930995941162",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33791","auto",NA,NA,NA,NA,"14/10/2002",NA
"18","2020-07-23 12:00:56-03","CEPLAC","CEPEC","56886","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa",NA,"E. M. C. Leme","A. M. Amorim","906","1992","12","14",NA,"Brasil",NA,"ITACARÉ","Estrada Itacaré/Taboquinhas. Ca. 6Km de Itacaré. Loteamento da Marambaia","-38.9967002868652","-14.2775001525879",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41230","auto",NA,NA,NA,NA,"30/04/1995",NA
"19","2020-07-23 12:00:56-03","CEPLAC","CEPEC","22719","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa",NA,"L. O. F. de Sousa","J. L. Hage","387","1996","08","09",NA,"Brasil","Bahia","URUÇUCA","Rod. que liga Serra Grande/Uruçuca, KM 3 a 8. Ramal a direita.","-39.2844009399414","-14.5930995941162",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33791","auto",NA,NA,NA,NA,"14/10/2002",NA
"20","2021-04-05 12:31:07-03","UNIVASF","HVASF","22663","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","J.A. Siqueira Filho","J.A. Siqueira Filho","3390","2015","05","08","América do Sul","Brasil","Bahia","Igrapiúna","Mata da Vila Cinco, Trilha do Guigó, no subbosque da mata",NA,NA,NA,"Epífita isolada, rara na localidade inflorescência ramificada, frutos imaturos, ovário sulcado com cinco costelas, estrelados. Material na coleção viva - VIVASF","HVASF022663","HVASF022663_v01 HVASF022663_v02","2015","06","15","139","139",NA,NA,NA,"9999.000000","9999.000000",NA,NA,"U"
