"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","identifiedBy","yearIdentified","day","stateProvince","county","class","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"15","2019-02-22 11:44:28-03","IPA","IPA","14958","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Chamaecrista","trachycarpa","trachycarpa","Chamaecrista trachycarpa trachycarpa",NA,NA,"Emmerich, M.","1874","Southern America","Brasil","Morro do Ferro",NA,NA,"IPA0014958",NA,"1964","03","Andrade-Lima","1968","03","Minas Gerais","Poços de Caldas",NA,"02","24","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA
"16","2019-08-20 10:12:49-03","UNICAMP","UEC","26072","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"?","s.n.",NA,"Brazil","Santa Rosália",NA,"Arbusto de menos de 1,5 m, fruto imaturo com pelos avermelhados.",NA,NA,"1981","12","Tamashiro, JY","1982","02","Minas Gerais","Poços de Caldas",NA,"02",NA,"-46.564722","-21.838889",NA,NA,"-46.564722","-21.838889",NA,NA,NA
"17","2019-08-20 10:12:49-03","UNICAMP","UEC","22436","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Gabrielli, AC; et al.","393",NA,"Brazil","Santa Rosália, Campo de Santa Rosália.",NA,"Arbusto, 60 cm, flroes amarelas. Planta glutinosa.","UEC145907",NA,"1980","11","Tamashiro, JY","1982","06","Minas Gerais","Poços de Caldas",NA,"02",NA,"-46.564722","-21.838889",NA,NA,"-46.564722","-21.838889",NA,NA,NA
"18","2019-08-20 10:12:49-03","UNICAMP","UEC","22435","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Martins, FR; et al.","274",NA,"Brazil","Santa Rosália, Campo secundário",NA,"arbusto 30 cm, flores amarelas.","UEC145906",NA,"1980","10","Tamashiro, JY","1982","15","Minas Gerais","Poços de Caldas",NA,"02",NA,"-46.564722","-21.838889",NA,NA,"-46.564722","-21.838889",NA,NA,NA
"19","2019-08-20 10:12:49-03","UNICAMP","UEC","22436","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Grabrielli, AC; et al.","393",NA,"Brazil","Santa Rosália, Campo de Santa Rosália.",NA,"Arbusto, 60 cm, flroes amarelas. Planta glutinosa.",NA,NA,"1980","11","Tamashiro, JY","1982","06","Minas Gerais","Poços de Caldas",NA,"02",NA,"-46.564722","-21.838889",NA,NA,"-46.564722","-21.838889",NA,NA,NA
"20","2019-08-20 10:12:49-03","UNICAMP","UEC","22916","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Stubblebine, WH; et al.","567",NA,"Brazil","Santa Rosália, Campo de Santa Rosália.",NA,"Arbusto de 1,5 m, flores amarelas.","UEC145908",NA,"1980","12","Tamashiro, JY","1982","01","Minas Gerais","Poços de Caldas",NA,"02",NA,"-46.564722","-21.838889",NA,NA,"-46.564722","-21.838889",NA,NA,NA
"21","2019-08-20 10:12:49-03","UNICAMP","UEC","26072","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Pereira, SC","1514",NA,"Brazil","Santa Rosália",NA,"Arbusto de menos de 1,5 m, fruto imaturo com pelos avermelhados.","UEC145909",NA,"1981","12","Tamashiro, JY","1982","02","Minas Gerais","Poços de Caldas",NA,"02",NA,"-46.564722","-21.838889",NA,NA,"-46.564722","-21.838889",NA,NA,NA
"22","2019-08-20 10:12:49-03","UNICAMP","UEC","6443","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Cruz, ND; Shepherd, GJ; et al.","6434",NA,"Brazil","Serra do Caraça, Morro da carapuça.",NA,"Arbusto de até 3,0 m, flores amarelas, com frutos.","UEC145910",NA,"1977","11","Tamashiro, JY","1978","18","Minas Gerais","Santa Bárbara",NA,"05","16","-43.4152984619141","-19.959400177002","33136","auto",NA,NA,NA,NA,NA
"23","2019-12-09 15:31:03-03","UNICAMP","UEC","162992","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Silva, EA","90",NA,"Brazil","Estrada da Reserva Indígena.",NA,"Arbusto 1,0m, fruto verde.","UEC019526","UEC019526","1988","03","Queiróz, LP","1991","24","Paraná","São Jerônimo da Serra",NA,NA,NA,"-50.7411003112793","-23.7275009155273","30511","auto",NA,NA,NA,NA,NA
"24","2019-08-20 10:12:49-03","UNICAMP","UEC","139425","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Sá, KLVR","416",NA,"Brazil","Reserva Indígena São Jerônimo, No cerrado entre as gramíneas no sol.",NA,"Subarbusto 50 cm.; flores amarelas com estames amarelos.","UEC135705","UEC135705","2002","12","Sá, KLVR","2003","12","Paraná","São Jerônimo da Serra",NA,NA,NA,"-50.7411003112793","-23.7275009155273","30511","auto",NA,NA,NA,NA,NA
"25","2019-11-06 09:55:26-03","UFOP","OUPR","19556","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Badini, J.","s.n.",NA,"Brasil","Cachoeira do Campo",NA,"Campo. Arbusto. Flores amarelas",NA,NA,"1975","12","Dutra, V.F.","2001","10","Minas Gerais","Ouro Preto",NA,"11","03","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA
"26","2019-11-06 09:55:26-03","UFOP","OUPR","19555","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Badini, J.","s.n.",NA,"Brasil","Falcão",NA,"Brejo. Arbusto. Flores amarelas",NA,NA,"1943","11","Dutra, V.F.","2001","30","Minas Gerais","Ouro Preto",NA,"11","03","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA
"27","2019-11-06 09:55:26-03","UFOP","OUPR","16786","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Badini, J.","s.n.",NA,"Brasil","Rodrigo Silva",NA,"Arbusto. Flores amarelas. Campo.",NA,NA,"1976","02","Cota, M.","2015","10","Minas Gerais","Ouro Preto",NA,"04","01","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA
"28","2019-11-06 09:55:26-03","UFOP","OUPR","19557","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Badini, J.","s.n.",NA,"Brasil","Rodrigo Silva",NA,"Campo. Arbusto. Flores amarelas",NA,NA,"1975","12","Dutra, V.F.","2001","10","Minas Gerais","Ouro Preto",NA,"11","03","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA
"29","2019-11-06 09:55:26-03","UFOP","OUPR","3493","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Clemen","s.n.",NA,"Brasil","Rodrigo Silva",NA,"Subarbusto. Flores amarelas. Beira de estrada.",NA,NA,"1976","03","Cota, M.","2015","13","Minas Gerais","Ouro Preto",NA,"04","01","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA
"30","2021-03-21 19:35:04-03","UFC","EAC","14002","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Fernandes, A.","EAC14002","Southern America","Brasil","Serra de Lavras Novas",NA,"Subarbusto, flor amarela","EAC0014002","EAC0014002","1986","01","Fernandes, A.; Nunes, E.","1986","25","Minas Gerais","Ouro Preto",NA,"02","06","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA
"31","2020-12-21 16:25:58-03","MBM","MBM","258656","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(VogelVogel) IrwinIrwin & Barneby & Barneby",NA,"Barreto, M.","11120","Southern America","Brazil","Parreiras",NA,NA,"MBM258656","MBM258656","1940","11","Barreto, M.",NA,"08","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:25:58-03","MBM","MBM","304267","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(VogelVogel) IrwinIrwin & Barneby & Barneby",NA,"Sá, K.L.V.R. de; et al.; et al.","416","Southern America","Brazil","Reserva Indígena São Jerônimo",NA,NA,"MBM304267","MBM304267","2002","12",NA,NA,"12","Paraná","São Jerônimo da Serra",NA,NA,NA,"-50.7411003112793","-23.7275009155273","30511","auto",NA,NA,NA,NA,NA
"33","2016-01-07 19:54:05-02","MNHN","RECOLNAT_MNHN_P","P02436065","PreservedSpecimen",NA,NA,NA,"Fabaceae","Cassia","trachycarpa","macrophylla","Cassia trachycarpa macrophylla","Hassl.","isotype","Rojas, T.",NA,NA,"Paraguay","In altiplanitie et declivibus 'Sierra de Amambay'.","hb","Reçu le 27 juillet 1910 à Herb. Mus. Paris <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02436065' target='other'> <mi>dwc_moreinfo</mi></a>","P02436065","P02436065_01","1907","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Itinera in Paraguaria septentrionali/9833",NA,NA
"34","2015-10-27 10:21:52-02","MNHN","RECOLNAT_MNHN_P","P02436064","PreservedSpecimen",NA,NA,NA,"Fabaceae","Cassia","trachycarpa","trachycarpa","Cassia trachycarpa trachycarpa","Vogel",NA,"Sellow",NA,NA,"Brésil","Brasilia: Campo Pantago","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02436064' target='other'> <mi>dwc_moreinfo</mi></a>","P02436064","P02436064_01",NA,NA,"Barneby & Irwin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:35:52-03","UFMG","BHCB","66016","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Barreto, HLM","11120","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Caldas",NA,NA,NA,"-46.386100769043","-21.9235992431641","25710","auto",NA,NA,NA,NA,NA
"36","2019-02-19 04:30:00-03","MO","MOBOT","3246797","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S. Irwin & Barneby",NA,"C.F.P. Martius","Martius 722","South America","Brazil",NA,NA,NA,NA,NA,"1817",NA,"Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"37","2017-11-24 14:10:47-02","UFLA","ESAL","10761","S","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"D' Angelo Neto, S","158",NA,"Brasil",NA,NA,"sub-arbusto; 0.2; amarela;",NA,NA,NA,NA,"IAC, Coutinho",NA,NA,"Minas Gerais","Francisco Sá",NA,NA,NA,"-43.4883003234863","-16.4757995605469","45875","auto",NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US","703115","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa",NA,NA,"L. Riedel","1583","South America - Neotropics","Brazil","Mugy",NA,NA,"US00197359","US00197359_01","1833","11",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"39","2020-09-12 05:00:02-03","US","US","1340340","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa",NA,NA,"L. Riedel","1583","South America - Neotropics","Brazil","Mugy",NA,NA,"US00197358","US00197358_01","1833","11",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"40","2019-11-13 11:21:44-03","USP","SPF","225860","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Cassia","trachycarpa",NA,"Cassia trachycarpa","Vogel",NA,"Pereira, SC","1514",NA,"Brasil",NA,NA,NA,"SPF00225860",NA,"1981","12","Tamashiro, JY","1982","02","Minas Gerais","Poços de Caldas",NA,NA,NA,"-46.564722","-21.838889",NA,NA,"-46.564722","-21.838889",NA,NA,NA
"41","2019-11-13 11:22:04-03","USP","SPF","147564","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Mello-Barreto, HL","11120",NA,"Brasil","Estrada para Parreiras (antiga Caldas).&nf;Parreias (Antigo Caldas)",NA,NA,"SPF00147564",NA,"1940","11","Pirani, JR","2001","08","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-09-04 18:29:07-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Cassia","trachycarpa",NA,"Cassia trachycarpa",NA,"Holotype","F. Sellow","941","South America","Brazil",NA,NA,NA,NA,NA,"1836",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
"43","2019-01-23 11:19:06-02","F","FMNH-SEEDPLANTS","V0057703F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Cassia","trachycarpa",NA,"Cassia trachycarpa",NA,"Isotype","F. Sellow","941","South America","Brazil",NA,NA,NA,"V0057703F","V0057703F_01","1836",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
"44","2020-11-12 16:59:22-03","UEL","FUEL","5366","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Silva, EA; et al.","90",NA,"Brasil","Estrada Reserva Indígena",NA,NA,"OK",NA,"1988","03","Queiroz, LP","1991","24","Paraná","São Jerônimo da Serra",NA,NA,NA,"-50.7411003112793","-23.7275009155273","30511","auto",NA,NA,NA,NA,NA
"45","2020-11-12 16:59:22-03","UEL","FUEL","34970","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"K.L.V.R. de Sá; et al.","416",NA,"Brasil","Reserva Indígena São Jerônimo",NA,NA,"OK",NA,"2002","12","K.L.V.R. de Sá","2003","12","Paraná","São Jerônimo da Serra",NA,NA,NA,"-50.7411003112793","-23.7275009155273","30511","auto",NA,NA,NA,NA,NA
"46","2020-11-12 16:59:22-03","UEL","FUEL","25801","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Francisco, EM","s.n.",NA,"Brasil","Parque Ecológico Samuel Klabin",NA,NA,"OK",NA,"1998","11","Tamashiro, JY","1999","11","Paraná","Telêmaco Borba",NA,NA,NA,"-50.6156005859375","-24.3239002227783","35037","auto",NA,NA,NA,NA,NA
"47","2020-11-12 16:59:22-03","UEL","FUEL","37421","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Estevan, DA; et al.","686",NA,"Brasil","Fazenda Santa Inês",NA,NA,"OK",NA,"2004","12","Estevan, DA","2005","07","Paraná","Ventania",NA,NA,NA,"-50.2428016662598","-24.2458000183105","32424","auto",NA,NA,NA,NA,NA
"48","2019-11-01 14:59:10-03","UnB","UB","31627","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Irwin, HS","9801","Southern America","Brasil","Cristalina",NA,"SubArbusto; .",NA,NA,"1965","11","Barneby, R",NA,"02","Goiás","Cristalina",NA,NA,NA,"-47.6136","-16.7686",NA,NA,"-47.6136","-16.7686",NA,NA,NA
"49","2019-05-06 11:57:38-03","UFU","HUFU","54857","S","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Kinoshita, L.S.; Borges, A.; Galvao, J.C.; Siqueira, A.F.P.; Silveira, G.A.R.; et al.","159",NA,"Brasil","Pousada do Rio Turvo, Estrada de terra Pousada do Rio Turvo - Cachoeira do Feixo, beira de estrada.",NA,"Corola amarela, frutos maduros.","HUFU00007864","HUFU00007864","2008","11",NA,NA,"04","Minas Gerais","Capitólio",NA,NA,NA,"-46.0499992370605","-20.6152992248535","29474","auto",NA,NA,NA,NA,NA
"50","2019-05-06 11:57:38-03","UFU","HUFU","8020","S","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Pereira, S.C.","s.n.",NA,"Brasil","Santa Rosália",NA,"Arbusto de menos de 1,5 m. Fruto imaturo com pelo avermelhado.","HUFU00008349","HUFU00008349","1981","12","Cota, M.","2015","02","Minas Gerais","Poços de Caldas",NA,"04","16","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA
"51","2017-09-11 17:09:56-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Fabaceae","Cassia","trachycarpa",NA,"Cassia trachycarpa","Vogel",NA,"Regnell, AF","coll. I75","Southern America","Brazil","ad Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2017-09-11 17:09:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Fabaceae","Cassia","trachycarpa",NA,"Cassia trachycarpa","Vogel",NA,"Sello, HL","s.n.","Southern America","Brazil","in provincia Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
