"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","dayIdentified","individualCount","typeStatus"
"12","2020-12-21 16:34:08-03","MBM","MBM","256543","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Schiea, S.A.C.","Krieger, L.","12448",NA,NA,NA,"Southern America","Brazil","Amazonas","Tefé",NA,NA,NA,"Na mata alagada. Arbusto, afloramento pouco acima do nível da água, com frutos novos.","MBM256543","MBM256543",NA,"1998",NA,"-64.7114028930664","-3.35417008399963","Tefé","340205","auto",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:34:08-03","MBM","MBM","95323","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Mattos Silva, L.A.; et al.; et al.","1767",NA,NA,NA,"Southern America","Brazil","Bahia","Ramal para o povoado de Itiúca",NA,NA,NA,NA,"MBM095323","MBM095323",NA,NA,NA,"-39.1068992614746","-13.5993995666504","Nilo Peçanha","39303","auto",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:34:08-03","MBM","MBM","80033","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Wurdack, J.J.","Lewis, G.P.; et al.; et al.","1135",NA,NA,NA,"Southern America","Brazil","Bahia","Ca. 11km na estrada para Orobó, partindo da estrada BR 101/Valença",NA,NA,NA,"Planta com ca. 4,0m de altura. Flores com pétalas alvas, estames amarelos.","MBM080033","MBM080033",NA,"1982",NA,"-39.0731010437012","-13.3703002929688","Valença","43634","auto",NA,NA,NA,NA,NA,NA
"15","2015-09-04 21:08:45-03","MNHN","RECOLNAT_MNHN_P","P05129272","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Martius",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Brésil, Minas.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129272' target='other'> <mi>dwc_moreinfo</mi></a>","P05129272","P05129272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"942",NA,NA,NA
"16","2015-09-04 21:08:45-03","MNHN","RECOLNAT_MNHN_P","P05129271","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Riedel",NA,"1839","2","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129271' target='other'> <mi>dwc_moreinfo</mi></a>","P05129271","P05129271_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA
"17","2015-09-04 21:08:45-03","MNHN","RECOLNAT_MNHN_P","P05129273","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Riedel",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Brésil, Minas Geraes.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129273' target='other'> <mi>dwc_moreinfo</mi></a>","P05129273","P05129273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA
"18","2015-09-04 21:01:07-03","MNHN","RECOLNAT_MNHN_P","P05129429","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais","Brésil, Minas Geraes.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129429' target='other'> <mi>dwc_moreinfo</mi></a>","P05129429","P05129429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA
"19","2015-09-04 21:01:07-03","MNHN","RECOLNAT_MNHN_P","P05129430","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais","Brésil, Minas Geraes.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129430' target='other'> <mi>dwc_moreinfo</mi></a>","P05129430","P05129430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA
"20","2016-03-17 12:22:32-03","MNHN","RECOLNAT_MNHN_P","P05129431","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Riedel",NA,"1839","1","1",NA,"Brasil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129431' target='other'> <mi>dwc_moreinfo</mi></a>","P05129431","P05129431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-09-04 21:01:07-03","MNHN","RECOLNAT_MNHN_P","P05129428","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Claussen",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05129428' target='other'> <mi>dwc_moreinfo</mi></a>","P05129428","P05129428_01",NA,NA,NA,"-43.5080986022949","-20.2875003814697","Ouro Preto","44599","auto",NA,NA,"50",NA,NA,NA
"22","2020-12-11 11:38:07-03","UFMG","BHCB","68054","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Sampaio, A","6565","1934","02","03","Southern America","Brasil","Minas Gerais","Serra do Cipó.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:38:07-03","UFMG","BHCB","68055","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Sampaio, A","6565","1934","02","03","Southern America","Brasil","Minas Gerais","Serra do Cipó.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:38:07-03","UFMG","BHCB","90068","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Spósito, TC; Versieux, LM","117","2001","02","23","Southern America","Brasil","Minas Gerais","APE Fechos - COPASA",NA,NA,NA,"10m altura, árvore, beira de mata, flores brancas.",NA,NA,NA,NA,NA,"-43.961528","-20.070444","Nova Lima",NA,NA,"-43.961528","-20.070444",NA,NA,NA,NA
"25","2020-12-11 11:38:07-03","UFMG","BHCB","78245","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Stehmann, JR; Lana, TC; Ranieri, BD","3405","2003","02","15","Southern America","Brasil","Minas Gerais","Serra do Caraça.",NA,NA,NA,"Árvore, 7m, flores brancas",NA,NA,NA,NA,NA,"-43.4152984619141","-19.959400177002","Santa Bárbara","33136","auto",NA,NA,NA,NA,NA,NA
"26","2021-02-11 17:19:39-03","UFPR","UPCB","45759","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Baumgratz, J.F.A.","Sampaio, A.J.","6565","1934","02","03",NA,"Brasil","Minas Gerais","Serra do Cipó km 130",NA,NA,NA,"Árvore 8,0m com flor alva, pouco frequente..","UPCB0012564","UPCB0012564",NA,"1997","01","-43.8513984680176","-19.7696990966797","Santa Luzia","19939","auto",NA,NA,NA,"01",NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","3258457","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","J.J. Wurdack","Gert G. Hatschbach","Hatschbach 44719","1982","3","14","South America","Brazil","Minas Gerais","Rod. Guinda- Cons. Mata, km 17 (mun. Diamantina).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-11-24 14:11:28-02","UFLA","ESAL","17303","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Carvalho, DA","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"1","1",NA,"árvore; 22 m; ;; floresta",NA,NA,NA,NA,NA,"-44.3946990966797","-22.1674995422363","Bocaina de Minas","35110","auto",NA,NA,NA,NA,NA,NA
"29","2017-11-24 14:11:28-02","UFLA","ESAL","7153","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Melo, PHA; Gomes, DJS; Pompeu, PV","2789",NA,NA,NA,NA,"Brasil","Minas Gerais","Parque Mun.Serra de São Domingos, trilha do Leãozinho- do Fontanário do Leãozinho ao Recanto japonês",NA,NA,NA,"arbusto; ; ; imaturo verde e roxo quando maduro; floresta",NA,NA,NA,NA,NA,"-46.5614013671875","-21.7877998352051","Poços de Caldas","23696","auto",NA,NA,NA,NA,NA,NA
"30","2017-11-24 14:11:28-02","UFLA","ESAL","20834","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Elin, Isabelli; Paula","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"arvoreta; 4, m; ;; cerrado",NA,NA,NA,NA,NA,"-44.8711013793945","-21.3169002532959","Itumirim","16596","auto",NA,NA,NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","2623387","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"A. P. Duarte","2666","1950","4","25","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipó, km 134","1180",NA,NA,NA,"US01901086","US01901086_01 US01901086_02","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"32","2020-09-12 05:00:02-03","US","US","284611","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"-. Martius","942",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,"US01901087","US01901087_01 US01901087_02","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"33","2019-09-04 19:41:37-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Huberia","laurina","Huberia laurina",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype"
"34","2015-03-07 08:52:50-03","F","FMNH-SEEDPLANTS","V0139079F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Huberia","laurina","Huberia laurina",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"V0139079F","V0139079F_01","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2015-03-07 08:40:48-03","F","FMNH-SEEDPLANTS","V0139080F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Huberia","laurina","Huberia laurina",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"V0139080F","V0139080F_01","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-07 11:31:50-03","UFU","HUFU","80406","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Paranhos, G.M.","Pedrosa, L.G.","34","2018","03","06",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Fazenda do Manso.",NA,NA,NA,NA,"HUFU00077646",NA,NA,"2020","11","-43.5080986022949","-20.2875003814697","Ouro Preto","44599","auto",NA,NA,NA,"20",NA,NA
"37","2020-12-07 11:31:50-03","UFU","HUFU","80391","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Paranhos, G.M.","Pedrosa, L.G.","266","2018","05","11",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Tesoureiro.",NA,NA,NA,"Árvore, ca. 6 m. Flores alvas. Em frutos.; Floresta Estacional Semidecídua.","HUFU00077657",NA,NA,"2020","11","-43.5080986022949","-20.2875003814697","Ouro Preto","44599","auto",NA,NA,NA,"25",NA,NA
"38","2020-08-26 10:49:44-03","MCN-FZBRS","HAS","91862","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Sampaio, A.","6565","1934","10",NA,NA,"Brasil","Minas Gerais","Serra do Cipó, Km 130",NA,NA,NA,"Campo. Flores alvas. Árvore de 8m.","HAS0091862",NA,NA,NA,NA,"-43.8513984680176","-19.7696990966797","Santa Luzia","19939","auto",NA,NA,NA,NA,NA,NA
"39","2014-09-23 11:01:49-03","G","G-DC","G00310869","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","CAT.HERB.PRODR.","Anon.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=221479&base=img&lang=en","G00310869","G00310869",NA,"2011","01","-53.08972222","-10.77305556",NA,NA,NA,"-53.08972222","-10.77305556",NA,"01",NA,"HOLOTYPUS of Huberia laurina DC."
"40","2014-09-23 11:01:49-03","G","G-DC","G00319562","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","CAT.HERB.PRODR.","Clausen, P. C. D.","50",NA,NA,NA,"AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00319562",NA,NA,"2012","01","-45.44222222","-18.78777778",NA,NA,NA,"-45.44222222","-18.78777778",NA,"01",NA,NA
"41","2014-09-23 11:01:49-03","G","G-DC","G00319563","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","CAT.HERB.PRODR.","Martius, C. F. P.","942","1841",NA,"00","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00319563",NA,NA,"2012","01","-45.44222222","-18.78777778",NA,NA,NA,"-45.44222222","-18.78777778",NA,"01",NA,NA
"42","2019-11-21 10:09:41-03","IBt","SP","329176","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Chiea, SAC","Krieger, L","12448","1973","01","21",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"1993","11","-64.7114028930664","-3.35417008399963","Tefé","340205","auto",NA,NA,NA,NA,NA,NA
"43","2020-11-05 09:52:27-03","IBt","SP","38188","S","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Baumgratz, JFA","Sampaio, AJ","6565","1934","02","03",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,"1997",NA,"-43.8513984680176","-19.7696990966797","Santa Luzia","19939","auto",NA,NA,NA,NA,NA,NA
