"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","typeStatus"
"11","2019-08-27 13:34:05-03","IAP","PACA-AGP","84833","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Sehnem, A.","1959","12","05",NA,"Brasil","Glória","Sem Material Habitat: sarmentum in dumeto","PACA084833",NA,"Magnoliophyta","B. Rambo",NA,NA,NA,NA,"RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:34:05-03","IAP","PACA-AGP","29223","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Rambo, B.","1945","10","03",NA,"Brasil","Vila Manresa","Confirmado por José da Costa Sacco em 1969. Habitat: In silvul campesti scandens Fenofase: fl. nondum evoluto","PACA029223",NA,"Magnoliophyta","Emrich-Rambo","1954","09","06",NA,"RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:34:05-03","IAP","PACA-AGP","26976","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Rambo, B.","1944","10",NA,NA,"Brasil","Vila Manresa","Sem material Habitat: In silvula campestri scandens Fenofase: fruto maturo","PACA026976",NA,"Magnoliophyta","Emrich-Rambo","1954","09","06",NA,"RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:34:05-03","IAP","PACA-AGP","246","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Rambo, B.","1933","11","17",NA,"Brasil","Vila Manresa","Sem Material Habitat: In silvula campestri scandens Fenofase: flor","PACA000246",NA,"Magnoliophyta","Emrich-Rambo","1954","09","06",NA,"RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-27 13:34:05-03","IAP","PACA-AGP","114148","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Sehnem, A.","1953","01","14",NA,"Brasil",NA,"Habitat: sarmentum in silvula","PACA114148",NA,"Magnoliophyta","A. Sehnem",NA,NA,NA,"6204","RS","São Luiz das Missões",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-27 13:34:05-03","IAP","PACA-AGP","8290","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Sehnem, A.","1964","01","19",NA,"Brasil","Int. Agron da URGS-Guaíba","Habitat: Sarmentum as silvulam campestre","PACA008290",NA,"Magnoliophyta","A. Sehnem",NA,NA,NA,NA,"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:34:05-03","IAP","PACA-AGP","98353","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Sehnem, A.","1979","02","28",NA,"Brasil","Km 110, à esquerda da rodovia","Habitat: Sarmentum in cacumine collis campestri","PACA098353",NA,"Magnoliophyta","A. Sehnem","1979",NA,NA,"16470","RS","Canguçu","-52.6755981445312","-31.3950004577637","68702","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:34:05-03","IAP","PACA-AGP","4939","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Rambo, B.","1940","11","18",NA,"Brasil","Santa Clara","Confirmado por José da Costa Sacco em 1969.&nf;Confirmado por L.C. Bernacci em 2009. Habitat: In silvula secundaria scandens Fenofase: flor","PACA004939",NA,"Magnoliophyta","Emrich-Rambo","1954","09","06",NA,"RS","Lageado","-51.9613990783691","-29.4668998718262","36738","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:34:05-03","IAP","PACA-AGP","94775","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","J. Larocca","1998","10","31",NA,"Brasil",NA,"HASU 7006","PACA094775",NA,"Magnoliophyta","C. Mondin","1998","10",NA,NA,"RS","São Francisco de Assis","-55.1310997009277","-29.5503005981445","48310","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-08-27 13:34:05-03","IAP","PACA-AGP","70912","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Sehnem, A.","1973","11","19",NA,"Brasil","Faz. Delapieve","Confirmado por L.C. Bernacci em 2009. Habitat: Sarmentum in silvula campestri","PACA070912",NA,"Magnoliophyta","A. Sehnem","1973",NA,NA,"13916","RS","Triunfo","-51.7181015014648","-29.9433002471924","41194","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-08-27 13:34:05-03","IAP","PACA-AGP","94776","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","J. Larocca","1989","10","28",NA,"Brasil","Morro de Coco","HEDU 920&nf;Abundante Habitat: Em beira de mata Fenofase: flores brancas Hábito: liana","PACA094776",NA,"Magnoliophyta","J. Larocca",NA,NA,NA,NA,"RS","Viamão","-51.0233001708984","-30.0811004638672","41667","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-27 13:34:05-03","IAP","PACA-AGP","94777","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Backes, A.","1975","11","06",NA,"Brasil","Morro do Coco","HEDU 1567&nf;Fruto verde e maduro abundante Hábito: trepadeira","PACA094777",NA,"Magnoliophyta",NA,NA,NA,NA,"154","RS","Viamão","-51.0233001708984","-30.0811004638672","41667","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-08-27 13:34:05-03","IAP","PACA-AGP","50701","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Reitz, R.","1948","11","03",NA,"Brasil","Cabeçudas","Confirmado por L.C. Bernacci em 2009. Habitat: In silvula scandens Fenofase: flor","PACA050701",NA,"Magnoliophyta","E.P.Killip","1954","09","06","3792","SC","Itajaí","-48.6618995666504","-26.9078006744385","27253","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:37:35-03","UNICAMP","UEC","184012","S","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Lorenzi, H","2006","10","03",NA,"Brazil","Coletado e cultivado no instituto Plantarum.","Trepadeira, de folhagem densa, flores brancas com corona rósea (Suave perfume)","UEC107695","UEC107695","Magnoliopsida","Lorenzi, H","2006","10","03","6178","São Paulo","Nova Odessa","-47.2900009155273","-22.7700004577637","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-01-17 11:26:20-02","PUCRS","MPUC","16890","S","Plantae","Magnoliopsida","Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.",NA,"2002","01","17","South America","Brasil","Polo Petroquímico",NA,NA,NA,NA,"S.M. Nunes",NA,NA,NA,NA,"RS","Triunfo","-51.7180555556","-29.9433333333",NA,NA,"-51.7180555556","-29.9433333333","1",NA,NA,NA,NA,NA
"26","2019-01-17 11:26:20-02","PUCRS","MPUC","4576","S","Plantae","Magnoliopsida","Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.",NA,"2002","01","10","South America","Brasil",".",NA,NA,NA,NA,"Equipe do Projeto","2002","01","01",NA,"RS","Triunfo","-51.7180555556","-29.9433333333",NA,NA,"-51.7180555556","-29.9433333333","1",NA,NA,NA,NA,NA
"27","2019-01-17 11:26:20-02","PUCRS","MPUC","19707","S","Plantae","Magnoliopsida","Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","C.S.A. Martins","2002","01","17","South America","Brasil","caminho da trilha ecológica da COPESUL",NA,NA,NA,NA,"S.M. Nunes","2002","01","01",NA,"RS","Triunfo","-51.7181015014648","-29.9433002471924","41194","auto",NA,NA,"1",NA,NA,NA,NA,NA
"28","2019-01-17 11:26:20-02","PUCRS","MPUC","15607","S","Plantae","Magnoliopsida","Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.",NA,"2002","01","10","South America","Brasil",".",NA,NA,NA,NA,"C.S.A. Martins","2003","01","01",NA,"RS","Triunfo","-51.7180555556","-29.9433333333",NA,NA,"-51.7180555556","-29.9433333333","1",NA,NA,NA,NA,NA
"29","2019-01-17 11:26:20-02","PUCRS","MPUC","10614","S","Plantae","Magnoliopsida","Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","C.S.A. Martins","2002","01","10","South America","Brasil",".",NA,NA,NA,NA,"S.M. Nunes","2003","01","01",NA,"RS","Triunfo","-51.7180555556","-29.9433333333",NA,NA,"-51.7180555556","-29.9433333333","1",NA,NA,NA,NA,NA
"30","2021-03-16 17:53:24-03","UCS","HUCS","1998","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mart.","Rossato, M.","1986","09","21",NA,"Brasil","Fazenda da Taleira","sobre Eucalyptus",NA,NA,"Angiospermae","Smith, S.F.","1986","11",NA,"s.n.","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-16 17:53:24-03","UCS","HUCS","2775","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mart.","Sehnem, A.","1973","11","19",NA,"Brasil","Fazenda Delapieve","ASSL - 13916; sarmentosum in silvula campestri",NA,NA,"Angiospermae","Sehnem, A.","1973",NA,NA,"s.n.","Rio Grande do Sul","Triunfo","-51.7181015014648","-29.9433002471924","41194","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-16 17:53:24-03","UCS","HUCS","2938","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mart.","Sehnem, A.","1964","01","19",NA,"Brasil","Inst. Agronomia da UFRGS","ASSL - 8290; sarmentosum in silvula campestri",NA,NA,"Angiospermae","Sehnem, A.",NA,NA,NA,"s.n.","Rio Grande do Sul","Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,"50","50",NA,NA,NA
"33","2021-01-07 14:11:04-03","UFSM","SMDB","10657","S","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Martens","Durigon, J; Canto-Dorow, T","2006","08","04",NA,"Brasil","Rodovia BR 158, Santa Maria, RS, entre Santa Maria","Trepadeira sarmentosa","SMDB010657",NA,NA,"Durigon, J","2006","08","16","71","Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","37819","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-01-07 14:11:04-03","UFSM","SMDB","10635","S","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Martens","Durigon, J; Canto-Dorow, T","2006","09","29",NA,"Brasil","Rodovia RST 287, entre a UFSM e Santa Maria, RS","Planta trepadeira, coleta em beira de rodovia, flor de corola branca","SMDB010635",NA,NA,"Durigon, J","2006","09","29","83","Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","37819","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-01-07 14:11:04-03","UFSM","SMDB","1934","S","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Martens","Alvarez, A.F.","1980","08","10",NA,"Brasil",NA,NA,"SMDB001934","SMDB001934",NA,"Alvarez, A.F.","1980","10","29","s.n.","Rio Grande do Sul","São Sepé","-53.565299987793","-30.1606006622314","46510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-11 16:53:19-03","UFSM","SMDB","19035","S","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Martens","Záchia, R.A; Portalet, AA","2010","10","27",NA,"Brasil","Vila de Nazaré, estrada de terra para o interior (","trepadeira, com flores e frutos imaturos, borda da matinha em beira de estrada","SMDB019035",NA,NA,"Záchia, R.A","2010","10","27","6222","Rio Grande do Sul","Unistalda","-55.1502990722656","-29.0471992492676","23166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:39:14-03","MBM","MBM","259734","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Mondin, C.A.","1999","09","30","Southern America","Brazil","Bairro Jardim Botânico","Planta trepadeira.; Mata secundária.","MBM259734","MBM259734",NA,"Cervi, A.C.","1999",NA,NA,"s.n.","Rio Grande do Sul","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:39:14-03","MBM","MBM","181365","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Záchia, R.","1993","11","30","Southern America","Brazil","Distrito Santa Rosa, Rincão São Lucas, Ea. Bonitas, rio Butuí","Trepadeira com frutos amarelos.; Margem da mata.","MBM181365","MBM181365",NA,"Záchia, R.",NA,NA,NA,"1563","Rio Grande do Sul","São Borja","-56.0043983459473","-28.6606006622314","75549","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:39:14-03","MBM","MBM","110940","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Schinini, A.; Ahumada, O.; Ahumada, O.","1980","10","10","Southern America","Argentina","Ruta 39, 10km NW de Ruta 14","Voluble, pétalos violáceos.; En selva.","MBM110940","MBM110940",NA,NA,NA,NA,NA,"20903","Corrientes","Ituzaigó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:39:14-03","MBM","MBM","110942","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Schinini, A.; Vanni, R.; Norrmann, G.; Vanni, R.; Norrmann, G.","1979","11","28","Southern America","Argentina","Ayo. Gonzáles, ruta 19, 25km SW de San Roque","Trepadora.; En selva en galería.","MBM110942","MBM110942",NA,NA,NA,NA,NA,"19432","Corrientes","San Roque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:39:14-03","MBM","MBM","99289","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Falkenberg, D.B.","1983","01","29","Southern America","Brazil","Morro Santana","Beira de mata secundária.","MBM099289","MBM099289",NA,NA,NA,NA,NA,"s.n.","Rio Grande do Sul","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2015-09-04 23:08:19-03","MNHN","RECOLNAT_MNHN_P","P05265899","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Pedersen, T.M.","1956","12","23",NA,"Argentina","Estancia, Santa Teresa. Dep. Mburucuyá. Prov. Corrientes.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05265899' target='other'> <mi>dwc_moreinfo</mi></a>","P05265899","P05265899_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4422","hb",NA
"43","2015-09-04 23:08:18-03","MNHN","RECOLNAT_MNHN_P","P05265892","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Weddell, H.A.","1843","1","1",NA,"Brasil","Environs de Rio-Janeiro.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05265892' target='other'> <mi>dwc_moreinfo</mi></a>","P05265892","P05265892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","hb",NA
"44","2015-09-04 23:08:18-03","MNHN","RECOLNAT_MNHN_P","P05265893","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Pedersen, T.M.","1952","9","9",NA,"Argentina","Prov. Corrientes, Dep. Mburucuyá, Estancia Santa Teresa.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05265893' target='other'> <mi>dwc_moreinfo</mi></a>","P05265893","P05265893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1824","hb",NA
"45","2015-09-04 23:08:19-03","MNHN","RECOLNAT_MNHN_P","P05265894","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Bonpland, A.","1822","8","1",NA,"Argentina","Province de Corrientes, Santa Maria.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05265894' target='other'> <mi>dwc_moreinfo</mi></a>","P05265894","P05265894_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"758","hb",NA
"46","2015-09-04 23:08:19-03","MNHN","RECOLNAT_MNHN_P","P05265895","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Bonpland","1821","1","1",NA,"Argentina","Corrientes.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05265895' target='other'> <mi>dwc_moreinfo</mi></a>","P05265895","P05265895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA
"47","2015-09-04 23:08:19-03","MNHN","RECOLNAT_MNHN_P","P05265897","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Schwarz, G.J.","1949","12","10",NA,"Argentina","Provincia Corrientes, Dep. Saladas, Rio San Lorenzo.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05265897' target='other'> <mi>dwc_moreinfo</mi></a>","P05265897","P05265897_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9070","hb",NA
"48","2015-09-04 23:08:19-03","MNHN","RECOLNAT_MNHN_P","P05265898","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Pedersen, T.M.","1956","9","11",NA,"Argentina","Fernández-Guazú. Dep. General Paz; Prov. Corrientes.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05265898' target='other'> <mi>dwc_moreinfo</mi></a>","P05265898","P05265898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3979","hb",NA
"49","2015-09-04 23:08:19-03","MNHN","RECOLNAT_MNHN_P","P05265900","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Schwarz, G.J.","1949","10","15",NA,"Argentina","Corrientes. Dep. General Paz. Arroyo Santa Isabel.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05265900' target='other'> <mi>dwc_moreinfo</mi></a>","P05265900","P05265900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8302","hb",NA
"50","2015-09-05 08:33:24-03","MNHN","RECOLNAT_MNHN_P","P05538382","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Rambo, B.","1933","11","17",NA,"Brasil","Porto Alegre.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05538382' target='other'> <mi>dwc_moreinfo</mi></a>","P05538382","P05538382_01",NA,NA,NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13826","hb",NA
"51","2021-02-11 17:21:07-03","UFPR","UPCB","40102","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Masters","Mondin, C.A.","1999","09","30",NA,"Brasil","Bairro Jardim Botânico","Planta trepadeira, em mata secundária..",NA,NA,NA,"Cervi, A.C.","1999","01","01",NA,"Rio Grande do Sul","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
"52","2009-10-24 07:52:00-02","MO","MOBOT","2429385","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Fernando O. Zuloaga|Osvaldo Morrone","1999","2","20","South America","Argentina","Ruta Prov. 94, Arroyo Chimiray, límite con Misiones",NA,NA,NA,NA,"Deginani, N. B.",NA,NA,NA,"Zuloaga 6746","Corrientes","General Alvear","-55.68333","-28.06666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2010-01-13 11:21:00-02","MO","MOBOT","100241213","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","G. Malme","1901",NA,NA,"South America","Brazil","Porto Alegre",NA,NA,NA,NA,"E.P. Killip",NA,NA,NA,"Malme 152","Rio Grande do Sul",NA,"-51.2333333","-30.0333333",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"54","2011-10-08 16:38:00-03","MO","MOBOT","100241203","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Henry S. Fox",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"E.P. Killip",NA,NA,NA,"Fox s.n.","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"Type"
